time,close,open,high,low,volume
1692082740,112.96,112.96,112.96,112.96,534
1692082800,110.06,112.94,112.94,107.76,8762
1692082860,108.86,110.04,110.9,108.22,3023
1692082920,110.7,110.42,110.94,109.0,1235
1692082980,110.52,110.66,110.86,110.04,320
1692083040,110.96,110.04,110.96,110.02,507
1692083100,111.12,110.94,111.2,110.7,453
1692083160,111.48,111.12,111.5,110.94,647
1692083220,111.96,111.48,111.98,111.26,765
1692083280,111.7,111.8,111.98,111.7,701
1692083340,111.92,111.8,111.96,111.7,263
1692083400,111.92,111.82,111.92,111.5,730
1692083460,111.98,111.92,111.98,111.64,219
1692083520,111.94,111.98,111.98,111.74,103
1692083580,111.96,111.94,112.06,111.92,726
1692083640,111.56,111.96,112.0,111.54,1399
1692083700,111.5,111.56,111.74,111.5,566
1692083760,111.0,111.52,111.6,111.0,820
1692083820,111.0,111.1,111.44,110.94,730
1692083880,110.9,111.1,111.1,110.8,265
1692083940,111.3,110.88,111.3,110.84,778
1692084000,111.5,111.16,111.8,111.14,522
1692084060,111.96,111.48,111.96,111.46,339
1692084120,111.72,111.74,112.02,111.34,1024
1692084180,111.4,111.34,111.54,111.2,67
1692084240,111.2,111.38,111.42,111.02,139
1692084300,111.28,111.04,111.4,111.04,301
1692084360,111.32,111.42,111.78,111.3,203
1692084420,111.14,111.46,111.5,111.06,823
1692084480,111.44,111.38,111.54,111.2,238
1692084540,111.38,111.22,111.48,111.2,112
1692084600,110.22,111.2,111.22,110.14,1753
1692084660,110.06,110.22,110.38,110.02,679
1692084720,110.76,110.06,111.14,110.04,969
1692084780,110.38,110.5,110.78,110.36,147
1692084840,110.78,110.5,111.16,110.5,1711
1692084900,109.54,110.56,110.56,108.82,3796
1692084960,110.2,110.18,111.38,110.0,562
1692085020,110.4,110.22,111.3,110.18,515
1692085080,110.46,110.4,110.72,110.2,577
1692085140,110.52,110.66,110.94,110.5,496
1692085200,111.4,110.74,111.78,110.22,5896
1692085260,111.88,111.76,112.0,111.38,1310
1692085320,111.78,111.88,112.34,111.56,1325
1692085380,112.08,112.0,112.08,111.8,611
1692085440,112.56,112.08,112.58,112.08,411
1692085500,112.16,112.52,112.58,111.64,1479
1692085560,111.92,112.24,112.24,111.6,300
1692085620,111.98,111.84,112.0,111.64,704
1692085680,112.66,111.96,112.66,111.82,1061
1692085740,112.56,112.6,113.0,112.28,1801
1692085800,112.5,112.88,112.92,112.42,666
1692085860,112.62,112.64,112.7,112.0,686
1692085920,112.62,112.58,112.68,112.5,293
1692085980,112.6,112.62,112.64,112.56,36
1692086040,112.38,112.6,112.6,112.18,439
1692086100,112.52,112.22,112.52,112.14,322
1692086160,112.78,112.52,112.78,112.52,409
1692086220,113.06,112.8,113.06,112.78,1209
1692086280,113.02,113.02,113.06,112.9,714
1692086340,113.42,113.06,113.42,113.06,1798
1692086400,113.56,113.42,114.38,113.42,2015
1692086460,113.84,113.8,114.26,113.58,592
1692086520,114.22,113.86,114.5,113.86,347
1692086580,113.8,114.2,114.32,113.74,342
1692086640,113.88,113.8,113.98,113.5,1064
1692086700,113.86,113.74,114.2,113.6,395
1692086760,113.58,113.86,113.9,113.5,487
1692086820,113.5,113.6,113.8,113.5,567
1692086880,113.2,113.5,113.68,113.2,348
1692086940,112.54,113.2,113.22,111.92,2761
1692087000,112.74,112.46,112.84,112.46,218
1692087060,112.72,112.72,112.98,112.72,75
1692087120,112.72,112.72,112.72,112.42,406
1692087180,112.12,112.7,112.72,112.1,513
1692087240,112.56,112.46,112.56,112.16,126
1692087300,112.88,112.46,112.88,112.42,206
1692087360,113.0,112.88,113.0,112.76,95
1692087420,113.0,113.0,113.02,113.0,56
1692087480,112.9,113.0,113.0,112.86,274
1692087540,113.06,113.0,113.1,113.0,100
1692087600,113.18,112.94,113.2,112.94,113
1692087660,112.96,113.02,113.02,112.76,386
1692087720,112.72,112.78,112.96,112.72,249
1692087780,112.7,112.7,112.76,112.46,168
1692087840,112.6,112.7,112.8,112.6,152
1692087900,112.82,112.74,112.92,112.74,41
1692087960,112.84,112.82,112.98,112.82,49
1692088020,112.8,112.86,112.98,112.8,267
1692088080,112.94,112.8,112.96,112.74,21
1692088140,112.94,112.94,112.94,112.94,2
1692088200,112.9,112.8,112.92,112.76,99
1692088260,112.78,112.74,112.86,112.58,175
1692088320,112.56,112.5,112.64,112.14,206
1692088380,112.42,112.18,112.54,112.08,230
1692088440,112.52,112.42,112.52,112.02,196
1692088500,112.5,112.4,112.5,112.4,18
1692088560,112.38,112.4,112.4,112.3,27
1692088620,112.38,112.38,112.6,112.38,129
1692088680,112.56,112.38,112.64,112.38,32
1692088740,112.42,112.56,112.58,112.42,31
