time,close,open,high,low,volume
1515056040,6.35,6.35,6.35,6.35,1
1515060360,6.35,6.35,6.35,6.31,15
1515060720,6.4,6.4,6.4,6.4,5
1515062280,6.4,6.4,6.4,6.4,1
1515062340,6.4,6.4,6.4,6.4,4
1515064140,6.49,6.49,6.49,6.49,1
1515064260,6.5,6.5,6.5,6.5,5
1515064440,6.5,6.5,6.5,6.5,1
1515064920,6.68,6.68,6.68,6.68,1
1515064980,6.6,6.6,6.6,6.6,1
1515065340,6.36,6.5,6.5,6.36,2
1515071820,6.4,6.4,6.4,6.4,1
1515076200,6.43,6.43,6.43,6.43,2
1515076260,6.48,6.48,6.48,6.48,2
1515076860,6.48,6.48,6.48,6.48,1
1515080880,6.47,6.47,6.47,6.47,1
1515136440,6.66,6.66,6.66,6.66,1
1515140460,6.42,6.42,6.42,6.42,1
1515143460,6.59,6.59,6.59,6.59,1
1515154560,6.51,6.51,6.51,6.51,5
1515162480,6.51,6.51,6.51,6.51,2
1515162600,6.58,6.58,6.58,6.58,1
1515164820,6.5,6.5,6.5,6.5,1
1515165060,6.5,6.5,6.5,6.5,1
1515165960,6.59,6.59,6.59,6.59,1
1515166020,6.6,6.6,6.6,6.6,3
1515483000,6.6,6.6,6.6,6.6,5
1515483300,6.93,6.6,6.93,6.6,49
1515484020,6.6,6.76,6.77,6.6,4
1515484800,6.77,6.77,6.77,6.77,1
1515484980,6.77,6.77,6.77,6.77,2
1515485040,6.95,6.77,6.95,6.77,20
1515485100,6.95,6.95,6.99,6.95,37
1515485160,6.96,6.96,6.96,6.96,10
1515485220,7.0,7.09,7.09,7.0,2
1515485340,6.95,7.09,7.2,6.95,15
1515487320,6.8,6.8,6.8,6.8,6
1515488340,6.8,6.8,6.8,6.8,2
1515488460,6.88,6.88,6.88,6.88,1
1515488520,6.9,6.89,6.9,6.89,12
1515490200,7.0,7.05,7.05,7.0,2
1515492660,7.01,7.01,7.01,7.01,1
1515492840,7.07,7.04,7.07,7.04,8
1515493020,7.07,7.07,7.07,7.07,1
1515493260,7.08,7.08,7.08,7.08,2
1515494580,7.03,7.03,7.03,7.03,1
1515498540,7.02,7.02,7.02,7.02,1
1515499620,7.02,7.02,7.02,7.02,1
1515499980,7.0,7.0,7.0,7.0,2
1515500760,6.87,6.87,6.87,6.87,1
1515503880,6.95,6.95,6.95,6.95,13
1515505560,6.95,6.95,6.95,6.95,1
1515505680,7.0,6.95,7.0,6.95,2
1515506220,6.87,6.87,6.87,6.87,4
1515512160,6.9,6.9,6.9,6.9,1
1515512880,6.9,6.9,6.9,6.9,1
1515568620,7.15,7.15,7.15,7.15,17
1515568740,7.1,7.1,7.1,7.1,1
1515568860,7.18,7.18,7.18,7.18,1
1515568920,7.19,7.19,7.19,7.19,3
1515568980,7.25,7.2,7.25,7.2,8
1515569040,7.3,7.28,7.3,7.28,6
1515569100,7.3,7.3,7.3,7.3,4
1515569460,7.37,7.32,7.37,7.32,8
1515569520,7.27,7.28,7.28,7.27,2
1515569580,7.27,7.27,7.27,7.27,3
1515569760,7.38,7.38,7.38,7.38,1
1515569880,7.28,7.28,7.28,7.28,3
1515569940,7.3,7.3,7.3,7.3,3
1515570180,7.22,7.31,7.31,7.22,46
1515570240,7.0,7.12,7.12,7.0,7
1515570600,7.18,7.18,7.18,7.18,1
1515571560,7.1,7.1,7.1,7.1,2
1515572820,7.11,7.11,7.11,7.11,1
1515573060,7.11,7.11,7.11,7.11,1
1515573240,7.27,7.27,7.27,7.27,1
1515573480,7.1,7.1,7.1,7.1,5
1515574560,7.1,7.1,7.1,7.1,1
1515575400,7.1,7.1,7.1,7.1,1
1515575460,7.06,7.07,7.07,7.06,8
1515579120,7.05,7.05,7.05,7.05,5
1515579780,7.02,7.02,7.02,7.02,1
1515580020,7.09,7.09,7.09,7.09,1
1515581880,7.07,7.07,7.07,7.07,1
1515582540,7.02,7.02,7.02,7.02,1
1515583260,7.12,7.05,7.12,7.05,10
1515583380,7.13,7.13,7.13,7.13,1
1515586620,7.12,7.12,7.12,7.12,2
1515587580,7.1,7.1,7.1,7.1,9
1515588720,7.25,7.1,7.25,7.1,26
1515589200,7.25,7.24,7.25,7.24,2
1515589260,7.06,7.06,7.06,7.06,2
1515589920,7.25,7.25,7.25,7.25,1
1515590940,7.24,7.24,7.24,7.24,2
1515591120,7.09,7.1,7.1,7.09,3
1515591180,7.07,7.07,7.07,7.07,1
1515595320,7.21,7.21,7.21,7.21,1
1515596940,7.08,7.08,7.08,7.08,1
1515597240,7.07,7.07,7.07,7.07,1
1515597480,7.06,7.07,7.07,7.06,3
1515654660,7.06,7.06,7.06,7.06,1
1515654780,7.16,7.06,7.16,7.06,5
1515657600,7.19,7.19,7.19,7.19,2
1515657960,7.2,7.2,7.2,7.2,5
1515661140,7.08,7.08,7.08,7.08,1
1515661620,7.1,7.1,7.1,7.1,2
1515662220,7.1,7.1,7.1,7.1,5
1515662460,7.1,7.1,7.1,7.1,3
1515668280,7.08,7.08,7.08,7.08,1
1515671280,7.07,7.07,7.07,7.07,3
1515672360,7.2,7.18,7.2,7.18,3
1515672420,7.27,7.25,7.27,7.25,25
1515672480,7.28,7.28,7.28,7.28,1
1515673860,7.2,7.2,7.2,7.2,1
1515674160,7.12,7.12,7.12,7.12,2
1515678960,7.24,7.18,7.24,7.18,25
1515679140,7.26,7.26,7.26,7.26,3
1515681120,7.25,7.25,7.25,7.25,1
1515683040,7.2,7.2,7.2,7.2,1
1515749400,7.05,7.06,7.06,7.05,3
1515749640,7.04,7.04,7.04,7.04,2
1515749700,7.03,7.03,7.03,7.03,7
1515751860,7.17,7.16,7.17,7.16,4
1515751920,7.27,7.26,7.27,7.26,3
1515752280,7.27,7.27,7.27,7.27,5
1515752700,7.27,7.27,7.27,7.27,2
1515752760,7.28,7.28,7.28,7.28,6
1515752820,7.3,7.29,7.3,7.29,3
1515753420,7.3,7.3,7.3,7.3,1
1515753900,7.1,7.1,7.1,7.1,2
1515753960,7.1,7.1,7.1,7.1,2
1515754140,7.09,7.09,7.09,7.09,1
1515769980,7.5,7.27,7.5,7.27,30
1515770040,7.52,7.52,7.52,7.52,1
1515770100,7.28,7.28,7.28,7.28,1
1515770220,7.55,7.49,7.55,7.49,7
1515770460,7.56,7.56,7.56,7.56,1
1515770700,7.55,7.55,7.55,7.55,3
1515770880,7.28,7.28,7.28,7.28,5
1515771060,7.55,7.52,7.55,7.52,17
1515771120,7.55,7.55,7.55,7.55,1
1515771180,7.55,7.55,7.55,7.55,2
1515771300,7.57,7.53,7.57,7.53,15
1515771420,7.57,7.57,7.57,7.57,1
1515771480,7.58,7.57,7.58,7.57,2
1515771900,7.58,7.58,7.58,7.58,1
1515999960,7.58,7.58,7.58,7.58,3
1516000140,7.6,7.82,7.82,7.6,2
1516000260,7.99,7.77,7.99,7.77,6
1516000380,8.0,7.83,8.24,7.83,10
1516000440,8.31,8.19,8.46,8.19,7
1516000560,8.29,8.28,8.3,8.28,19
1516000980,8.2,8.24,8.24,8.2,6
1516001160,8.09,8.15,8.15,8.09,10
1516001220,8.09,8.1,8.1,8.09,15
1516001280,8.0,8.03,8.03,8.0,13
1516001820,8.11,8.13,8.16,8.11,13
1516002960,8.19,8.19,8.19,8.19,1
1516003080,8.19,8.19,8.19,8.19,2
1516003260,8.19,8.19,8.19,8.19,1
1516003320,8.2,8.2,8.2,8.2,1
1516003680,8.19,8.19,8.19,8.19,1
1516005480,8.2,8.19,8.2,8.19,12
1516005840,8.11,8.11,8.11,8.11,1
1516006920,8.11,8.11,8.11,8.11,1
1516007100,8.15,8.17,8.17,8.15,3
1516007940,8.22,8.22,8.22,8.22,8
1516011420,8.22,8.21,8.22,8.21,10
1516017180,8.12,8.12,8.12,8.12,3
1516019280,8.11,8.11,8.11,8.11,1
1516020900,7.93,8.11,8.11,7.8,126
1516021200,8.03,8.03,8.03,8.03,1
1516021860,7.95,7.94,7.95,7.94,4
1516021920,8.0,8.0,8.0,8.0,33
1516024800,8.31,8.16,8.31,8.16,40
1516024860,8.3,8.3,8.3,8.3,1
1516024920,8.3,8.3,8.3,8.3,1
1516025040,8.3,8.3,8.3,8.3,19
1516026540,8.3,8.3,8.3,8.3,4
1516027620,8.16,8.16,8.16,8.16,2
1516029600,8.25,8.25,8.25,8.25,2
1516088160,8.09,8.09,8.09,8.09,1
1516088220,8.5,8.42,8.5,8.4,7
1516088400,8.5,8.39,8.5,8.39,8
1516088580,8.59,8.59,8.59,8.59,1
1516088700,8.6,8.6,8.6,8.6,3
1516088760,8.7,8.6,8.7,8.6,5
1516089060,8.51,8.64,8.64,8.51,10
1516089120,8.22,8.51,8.51,8.22,6
1516089180,8.49,8.48,8.49,8.48,4
1516089300,8.49,8.49,8.49,8.49,1
1516089780,8.4,8.41,8.49,8.4,5
1516090140,8.2,8.28,8.28,8.08,13
1516090560,8.4,8.39,8.4,8.39,3
1516091100,8.0,8.03,8.03,8.0,9
1516091520,8.0,8.06,8.06,8.0,6
1516092480,8.0,8.02,8.02,8.0,13
1516093260,7.94,7.94,7.94,7.94,1
1516093320,7.93,7.94,7.94,7.93,3
1516093800,8.08,8.08,8.08,8.08,1
1516094460,7.98,7.98,7.98,7.98,1
1516095300,8.07,8.07,8.07,8.07,4
1516097400,8.06,8.06,8.06,8.06,1
1516098780,7.92,7.92,7.92,7.92,2
1516098840,7.88,7.89,7.89,7.88,4
1516098900,7.85,7.85,7.85,7.85,4
1516101960,7.82,7.82,7.82,7.82,8
1516105800,7.99,7.99,7.99,7.99,2
1516108320,7.9,7.9,7.9,7.9,4
