time,close,open,high,low,volume
1514980500,3.3,3.3,3.3,3.3,1
1515065040,3.4,3.38,3.4,3.38,5
1515156720,3.4,3.4,3.4,3.4,4
1515481620,3.38,3.38,3.38,3.38,1
1515490560,3.4,3.4,3.4,3.4,1
1515491340,3.37,3.37,3.37,3.37,1
1515500100,3.42,3.41,3.42,3.41,153
1515501840,3.42,3.42,3.42,3.42,4
1515502320,3.42,3.42,3.42,3.42,3
1515503220,3.42,3.42,3.42,3.42,2
1515505260,3.42,3.42,3.42,3.42,5
1515507600,3.42,3.4,3.42,3.4,1000
1515508140,3.41,3.41,3.41,3.41,1
1515508560,3.41,3.41,3.41,3.41,2
1515567660,3.9,3.9,3.9,3.9,2
1515568200,3.46,3.46,3.46,3.46,1
1515570660,3.45,3.45,3.45,3.45,10
1515572760,3.26,3.44,3.44,3.26,32
1515573120,3.26,3.26,3.26,3.26,71
1515573660,3.3,3.3,3.3,3.3,2
1515574320,3.41,3.34,3.41,3.34,23
1515577020,3.42,3.4,3.42,3.4,2
1515581100,3.45,3.45,3.45,3.45,2
1515598560,3.41,3.41,3.41,3.41,2
1515660900,3.41,3.41,3.41,3.41,1
1515671280,3.45,3.44,3.45,3.44,4
1515671820,3.36,3.42,3.42,3.36,20
1515672120,3.42,3.41,3.42,3.41,5
1515672180,3.42,3.42,3.42,3.42,1
1515680220,3.43,3.43,3.43,3.43,3
1515680280,3.44,3.44,3.44,3.44,1
1515680400,3.45,3.45,3.45,3.45,4
1515756060,3.47,3.46,3.47,3.46,3
1515756240,3.48,3.48,3.48,3.48,1
1515766380,3.5,3.47,3.5,3.47,5
1515769800,3.5,3.5,3.5,3.5,1
1516011780,3.52,3.51,3.52,3.51,2
1516086720,3.54,3.54,3.54,3.54,4
1516116960,3.52,3.52,3.52,3.52,2
1516117080,3.52,3.52,3.52,3.52,2
1516175640,3.58,3.58,3.58,3.58,1
1516183200,3.57,3.57,3.57,3.57,1
1516183560,3.49,3.5,3.5,3.49,4
1516183620,3.49,3.49,3.49,3.49,2
1516183860,3.48,3.48,3.48,3.48,2
1516183980,3.52,3.52,3.52,3.52,1
1516196820,3.48,3.48,3.48,3.48,5
1516273380,3.63,3.52,3.63,3.52,20
1516273500,3.34,3.58,3.58,3.34,20
1516273620,3.38,3.38,3.38,3.38,1
1516287600,3.31,3.34,3.34,3.31,5
1516290300,3.38,3.38,3.38,3.38,2
1516360560,3.3,3.34,3.34,3.3,100
1516360740,3.39,3.39,3.39,3.39,1
1516631160,3.31,3.31,3.31,3.31,2
1516706520,3.35,3.34,3.35,3.34,57
1516714260,3.35,3.34,3.35,3.34,109
1516714440,3.4,3.37,3.4,3.37,32
1516778820,3.45,3.41,3.45,3.41,27
1516779300,3.44,3.44,3.44,3.44,1
1516787340,3.43,3.42,3.43,3.42,8
