time,close,open,high,low,volume
1514965980,0.497,0.498,0.498,0.497,2
1514972940,0.497,0.497,0.497,0.497,2
1514973000,0.497,0.497,0.497,0.497,1
1514974440,0.49,0.496,0.496,0.49,11
1514981520,0.49,0.49,0.49,0.49,1
1515055140,0.488,0.489,0.489,0.488,20
1515056940,0.49,0.49,0.49,0.49,10
1515135540,0.515,0.515,0.515,0.515,1
1515136320,0.486,0.488,0.488,0.486,3
1515136920,0.485,0.485,0.485,0.485,1
1515139020,0.489,0.489,0.489,0.489,1
1515139860,0.49,0.49,0.49,0.49,1
1515142560,0.485,0.485,0.485,0.485,2
1515155520,0.485,0.485,0.485,0.485,2
1515161220,0.485,0.485,0.485,0.485,1
1515167280,0.49,0.49,0.49,0.49,1
1515493680,0.485,0.485,0.485,0.485,1
1515504780,0.483,0.485,0.485,0.483,18
1515568080,0.493,0.489,0.493,0.489,5
1515568800,0.488,0.488,0.488,0.488,1
1515569880,0.487,0.487,0.487,0.487,1
1515574320,0.492,0.492,0.492,0.492,1
1515574980,0.487,0.487,0.487,0.487,1
1515578640,0.493,0.492,0.493,0.492,2
1515580560,0.488,0.488,0.488,0.488,1
1515580620,0.487,0.487,0.487,0.487,1
1515581340,0.494,0.492,0.494,0.492,3
1515583800,0.489,0.489,0.489,0.489,3
1515583860,0.488,0.488,0.488,0.488,1
1515585180,0.493,0.493,0.493,0.493,1
1515588540,0.494,0.493,0.494,0.493,3
1515592020,0.488,0.488,0.488,0.488,1
1515598200,0.488,0.488,0.488,0.488,1
1515656940,0.487,0.487,0.487,0.487,1
1515682620,0.487,0.487,0.487,0.487,1
1515746520,0.491,0.491,0.491,0.491,1
1515746940,0.491,0.491,0.491,0.491,6
1515751140,0.492,0.492,0.492,0.492,1
1515751200,0.493,0.493,0.493,0.493,1
1515753180,0.489,0.489,0.489,0.489,14
1515757740,0.488,0.488,0.488,0.488,1
1515758700,0.486,0.487,0.487,0.486,2
1515766740,0.486,0.486,0.486,0.486,1
1515766800,0.484,0.485,0.485,0.484,2
1515771540,0.489,0.489,0.489,0.489,1
1516001640,0.49,0.489,0.49,0.489,2
1516001880,0.491,0.49,0.491,0.49,2
1516011180,0.492,0.492,0.492,0.492,1
1516027740,0.492,0.492,0.492,0.492,1
1516029660,0.494,0.494,0.494,0.494,10
1516029720,0.494,0.494,0.494,0.494,11
1516029840,0.495,0.495,0.495,0.495,1
1516029900,0.496,0.496,0.496,0.496,1
1516117080,0.491,0.491,0.491,0.491,1
1516172520,0.489,0.489,0.489,0.489,1
1516179480,0.489,0.489,0.489,0.489,15
1516270500,0.489,0.489,0.489,0.489,1
1516347300,0.489,0.489,0.489,0.489,1
1516618440,0.468,0.483,0.483,0.468,2
1516620000,0.471,0.48,0.48,0.471,4
1516626240,0.488,0.488,0.488,0.488,1
1516709700,0.46,0.468,0.468,0.46,79
1516709760,0.46,0.46,0.46,0.46,121
1516714680,0.47,0.469,0.47,0.469,10
1516718040,0.465,0.465,0.465,0.465,6
1516718220,0.465,0.465,0.465,0.465,4
1516718820,0.465,0.465,0.465,0.465,10
1516721700,0.462,0.463,0.463,0.462,23
1516721880,0.46,0.461,0.461,0.46,45
1516722300,0.466,0.466,0.466,0.466,1
1516777920,0.465,0.465,0.465,0.465,1
1516778160,0.465,0.465,0.465,0.465,9
1516778700,0.47,0.469,0.47,0.469,305
1516805340,0.462,0.462,0.462,0.462,2
1516805400,0.462,0.462,0.462,0.462,5
1516868940,0.48,0.469,0.48,0.469,12
1516869900,0.478,0.479,0.479,0.478,2
1516869960,0.477,0.477,0.477,0.477,1
1516873260,0.473,0.476,0.476,0.473,4
1516875360,0.47,0.472,0.472,0.47,3
1516884720,0.47,0.47,0.47,0.47,1
1516893420,0.47,0.47,0.47,0.47,1
1516951560,0.47,0.47,0.47,0.47,1
1516958220,0.47,0.47,0.47,0.47,21
1516973520,0.47,0.47,0.47,0.47,1
1516973580,0.47,0.47,0.47,0.47,2
1516974420,0.469,0.469,0.469,0.469,1
1516976820,0.468,0.468,0.468,0.468,1
1516976880,0.467,0.467,0.467,0.467,1
1516977780,0.464,0.466,0.466,0.464,2
1516977900,0.464,0.464,0.464,0.464,1
1516980180,0.46,0.461,0.461,0.46,8
1516980420,0.465,0.465,0.465,0.465,138
1516980480,0.465,0.465,0.465,0.465,14
1517209260,0.484,0.479,0.484,0.479,20
1517213640,0.467,0.467,0.467,0.467,153
1517218080,0.468,0.468,0.468,0.468,1
1517221080,0.469,0.469,0.469,0.469,2
1517221560,0.47,0.47,0.47,0.47,1
1517238180,0.466,0.466,0.466,0.466,1
1517240220,0.465,0.465,0.465,0.465,1
1517408160,0.465,0.465,0.465,0.465,1
1517486160,0.469,0.469,0.469,0.469,4
1517824860,0.464,0.464,0.464,0.464,1
1517825280,0.464,0.464,0.464,0.464,104
1517842140,0.463,0.463,0.463,0.463,1
1517927400,0.461,0.461,0.461,0.461,5
1518006600,0.464,0.464,0.464,0.464,1
1518017040,0.461,0.461,0.461,0.461,2
1518165780,0.46,0.46,0.46,0.46,1
1518506340,0.46,0.46,0.46,0.46,94
1518513120,0.466,0.465,0.466,0.465,2
1518520980,0.467,0.467,0.467,0.467,1
1518527940,0.466,0.466,0.466,0.466,1
1518534480,0.461,0.461,0.461,0.461,1
1518592080,0.468,0.467,0.468,0.467,25
1518597960,0.462,0.462,0.462,0.462,1
1518682080,0.46,0.461,0.461,0.46,40
1518692880,0.464,0.464,0.464,0.464,1
1518771840,0.461,0.461,0.461,0.461,1
1518784680,0.461,0.461,0.461,0.461,3
1518792960,0.46,0.461,0.461,0.46,110
1519028400,0.464,0.463,0.464,0.463,2
1519028460,0.465,0.465,0.465,0.465,1
1519028520,0.466,0.466,0.466,0.466,1
1519029360,0.466,0.466,0.466,0.46,110
1519029480,0.467,0.467,0.467,0.467,1
1519029960,0.465,0.465,0.465,0.465,1
1519031580,0.46,0.462,0.462,0.46,102
1519035240,0.46,0.46,0.46,0.46,101
1519039860,0.46,0.46,0.46,0.46,36
1519042200,0.46,0.46,0.46,0.46,50
1519054140,0.46,0.46,0.46,0.46,3
1519283700,0.46,0.46,0.46,0.46,8
1519299240,0.463,0.463,0.463,0.463,8
1519300200,0.46,0.46,0.46,0.46,7
1519631040,0.46,0.46,0.46,0.46,31
1519631940,0.464,0.464,0.464,0.464,1
1519635420,0.464,0.464,0.464,0.464,1
1519718760,0.464,0.464,0.464,0.464,1
1519726140,0.46,0.46,0.46,0.46,15
1519805520,0.464,0.464,0.464,0.464,1
1519806720,0.46,0.46,0.46,0.46,8
1519821360,0.46,0.46,0.46,0.46,2
1519821720,0.459,0.459,0.459,0.459,7
1519889460,0.464,0.464,0.464,0.464,2
1519983360,0.464,0.464,0.464,0.464,1
1519990800,0.464,0.464,0.464,0.464,1
1519992660,0.46,0.46,0.46,0.46,10
1519997280,0.464,0.464,0.464,0.464,6
1520233440,0.464,0.464,0.464,0.464,1
1520234460,0.464,0.464,0.464,0.464,1
1520234520,0.467,0.467,0.467,0.467,1
1520237880,0.464,0.464,0.464,0.464,1
1520320020,0.46,0.457,0.46,0.457,8
1520327940,0.457,0.457,0.457,0.457,1
1520341500,0.457,0.457,0.457,0.457,4
1520406660,0.456,0.456,0.456,0.456,1
1520406960,0.454,0.455,0.455,0.454,7
