time,close,open,high,low,volume
1514975220,650,529,650,529,6
1514977500,509,509,509,509,1
1514989620,509,509,509,509,1
1515057240,520,590,590,520,2
1516188000,540,540,540,540,1
1516199100,540,540,540,540,2
1516951740,538,513,538,513,2
1517394420,537,537,537,537,1
1518506640,516,516,516,516,1
1518516660,470,470,470,470,2
1519124640,680,545,680,545,6
1519138560,540,540,540,540,1
1519140720,473,473,473,473,1
1519140780,520,520,520,520,1
1519141020,500,500,500,500,1
1520846640,483,702,702,482,5
1520846760,483,483,483,483,4
1521534660,540,540,540,540,2
1521543060,480,480,480,480,4
1521548040,480,480,480,480,5
1521733680,470,470,470,470,4
1522239900,479,479,479,479,1
1522326600,460,461,461,460,2
1522336680,460,470,470,460,2
1522749660,460,460,460,460,1
1522752960,460,460,460,460,1
1523269620,425,425,425,425,1
1523269680,450,450,450,450,8
1523269860,450,450,450,450,3
1523274420,440,440,440,440,1
1523370900,460,460,460,460,6
1526570100,276,276,276,276,1
1526639280,414,414,414,414,1
1526983680,534,475,534,475,10
1526986680,460,450,460,450,2
1527072360,362,400,400,362,2
1527072480,430,430,430,430,1
1528104540,540,540,540,540,1
1528104720,460,460,460,460,1
1528111140,470,470,470,470,1
1528111440,480,480,480,480,1
1528182840,363,363,363,363,1
1528182900,410,410,410,410,1
1528201560,539,539,539,539,1
1528276020,539,539,539,539,25
1528287180,480,480,480,480,1
1528289280,490,490,490,490,1
1528299360,490,490,490,490,1
1528361460,515,515,515,515,2
1528376100,500,500,500,500,1
1528382640,510,510,510,510,1
1528446120,508,508,508,508,1
1528453620,509,509,509,509,1
1528455900,508,508,508,508,1
1528529760,490,490,490,490,1
1528529880,597,530,597,530,21
1528535160,490,490,490,490,1
1528540740,490,490,490,490,1
1528971420,595,595,595,595,20
1529047380,510,510,510,510,2
1529049420,597,597,597,597,20
1529062800,520,520,520,520,1
1529063640,560,560,560,560,1
1529066100,515,515,515,515,1
1529313060,755,598,755,598,7
1529329320,598,598,598,598,4
1529329440,598,596,598,596,2
1529398560,778,614,778,614,9
1529413560,598,598,598,598,1
1529416920,598,598,598,598,5
1529419980,598,598,598,598,1
1529487240,599,700,777,599,20
1529487480,599,599,599,599,1
1529487600,599,599,599,599,2
1529488800,649,588,649,588,10
1529492760,540,540,540,540,1
1529493180,540,540,540,540,1
1529495880,599,599,599,599,1
1529502900,599,599,599,599,1
1529570880,599,599,599,599,1
1529661120,647,647,647,647,11
1529661420,525,525,525,525,2
1529661480,525,525,525,525,8
1529662320,524,524,524,524,1
1529669760,524,524,524,524,1
1529674800,511,511,511,511,4
1529675280,524,524,524,524,1
1529677200,524,523,524,523,3
1529921280,699,699,699,699,20
1529923320,529,529,529,529,9
1529932500,533,533,533,533,1
1529999220,639,639,639,639,5
1530000540,513,513,513,513,3
1530014700,515,520,520,515,5
1530020880,515,515,515,515,1
1530532740,579,579,579,579,30
1530534480,539,539,539,539,23
1530541620,520,520,520,520,1
1530620580,549,549,549,549,17
1530624120,525,525,525,525,3
