time,close,open,high,low,volume
1514964000,3.85,3.87,3.87,3.85,2
1514978340,3.89,3.89,3.89,3.89,1
1514989380,3.8,3.8,3.8,3.8,1
1515143760,4.07,3.93,4.07,3.93,16
1515143820,3.9,3.9,3.9,3.9,1
1515162780,4.0,3.99,4.0,3.99,7
1515481260,3.92,3.99,3.99,3.92,11
1515576780,3.95,3.95,3.95,3.95,6
1515577980,3.95,3.95,3.95,3.95,1
1515578100,3.95,3.95,3.95,3.95,3
1515578940,3.95,3.95,3.95,3.95,7
1515579540,4.05,4.05,4.05,4.05,2
1515582420,3.96,3.96,3.96,3.96,1
1515590280,3.96,3.96,3.96,3.96,2
1515590340,3.93,3.95,3.95,3.93,12
1515590400,3.91,3.92,3.92,3.91,22
1515590460,4.1,4.06,4.1,4.06,13
1515590520,4.2,4.17,4.2,4.17,31
1515590580,4.2,4.2,4.2,4.2,1
1515590640,4.29,4.25,4.29,4.25,4
1515593640,3.98,3.99,3.99,3.98,2
1515596940,4.1,4.1,4.1,4.1,1
1515654720,4.05,4.05,4.05,4.05,2
1515658620,4.07,4.07,4.07,4.07,1
1515676320,4.09,4.09,4.09,4.09,1
1515760800,4.0,4.0,4.0,4.0,2
1516195020,4.0,4.0,4.0,4.0,6
1516200600,4.0,4.0,4.0,4.0,4
1516375200,4.0,4.0,4.0,4.0,1
1516376280,3.96,3.96,3.96,3.96,2
1516608360,4.0,4.0,4.0,4.0,2
1516612440,3.98,3.98,3.98,3.98,2
1516612740,3.98,3.98,3.98,3.98,1
1516691940,3.91,3.96,3.96,3.91,10
1516700280,4.08,4.08,4.08,4.08,1
1516888080,4.0,4.0,4.0,4.0,5
1517224140,4.0,4.0,4.0,4.0,2
1517577360,3.95,3.95,3.95,3.95,1
1518709020,3.92,3.92,3.92,3.92,1
1519226100,4.02,4.02,4.02,4.02,8
1519297320,4.0,4.0,4.0,4.0,1
1519306500,4.0,4.0,4.0,4.0,1
1519633200,4.0,4.0,4.0,4.0,1
1519654980,3.96,3.96,3.96,3.96,1
1519742520,4.0,3.99,4.0,3.99,4
1519743900,3.95,3.95,3.95,3.95,1
1519745640,3.83,3.94,3.94,3.83,10
1519745940,3.98,3.97,3.98,3.97,5
1519801980,3.99,3.99,3.99,3.99,1
1519804440,3.99,3.99,3.99,3.99,1
1519805640,3.99,3.99,3.99,3.99,1
1519805700,4.0,4.0,4.0,4.0,2
1519806840,3.99,3.99,3.99,3.99,2
1519809300,4.0,4.0,4.0,4.0,2
1519986840,3.98,3.98,3.98,3.98,2
1519996380,3.98,3.98,3.98,3.98,1
1519997220,3.98,3.98,3.98,3.98,1
1520000160,3.98,3.98,3.98,3.98,1
1520000520,3.98,3.98,3.98,3.98,1
1520001540,4.02,3.98,4.02,3.98,40
1520004720,4.01,4.01,4.01,4.01,1
1520004780,4.02,4.02,4.02,4.02,5
1520247780,4.0,4.0,4.0,4.0,180
1520259840,4.0,4.0,4.0,4.0,150
1520260560,4.0,4.0,4.0,4.0,109
1520261760,4.01,4.01,4.01,4.01,71
1520262540,4.0,4.0,4.0,4.0,13
1520262600,4.0,4.0,4.0,4.0,3
1520262900,4.02,4.02,4.02,4.02,1
1520320020,3.93,3.93,3.93,3.93,1
1520411460,4.0,4.0,4.0,4.0,3
1520418600,4.0,4.0,4.0,4.0,13
1520424540,4.0,4.0,4.0,4.0,2
1520429820,4.0,4.0,4.0,4.0,2
1520431560,4.0,4.0,4.0,4.0,4
1520435640,4.01,4.01,4.01,4.01,12
1520933100,3.95,3.95,3.95,3.95,2
1520935080,3.95,3.95,3.95,3.95,1
1520948760,4.05,4.05,4.05,4.05,3
1521011520,4.0,4.02,4.02,4.0,2
1521025200,3.98,3.98,3.98,3.98,13
1521037080,4.03,4.03,4.03,4.03,2
1521100200,4.03,4.03,4.03,4.03,4
1521194040,4.0,4.0,4.0,4.0,11
1521210000,4.0,4.0,4.0,4.0,4
1521214440,4.0,4.0,4.0,4.0,5
1521460200,4.0,4.0,4.0,4.0,12
1521530040,4.0,4.0,4.0,4.0,20
1521530100,4.0,4.0,4.0,4.0,5
1521530280,4.0,4.0,4.0,4.0,5
1521530400,4.0,4.0,4.0,4.0,4
1521621540,4.05,4.05,4.05,4.05,1
1521624180,4.07,4.07,4.07,4.07,4
1521645660,4.1,4.07,4.1,4.07,5
1521732000,4.05,4.05,4.05,4.05,2
1521732420,4.05,4.05,4.05,4.05,1
1521733740,4.05,4.05,4.05,4.05,4
1522154460,4.0,4.0,4.0,4.0,1
1522236000,3.8,4.0,4.0,3.8,36
1522240200,3.98,3.97,3.98,3.97,5
1522412700,4.02,4.02,4.02,4.02,1
1522667880,4.01,4.01,4.01,4.01,1
1522669440,3.95,3.98,3.98,3.95,3
1522739100,4.02,4.02,4.02,4.02,1
1522739160,4.03,4.03,4.03,4.03,1
1522741380,4.06,4.06,4.06,4.06,1
1522741440,4.05,4.05,4.05,4.05,2
1522741560,4.05,4.05,4.05,4.05,1
1522742880,4.05,4.05,4.05,4.05,1
1522854780,3.98,3.98,3.98,3.98,2
1522936080,3.9,3.97,3.97,3.9,7
1523021280,3.99,3.99,3.99,3.99,1
1523022720,4.0,4.0,4.0,4.0,1
1523275800,3.91,3.91,3.91,3.91,3
1523275980,3.87,3.87,3.87,3.87,1
