time,close,open,high,low,volume
1516353780,30.0,30.0,30.0,30.0,1
1520321160,25.0,25.0,25.0,25.0,1
1521530640,20.2,38.0,39.5,20.2,22
1521531000,25.0,30.0,30.0,25.0,16
1521797160,34.5,32.0,34.5,32.0,10
1521800520,29.0,29.0,29.0,29.0,1
1522922220,25.6,25.6,25.6,25.6,1
1523455620,21.5,22.0,22.0,21.5,3
1523456280,27.0,26.8,27.0,26.8,4
1523457540,27.0,26.9,27.0,26.9,3
1523546700,28.0,31.0,31.0,28.0,577
1523547540,31.0,29.0,31.0,29.0,103
1523547900,31.0,31.0,31.0,31.0,1
1523608620,27.0,28.1,28.1,27.0,12
1523608980,30.0,30.0,30.0,30.0,1
1523614080,31.0,30.9,31.0,30.9,263
1524753960,28.1,28.1,28.1,28.1,1
1524754260,29.0,29.0,29.0,29.0,1
1526302200,35.0,35.0,35.0,35.0,5
1526302440,33.0,30.0,33.0,30.0,3
1529585700,25.3,25.4,25.4,25.3,50
1529585760,26.0,26.0,26.0,26.0,1
1529586060,26.1,26.1,26.1,26.1,2
1529586300,26.2,26.2,26.2,26.2,1
1529586780,26.3,26.3,26.3,26.3,2
1529587020,26.5,26.4,26.5,26.4,2
1529587080,26.5,26.5,26.5,26.5,1
1529587320,26.5,26.5,26.5,26.5,2
1529587380,26.5,26.5,26.5,26.5,3
1529588100,26.6,26.6,26.6,26.6,1
1529588340,26.5,26.5,26.5,26.5,1
1529588520,26.5,26.5,26.5,26.5,1
1529588580,26.5,26.5,26.5,26.5,29
1529591820,27.0,27.2,27.2,27.0,2
1529651100,29.8,29.8,29.8,29.8,1
1529651160,29.9,28.0,29.9,28.0,3
1529659680,28.0,25.7,28.0,25.4,5
1529660160,27.0,27.0,27.0,27.0,1
1529661300,26.0,26.0,26.0,26.0,1
1529673960,28.5,28.5,28.5,28.5,1
1529681580,27.0,27.0,27.0,27.0,1
1529939760,29.4,29.4,29.4,29.4,1
1530615540,27.0,27.0,27.0,27.0,1
1530883320,28.5,28.5,28.5,28.5,1
1531917720,26.0,25.4,26.0,25.0,10
1531926660,26.0,26.0,26.0,26.0,3
1531983900,23.2,25.1,25.1,23.2,15
1531995180,24.2,25.0,25.0,24.2,6
1532006520,29.0,29.0,29.0,29.0,1
1532006580,25.0,25.0,25.0,25.0,1
1532006760,25.5,25.5,25.5,25.5,1
1532359680,24.7,24.7,24.7,24.7,1
1533035880,26.8,26.8,26.8,26.8,1
1533122040,24.5,24.5,24.5,24.5,2
1534852080,24.5,24.5,24.5,24.5,1
1535021220,24.0,24.0,24.0,24.0,5
1535021280,24.0,24.0,24.0,24.0,571
1535121360,23.5,23.5,23.5,23.5,1
1535461920,25.0,24.5,25.0,24.5,2
1536232980,23.0,23.0,23.0,23.0,1
1536240480,26.0,24.0,26.0,24.0,4
1537351320,23.0,23.5,23.5,23.0,9
1537879380,29.0,27.0,29.0,27.0,5
1537879860,24.5,24.5,24.5,24.5,1
1537879980,25.0,25.0,25.0,25.0,1
1538032080,26.0,26.0,26.0,26.0,1
1538061960,26.0,26.0,26.0,26.0,1
1538148600,23.5,23.5,23.5,23.5,1
1538148660,25.0,25.0,25.0,25.0,1
1539944820,23.5,23.0,24.5,21.0,14
1539961140,24.0,24.0,24.0,24.0,1
1539961620,24.0,24.0,24.0,24.0,1
1540386540,20.0,22.0,22.0,20.0,20
1540386960,23.0,23.0,23.0,23.0,1
1540389300,23.0,23.0,23.0,23.0,2
1540389360,22.0,21.5,22.0,21.5,2
1540389480,22.0,22.0,22.0,22.0,1
1540393500,22.5,23.0,23.0,22.5,2
1541075280,26.0,26.0,26.0,26.0,1
1542024840,25.0,25.0,25.0,25.0,1
1542026700,23.5,23.0,23.5,23.0,2
1542032820,23.5,23.5,23.5,23.5,1
1542033420,23.5,23.5,23.5,23.5,1
1542035700,24.0,24.0,24.0,24.0,1
1542628380,23.5,20.5,23.5,20.5,2
1542629340,23.0,23.0,23.0,23.0,1
1542975120,23.0,23.0,23.0,23.0,1
1543389240,18.0,18.0,18.0,18.0,1
1543389840,21.0,21.0,21.0,21.0,1
1544708400,25.0,25.0,25.0,25.0,1
1544710500,23.5,23.5,23.5,23.5,1
1544712540,23.5,23.5,23.5,23.5,1
1544787300,19.5,19.5,19.5,19.5,3
1544787840,22.0,22.0,22.0,22.0,1
1545203640,28.0,28.0,28.0,28.0,38
1545203700,24.0,24.0,24.0,24.0,1
1545231120,23.5,23.5,23.5,23.5,1
1546073400,23.5,23.5,23.5,23.5,4
1546081980,23.5,23.5,23.5,23.5,1
1546085640,24.0,24.0,24.0,24.0,8
1546087080,24.0,24.0,24.0,24.0,1
1546091700,24.0,24.0,24.0,24.0,1
