time,close,open,high,low,volume
1707293340,275.0,275.0,275.0,275.0,93732
1707293400,288.55,275.0,289.0,270.0,278741
1707293460,294.15,288.95,300.0,288.05,267481
1707293520,296.8,294.8,298.0,290.0,189707
1707293580,307.55,296.8,309.0,296.45,230570
1707293640,300.0,307.05,317.0,299.0,306238
1707293700,292.5,300.6,302.5,290.0,157862
1707293760,296.65,292.5,298.0,292.0,92869
1707293820,292.6,296.25,296.65,291.25,69120
1707293880,297.45,293.4,298.75,292.0,99577
1707293940,296.0,297.35,299.0,295.0,73258
1707294000,295.55,296.0,297.4,295.5,34684
1707294060,290.05,295.75,295.95,290.0,76688
1707294120,286.0,290.0,290.05,285.3,99314
1707294180,289.2,286.65,289.8,285.85,57106
1707294240,291.15,289.2,295.0,287.55,100048
1707294300,290.05,291.2,293.0,289.2,43810
1707294360,290.25,290.25,292.05,289.25,53512
1707294420,288.0,290.3,290.5,288.0,25217
1707294480,290.45,288.25,290.8,288.0,25973
1707294540,289.1,290.3,290.6,288.3,22246
1707294600,289.7,289.25,290.6,288.65,40443
1707294660,290.5,290.0,291.0,289.45,38534
1707294720,291.1,290.35,291.5,289.65,41681
1707294780,291.75,291.05,291.95,290.5,22429
1707294840,293.5,291.85,293.95,291.25,57974
1707294900,291.65,293.5,294.0,291.55,33471
1707294960,291.1,291.75,292.2,290.2,28161
1707295020,289.95,291.1,291.2,288.3,82619
1707295080,289.8,289.9,290.0,289.65,27414
1707295140,289.75,289.8,290.0,289.5,37119
1707295200,289.05,289.9,289.9,288.75,18793
1707295260,288.5,289.0,289.0,288.0,28885
1707295320,288.95,288.65,289.0,288.35,19460
1707295380,288.8,288.9,289.0,288.6,13773
1707295440,288.2,288.8,288.8,288.15,9283
1707295500,288.5,288.2,288.5,288.0,19099
1707295560,288.15,288.55,288.75,288.15,9276
1707295620,288.45,288.3,288.8,288.0,18169
1707295680,288.45,288.65,289.0,288.05,26435
1707295740,288.5,288.7,289.0,288.4,13774
1707295800,288.2,288.6,288.85,288.1,13490
1707295860,288.1,288.15,288.55,287.05,61997
1707295920,285.45,288.05,288.1,285.45,33211
1707295980,281.9,285.45,285.5,280.8,132016
