time,close,open,high,low,volume
1707836040,6300.0,6300.0,6300.0,6300.0,65151
1707836100,6300.0,6300.0,6300.0,6300.0,5360
1707836160,6300.0,6300.0,6300.0,6300.0,3311
1707836220,6300.0,6300.0,6300.0,6300.0,4364
1707836280,6300.0,6300.0,6300.0,6300.0,2033
1707836340,6300.0,6300.0,6300.0,6300.0,3575
1707836400,6300.0,6300.0,6300.0,6300.0,2569
1707836460,6300.0,6300.0,6300.0,6300.0,1844
1707836520,6300.0,6300.0,6300.0,6300.0,2948
1707836580,6300.0,6300.0,6300.0,6300.0,1585
1707836640,6300.0,6300.0,6300.0,6300.0,1334
1707836700,6300.0,6300.0,6300.0,6300.0,1247
1707836760,6300.0,6300.0,6300.0,6300.0,901
1707836820,6300.0,6300.0,6300.0,6300.0,1070
1707836880,6300.0,6300.0,6300.0,6300.0,735
1707836940,6300.0,6300.0,6300.0,6300.0,1178
1707837000,6300.0,6300.0,6300.0,6300.0,934
1707837060,6300.0,6300.0,6300.0,6300.0,626
1707837120,6300.0,6300.0,6300.0,6300.0,1071
1707837180,6300.0,6300.0,6300.0,6300.0,855
1707837240,6300.0,6300.0,6300.0,6300.0,915
1707837300,6300.0,6300.0,6300.0,6300.0,2786
1707837360,6300.0,6300.0,6300.0,6300.0,10356
1707837420,6300.0,6300.0,6300.0,6300.0,674
1707837480,6300.0,6300.0,6300.0,6300.0,1705
1707837540,6300.0,6300.0,6300.0,6300.0,534
1707837600,6300.0,6300.0,6300.0,6300.0,726
1707837660,6300.0,6300.0,6300.0,6300.0,418
1707837720,6300.0,6300.0,6300.0,6300.0,4197
1707837780,6300.0,6300.0,6300.0,6300.0,380
1707837840,6300.0,6300.0,6300.0,6300.0,1112
1707837900,6300.0,6300.0,6300.0,6300.0,584
1707837960,6300.0,6300.0,6300.0,6300.0,1036
1707838020,6300.0,6300.0,6300.0,6300.0,471
1707838080,6300.0,6300.0,6300.0,6300.0,312
1707838140,6300.0,6300.0,6300.0,6300.0,330
1707838200,6300.0,6300.0,6300.0,6300.0,922
1707838260,6300.0,6300.0,6300.0,6300.0,1342
1707838320,6300.0,6300.0,6300.0,6300.0,435
1707838380,6300.0,6300.0,6300.0,6300.0,401
1707838440,6300.0,6300.0,6300.0,6300.0,2946
1707838500,6300.0,6300.0,6300.0,6300.0,196
1707838560,6300.0,6300.0,6300.0,6300.0,319
1707838620,6300.0,6300.0,6300.0,6300.0,312
1707838680,6300.0,6300.0,6300.0,6300.0,2379
1707838740,6300.0,6300.0,6300.0,6300.0,1749
1707839280,6300.0,6300.0,6300.0,6300.0,1787
1707839340,6300.0,6300.0,6300.0,6300.0,47
1707893940,6930.0,6930.0,6930.0,6930.0,54911
1707894000,6362.0,7300.0,7332.5,6300.0,173424
1707894060,6450.0,6362.0,6459.5,6320.0,41330
1707894120,6375.5,6446.0,6548.0,6360.0,37430
1707894180,6020.5,6375.5,6430.5,6020.0,52369
1707894240,5910.0,6020.5,6034.5,5746.5,42988
1707894300,5810.5,5910.0,6030.0,5726.5,29919
1707894360,5929.5,5810.5,5970.0,5800.0,13247
1707894420,6012.0,5929.5,6029.5,5922.5,18849
1707894480,6079.0,6012.0,6089.5,5950.0,12266
1707894540,6032.0,6069.0,6083.5,6000.0,13147
1707894600,6000.5,6036.0,6038.0,5964.5,11828
