time,close,open,high,low,volume
1514983380,2230,2230,2230,2230,4
1515062100,2240,2240,2240,2240,7
1515062160,2240,2240,2240,2240,1
1515066540,2250,2250,2250,2250,10
1515136080,2260,2260,2260,2260,41
1515486840,2270,2270,2270,2270,1
1515502560,2280,2280,2280,2280,2
1515502620,2270,2270,2270,2270,1
1515572940,2270,2270,2270,2270,1
1515577080,2290,2290,2290,2290,1
1515668760,2300,2300,2300,2300,3
1515680460,2350,2350,2350,2350,6
1515681000,2360,2340,2360,2340,4
1515681300,2400,2370,2400,2370,18
1515684240,2380,2380,2380,2380,2
1515746640,2420,2420,2420,2420,35
1515747360,2420,2420,2420,2420,1
1515755220,2400,2400,2400,2400,1
1515755280,2440,2440,2440,2440,4
1515756240,2460,2440,2460,2440,73
1515771360,2470,2470,2470,2470,13
1515771420,2480,2480,2480,2480,5
1515772080,2490,2490,2490,2490,5
1516019160,2470,2470,2470,2470,4
1516020660,2470,2470,2470,2470,1
1516024200,2470,2470,2470,2470,1
1516026000,2450,2470,2470,2450,4
1516095480,2450,2450,2450,2450,2
1516095540,2450,2450,2450,2450,1
1516172580,2440,2440,2440,2440,1
1516172640,2440,2440,2440,2440,1
1516173240,2440,2440,2440,2440,1
1516174200,2440,2440,2440,2440,2
1516174260,2430,2430,2430,2430,1
1516178880,2450,2450,2450,2450,1
1516180440,2450,2450,2450,2450,19
1516186440,2450,2450,2450,2450,30
1516259100,2430,2430,2430,2430,1
1516259640,2420,2420,2420,2420,1
1516259940,2420,2420,2420,2420,2
1516260000,2420,2420,2420,2420,1
1516260060,2420,2420,2420,2420,1
1516273740,2450,2450,2450,2450,21
1516363500,2400,2420,2420,2400,4
1516366080,2410,2410,2410,2410,1
1516605420,2400,2410,2410,2400,3
1516606980,2380,2410,2410,2380,11
1516607280,2410,2410,2410,2410,1
1516632120,2450,2440,2450,2440,39
1516701360,2450,2440,2450,2440,13
1516711560,2450,2450,2450,2450,2
1516715100,2450,2450,2450,2450,1
1516716840,2460,2460,2460,2460,4
1516785660,2420,2430,2430,2420,3
1516786320,2420,2420,2420,2420,2
1516790280,2480,2440,2480,2440,24
1516798620,2450,2450,2450,2450,3
1516864020,2480,2440,2480,2360,12
1516867980,2500,2480,2500,2480,20
1516868280,2500,2500,2500,2500,1
1516950900,2960,2500,2960,2500,14
1516950960,3260,2510,3260,2510,5
