time,close,open,high,low,volume
1515054360,5.45,5.6,5.6,5.45,3
1515060420,5.5,5.5,5.5,5.5,1
1515065580,5.51,5.51,5.51,5.51,2
1515065880,5.5,5.5,5.5,5.5,3
1515069360,5.5,5.5,5.5,5.5,4
1515069660,5.52,5.52,5.52,5.52,1
1515077820,5.51,5.51,5.51,5.51,1
1515077940,5.51,5.51,5.51,5.51,2
1515156960,5.51,5.51,5.51,5.51,2
1515157020,5.5,5.5,5.5,5.5,13
1515164700,5.64,5.63,5.64,5.63,2
1515164820,5.55,5.55,5.55,5.55,6
1515481800,5.54,5.54,5.54,5.54,1
1515484020,5.46,5.5,5.5,5.46,39
1515485580,5.45,5.45,5.45,5.45,7
1515485640,5.44,5.44,5.44,5.44,1
1515486600,5.51,5.51,5.51,5.51,1
1515486960,5.45,5.45,5.45,5.45,12
1515487020,5.44,5.44,5.44,5.44,8
1515487740,5.44,5.45,5.45,5.44,3
1515487860,5.51,5.51,5.51,5.51,1
1515488520,5.52,5.52,5.52,5.52,5
1515489420,5.54,5.54,5.54,5.54,1
1515489960,5.54,5.54,5.54,5.54,1
1515490320,5.5,5.5,5.5,5.5,1
1515493200,5.52,5.52,5.52,5.52,1
1515493320,5.43,5.45,5.45,5.43,4
1515493380,5.42,5.44,5.44,5.42,3
1515493440,5.4,5.43,5.43,5.4,16
1515495720,5.5,5.5,5.5,5.5,1
1515496140,5.41,5.42,5.42,5.41,20
1515496560,5.48,5.48,5.48,5.48,1
1515496620,5.4,5.4,5.4,5.4,5
1515496740,5.36,5.39,5.39,5.36,6
1515497280,5.48,5.48,5.48,5.48,1
1515497820,5.41,5.41,5.41,5.41,1
1515498600,5.47,5.47,5.47,5.47,1
1515499080,5.49,5.49,5.49,5.49,2
1515499260,5.53,5.53,5.53,5.53,1
1515500820,5.5,5.53,5.53,5.5,2
1515501840,5.48,5.5,5.5,5.48,5
1515503040,5.41,5.45,5.45,5.41,4
1515503160,5.35,5.42,5.42,5.35,8
1515504240,5.39,5.39,5.39,5.39,1
1515505140,5.43,5.43,5.43,5.43,1
1515505200,5.49,5.43,5.49,5.43,6
1515505560,5.54,5.53,5.54,5.53,5
1515506100,5.53,5.53,5.53,5.53,4
1515507120,5.4,5.57,5.57,5.4,27
1515507180,5.4,5.4,5.4,5.4,1
1515507420,5.41,5.4,5.41,5.4,13
1515507780,5.41,5.41,5.41,5.41,1
1515508020,5.4,5.4,5.4,5.4,1
1515509100,5.46,5.46,5.46,5.46,1
1515509580,5.45,5.45,5.45,5.45,1
1515510120,5.47,5.47,5.47,5.47,1
1515510360,5.48,5.48,5.48,5.48,1
1515510540,5.48,5.48,5.48,5.48,2
1515510660,5.48,5.48,5.48,5.48,2
1515510840,5.51,5.51,5.51,5.51,1
1515510900,5.54,5.54,5.54,5.54,2
1515510960,5.55,5.55,5.55,5.55,1
1515511020,5.5,5.5,5.5,5.5,1
1515511380,5.4,5.46,5.46,5.4,9
1515512700,5.42,5.42,5.42,5.42,2
1515567840,5.59,5.41,5.59,5.4,4
1515567900,5.4,5.41,5.41,5.4,6
1515568140,5.35,5.38,5.38,5.35,15
1515568200,5.58,5.58,5.58,5.58,1
1515568560,5.52,5.52,5.52,5.52,1
1515579120,5.45,5.45,5.45,5.45,1
1515581040,5.43,5.43,5.43,5.43,5
1515581100,5.46,5.45,5.46,5.45,2
1515586800,5.46,5.46,5.46,5.46,1
1515593040,5.54,5.44,5.54,5.44,10
1515593100,5.57,5.57,5.57,5.57,2
1515661200,5.57,5.56,5.57,5.56,2
1515674400,5.57,5.57,5.57,5.57,2
1515675180,5.6,5.6,5.6,5.6,1
1515679860,5.6,5.6,5.6,5.6,2
1515680100,5.6,5.6,5.6,5.6,2
1515680280,5.6,5.6,5.6,5.6,3
1515680940,5.6,5.6,5.6,5.6,1
1515745380,5.6,5.6,5.6,5.6,3
1515767220,5.53,5.55,5.55,5.53,2
1515767280,5.53,5.53,5.53,5.53,1
1515767340,5.53,5.53,5.53,5.53,1
1515767460,5.52,5.52,5.52,5.52,2
1515768120,5.53,5.53,5.53,5.53,1
1515768180,5.53,5.53,5.53,5.53,1
1515768660,5.53,5.53,5.53,5.53,1
1515768780,5.53,5.53,5.53,5.53,1
1515770100,5.54,5.54,5.54,5.54,2
1515770160,5.54,5.54,5.54,5.54,1
1515771300,5.54,5.54,5.54,5.54,1
1516000260,5.65,5.64,5.65,5.64,4
1516000380,5.65,5.65,5.65,5.65,1
1516000560,5.7,5.7,5.7,5.7,6
1516000680,5.65,5.65,5.65,5.65,10
1516000980,5.7,5.66,5.7,5.66,7
1516001700,5.66,5.66,5.66,5.66,1
1516002180,5.66,5.66,5.66,5.66,2
1516003380,5.7,5.7,5.7,5.7,1
1516004460,5.7,5.7,5.7,5.7,1
1516005420,5.65,5.65,5.65,5.65,7
1516008300,5.65,5.65,5.65,5.65,3
1516018320,5.64,5.62,5.64,5.62,4
1516019820,5.65,5.65,5.65,5.65,1
1516020120,5.66,5.66,5.66,5.66,1
1516020180,5.67,5.67,5.67,5.67,1
1516029180,5.67,5.67,5.67,5.67,1
1516088220,5.58,5.58,5.58,5.58,1
1516103760,5.67,5.67,5.67,5.67,1
1516106700,5.61,5.62,5.62,5.61,11
1516114980,5.58,5.58,5.58,5.58,1
1516115100,5.57,5.57,5.57,5.57,1
1516117500,5.63,5.63,5.63,5.63,1
1516172760,5.56,5.56,5.56,5.56,2
1516173240,5.56,5.56,5.56,5.56,1
1516176780,5.55,5.55,5.55,5.55,2
1516176840,5.55,5.55,5.55,5.55,1
1516183800,5.52,5.52,5.52,5.52,2
1516183920,5.59,5.59,5.59,5.59,1
1516191000,5.52,5.52,5.52,5.52,1
1516196040,5.59,5.59,5.59,5.59,2
1516196280,5.61,5.59,5.61,5.59,10
1516196700,5.6,5.6,5.6,5.6,1
1516202760,5.61,5.61,5.61,5.61,3
1516261440,5.6,5.6,5.6,5.6,1
1516268160,5.58,5.58,5.58,5.58,1
1516268340,5.54,5.54,5.54,5.54,1
1516268760,5.59,5.59,5.59,5.59,1
1516279200,5.54,5.54,5.54,5.54,2
1516279260,5.53,5.59,5.59,5.53,3
1516280580,5.51,5.54,5.54,5.51,7
1516284420,5.59,5.59,5.59,5.59,2
1516284780,5.59,5.59,5.59,5.59,2
1516284840,5.59,5.59,5.59,5.59,2
1516289460,5.6,5.58,5.6,5.58,3
1516345560,5.48,5.51,5.51,5.48,10
1516346100,5.49,5.49,5.49,5.49,1
1516346160,5.48,5.48,5.48,5.48,8
1516354980,5.48,5.5,5.5,5.48,10
1516355460,5.6,5.6,5.6,5.6,1
1516356420,5.48,5.48,5.48,5.48,2
1516358400,5.48,5.48,5.48,5.48,1
1516360320,5.48,5.48,5.48,5.48,3
1516365540,5.6,5.6,5.6,5.6,1
1516605600,5.49,5.5,5.5,5.49,5
1516605660,5.55,5.55,5.55,5.55,2
1516616580,5.63,5.63,5.63,5.63,1
1516617240,5.63,5.63,5.63,5.63,1
1516617960,5.64,5.64,5.64,5.64,1
1516618200,5.64,5.64,5.64,5.64,1
1516629660,5.64,5.64,5.64,5.64,2
1516630080,5.64,5.64,5.64,5.64,1
1516633380,5.7,5.7,5.7,5.7,1
1516635540,5.6,5.6,5.6,5.6,1
1516693620,5.68,5.68,5.68,5.68,2
1516703040,5.56,5.56,5.56,5.56,2
1516712640,5.69,5.69,5.69,5.69,2
1516715700,5.7,5.7,5.7,5.7,1
1516720320,5.7,5.69,5.7,5.69,11
1516779900,5.56,5.56,5.56,5.56,1
1516803480,5.57,5.57,5.57,5.57,1
1516804440,5.7,5.65,5.7,5.65,7
1516808280,5.68,5.68,5.68,5.68,1
1516865340,5.57,5.57,5.57,5.57,1
1516865760,5.58,5.57,5.58,5.57,5
1516866360,5.56,5.56,5.56,5.56,7
1516866420,5.55,5.56,5.56,5.55,8
1516866480,5.56,5.56,5.56,5.56,4
1516867080,5.64,5.64,5.64,5.64,3
1516868820,5.56,5.57,5.57,5.56,3
1516872180,5.74,5.74,5.74,5.74,1
1516885380,5.75,5.75,5.75,5.75,1
1516889580,5.77,5.75,5.77,5.75,4
1516893360,5.66,5.66,5.66,5.66,1
1516893420,5.65,5.65,5.65,5.65,1
1516959120,5.65,5.65,5.65,5.65,2
1516959780,5.65,5.65,5.65,5.65,1
1516966980,5.72,5.72,5.72,5.72,1
1516968960,5.64,5.64,5.64,5.64,2
1516974000,5.64,5.64,5.64,5.64,4
1516976760,5.6,5.61,5.61,5.6,6
1516978800,5.6,5.6,5.6,5.6,2
1516978860,5.63,5.63,5.63,5.63,1
1516978920,5.59,5.59,5.59,5.59,2
1516978980,5.58,5.58,5.58,5.58,4
1516979460,5.55,5.57,5.57,5.55,2
1517211120,5.55,5.56,5.56,5.55,9
1517212020,5.55,5.55,5.55,5.55,5
1517212260,5.5,5.52,5.52,5.5,5
1517212920,5.5,5.51,5.51,5.5,7
1517222040,5.55,5.55,5.55,5.55,9
1517222160,5.55,5.55,5.55,5.55,7
1517230620,5.63,5.63,5.63,5.63,10
1517230680,5.63,5.63,5.63,5.63,7
1517233020,5.64,5.64,5.64,5.64,3
1517234940,5.63,5.63,5.63,5.63,8
1517235780,5.63,5.63,5.63,5.63,2
1517299140,5.7,5.7,5.7,5.7,1
1517299260,5.72,5.72,5.72,5.72,1
1517299560,5.72,5.73,5.73,5.72,2
1517299740,5.72,5.72,5.72,5.72,2
1517310960,5.57,5.57,5.57,5.57,1
1517390340,5.57,5.57,5.57,5.57,1
1517393340,5.69,5.69,5.69,5.69,2
1517394660,5.57,5.57,5.57,5.57,3
1517406960,5.56,5.56,5.56,5.56,1
1517408400,5.66,5.66,5.66,5.66,1
1517469060,5.59,5.59,5.59,5.59,1
1517469120,5.59,5.59,5.59,5.59,3
1517469540,5.56,5.56,5.56,5.56,1
1517469840,5.59,5.59,5.59,5.59,1
1517469900,5.55,5.56,5.56,5.55,6
1517473320,5.59,5.59,5.59,5.59,2
1517478000,5.6,5.6,5.6,5.6,6
1517478600,5.52,5.55,5.55,5.52,17
1517478660,5.51,5.51,5.51,5.51,2
1517478780,5.51,5.51,5.51,5.51,1
1517478900,5.51,5.51,5.51,5.51,5
1517486880,5.58,5.58,5.58,5.58,1
1517491080,5.58,5.58,5.58,5.58,2
1517493120,5.58,5.58,5.58,5.58,10
1517494560,5.53,5.53,5.53,5.53,2
1517497920,5.59,5.59,5.59,5.59,1
1517556960,5.6,5.6,5.6,5.6,8
1517559900,5.6,5.6,5.6,5.6,1
1517568900,5.59,5.59,5.59,5.59,1
1517571360,5.59,5.59,5.59,5.59,3
1517572140,5.6,5.6,5.6,5.6,1
1517585280,5.59,5.59,5.59,5.59,1
1517585760,5.59,5.59,5.59,5.59,1
1517814000,5.74,5.64,5.74,5.64,6
1517814060,5.74,5.74,5.74,5.74,1
1517817420,5.74,5.74,5.74,5.74,7
1517817540,5.8,5.75,5.8,5.75,7
1517818620,5.79,5.79,5.79,5.79,1
1517818800,5.79,5.8,5.8,5.79,14
1517819760,5.75,5.75,5.75,5.75,1
1517819820,5.91,5.81,5.91,5.81,2
1517820660,5.9,5.9,5.9,5.9,3
1517824080,5.77,5.8,5.8,5.77,19
1517824140,5.75,5.77,5.77,5.75,2
1517824380,5.78,5.78,5.78,5.78,1
1517825220,5.75,5.75,5.75,5.75,4
1517829360,5.81,5.81,5.81,5.81,2
1517829420,5.8,5.8,5.8,5.8,4
1517833680,5.67,5.67,5.67,5.67,3
1517838660,5.81,5.81,5.81,5.81,1
1517838780,5.75,5.8,5.8,5.75,3
1517841360,5.78,5.78,5.78,5.78,1
1517842500,5.81,5.81,5.81,5.81,2
1517842740,5.85,5.82,5.85,5.82,10
1517842800,5.88,5.86,5.88,5.86,15
1517843100,5.85,5.85,5.85,5.85,3
1517843400,5.8,5.8,5.8,5.8,1
1517843520,5.8,5.8,5.8,5.8,1
1517844780,5.85,5.85,5.85,5.85,10
1517844840,5.87,5.87,5.87,5.87,3
1517900940,5.6,5.61,5.61,5.6,6
1517901300,5.87,5.87,5.87,5.87,1
1517901360,5.61,5.61,5.61,5.61,4
1517901660,5.75,5.75,5.75,5.75,3
1517903100,5.65,5.67,5.67,5.65,4
1517907660,5.72,5.71,5.72,5.71,2
1517912340,5.62,5.64,5.64,5.62,3
1517913360,5.69,5.69,5.69,5.69,1
1517919900,5.64,5.64,5.64,5.64,4
1517920260,5.67,5.67,5.67,5.67,2
1517925900,5.65,5.65,5.65,5.65,1
1517926800,5.68,5.68,5.68,5.68,1
1517928720,5.68,5.68,5.68,5.68,2
1517929560,5.7,5.7,5.7,5.7,2
1517931000,5.71,5.71,5.71,5.71,1
1517931120,5.71,5.71,5.71,5.71,1
1517931300,5.72,5.72,5.72,5.72,1
1517990340,5.7,5.7,5.7,5.7,1
1517990760,5.74,5.74,5.74,5.74,3
1517993400,5.75,5.75,5.75,5.75,4
1517997540,5.83,5.83,5.83,5.83,1
1517998380,5.83,5.83,5.83,5.83,2
1517999280,5.83,5.83,5.83,5.83,1
1518000240,5.81,5.81,5.81,5.81,1
1518000420,5.81,5.81,5.81,5.81,1
1518002700,5.75,5.76,5.76,5.75,6
1518003180,5.75,5.75,5.75,5.75,4
1518010140,5.8,5.76,5.8,5.76,4
1518011580,5.75,5.75,5.75,5.75,5
1518012780,5.8,5.8,5.8,5.8,4
1518012840,5.81,5.81,5.81,5.81,4
1518015120,5.75,5.76,5.76,5.75,2
1518016740,5.75,5.75,5.75,5.75,1
