time,close,open,high,low,volume
1698930540,675.2,675.2,675.2,675.2,132857
1698930600,706.0,675.6,735.0,675.0,283715
1698930660,659.2,706.0,707.7,658.0,161048
1698930720,674.6,659.2,675.0,651.1,56687
1698930780,655.0,674.5,676.0,655.0,57220
1698930840,668.4,656.6,671.5,655.3,28930
1698930900,670.7,667.6,675.0,667.1,29434
1698930960,672.5,670.1,675.0,668.0,45195
1698931020,674.8,672.0,674.8,669.7,23058
1698931080,664.0,674.6,675.0,664.0,35451
1698931140,667.2,665.6,668.5,663.5,17729
1698931200,667.6,666.8,669.4,665.1,12652
1698931260,663.0,668.9,668.9,663.0,16654
1698931320,657.0,663.5,663.6,656.4,36895
1698931380,656.4,657.0,661.6,653.0,42085
1698931440,660.0,657.6,660.0,652.6,41887
1698931500,659.8,660.0,663.6,658.0,37283
1698931560,659.3,659.8,660.0,656.9,17466
1698931620,651.6,659.3,660.0,651.4,23775
1698931680,656.6,651.8,659.9,651.8,16700
1698931740,652.8,656.7,656.8,652.0,15551
1698931800,653.4,652.8,655.9,652.8,14214
1698931860,656.5,653.3,657.8,653.2,13275
1698931920,652.9,656.4,657.0,651.5,23902
1698931980,653.8,652.7,654.6,652.0,16680
1698932040,658.0,653.8,658.5,653.8,23761
1698932100,656.4,658.1,660.0,654.5,27163
1698932160,657.0,656.4,658.9,655.1,6531
1698932220,655.0,656.5,658.9,653.2,12186
1698932280,657.2,656.0,658.9,654.6,9334
1698932340,657.1,657.6,658.8,655.3,6621
1698932400,657.4,656.2,657.4,655.0,4368
1698932460,655.9,657.0,657.9,655.0,9253
1698932520,654.7,655.8,656.1,654.3,6006
1698932580,653.4,654.4,654.7,652.5,16509
1698932640,652.6,653.3,653.5,652.3,5909
1698932700,652.5,653.0,653.6,650.6,16138
1698932760,657.9,652.4,658.0,651.4,41064
1698932820,658.0,657.9,658.5,653.8,38511
1698932880,656.4,658.0,658.2,655.1,16573
1698932940,658.1,656.7,658.4,656.2,9002
1698933000,653.8,658.0,660.0,652.2,49697
1698933060,649.5,653.8,653.9,642.5,64410
1698933120,649.4,649.0,651.8,648.0,15699
1698933180,646.4,649.4,649.9,644.0,21763
1698933240,645.7,646.4,647.8,644.8,9266
1698933300,641.6,645.1,645.8,636.4,41812
1698933360,638.3,641.6,642.8,638.3,16631
1698933420,636.3,639.4,641.2,636.3,16754
1698933480,635.4,636.3,639.8,635.0,14044
1698933540,635.1,635.4,638.0,633.4,18017
1698933600,637.9,635.1,638.7,633.9,11756
1698933660,636.1,637.2,637.8,635.0,6996
1698933720,634.7,636.2,638.0,633.5,5478
1698933780,626.1,633.7,634.9,624.4,41698
1698933840,633.3,626.4,634.0,623.5,33248
1698933900,626.2,633.0,634.7,625.8,17798
1698933960,629.1,625.8,629.1,625.8,6475
1698934020,627.5,629.1,629.2,626.1,5111
1698934080,626.5,627.5,629.0,626.1,5505
1698934140,626.0,626.1,628.0,624.1,12015
1698934200,626.9,626.8,627.0,625.0,2987
1698934260,629.0,626.9,630.0,626.2,17856
1698934320,627.9,629.0,630.0,626.0,7577
1698934380,629.7,627.8,629.9,626.0,5383
1698934440,625.8,629.8,629.8,625.1,5587
1698934500,617.0,625.8,627.5,617.0,34145
1698934560,621.3,617.0,624.3,617.0,23790
1698934620,621.2,621.4,623.0,620.0,10336
1698934680,622.7,621.3,623.9,621.2,3256
1698934740,622.1,623.0,623.5,621.3,2728
1698934800,619.4,622.7,622.8,617.0,17396
1698934860,623.8,619.4,623.8,617.0,14238
1698934920,624.0,623.8,626.6,621.5,11026
1698934980,625.0,623.8,625.9,623.1,2220
1698935040,627.2,624.6,627.5,620.0,25707
1698935100,629.1,627.1,634.5,625.5,13730
1698935160,630.4,630.6,632.0,629.1,5034
1698935220,630.3,630.0,632.8,629.1,16179
1698935280,631.8,630.6,634.4,630.0,8388
1698935340,634.5,631.6,637.5,631.0,13133
1698935400,635.3,634.5,636.6,632.0,3864
1698935460,633.1,635.3,636.0,633.0,4266
1698935520,636.0,633.1,636.0,633.1,4045
1698935580,636.1,636.0,637.0,635.6,3266
1698935640,637.5,635.9,637.6,635.9,2596
1698935700,639.0,637.5,639.5,637.4,5572
1698935760,638.6,639.0,639.5,637.4,4716
1698935820,641.9,638.4,641.9,638.3,15746
1698935880,643.0,642.0,643.5,640.2,8180
1698935940,642.5,642.8,643.5,641.0,8323
1698936000,642.0,642.4,643.0,640.6,2784
1698936060,635.0,641.5,642.0,631.3,17943
1698936120,637.3,636.0,642.4,635.1,9588
1698936180,638.8,638.3,639.4,637.0,1525
1698936240,637.1,637.9,638.9,637.0,982
1698936300,636.7,638.3,638.5,635.7,3405
1698936360,634.5,636.7,637.3,633.5,5078
1698936420,633.2,634.5,636.8,632.5,1883
1698936480,633.2,633.5,633.9,632.8,699
1698936540,632.9,633.2,633.2,632.0,1191
1698936600,630.4,632.5,633.0,630.3,2382
1698936660,630.9,630.5,632.0,630.3,2344
1698936720,632.9,631.0,632.9,630.9,1061
1698936780,636.2,632.9,636.6,632.9,1954
1698936840,639.4,636.2,639.4,635.9,2402
1698936900,639.9,639.4,639.9,638.2,2540
1698936960,640.0,639.9,640.1,639.5,2044
1698937020,640.1,639.9,640.1,639.5,4014
1698937080,642.4,640.1,642.4,640.0,3732
1698937140,641.6,642.2,642.9,637.9,13346
1698937200,642.6,641.5,643.0,641.0,3727
1698937260,642.0,642.5,642.7,640.8,7122
1698937320,639.1,642.0,642.0,637.0,8565
1698937380,640.0,639.1,641.7,639.1,9456
1698937440,640.8,640.0,640.8,639.0,2959
1698937500,641.8,640.8,641.9,640.4,1788
1698937560,641.9,641.7,642.0,641.6,1839
1698937620,641.9,641.9,642.0,641.7,1891
1698937680,643.5,641.9,643.5,641.6,7271
1698937740,641.5,643.5,643.5,640.1,6688
1698937800,647.5,642.7,647.8,640.0,5800
1698937860,649.4,647.4,649.4,646.9,7171
1698937920,649.0,649.4,649.7,648.7,3574
1698937980,655.1,649.0,655.1,648.7,24307
1698938040,655.0,655.0,657.0,654.9,17774
1698938100,646.5,655.0,656.8,644.4,9577
1698938160,651.3,646.5,652.8,646.5,4752
1698938220,654.6,651.5,655.0,651.3,3087
1698938280,656.1,654.5,656.9,654.0,4024
1698938340,658.5,656.7,658.8,656.0,13120
1698938400,657.5,658.2,658.2,655.0,14154
1698938460,655.5,657.3,657.7,655.0,5648
1698938520,656.0,655.5,656.7,655.5,5928
1698938580,655.9,656.0,656.7,655.5,1570
1698938640,656.8,655.6,657.4,655.4,3420
1698938700,656.6,656.9,657.0,655.6,6117
1698938760,656.1,656.5,656.7,656.0,3089
1698938820,656.4,656.0,656.5,655.4,4706
1698938880,655.8,656.4,656.9,655.8,4287
1698938940,656.7,656.5,656.8,655.8,751
1698939000,656.8,656.7,656.8,656.0,1293
1698939060,658.0,656.7,658.2,656.4,8073
1698939120,658.0,658.0,659.0,656.7,8052
1698939180,659.1,657.9,659.1,657.0,4020
1698939240,656.2,659.1,659.8,655.9,5412
1698939300,647.2,656.2,658.2,645.0,12580
1698939360,650.9,647.2,655.0,642.0,20427
1698939420,657.8,650.7,657.8,649.7,8871
1698939480,662.0,656.6,662.0,656.1,27947
1698939540,666.2,661.2,675.0,658.5,65165
1698939900,670.0,670.0,670.0,670.0,32676
1698939960,670.0,670.0,670.0,670.0,272
1698940020,670.0,670.0,670.0,670.0,79
1698940080,670.0,670.0,670.0,670.0,131
1698940140,670.0,670.0,670.0,670.0,31
1698994740,674.5,674.5,674.5,674.5,11374
1698994800,655.0,674.4,674.4,651.1,24496
1698994860,648.9,656.0,656.0,643.0,15736
1698994920,645.3,648.7,656.5,641.3,20667
1698994980,646.5,645.0,659.2,645.0,7337
1698995040,652.0,647.3,654.9,646.0,7796
1698995100,648.9,651.2,653.1,645.4,5421
1698995160,649.4,649.8,650.0,646.5,2024
1698995220,646.9,649.3,649.6,646.1,1387
1698995280,647.9,646.9,648.0,646.1,1889
1698995340,646.9,647.9,650.0,643.0,7637
1698995400,649.3,646.1,649.9,646.1,1230
1698995460,655.0,649.5,655.0,648.3,6561
1698995520,654.0,654.7,656.0,649.7,2679
1698995580,650.0,654.0,654.0,650.0,1621
1698995640,651.3,650.2,651.8,650.0,1801
1698995700,651.3,651.4,651.5,651.0,611
1698995760,654.9,651.0,655.0,650.6,2289
1698995820,661.0,655.0,662.0,655.0,6619
1698995880,658.6,661.5,665.0,656.8,6036
1698995940,658.5,658.6,659.9,658.4,1209
1698996000,665.0,659.0,665.0,658.5,3880
1698996060,662.0,664.2,667.8,659.4,3144
1698996120,660.3,662.0,663.8,660.0,2568
1698996180,661.9,660.2,663.1,659.8,1726
1698996240,662.0,662.9,662.9,662.0,377
1698996300,661.1,662.0,662.4,660.2,2259
1698996360,661.0,661.0,661.9,660.9,296
1698996420,660.2,660.7,661.4,660.2,376
1698996480,657.3,661.0,661.1,657.0,1606
1698996540,652.5,657.2,661.2,651.0,4482
1698996600,654.2,654.0,654.9,653.3,1313
1698996660,656.7,654.2,657.3,653.9,973
1698996720,657.2,656.4,657.3,655.5,300
1698996780,657.3,657.3,657.4,655.1,1199
1698996840,655.2,657.3,657.4,655.2,1344
1698996900,653.3,655.1,655.8,651.0,1608
1698996960,653.0,653.5,653.6,651.7,506
1698997020,654.5,652.8,654.9,652.6,532
1698997080,653.4,654.4,655.4,653.1,713
1698997140,653.8,653.4,653.9,653.0,778
1698997200,653.3,653.8,654.0,652.5,694
1698997260,653.1,653.4,653.5,652.5,374
1698997320,653.7,653.1,655.0,652.6,543
1698997380,656.9,654.5,656.9,654.5,569
1698997440,657.7,656.9,658.0,656.9,759
1698997500,656.7,657.7,657.8,656.7,899
1698997560,657.2,657.0,657.2,656.7,294
1698997620,656.7,657.0,657.0,655.7,847
1698997680,655.0,656.5,656.5,655.0,621
1698997740,656.0,655.8,656.7,655.4,395
1698997800,656.9,656.0,657.2,655.4,437
1698997860,656.1,656.7,656.7,655.3,539
1698997920,655.0,655.5,656.1,655.0,1891
1698997980,652.3,655.0,655.0,652.0,2442
1698998040,652.5,653.6,653.9,652.3,142
1698998100,652.5,652.5,653.0,652.2,156
1698998160,652.0,652.4,652.5,652.0,467
1698998220,654.0,652.1,656.0,652.0,767
1698998280,656.6,655.9,656.7,655.4,275
1698998340,654.0,655.4,658.4,654.0,1780
1698998400,655.2,656.3,656.3,654.0,476
1698998460,654.0,653.9,655.0,652.0,1703
1698998520,653.8,653.9,654.0,653.0,322
1698998580,655.7,653.8,657.0,651.1,2237
1698998640,654.0,655.6,656.8,653.4,320
1698998700,655.4,654.5,656.8,653.9,390
1698998760,650.0,655.0,655.5,650.0,3936
1698998820,646.8,650.1,652.0,646.0,1981
1698998880,650.0,646.8,652.2,646.1,830
1698998940,652.0,650.6,653.0,650.0,419
1698999000,651.3,651.0,651.8,650.1,57
1698999060,650.8,650.5,651.0,650.0,121
1698999120,650.0,650.1,651.4,650.0,682
1698999180,647.4,650.8,650.9,646.2,1041
1698999240,647.2,646.5,648.0,646.1,536
1698999300,648.0,647.2,648.3,647.0,592
1698999360,649.4,648.0,649.4,647.5,264
1698999420,648.0,649.4,649.4,647.0,485
1698999480,647.1,647.0,648.1,647.0,209
1698999540,648.4,648.0,648.4,646.3,807
1698999600,649.5,648.2,649.5,648.2,465
1698999660,649.2,649.5,650.4,646.4,942
1698999720,650.3,649.2,650.4,648.5,196
1698999780,649.3,650.3,650.3,649.2,139
1698999840,649.5,649.3,649.8,646.9,1207
1698999900,646.4,647.8,649.0,646.4,761
1698999960,646.8,648.0,648.2,646.4,407
1699000020,645.0,646.8,646.8,645.0,6093
1699000080,645.2,645.0,646.0,643.7,3765
1699000140,640.0,645.2,645.2,638.5,7720
1699000200,641.8,640.5,641.9,640.0,1694
1699000260,641.8,641.6,641.9,640.5,863
1699000320,638.5,641.8,641.9,636.5,3007
1699000380,639.6,638.1,639.8,637.9,415
1699000440,636.7,639.2,639.5,632.2,6660
1699000500,635.6,637.9,639.2,633.0,3115
1699000560,637.9,635.6,639.4,635.5,1465
1699000620,640.5,637.9,640.9,637.9,1330
1699000680,643.3,640.9,643.8,640.9,2341
1699000740,642.2,643.6,644.0,642.2,1638
1699000800,640.7,642.6,642.8,640.7,750
1699000860,642.3,641.9,642.4,641.1,326
1699000920,643.8,642.7,643.8,642.5,240
1699000980,643.9,643.8,644.3,643.3,714
1699001040,644.7,643.9,644.8,643.5,435
1699001100,644.0,644.5,644.9,643.9,283
1699001160,644.2,643.9,644.6,643.4,1440
1699001220,644.3,644.2,644.3,643.5,393
1699001280,644.7,644.3,644.9,643.9,939
1699001340,643.9,644.1,644.6,643.9,1181
1699001400,643.6,644.0,644.0,643.5,666
1699001460,644.0,643.6,644.1,643.5,774
1699001520,643.9,644.0,644.0,643.6,202
1699001580,643.8,644.0,644.0,643.8,515
1699001640,642.9,643.6,643.8,642.9,809
1699001700,643.7,643.7,643.8,643.4,289
1699001760,643.0,643.4,643.5,643.0,247
1699001820,643.5,643.7,643.7,643.1,184
1699001880,643.2,643.2,644.0,643.1,876
1699001940,643.5,643.9,644.1,643.2,521
1699002000,643.7,643.7,644.0,643.0,1025
1699002060,643.1,643.0,643.7,643.0,130
1699002120,643.6,643.5,643.7,643.0,41
1699002180,643.0,643.8,643.8,643.0,885
1699002240,643.7,643.0,643.9,643.0,602
1699002300,644.0,643.1,644.7,643.1,877
1699002360,644.3,644.2,644.8,644.0,190
1699002420,644.8,644.3,644.8,644.0,570
1699002480,644.0,644.8,644.8,644.0,543
1699002540,646.7,644.6,646.7,644.1,1310
1699002600,646.6,646.7,646.8,644.0,1484
1699002660,646.4,646.6,646.6,645.0,835
1699002720,646.5,646.0,646.9,645.5,586
1699002780,646.3,646.5,646.5,645.5,147
1699002840,646.4,645.6,646.4,645.4,263
1699002900,647.5,646.4,647.5,644.8,667
1699002960,645.1,647.5,647.5,645.1,1012
1699003020,646.1,645.1,646.4,645.0,496
1699003080,646.9,645.2,646.9,645.2,241
1699003140,646.8,646.7,647.0,646.1,201
1699003200,646.6,646.3,646.6,646.1,75
1699003260,646.5,646.6,646.6,645.6,114
1699003320,645.5,646.5,646.5,645.3,268
1699003380,646.2,646.3,646.4,645.2,960
1699003440,645.4,646.2,646.2,644.7,949
1699003500,644.1,645.2,645.6,644.1,296
1699003560,644.1,644.1,645.1,644.0,236
1699003620,644.8,644.9,645.1,644.0,158
1699003680,644.4,644.8,644.8,644.4,140
1699003740,644.1,644.8,645.1,644.1,141
1699003800,644.9,644.1,644.9,644.1,78
1699003860,645.0,644.2,645.9,644.1,328
1699003920,645.9,645.0,645.9,645.0,34
1699003980,645.8,645.3,645.8,645.3,85
1699004040,645.2,645.3,645.8,645.2,65
1699004100,645.6,645.2,645.7,645.2,197
1699004160,645.6,645.6,645.6,645.2,51
1699004220,645.5,645.6,645.7,645.0,346
1699004280,644.9,645.5,645.6,644.9,38
1699004340,645.6,645.6,645.6,645.1,62
1699004400,645.8,645.1,645.8,645.1,96
1699004460,645.8,645.8,645.8,645.7,41
