time,close,open,high,low,volume
1514977380,705,705,705,705,1
1514978940,720,715,720,715,3
1515141780,695,710,710,695,5
1515154020,710,710,710,710,2
1515154380,700,710,710,700,5
1515489660,700,700,700,700,1
1515490380,695,695,695,695,4
1515490560,685,690,690,685,7
1515495780,695,695,695,695,1
1515502140,700,700,700,700,1
1515507360,705,705,705,705,1
1515510600,705,705,705,705,1
1515579960,685,695,695,685,10
1515580020,685,685,685,685,1
1515586620,695,695,695,695,1
1515596220,700,700,700,700,1
1515680280,695,695,695,695,1
1515755940,695,695,695,695,1
1516014780,690,690,690,690,5
1516086300,700,700,700,700,1
1516088160,680,695,695,680,8
1516092120,695,695,695,695,1
1516095060,695,695,695,695,1
1516095120,695,695,695,695,1
1516098360,700,700,700,700,2
1516110600,690,690,690,690,1
1516188060,685,690,690,685,4
1516196100,695,695,695,695,2
1516196220,695,695,695,695,1
1516200300,710,700,710,700,5
1516200660,690,695,695,690,5
1516203900,700,700,700,700,1
1516269120,705,700,705,700,2
1516275180,705,705,705,705,2
1516286640,695,695,695,695,1
1516289820,700,700,700,700,1
1516290300,705,705,705,705,1
1516346460,700,700,700,700,2
1516346700,700,700,700,700,2
1516350240,685,690,690,685,7
1516350780,685,685,685,685,1
1516355100,695,695,695,695,1
1516355460,700,700,700,700,1
1516361700,695,695,695,695,14
1516375860,700,700,700,700,15
1516619640,700,700,700,700,1
1516620420,690,690,690,690,6
1516625520,700,700,700,700,2
1516702140,700,700,700,700,2
1516786320,695,695,695,695,1
1516799100,700,700,700,700,6
1516799700,695,695,695,695,1
1516803840,700,700,700,700,5
1516804440,700,700,700,700,1
1516871880,700,700,700,700,2
1516885620,695,695,695,695,1
1516891860,700,700,700,700,1
1516951200,700,700,700,700,1
1516952520,695,695,695,695,1
1516979580,700,700,700,700,49
1516980480,700,700,700,700,1
1517211300,690,690,690,690,2
1517219640,640,690,690,580,70
1517219700,675,680,680,675,6
1517219760,675,670,675,670,2
1517220420,650,670,670,650,200
1517231580,675,675,675,675,1
1517232780,675,675,675,675,2
1517240160,680,680,680,680,1
1517299140,690,680,690,680,23
1517305920,690,690,690,690,2
1517312340,680,680,680,680,1
1517312520,695,690,695,690,2
1517316960,695,695,695,695,1
1517471220,680,685,685,680,2
1517483520,690,690,690,690,1
1517483580,690,690,690,690,1
1517483700,690,690,690,690,1
1517491680,680,680,680,680,1
1517498940,690,690,690,690,1
1517555040,680,680,680,680,1
1517558160,690,690,690,690,1
1517570100,685,685,685,685,1
1517574720,680,680,680,680,2
1517574780,675,675,675,675,2
1517580360,675,675,675,675,1
1517824680,680,680,680,680,100
1517825460,685,685,685,685,81
1517827140,685,685,685,685,100
1517842080,695,690,695,690,28
1517842200,695,695,695,695,10
1517901660,685,685,685,685,1
1517907180,690,690,690,690,128
1517911860,690,690,690,690,5
1517912520,680,685,685,680,2
1517915280,675,675,675,675,6
1517925900,670,670,670,670,2
1517927100,665,665,665,665,2
1517928240,665,665,665,665,1
1517930280,680,680,680,680,2
1518003660,690,690,690,690,1
1518008100,685,685,685,685,1
1518012960,685,685,685,685,4
1518018300,690,690,690,690,6
1518173760,700,695,700,695,2
1518438000,695,690,695,690,4
1518522660,700,700,700,700,4
