time,close,open,high,low,volume
1514978040,494,494,494,494,10
1515077640,490,491,491,490,66
1515570240,486,487,487,486,2
1515570480,485,486,486,485,5
1515570540,485,485,485,485,1
1515578460,486,486,486,486,2
1515668940,490,490,490,490,5
1515678180,489,489,489,489,1
1515682680,483,483,483,483,1
1515745980,497,497,497,497,7
1515754500,495,495,495,495,5
1516013100,495,495,495,495,3
1516108260,483,483,483,483,1
1516108860,493,493,493,493,2
1516350300,480,480,480,480,3
1516352220,480,480,480,480,7
1516362360,482,482,482,482,1
1516365240,482,482,482,482,1
1516366800,482,482,482,482,8
1516367820,482,482,482,482,1
1516368120,478,478,478,478,1
1516370520,478,478,478,478,5
1516691460,477,477,477,477,1
1516694280,477,477,477,477,1
1516695600,475,475,475,475,2
1516711320,484,484,484,484,1
1516777320,484,484,484,484,2
1516978560,487,487,487,487,1
1517222160,477,477,477,477,1
1517485560,488,484,488,484,5
1517819460,477,477,477,477,1
1518171840,493,484,493,484,2
1518438000,490,490,490,490,1
1518516720,473,473,473,473,1
1518522420,479,479,479,479,1
1518609300,493,493,493,493,2
1518689040,493,494,494,493,3
1518709080,493,493,493,493,1
1518765300,482,482,482,482,1
1518771660,482,482,482,482,1
1519226400,474,474,474,474,1
1519227360,480,480,480,480,1
1519228080,472,472,472,472,1
1519287060,480,480,480,480,1
1519310760,478,478,478,478,1
1519311000,488,488,488,488,3
1519640640,485,485,485,485,1
1519741380,485,491,491,485,2
1519741680,485,485,485,485,1
1519916700,491,491,491,491,1
1520320140,471,471,471,471,1
1520320380,478,478,478,478,1
1520588400,485,485,485,485,1
1520842320,490,488,490,488,8
1520851560,489,489,489,489,1
1520858460,486,488,488,486,3
1520864820,489,488,489,488,2
1520943600,485,485,485,485,1
1521014880,475,475,475,475,1
1521014940,480,480,480,480,1
1521105060,471,471,471,471,1
1521105180,470,470,470,470,2
1521108780,478,478,478,478,1
1521538680,483,483,483,483,1
1521706980,484,484,484,484,1
1521805200,489,489,489,489,1
1521805440,480,480,480,480,1
1521819900,478,478,478,478,1
1522049100,477,477,477,477,1
1522049700,470,463,470,463,2
1522079100,480,480,480,480,1
1522141920,484,484,484,484,1
1522222920,495,495,495,495,1
1522223520,473,475,475,473,2
1522225140,473,473,473,473,2
1522226940,473,473,473,473,22
1522229280,475,475,475,475,3
1522233900,466,466,466,466,1
1522251360,474,474,474,474,1
1522399740,480,480,480,480,1
1522412700,467,470,470,467,14
1522424100,475,475,475,475,1
1522852020,469,470,470,469,12
1522852500,468,468,468,468,1
1522852860,468,468,468,468,1
1522854720,465,465,465,465,1
1522855620,465,465,465,465,3
1522856700,468,468,468,468,1
1522913640,452,452,452,452,1
1522913760,460,460,460,460,1
1522913940,472,472,472,472,2
1523027760,473,473,473,473,1
1523265540,456,458,458,456,14
1523268420,448,448,448,448,1
1523277780,450,450,450,450,1
1523288880,455,455,455,455,1
1523345640,464,464,464,464,1
1523345880,457,457,457,457,1
1523440200,460,460,460,460,1
1523441760,453,453,453,453,1
1523517060,440,430,440,430,2
1523519340,450,450,450,450,1
1523519400,450,450,450,450,1
1523535120,458,458,458,458,1
1523634300,470,470,470,470,1
1523979900,467,467,467,467,2
1524045180,470,470,470,470,15
1524045240,460,460,460,460,1
1524047160,460,460,460,460,1
1524124860,465,465,465,465,1
1524148140,468,468,468,468,1
1524232500,434,451,451,434,2
1524234000,450,450,450,450,1
1524237660,458,457,458,457,2
1524565800,447,447,447,447,1
1524578520,454,454,454,454,1
1524902040,451,451,451,451,1
1524904080,458,458,458,458,1
1525090260,477,477,477,477,1
1526049720,450,450,450,450,1
1526049780,458,458,458,458,1
1526376000,476,476,476,476,1
1526376660,460,460,460,460,1
1526463480,451,451,451,451,1
1527073560,476,476,476,476,1
1527239640,457,457,457,457,2
1527263280,464,464,464,464,1
1527681600,460,460,460,460,1
1527775380,460,460,460,460,1
1527775740,460,460,460,460,1
1527857040,460,460,460,460,1
1528460220,468,468,468,468,1
1528891500,457,457,457,457,1
1529053440,464,464,464,464,1
1529069940,464,464,464,464,1
1529314860,476,476,476,476,1
1529408340,461,461,461,461,1
1529914980,468,468,468,468,1
1529919300,457,457,457,457,1
1529924040,464,464,464,464,1
1529926800,457,457,457,457,1
1529933100,446,446,446,446,1
1529933700,454,454,454,454,1
1529940540,457,464,464,457,2
1530024000,446,446,446,446,2
1530024480,446,446,446,446,1
1530112980,454,454,454,454,1
1530113160,464,464,464,464,1
1530113760,457,457,457,457,1
1530187800,456,456,456,456,1
1530526980,450,450,450,450,1
1530533820,455,455,455,455,1
1530632280,458,458,458,458,1
1530692700,451,451,451,451,1
1530703860,441,441,441,441,1
1530783420,442,443,443,442,2
1531236960,449,449,449,449,1
1531237080,457,457,457,457,1
1531317780,442,443,443,442,2
1531392120,440,438,440,438,5
1531393980,437,437,437,437,1
1531395960,444,444,444,444,1
1531407420,444,444,444,444,1
1531476240,448,448,448,448,1
1532100540,442,442,442,442,1
1532600280,449,449,449,449,1
1532695980,443,443,443,443,1
1533029160,449,449,449,449,1
1533039960,455,455,455,455,12
1533131040,456,456,456,456,1
1533639000,442,442,442,442,1
1533656880,448,448,448,448,1
1534146420,468,464,478,450,23
1534146480,470,470,470,470,2
1534147920,462,462,462,462,1
1534148400,454,454,454,454,1
1534148460,452,460,460,452,2
1534148520,452,446,452,446,3
1534148580,452,452,452,452,1
1534156920,458,458,458,458,1
1534338600,450,450,450,450,1
1534342800,450,450,450,450,1
1534837980,446,446,446,446,2
1534838520,444,444,444,444,10
1535444460,444,444,444,444,1
1535549520,444,444,444,444,1
1535556360,444,444,444,444,1
1535725800,442,442,442,442,1
1535958600,448,448,448,448,1
1536133020,460,458,460,458,2
1536578820,452,452,452,452,1
1536655740,424,424,424,424,1
1536841740,442,442,442,442,1
1536844680,440,440,440,440,1
1536912300,446,446,446,446,2
1536912420,448,448,448,448,1
1537366800,454,452,454,452,13
1537457040,462,462,462,462,1
1537955160,476,476,476,476,1
1537955280,460,460,460,460,2
1537955580,468,468,468,468,1
1537969980,464,464,464,464,2
1538735640,470,476,480,470,3
1538735700,480,480,480,480,1
1538736360,468,468,468,468,1
1538736540,462,462,462,462,1
1538741280,454,456,456,454,2
1538742180,462,462,462,462,1
1539004380,430,456,456,430,3
1539156900,464,464,464,464,1
1539241200,470,470,470,470,1
1539247740,462,462,462,462,1
1539268260,484,468,484,468,21
1539268320,464,464,464,464,1
1539612900,460,450,460,450,3
1539616380,454,454,454,454,2
1539685320,450,450,450,450,1
1539690840,456,456,456,456,1
1540282740,432,452,452,432,15
1540282800,450,450,450,450,1
1540545180,458,458,458,458,1
1541584260,450,450,450,450,1
1541585340,456,456,456,456,1
1541585400,460,474,474,460,3
1541600580,456,456,456,456,1
1541602560,456,456,456,456,2
1541759460,448,448,448,448,1
1541759520,450,450,450,450,1
1541767620,448,448,448,448,1
1541770320,442,442,442,420,35
1541770380,436,440,440,436,2
1541770500,434,430,434,430,2
1541776080,430,430,430,430,1
1541776260,430,430,430,430,1
1542010380,428,428,428,428,1
1542012360,442,432,442,432,11
1542016020,430,430,430,430,1
1542037020,438,438,438,438,1
1542272400,438,438,438,438,1
1542973800,428,428,428,428,1
1542987000,434,434,434,434,1
1543224240,428,428,428,428,1
1543228740,434,432,434,432,2
1543491120,420,426,426,420,4
1543491180,420,420,420,420,1
1543492200,430,426,432,426,4
1543504920,430,430,430,430,1
1543827420,426,426,426,426,1
1543829880,422,422,422,422,1
1543835760,446,428,446,428,6
1543846200,446,446,446,446,1
1543849860,452,452,452,452,1
1544598180,446,446,446,446,1
1544605080,442,442,442,442,1
1544684520,434,434,434,434,1
1544685240,432,432,432,432,1
1544685360,432,438,438,432,3
1544685420,432,432,432,432,1
1544775300,432,432,432,432,1
1544775960,438,438,438,438,1
1545035580,440,440,440,440,1
1545653760,450,450,450,450,1
1545655200,444,444,444,444,1
1545662400,440,440,440,440,1
1545732780,436,436,436,436,1
1545837300,430,422,430,422,2
1545895860,442,442,442,442,1
1545905100,436,436,436,436,1
1546007640,434,434,434,434,1
1547555220,430,430,430,430,1
1547721900,436,436,436,436,1
1547797740,430,430,430,430,2
1547798700,428,428,428,428,1
1547798820,428,428,428,428,1
1547803920,428,428,428,428,1
1547805240,430,430,430,430,1
1547808000,434,434,434,434,1
1548071940,434,434,434,434,2
1548317640,438,438,438,438,1
1548400740,438,438,438,438,1
1548757140,446,446,446,446,1
1548759240,440,440,440,440,1
1548839820,440,440,440,440,1
1548924240,448,448,448,448,2
1548924900,446,446,446,446,1
1548927780,438,438,438,438,1
1549007400,444,444,444,444,1
1549019760,448,448,448,448,1
1549021980,472,454,472,454,8
1549022040,488,474,488,474,7
1549022100,516,494,516,490,10
1549022160,500,500,500,500,1
1549022220,500,500,500,500,1
1549022280,506,502,506,502,3
1549022340,526,526,526,526,1
1549022400,518,518,518,518,1
1549022460,518,518,518,518,1
1549022580,528,518,528,518,5
1549022640,494,524,524,494,5
1549022700,532,524,546,524,11
1549022760,560,538,560,538,11
1549022820,558,560,560,550,4
1549022880,570,566,570,566,10
1549022940,572,572,572,572,1
1549023000,572,572,572,560,6
1549023120,560,560,572,560,14
1549023180,598,560,614,560,39
1549023240,596,600,602,596,8
1549023300,604,590,604,582,8
1549023360,606,602,614,602,20
1549023420,612,606,614,606,10
1549023480,614,612,614,612,19
1549023540,614,614,614,614,12
1549023600,614,614,614,614,17
1549023720,614,614,614,614,1
1549023780,614,614,614,614,3
1549023900,614,614,614,614,1
1549024020,612,612,612,612,2
1549024200,614,614,614,614,1
1549024320,614,614,614,614,17
1549024500,614,614,614,614,2
1549024920,614,614,614,614,1
1549026480,614,614,614,614,10
1549026720,614,614,614,614,1
1549031820,614,614,614,614,5
1549031940,614,614,614,614,1
1549032600,614,614,614,614,3
1549263540,644,644,644,644,19
1549263600,736,672,736,644,31
1549263660,770,734,770,716,15
1549263720,770,768,770,768,8
1549263780,738,750,770,738,17
1549263840,680,722,722,680,26
1549263900,708,696,708,696,6
1549263960,730,708,730,700,9
1549264020,730,732,732,730,8
1549264080,766,724,766,724,13
1549264140,742,766,792,742,13
1549264200,734,734,734,734,3
1549264320,786,750,786,750,5
1549264380,740,786,786,740,4
1549264440,792,756,792,756,9
1549264500,790,790,790,790,1
1549264560,780,780,780,780,6
1549264620,780,780,780,780,1
1549264680,780,780,780,780,3
1549264740,790,760,790,760,11
1549264800,814,790,856,790,17
1549264860,836,830,836,790,10
1549264920,814,848,850,814,8
1549264980,842,842,842,842,1
1549265040,848,818,848,818,5
1549265100,846,820,846,804,8
1549265160,846,846,846,844,3
1549265220,846,846,846,846,1
1549265280,850,844,850,844,2
1549265340,850,850,850,850,25
1549265400,850,850,856,850,27
1549265460,858,856,858,856,49
1549265520,858,856,858,856,7
1549265580,858,858,858,858,2
1549265640,838,838,838,838,1
1549265700,850,850,850,850,1
1549265760,820,842,842,820,21
1549265820,816,820,820,816,15
1549265880,838,816,838,816,10
1549265940,820,820,820,820,4
1549266060,820,820,820,820,3
1549266120,820,820,820,820,10
1549266180,820,820,820,820,1
1549266240,820,820,820,820,11
1549266420,832,832,832,832,4
1549266540,834,830,834,830,3
1549266600,848,836,848,836,21
1549266660,848,848,848,848,3
1549266720,846,846,846,846,2
1549266840,850,846,850,846,20
1549266900,850,850,850,850,3
1549267080,822,830,830,822,5
1549267200,842,840,842,830,3
1549267560,840,840,840,840,1
1549267620,840,840,840,840,1
1549267680,840,840,840,840,1
1549268100,840,840,840,840,5
1549268340,826,826,826,826,1
1549269060,842,840,842,840,4
1549269120,850,844,850,844,29
1549269240,850,850,850,850,3
1549269600,850,846,850,846,4
1549270080,850,850,850,850,2
1549270380,850,850,850,850,1
