time,close,open,high,low,volume
1514970060,17.3,17.25,17.3,17.25,2
1514971320,17.0,17.0,17.0,17.0,2
1514971620,17.15,17.15,17.15,17.15,2
1514971920,17.0,17.05,17.05,17.0,2
1515050460,17.2,17.15,17.2,17.15,20
1515055620,17.1,17.1,17.1,17.1,3
1515055740,17.1,17.1,17.1,17.1,2
1515062520,17.05,17.05,17.05,17.05,2
1515067860,17.25,17.1,17.25,17.1,94
1515079620,17.25,17.25,17.25,17.25,60
1515137400,17.3,17.3,17.3,17.3,2
1515139440,17.25,17.25,17.25,17.25,15
1515141540,17.3,17.3,17.3,17.3,1
1515142620,17.25,17.25,17.25,17.25,2
1515143340,17.3,17.3,17.3,17.3,1
1515143760,17.25,17.25,17.25,17.25,7
1515144120,17.2,17.2,17.2,17.2,2
1515146460,17.25,17.25,17.25,17.25,1
1515146520,17.25,17.25,17.25,17.25,2
1515151920,17.2,17.2,17.2,17.2,1
1515152700,17.25,17.25,17.25,17.25,1
1515485520,17.2,17.2,17.2,17.2,5
1515485580,17.2,17.2,17.2,17.2,6
1515485760,17.15,17.15,17.15,17.15,6
1515485820,17.25,17.25,17.25,17.25,10
1515486120,17.1,17.1,17.1,17.1,1
1515486180,17.1,17.1,17.1,17.1,1
1515486240,17.05,17.1,17.1,17.05,6
1515486540,17.05,17.05,17.05,17.05,1
1515487980,17.1,17.1,17.1,17.1,1
1515488640,17.2,17.2,17.2,17.2,11
1515489660,17.3,17.2,17.3,17.2,256
1515492240,17.3,17.3,17.3,17.3,1
1515492720,17.3,17.3,17.3,17.3,1
1515499320,17.4,17.35,17.4,17.35,23
1515500700,17.3,17.3,17.3,17.3,10
1515505740,17.3,17.3,17.3,17.3,10
1515506220,17.3,17.3,17.3,17.3,3
1515506340,17.3,17.3,17.3,17.3,6
1515506400,17.25,17.25,17.25,17.25,2
1515507540,17.3,17.3,17.3,17.3,10
1515507600,17.25,17.3,17.3,17.25,22
1515509820,17.25,17.25,17.25,17.25,1
1515509880,17.25,17.25,17.25,17.25,8
1515511980,17.3,17.3,17.3,17.3,2
1515512160,17.3,17.3,17.3,17.3,6
1515512700,17.25,17.25,17.25,17.25,6
1515567660,17.25,17.25,17.25,17.25,25
1515568920,17.25,17.2,17.25,17.2,58
1515569220,17.35,17.35,17.35,17.35,38
1515569280,17.35,17.35,17.35,17.35,25
1515569340,17.35,17.35,17.35,17.35,50
1515569400,17.35,17.35,17.35,17.35,25
1515569460,17.35,17.35,17.35,17.35,25
1515569640,17.35,17.35,17.35,17.35,25
1515569760,17.4,17.4,17.4,17.4,36
1515571260,17.5,17.45,17.5,17.45,98
1515574260,17.5,17.5,17.5,17.5,1
1515580080,17.25,17.35,17.35,17.25,14
1515580500,17.4,17.25,17.4,17.25,3
1515580920,17.5,17.4,17.5,17.4,77
