time,close,open,high,low,volume
1514967840,24.5,25.1,25.1,24.5,2
1514974800,24.5,24.5,24.5,24.5,1
1515135720,24.2,24.2,24.2,24.2,1
1515505140,24.7,24.7,24.7,24.7,1
1515508440,24.9,24.9,24.9,24.9,1
1515508620,25.0,25.4,25.9,25.0,5
1515510840,24.9,24.9,24.9,24.9,1
1515592620,24.9,24.9,24.9,24.9,1
1515682980,24.6,24.6,24.6,24.6,1
1515770400,24.1,24.4,24.4,24.1,29
1515771540,24.7,24.7,24.7,24.7,1
1516012560,25.7,25.2,25.7,25.2,4
1516012680,26.0,26.0,26.0,26.0,7
1516012740,25.8,25.8,25.8,25.8,1
1516012980,26.0,26.0,26.0,26.0,2
1516013640,26.0,26.0,26.0,26.0,2
1516013760,26.0,26.0,26.0,26.0,5
1516015140,24.2,25.2,25.2,24.2,7
1516015380,25.6,25.6,25.6,25.6,1
1516017060,25.5,25.5,25.5,25.5,1
1516017240,25.0,25.0,25.0,25.0,2
1516017480,25.6,25.6,25.6,25.6,1
1516017540,25.5,25.5,25.5,25.5,1
1516017720,26.0,25.6,26.0,25.6,3
1516018320,25.2,25.2,25.2,25.2,1
1516018440,25.7,25.7,25.7,25.7,1
1516018680,25.2,25.2,25.2,25.2,1
1516018740,24.9,24.9,24.9,24.9,3
1516019220,25.7,25.7,25.7,25.7,1
1516022640,25.2,25.2,25.2,25.2,1
1516022700,24.3,24.7,24.7,24.3,7
1516023960,25.0,25.2,25.2,25.0,2
1516029780,24.8,24.9,24.9,24.8,2
1516104300,24.5,24.5,24.5,24.5,1
1516116060,24.5,24.5,24.5,24.5,1
1516117080,24.5,24.5,24.5,24.5,1
1516172520,24.3,24.3,24.3,24.3,1
1516184820,23.5,24.3,24.3,23.5,36
1516184940,24.0,24.0,24.0,24.0,1
1516196220,24.3,24.3,24.3,24.3,1
1516267860,23.6,24.0,24.0,23.6,24
1516270860,23.4,23.4,23.4,23.4,1
1516273380,23.9,23.9,23.9,23.9,1
1516286040,24.0,24.0,24.0,24.0,1
1516287000,24.0,24.0,24.0,24.0,1
1516289760,24.6,24.6,24.6,24.6,1
1516353300,23.1,23.8,23.8,23.1,18
1516358040,23.9,23.9,23.9,23.9,1
1516358820,24.2,24.2,24.2,24.2,1
1516360260,23.0,23.6,23.6,23.0,37
1516361040,24.2,23.9,24.2,23.9,2
1516361100,24.2,24.2,24.2,24.2,1
1516367820,24.2,24.0,24.2,24.0,14
1516368660,24.2,24.2,24.2,24.2,2
1516371900,24.2,24.2,24.2,24.2,1
1516605060,23.0,23.4,23.4,23.0,35
1516621560,24.3,24.3,24.3,24.3,1
1516701180,22.0,23.5,23.5,22.0,52
1516701240,22.0,23.5,23.5,22.0,35
1516701960,23.4,22.8,23.4,22.8,7
1516702080,22.9,22.9,22.9,22.9,1
1516702140,23.0,23.0,23.0,23.0,1
1516702260,23.4,23.4,23.4,23.4,1
1516702500,23.5,23.4,23.5,23.4,4
1516702860,23.5,23.5,23.5,23.5,1
1516703700,23.0,23.0,23.0,23.0,8
1516703760,23.5,23.4,23.5,23.4,2
1516704000,23.4,23.4,23.4,23.4,1
1516704300,23.1,23.0,23.1,22.0,41
1516704360,23.0,23.0,23.0,23.0,1
1516704600,23.2,22.5,23.2,22.5,2
1516705140,22.0,22.5,22.5,22.0,32
1516705560,22.7,22.7,22.7,22.7,1
1516705620,22.5,22.5,22.5,22.5,1
1516706400,22.5,22.5,22.5,22.5,5
1516708140,22.8,22.8,22.8,22.8,5
1516710180,22.9,22.9,22.9,22.9,5
1516711140,22.8,22.8,22.8,22.8,1
1516711380,22.8,22.8,22.8,22.8,4
1516711800,22.8,22.8,22.8,22.8,7
1516716780,22.8,22.8,22.8,22.8,2
1516717320,22.8,22.8,22.8,22.8,3
1516721880,23.9,22.8,24.3,22.3,63
1516777440,22.0,22.6,22.6,22.0,45
1516777500,23.0,23.0,23.0,23.0,1
1516778100,22.0,22.6,22.6,22.0,45
1516778520,22.3,22.3,22.3,22.3,1
1516778580,22.5,22.4,22.5,22.4,5
1516779540,22.5,22.5,22.5,22.5,1
