time,close,open,high,low,volume
1515484620,14.6,14.6,14.6,14.6,2
1515506340,14.5,14.5,14.5,14.5,1
1515570240,14.9,14.6,14.9,14.6,10
1515570300,15.1,14.9,15.1,14.9,5
1515570540,15.5,15.2,15.5,15.2,9
1515570600,15.6,15.5,15.6,15.5,3
1515570900,15.1,15.4,15.4,15.1,9
1515573780,15.0,15.0,15.0,15.0,3
1515574200,15.0,15.0,15.0,15.0,37
1515591960,14.9,14.9,14.9,14.9,1
1515657600,14.9,14.9,14.9,14.9,2
1515658560,14.8,14.8,14.8,14.8,1
1515659820,14.7,14.7,14.7,14.7,1
1515662100,14.6,14.6,14.6,14.6,2
1515662520,14.6,14.6,14.6,14.6,1
1515664860,14.6,14.6,14.6,14.6,1
1515665400,14.5,14.5,14.5,14.5,6
1515665460,14.5,14.5,14.5,14.5,1
1515668220,14.4,14.4,14.4,14.4,2
1515669000,14.4,14.4,14.4,14.4,1
1515672120,14.3,14.3,14.3,14.3,4
1515673380,14.3,14.3,14.3,14.3,1
1515673620,14.2,14.2,14.2,14.2,4
1515675540,14.2,14.2,14.2,14.2,1
1515675780,14.1,14.1,14.1,14.1,5
1515676440,14.0,14.0,14.0,14.0,6
1515678900,14.3,14.3,14.3,14.3,1
1515679260,14.7,14.4,14.7,14.4,13
1515681240,14.5,14.5,14.5,14.5,1
1515683160,14.2,14.4,14.4,14.2,3
1515683400,14.5,14.4,14.5,14.4,2
1516011360,14.8,14.4,14.8,14.4,15
1516011480,15.0,14.9,15.0,14.9,4
1516012200,15.3,15.0,15.3,15.0,44
1516012260,16.1,15.3,16.1,15.3,22
1516012320,16.6,16.0,16.6,16.0,10
1516012380,17.0,16.5,17.3,16.5,21
1516012440,17.5,17.2,17.7,17.2,13
1516012500,17.9,17.7,17.9,17.7,15
1516012560,17.5,17.9,17.9,17.5,31
1516012620,17.3,17.4,17.4,17.3,2
1516012680,17.0,17.2,17.2,17.0,4
1516012740,17.3,17.2,17.3,17.2,2
1516012800,16.8,17.1,17.1,16.8,5
