time,close,open,high,low,volume
1514963220,84.2,84.2,84.2,84.2,1
1514973720,84.2,84.2,84.2,84.2,10
1514985240,84.2,84.2,84.2,84.2,5
1514993700,85.4,85.4,85.4,85.4,1
1514993760,85.8,85.8,85.8,85.8,1
1514993820,84.7,84.7,84.7,84.7,1
1514993880,85.8,85.8,85.8,85.8,1
1514993940,85.8,84.7,85.8,84.7,2
1515051420,84.7,84.7,84.7,84.7,1
1515137040,84.7,84.7,84.7,84.7,1
1515142560,84.5,84.5,84.5,84.5,1
1515493920,84.8,84.8,84.8,84.8,11
1515494880,85.0,85.0,85.0,85.0,4
1515742320,84.1,84.1,84.1,84.1,1
1515742380,84.0,84.0,84.0,84.0,1
1515742860,84.9,84.9,84.9,84.9,1
1515742920,83.5,83.5,83.5,83.5,2
1515742980,82.7,83.2,83.2,82.7,2
1515743040,82.0,82.5,82.5,81.7,4
1515743100,81.5,81.5,81.5,81.5,1
1515743220,82.9,82.9,82.9,82.9,1
1515743280,83.4,83.4,83.4,83.4,1
1515743340,83.8,83.8,83.8,83.8,1
1515743940,84.4,84.4,84.4,84.4,2
1515745200,84.0,84.0,84.0,84.0,1
1515769800,84.8,84.8,84.8,84.8,2
1515770100,85.0,84.9,85.0,84.9,6
1516001280,83.7,83.7,83.7,83.7,1
1516007700,83.7,83.7,83.7,83.7,1
1516019640,83.7,83.7,83.7,83.7,1
1516021680,83.7,83.7,83.7,83.7,1
1516090020,80.0,83.7,83.7,80.0,7
1516093980,82.7,82.7,82.7,82.7,1
1516176300,84.4,84.4,84.4,84.4,1
1516177320,83.3,83.3,83.3,83.3,1
1516349280,82.5,82.5,82.5,82.5,2
1516355220,83.8,83.8,83.8,83.8,1
1516364880,83.9,83.9,83.9,83.9,1
1516618500,84.5,84.2,84.5,84.2,7
1516700460,84.8,84.8,84.8,84.8,1
1516700520,84.9,84.9,84.9,84.9,1
1516955280,83.7,83.7,83.7,83.7,1
1516955400,83.1,83.1,83.1,83.1,1
1516958820,82.5,82.5,82.5,82.5,1
1516966500,82.1,82.1,82.1,82.1,1
1516966620,81.7,81.7,81.7,81.7,1
1517211300,82.8,82.8,82.8,82.8,1
1517212740,83.8,83.8,83.8,83.8,1
1517482800,84.3,84.3,84.3,84.3,1
1517497800,84.4,84.4,84.4,84.4,1
