time,close,open,high,low,volume
1514994300,144.5,144.5,144.5,144.5,1
1515668580,128.5,128.5,128.5,128.5,1
1515670200,141.5,141.5,141.5,141.5,1
1516027260,132.0,132.0,132.0,132.0,1
1516091280,142.0,142.0,142.0,142.0,1
1516618260,122.5,131.0,131.0,122.5,15
1516618440,135.0,135.0,135.0,135.0,1
1516624440,139.5,139.5,139.5,139.5,2
1516884660,136.5,136.5,136.5,136.5,1
1516949940,139.5,139.5,139.5,139.5,1
1516950180,139.5,139.5,139.5,139.5,1
1516952040,138.5,138.5,138.5,138.5,1
1516966500,138.5,138.5,138.5,138.5,1
1516971960,137.5,137.5,137.5,137.5,1
1517237340,126.0,126.0,126.0,126.0,2
1517237400,125.5,130.0,130.0,125.5,30
1517239140,137.0,137.0,137.0,137.0,1
1517310360,135.0,137.0,137.0,135.0,2
1517485320,130.0,127.0,130.0,127.0,3
1517486100,125.0,126.0,126.0,125.0,4
1517486160,124.5,125.0,125.0,124.5,4
1517488140,130.0,134.0,134.0,130.0,2
1517492700,133.5,133.5,133.5,133.5,2
1517492940,135.5,135.5,135.5,135.5,2
1517498400,133.5,133.5,133.5,133.5,2
1517569500,127.0,128.0,130.0,127.0,3
1517569560,125.5,126.5,126.5,125.5,2
1517569860,125.0,124.5,125.0,124.5,2
1517569920,124.0,124.5,124.5,124.0,2
1517570820,132.5,132.5,132.5,132.5,1
1517575320,129.0,129.0,129.0,129.0,1
1517575440,130.0,130.0,130.0,130.0,1
1517575680,131.5,131.5,131.5,131.5,1
1517576160,131.0,131.0,131.0,131.0,1
1517576460,130.5,130.5,130.5,130.5,1
1517576640,133.5,133.5,133.5,133.5,1
1517815860,125.0,125.5,125.5,125.0,2
1517816700,126.5,126.5,126.5,126.5,1
1517826060,135.0,135.0,135.0,135.0,10
1517826120,135.0,135.0,135.0,135.0,7
1517832120,135.0,135.0,135.0,135.0,1
1517836980,135.0,135.0,135.0,135.0,2
1517929080,129.0,130.0,130.0,129.0,3
1517990880,135.0,135.0,135.0,135.0,1
1517998620,135.0,135.0,135.0,135.0,1
1518002880,135.0,135.0,135.0,135.0,4
1518008280,135.0,135.0,135.0,135.0,4
1518173340,130.0,130.0,130.0,130.0,1
1518510120,128.0,129.5,129.5,128.0,16
1518516420,130.0,130.0,130.0,130.0,5
1518534420,135.0,134.5,135.0,134.5,20
1519118700,130.5,130.5,130.5,130.5,1
1519123560,135.0,134.5,135.0,134.5,16
1519140780,135.0,135.0,135.0,135.0,38
1519299480,135.5,135.5,135.5,135.5,1
1519917180,129.0,129.0,129.0,129.0,1
1520259060,135.5,135.5,135.5,135.5,1
1520331840,136.0,136.0,136.0,136.0,1
1520345040,132.0,132.0,132.0,132.0,1
1522048440,135.0,135.0,135.0,135.0,4
1522048560,135.0,135.0,135.0,135.0,1
1522845600,134.0,134.0,134.0,134.0,1
1522848360,127.5,127.5,127.5,127.5,1
1522928100,125.0,126.0,126.0,125.0,5
1522943280,125.5,125.5,125.5,125.5,1
1523009880,125.5,125.5,125.5,125.5,1
1523263380,125.5,125.5,125.5,125.5,2
1523266200,125.0,125.0,125.0,125.0,8
1523267940,125.0,125.0,125.0,125.0,1
1523273100,122.0,122.0,122.0,122.0,20
1523273220,121.5,121.5,121.5,121.5,1
1523278620,118.5,119.0,119.0,118.5,2
1523282040,121.0,121.0,121.0,121.0,1
1523363640,121.0,121.0,121.0,121.0,5
1524065400,128.5,128.5,128.5,128.5,1
1524065940,130.0,129.5,160.0,129.5,237
1524066300,134.5,134.5,134.5,134.5,1
1524122640,134.0,132.5,134.0,132.5,6
1524122820,134.0,134.0,134.0,134.0,1
1524572520,130.0,123.5,130.0,123.5,2
1524731820,133.0,133.0,133.0,133.0,1
1524745800,123.0,123.0,123.0,123.0,1
1524754560,130.5,130.5,130.5,130.5,1
1524813000,120.0,122.0,122.0,120.0,80
1524813360,122.0,122.0,122.0,122.0,1
1524813420,122.0,122.0,122.0,122.0,1
1524814560,122.0,122.0,122.0,122.0,1
1524814980,122.5,122.5,122.5,122.5,41
1524815100,122.5,122.0,122.5,122.0,3
1524816060,123.0,123.5,123.5,123.0,7
1524816960,123.0,123.0,123.0,123.0,9
1524817020,123.0,123.0,123.0,123.0,7
1524818520,124.0,124.0,124.0,124.0,1
1524820560,125.0,130.0,130.5,125.0,3
1524828240,130.0,130.0,130.0,130.0,1
1524901020,132.0,132.0,132.0,132.0,1
1524901200,132.0,132.0,132.0,132.0,2
1524901560,132.0,132.0,132.0,132.0,2
1524904260,131.5,131.5,131.5,131.5,1
1524904440,131.0,131.0,131.0,131.0,1
1524904560,130.5,130.5,130.5,130.5,1
1524904620,130.0,130.0,130.0,130.0,1
1524904800,129.5,129.5,129.5,129.5,1
1524904920,131.5,129.0,131.5,129.0,2
1524904980,131.5,128.5,131.5,128.5,2
1524917040,128.0,128.0,128.0,128.0,1
1525331220,127.0,127.0,127.0,127.0,1
1525768380,131.0,131.0,131.0,131.0,1
1525769280,125.0,125.0,125.0,125.0,1
1525773000,130.5,130.5,130.5,130.5,2
1525773060,130.0,130.0,130.0,130.0,1
1525774620,131.0,131.0,131.0,131.0,5
1525774680,134.0,130.0,134.0,130.0,5
1525775280,130.0,130.0,130.0,130.0,4
1525776420,132.0,132.0,132.0,132.0,1
1525780680,131.0,131.0,131.0,131.0,1
1525793040,130.0,130.0,130.0,130.0,1
1527145620,133.5,133.5,133.5,133.5,6
1527145680,137.0,136.5,137.0,136.5,5
1527146100,140.0,141.0,141.5,140.0,4
1527148620,137.0,138.0,138.0,137.0,3
1527148680,135.0,137.0,137.5,133.5,5
1527153240,135.0,135.0,135.0,135.0,1
1527165540,140.0,137.5,140.0,137.5,112
1527166140,140.0,140.0,140.0,140.0,10
1527166620,144.5,142.5,144.5,142.5,3
1527241440,145.0,146.0,146.0,145.0,2
1527496860,146.5,146.5,146.5,146.5,2
1527507120,146.5,146.5,146.5,146.5,30
1527582360,150.0,150.0,150.0,150.0,1
