time,close,open,high,low,volume
1514970480,0.128,0.128,0.128,0.128,1
1514970660,0.128,0.128,0.128,0.128,1
1514972280,0.129,0.1285,0.129,0.1285,3
1515049440,0.121,0.121,0.121,0.121,1
1515054900,0.129,0.129,0.129,0.129,1
1515066480,0.129,0.129,0.129,0.129,11
1515484680,0.1285,0.1285,0.1285,0.1285,1
1515499080,0.1275,0.128,0.128,0.1275,2
1515499140,0.127,0.127,0.127,0.127,1
1515499200,0.127,0.127,0.127,0.127,7
1515499500,0.1265,0.1265,0.1265,0.1265,1
1515500100,0.126,0.126,0.126,0.126,1
1515500580,0.1245,0.1255,0.1255,0.1245,3
1515500700,0.1245,0.1245,0.1245,0.1245,1
1515500760,0.124,0.124,0.124,0.124,1
1515500820,0.1235,0.1235,0.1235,0.1235,1
1515500880,0.1235,0.1235,0.1235,0.1235,1
1515501240,0.1235,0.1235,0.1235,0.1235,1
1515504540,0.125,0.125,0.125,0.125,1
1515506820,0.125,0.125,0.125,0.125,1
1515510960,0.124,0.124,0.124,0.124,1
1515567780,0.126,0.126,0.126,0.126,2
1515567960,0.1265,0.1265,0.1265,0.1265,1
1515568020,0.126,0.126,0.126,0.126,1
1515568500,0.1275,0.127,0.1275,0.127,3
1515568620,0.1275,0.1275,0.1275,0.1275,1
1515568740,0.1275,0.1275,0.1275,0.1275,1
1515574800,0.1275,0.1275,0.1275,0.1275,1
1515585180,0.126,0.126,0.126,0.126,1
1515590100,0.1255,0.1255,0.1255,0.1255,1
1515594180,0.134,0.1275,0.134,0.1275,20
1515594240,0.133,0.1345,0.135,0.133,5
1515594840,0.136,0.1345,0.136,0.1345,6
1515594900,0.138,0.1365,0.139,0.1365,26
1515594960,0.14,0.1385,0.14,0.1385,15
1515595020,0.1415,0.14,0.1415,0.14,5
1515595140,0.1405,0.142,0.142,0.1405,2
1515595200,0.1385,0.14,0.14,0.1385,4
1515595380,0.1375,0.138,0.138,0.1375,2
1515595920,0.1335,0.137,0.137,0.1335,9
1515595980,0.133,0.133,0.133,0.133,6
1515596040,0.1345,0.133,0.1345,0.133,7
1515596880,0.1315,0.133,0.133,0.1315,4
1515598140,0.1335,0.1335,0.1335,0.1335,1
1515657600,0.134,0.134,0.134,0.134,1
1515661920,0.127,0.1325,0.1325,0.127,10
1515662220,0.13,0.13,0.13,0.13,1
1515677040,0.1315,0.1315,0.1315,0.1315,1
1515677100,0.133,0.132,0.133,0.132,3
1515677160,0.134,0.1335,0.134,0.1335,2
1515677220,0.135,0.1345,0.135,0.1345,2
1515677400,0.1335,0.1335,0.1335,0.1335,1
1515677460,0.135,0.135,0.135,0.135,2
1515677520,0.135,0.1335,0.135,0.1335,2
1515677580,0.1355,0.1335,0.1355,0.1335,3
1515677640,0.136,0.136,0.136,0.136,1
1515677700,0.136,0.136,0.136,0.136,3
1515677820,0.1345,0.1345,0.1345,0.1345,1
1515677940,0.134,0.134,0.134,0.134,1
1515683280,0.136,0.136,0.136,0.136,1
1515684840,0.134,0.134,0.134,0.134,1
1515684960,0.1355,0.1355,0.1355,0.1355,1
1515743100,0.134,0.134,0.134,0.134,1
1515743220,0.1265,0.1335,0.1335,0.1265,7
1515746160,0.135,0.133,0.135,0.133,5
1515746280,0.1395,0.1355,0.1395,0.1355,30
1515746460,0.1375,0.1375,0.1375,0.1375,1
1515746580,0.137,0.139,0.14,0.137,21
1515747480,0.146,0.139,0.146,0.139,18
1515747540,0.1465,0.1465,0.1465,0.1465,4
1515748260,0.1445,0.1445,0.1445,0.1445,1
1515749340,0.144,0.144,0.144,0.144,1
1515751320,0.142,0.1435,0.1435,0.142,4
1515758460,0.1415,0.1415,0.1415,0.1415,1
1515770460,0.1415,0.1415,0.1415,0.1415,7
1516017600,0.143,0.143,0.143,0.143,1
1516020480,0.1435,0.1435,0.1435,0.1435,1
1516020540,0.144,0.144,0.144,0.144,1
1516020780,0.147,0.1445,0.147,0.1445,20
1516023780,0.149,0.147,0.149,0.147,11
1516023900,0.1465,0.1475,0.1475,0.1465,3
1516023960,0.146,0.146,0.146,0.146,1
1516029480,0.146,0.146,0.146,0.146,3
1516090680,0.145,0.146,0.146,0.145,4
1516092960,0.1475,0.145,0.1475,0.145,11
1516097400,0.145,0.145,0.145,0.145,1
1516115820,0.1445,0.1445,0.1445,0.1445,1
1516172520,0.165,0.16,0.165,0.16,2
1516172640,0.144,0.144,0.144,0.144,1
1516191840,0.145,0.145,0.145,0.145,1
1516193640,0.1455,0.1455,0.1455,0.1455,1
1516260600,0.131,0.1445,0.1445,0.131,4
1516262700,0.142,0.142,0.142,0.142,1
1516273920,0.142,0.142,0.142,0.142,2
1516284960,0.14,0.14,0.14,0.14,2
1516374540,0.1465,0.1465,0.1465,0.1465,1
1516604400,0.165,0.165,0.165,0.165,4
1516604460,0.155,0.145,0.155,0.145,3
1516615920,0.1475,0.147,0.1475,0.147,2
1516616040,0.148,0.148,0.148,0.148,1
1516864500,0.1175,0.139,0.139,0.1175,15
1516864620,0.148,0.148,0.148,0.148,1
1516865160,0.1425,0.1425,0.1425,0.1425,1
1516865580,0.149,0.149,0.149,0.149,1
1516869840,0.14,0.14,0.14,0.14,1
1516870620,0.1455,0.1475,0.1475,0.1455,5
1516870800,0.1445,0.145,0.145,0.1445,2
