time,close,open,high,low,volume
1515052800,0.323,0.323,0.323,0.323,1
1515147420,0.305,0.305,0.305,0.305,1
1515162540,0.32,0.305,0.339,0.305,9
1515162660,0.33,0.33,0.33,0.33,1
1515164160,0.32,0.32,0.32,0.316,5
1515594780,0.31,0.308,0.31,0.308,2
1515594840,0.301,0.301,0.301,0.301,2
1515657000,0.318,0.318,0.318,0.318,1
1515657420,0.315,0.315,0.315,0.315,2
1515657540,0.308,0.308,0.308,0.308,1
1516007520,0.33,0.32,0.33,0.32,2
1516007580,0.32,0.32,0.32,0.32,1
1516025880,0.331,0.322,0.331,0.322,5
1516026240,0.321,0.321,0.321,0.321,1
1516026480,0.325,0.325,0.325,0.325,3
1516191900,0.331,0.324,0.331,0.324,6
1516193580,0.339,0.339,0.339,0.339,1
1516286040,0.341,0.341,0.341,0.341,1
1516613700,0.318,0.312,0.318,0.292,3
1516614300,0.342,0.322,0.342,0.322,3
1516614360,0.332,0.332,0.332,0.332,1
1516614540,0.352,0.34,0.352,0.34,3
1516614600,0.342,0.342,0.342,0.342,1
1516615440,0.332,0.332,0.332,0.332,1
1516615500,0.352,0.342,0.352,0.342,3
1516615560,0.342,0.342,0.342,0.342,1
1516615740,0.332,0.332,0.332,0.332,1
1516617480,0.352,0.342,0.352,0.342,3
1516617600,0.342,0.342,0.342,0.342,1
1516621620,0.332,0.332,0.332,0.332,1
1516628220,0.34,0.34,0.34,0.34,1
1516628940,0.342,0.342,0.342,0.342,1
1516629840,0.35,0.35,0.35,0.35,1
1517299080,0.325,0.335,0.335,0.325,2
1517299140,0.33,0.33,0.33,0.33,1
1517299260,0.355,0.335,0.355,0.335,5
1517299320,0.363,0.35,0.363,0.35,2
1517299740,0.316,0.345,0.345,0.316,8
1517299920,0.325,0.325,0.325,0.325,1
1517299980,0.33,0.335,0.355,0.33,7
1517300040,0.325,0.335,0.335,0.325,6
1517300160,0.365,0.335,0.365,0.335,6
1517300220,0.355,0.355,0.355,0.355,1
1517300340,0.34,0.345,0.345,0.331,5
1517311140,0.34,0.34,0.34,0.34,5
1517311860,0.35,0.345,0.35,0.345,4
