time,close,open,high,low,volume
1517229660,51.0,51.0,51.0,51.0,11
1522229520,51.0,51.0,51.0,51.0,4
1528445460,51.0,51.0,51.0,51.0,1
1546602480,32.0,32.0,32.0,32.0,1
1546615800,37.0,37.0,37.0,37.0,1
1546952160,51.0,51.0,51.0,51.0,1
1547535720,51.0,51.0,51.0,51.0,1
1561464660,51.0,51.0,51.0,51.0,1
1567434480,51.0,51.0,51.0,51.0,2
1567436820,52.0,52.0,52.0,52.0,1
1567671420,65.0,65.0,65.0,65.0,1
1567671540,66.0,65.0,66.0,65.0,3
1567671600,70.0,70.0,70.0,70.0,1
1567671660,72.0,72.0,72.0,72.0,2
1567672980,72.0,72.0,72.0,72.0,3
1567673040,72.0,72.0,72.0,72.0,3
1567673100,72.0,72.0,72.0,72.0,1
1567677660,72.0,72.0,72.0,72.0,3
1567678260,72.0,72.0,72.0,72.0,1
1567753440,100.0,100.0,100.0,100.0,11
1567753620,100.0,100.0,100.0,100.0,4
1567753860,100.0,100.0,100.0,100.0,1
1567753920,100.0,100.0,100.0,100.0,3
1567754280,100.0,100.0,100.0,100.0,1
1567754400,100.0,100.0,100.0,100.0,2
1567754460,100.0,100.0,100.0,100.0,5
1567755600,100.0,100.0,100.0,100.0,2
1567755780,100.0,100.0,100.0,100.0,1
1567756080,100.0,100.0,100.0,100.0,2
1567756500,100.0,100.0,100.0,100.0,3
1567756620,100.0,100.0,100.0,100.0,2
1567756740,100.0,100.0,100.0,100.0,20
1567756920,100.0,100.0,100.0,100.0,3
1567759020,100.0,100.0,100.0,100.0,10
1567760760,100.0,100.0,100.0,100.0,5
1567761180,100.0,100.0,100.0,100.0,5
1567762980,100.0,100.0,100.0,100.0,45
1567763220,100.0,100.0,100.0,100.0,75
1567763340,100.0,100.0,100.0,100.0,1
1567764420,90.0,90.0,90.0,90.0,1
1567765740,100.0,100.0,100.0,100.0,3
1567768440,100.0,100.0,100.0,100.0,2
1567768500,100.0,100.0,100.0,100.0,6
1567769160,92.0,92.0,92.0,92.0,1
1567770420,100.0,100.0,100.0,100.0,2
1567770480,100.0,100.0,100.0,100.0,50
1567770720,93.0,93.0,93.0,93.0,1
1567770780,93.0,93.0,93.0,93.0,1
1567770840,90.0,90.0,90.0,90.0,2
1567770900,73.0,73.0,73.0,73.0,1
