time,close,open,high,low,volume
1546602420,32.0,32.0,32.0,32.0,1
1546602540,36.0,36.0,36.0,36.0,1
1547032800,51.0,51.0,51.0,51.0,1
1567434600,51.0,51.0,51.0,51.0,2
1567677780,55.5,55.5,55.5,55.5,1
1567678080,70.0,70.0,70.0,70.0,2
1567756860,97.9,97.9,97.9,97.9,8
1567756920,97.9,97.9,97.9,97.9,2
1567756980,97.9,97.9,97.9,97.9,2
1567757280,97.8,97.8,97.8,97.8,1
1567757700,97.9,97.9,97.9,97.9,8
1567757760,97.9,97.9,97.9,97.9,2
1567757880,97.9,97.9,97.9,97.9,3
1567760400,97.9,97.9,97.9,97.9,1
1567760460,97.9,97.9,97.9,97.9,1
1567761180,97.9,97.9,97.9,97.9,5
1567761600,97.9,97.9,97.9,97.9,7
1567761660,97.9,97.9,97.9,97.9,1
1567763700,97.9,97.9,97.9,97.9,10
1567764540,97.9,97.9,97.9,97.9,2
1567765860,97.9,97.9,97.9,97.9,1
1567766400,97.9,97.9,97.9,97.9,1
1567766940,97.8,97.8,97.8,97.8,1
1567768380,97.9,97.9,97.9,97.9,5
1567768920,97.9,97.9,97.9,97.9,4
1567769700,97.9,97.9,97.9,97.9,1
1567769760,97.9,97.9,97.9,97.9,2
1567769940,97.9,97.9,97.9,97.9,1
1567770120,97.8,97.8,97.8,97.8,10
1567770300,97.9,97.9,97.9,97.9,1
1567770420,97.9,97.9,97.9,97.9,1
1567770540,97.9,97.9,97.9,97.9,18
1567770660,97.9,97.9,97.9,97.9,32
1567770900,97.8,97.8,97.8,97.8,17
1567771320,97.8,97.8,97.8,97.8,10
1567771740,78.2,78.2,78.2,78.2,1
1567771800,78.0,78.0,78.0,78.0,1
1567771980,85.0,84.9,85.0,84.9,21
1567772220,85.0,85.0,85.0,85.0,2
1567774860,86.8,86.8,86.8,86.8,1
1567779300,78.5,78.5,78.5,78.5,1
1567779420,78.4,78.4,78.4,78.4,6
1567779780,75.6,75.6,75.6,75.6,2
1567779840,75.6,75.6,75.6,75.6,7
1567779960,75.6,75.6,75.6,75.6,13
1567780020,78.4,78.4,78.4,78.4,3
1567780320,97.6,87.9,97.6,87.9,3
1567780380,88.0,88.0,88.0,88.0,1
1567780740,80.1,80.1,80.1,80.1,1
1567784220,91.5,91.5,91.5,91.5,1
1567784340,91.6,91.6,91.6,91.6,1
1568012760,93.4,93.4,93.4,93.4,8
1568013000,95.2,95.2,95.2,95.2,6
1568014140,95.2,95.3,95.3,95.2,2
1568014260,95.2,95.2,95.2,95.2,4
1568014560,95.2,95.2,95.2,95.2,1
1568022480,93.1,93.1,93.1,93.1,4
1568024220,73.2,73.2,73.2,73.2,1
1568024700,74.8,74.8,74.8,74.8,1
1568026440,77.1,77.1,77.1,77.1,2
1568026740,77.0,77.0,77.0,77.0,1
1568026920,77.1,77.1,77.1,77.1,2
1568029440,77.1,77.1,77.1,77.1,2
1568029620,75.0,76.2,76.2,75.0,3
1568029800,74.9,74.9,74.9,74.9,1
1568029860,74.6,74.8,74.8,74.6,8
1568030040,74.9,74.9,74.9,74.9,1
1568030820,74.6,74.6,74.6,74.6,3
1568032680,77.6,77.6,77.6,77.6,6
1568034300,88.1,88.1,88.1,88.1,1
1568037000,86.1,86.1,86.1,86.1,1
1568037180,86.2,86.2,86.2,86.2,1
1568037240,86.1,86.4,86.4,86.1,4
1568100300,94.0,94.0,94.0,94.0,1
1568100900,92.1,92.1,92.1,92.1,1
1568101260,92.1,92.1,92.1,92.1,1
1568101380,92.2,92.1,92.2,92.1,4
1568101440,94.0,94.0,94.0,94.0,4
1568101500,94.2,94.2,94.2,94.2,1
1568101560,94.8,94.6,94.8,94.6,4
1568101620,95.0,95.0,95.0,95.0,1
1568101800,95.0,95.0,95.0,95.0,18
1568101860,98.0,96.9,98.0,96.9,23
1568101920,100.0,99.0,100.0,99.0,304
1568101980,100.0,100.0,100.0,99.5,38
1568102100,94.1,95.1,95.1,94.1,2
1568102160,94.9,94.9,94.9,94.9,3
1568102400,94.9,94.9,94.9,94.9,2
1568102460,94.9,95.0,95.0,94.9,68
1568103000,96.6,94.6,96.6,94.6,9
1568103060,96.6,96.6,96.6,96.6,5
1568103540,94.0,94.0,94.0,94.0,3
1568103720,94.0,94.0,94.0,94.0,1
1568104020,78.4,78.4,78.4,78.4,10
1568104080,76.9,77.2,77.2,76.9,3
