time,close,open,high,low,volume
1708607340,9.0,9.0,9.0,9.0,9652
1708607400,8.032,8.999,9.0,7.766,33566
1708607460,8.16,8.118,8.211,7.65,14148
1708607520,8.158,8.16,8.2,8.013,6070
1708607580,8.212,8.129,8.29,8.071,9844
1708607640,8.15,8.212,8.239,8.11,5851
1708607700,8.14,8.15,8.25,8.05,7685
1708607760,8.194,8.139,8.25,8.109,5160
1708607820,8.138,8.194,8.25,8.12,4333
1708607880,8.108,8.152,8.188,8.06,5032
1708607940,8.2,8.112,8.2,8.1,3603
1708608000,8.18,8.2,8.216,8.16,1501
1708608060,8.25,8.176,8.3,8.171,6175
1708608120,8.156,8.25,8.265,8.1,5511
1708608180,8.15,8.154,8.172,8.14,507
1708608240,8.169,8.155,8.2,8.155,2158
1708608300,8.223,8.169,8.23,8.16,4464
1708608360,8.235,8.223,8.27,8.2,1982
1708608420,8.164,8.233,8.235,8.15,2225
1708608480,8.145,8.164,8.238,8.106,5602
1708608540,8.127,8.145,8.16,8.1,2601
1708608600,8.03,8.1,8.12,8.02,4073
1708608660,8.03,8.029,8.055,8.01,3556
1708608720,8.0,8.029,8.03,7.952,9732
1708608780,7.964,8.0,8.05,7.93,2610
1708608840,7.93,7.965,7.968,7.926,1507
1708608900,7.977,7.932,8.011,7.932,5107
1708608960,8.045,7.971,8.045,7.956,1587
1708609020,8.042,8.04,8.045,8.0,1619
1708609080,8.061,8.027,8.062,8.024,1300
1708609140,8.025,8.055,8.055,8.02,1495
1708609200,8.05,8.025,8.06,8.025,833
1708609260,8.113,8.05,8.13,8.044,2312
1708609320,8.192,8.11,8.196,8.1,2281
1708609380,8.161,8.192,8.199,8.16,1266
1708609440,8.186,8.188,8.197,8.18,134
1708609500,8.178,8.187,8.19,8.171,1819
1708609560,8.15,8.17,8.178,8.139,1900
1708609620,8.121,8.15,8.161,8.12,2572
1708609680,8.13,8.124,8.138,8.12,369
1708609740,8.132,8.13,8.143,8.12,3301
1708609800,8.156,8.145,8.158,8.145,156
1708609860,8.178,8.152,8.178,8.15,829
1708609920,8.189,8.178,8.19,8.178,1062
1708609980,8.185,8.181,8.197,8.181,1245
1708610040,8.2,8.181,8.2,8.161,1416
1708610100,8.25,8.2,8.25,8.199,2871
1708610160,8.28,8.25,8.28,8.241,1351
1708610220,8.319,8.278,8.33,8.27,1403
1708610280,8.31,8.309,8.32,8.27,835
1708610340,8.3,8.31,8.33,8.3,1160
1708610400,8.322,8.307,8.322,8.29,759
1708610460,8.26,8.31,8.31,8.242,1150
1708610520,8.269,8.242,8.272,8.223,467
1708610580,8.24,8.269,8.272,8.24,323
1708610640,8.231,8.24,8.26,8.231,580
1708610700,8.22,8.237,8.237,8.2,992
1708610760,8.256,8.22,8.256,8.205,306
1708610820,8.27,8.256,8.27,8.23,263
1708610880,8.315,8.26,8.315,8.26,901
1708610940,8.315,8.3,8.315,8.286,226
1708611000,8.296,8.315,8.319,8.279,400
1708611060,8.294,8.295,8.296,8.254,471
1708611120,8.26,8.298,8.3,8.26,349
1708611180,8.299,8.27,8.299,8.268,167
1708611240,8.32,8.299,8.32,8.299,1154
1708611300,8.339,8.32,8.339,8.315,561
1708611360,8.333,8.339,8.34,8.303,802
1708611420,8.339,8.332,8.339,8.331,231
1708611480,8.488,8.339,8.5,8.339,5914
1708611540,8.584,8.485,8.584,8.421,2242
1708611600,8.624,8.584,8.65,8.563,2638
1708611660,8.497,8.627,8.66,8.42,3621
1708611720,8.44,8.451,8.459,8.341,1485
1708611780,8.479,8.442,8.505,8.426,1303
1708611840,8.527,8.473,8.55,8.469,1117
1708611900,8.524,8.527,8.53,8.488,350
1708611960,8.517,8.519,8.52,8.485,445
1708612020,8.55,8.517,8.55,8.505,521
1708612080,8.484,8.55,8.55,8.45,908
1708612140,8.39,8.45,8.476,8.386,525
1708612200,8.443,8.419,8.45,8.4,240
1708612260,8.445,8.425,8.448,8.425,16
1708612320,8.426,8.425,8.443,8.425,175
1708612380,8.378,8.425,8.439,8.378,721
1708612440,8.423,8.41,8.423,8.395,42
1708612500,8.405,8.408,8.408,8.321,2343
1708612560,8.382,8.405,8.409,8.382,140
1708612620,8.306,8.4,8.4,8.27,1578
1708612680,8.297,8.3,8.3,8.266,306
1708612740,8.315,8.29,8.315,8.28,287
1708612800,8.312,8.309,8.322,8.294,107
1708612860,8.339,8.322,8.339,8.322,256
1708612920,8.344,8.337,8.344,8.337,31
1708612980,8.33,8.344,8.344,8.33,78
1708613040,8.321,8.33,8.339,8.31,177
1708613100,8.358,8.31,8.38,8.302,720
1708613160,8.347,8.358,8.376,8.328,170
1708613220,8.376,8.349,8.376,8.347,55
1708613280,8.374,8.376,8.376,8.351,45
1708613340,8.335,8.374,8.374,8.305,623
1708613400,8.328,8.337,8.337,8.31,255
1708613460,8.425,8.328,8.66,8.32,6865
1708613520,8.582,8.495,8.6,8.438,679
1708613580,8.5,8.572,8.58,8.482,342
1708613640,8.5,8.517,8.529,8.48,112
1708613700,8.465,8.505,8.512,8.46,161
1708613760,8.49,8.488,8.499,8.48,322
1708613820,8.498,8.498,8.498,8.498,5
1708613880,8.498,8.499,8.499,8.498,27
1708613940,8.45,8.499,8.499,8.45,586
1708614000,8.381,8.476,8.476,8.381,799
1708614060,8.397,8.426,8.434,8.36,651
1708614120,8.371,8.385,8.4,8.352,326
1708614180,8.355,8.374,8.418,8.351,136
1708614240,8.425,8.393,8.452,8.387,184
1708614300,8.4,8.4,8.411,8.371,204
1708614360,8.409,8.411,8.411,8.355,294
1708614420,8.372,8.373,8.373,8.37,62
1708614480,8.391,8.39,8.399,8.385,5
1708614540,8.383,8.379,8.383,8.37,71
1708614600,8.398,8.391,8.427,8.35,602
1708614660,8.36,8.386,8.386,8.36,33
1708614720,8.379,8.36,8.395,8.36,124
1708614780,8.355,8.386,8.386,8.355,44
1708614840,8.349,8.355,8.356,8.349,252
1708614900,8.322,8.348,8.348,8.303,1105
1708614960,8.311,8.322,8.329,8.307,257
1708615020,8.303,8.312,8.312,8.303,247
1708615080,8.294,8.305,8.306,8.27,610
1708615140,8.262,8.268,8.293,8.261,350
1708615200,8.276,8.264,8.278,8.261,1506
1708615260,8.269,8.274,8.275,8.26,818
1708615320,8.26,8.264,8.268,8.26,154
1708615380,8.198,8.26,8.26,8.19,2790
1708615440,8.171,8.19,8.196,8.17,989
1708615500,8.22,8.175,8.237,8.171,414
1708615560,8.205,8.197,8.22,8.194,557
1708615620,8.2,8.211,8.219,8.191,128
1708615680,8.184,8.195,8.2,8.176,414
1708615740,8.176,8.176,8.19,8.176,195
1708615800,8.165,8.19,8.19,8.155,1592
1708615860,8.078,8.161,8.165,8.01,3750
1708615920,8.048,8.065,8.092,8.021,972
1708615980,8.065,8.029,8.065,8.029,273
1708616040,8.064,8.067,8.07,8.051,344
1708616100,8.064,8.063,8.07,8.051,333
1708616160,8.082,8.065,8.082,8.046,588
1708616220,8.14,8.082,8.166,8.082,760
1708616280,8.057,8.14,8.14,8.046,673
1708616340,8.19,8.078,8.399,8.059,5698
1708616700,8.1,8.1,8.1,8.1,656
1708616760,8.1,8.1,8.1,8.1,119
1708616820,8.1,8.1,8.1,8.1,56
