time,close,open,high,low,volume
1654673280,665.17,665.17,665.17,665.17,1
1654675140,665.17,665.17,665.17,665.17,1
1654678500,665.17,665.17,665.17,665.17,1
1654689780,665.17,665.17,665.17,665.17,1
1654759560,600.0,600.0,600.0,600.0,1
1654788360,650.0,650.0,650.0,650.0,2
1654849380,650.0,650.0,650.0,650.0,1
1654864980,650.0,650.0,650.0,650.0,1
1655301360,650.0,650.0,650.0,650.0,1
1655366040,650.0,650.0,650.0,650.0,1
1655461380,650.0,650.0,650.0,650.0,1
1655479560,650.0,650.0,650.0,650.0,1
1655711940,600.02,600.02,600.02,600.02,1
1655712360,649.84,649.83,649.84,649.83,2
1655712480,600.01,600.03,600.03,600.01,5
1655712540,600.0,600.0,600.0,600.0,1
1655712840,600.0,600.01,600.01,600.0,6
1655714280,600.0,600.0,600.0,600.0,1
1655714460,610.0,610.0,610.0,610.0,1
1655714700,610.0,610.0,610.0,610.0,1
1655715900,609.99,609.99,609.99,609.99,1
1655717100,600.0,600.0,600.0,600.0,2
1655720820,600.0,600.0,600.0,600.0,8
1655721780,619.95,619.95,619.95,619.95,1
1655724360,605.0,605.0,605.0,605.0,1
1655724600,609.95,609.95,609.95,609.95,7
1655727720,571.01,571.01,571.01,571.01,1
1655727840,580.0,580.0,580.0,580.0,1
1655727960,619.94,619.94,619.94,619.94,1
1655728560,571.1,571.1,571.1,571.1,1
1655728620,600.0,571.05,600.0,571.05,2
1655728800,572.0,580.0,580.0,572.0,3
1655728860,571.06,571.06,571.06,571.06,1
1655728980,571.05,571.05,571.05,571.05,1
1655729040,571.05,571.05,571.05,571.05,1
1655729340,599.99,599.99,599.99,599.99,1
1655730840,599.99,599.99,599.99,599.99,1
1655732580,605.85,599.97,605.85,599.97,5
1655732640,605.85,605.85,605.85,605.85,1
1655734740,605.85,605.85,605.85,605.85,1
1655737080,609.75,609.75,609.75,609.75,1
1655737140,609.76,609.76,609.76,609.76,1
1655737860,590.0,605.85,605.85,590.0,3
1655738400,609.76,609.76,609.76,609.76,1
1655738580,609.76,609.76,609.76,609.76,1
1655738640,580.0,580.02,580.02,580.0,3
1655738760,609.74,609.74,609.74,609.74,1
1655738880,609.0,609.0,609.0,609.0,1
1655738940,609.79,609.75,609.79,609.75,4
1655795460,570.96,570.96,570.96,570.96,1
1655796240,602.81,601.99,602.81,601.99,2
1655796300,609.79,603.66,609.79,603.66,6
1655796420,610.0,610.0,610.0,610.0,2
1655796660,580.13,580.13,580.13,580.13,1
1655796780,609.95,609.95,609.95,609.95,1
1655797080,580.15,580.15,580.15,580.15,1
1655797200,580.16,580.17,580.17,580.16,4
1655797500,580.18,580.18,580.18,580.18,1
1655797560,580.19,580.19,580.19,580.19,1
1655797680,580.19,580.19,580.19,580.19,2
1655797860,572.03,580.18,580.18,572.03,5
1655798220,599.97,599.97,599.97,599.97,1
1655798280,572.0,572.52,572.52,572.0,21
1655798940,572.0,572.21,572.21,572.0,2
