time,close,open,high,low,volume
1514963340,9150,9150,9150,9150,3
1514963400,8950,8950,8950,8950,3
1514988240,8950,9000,9000,8950,4
1515059700,9150,9100,9150,9100,5
1515060240,9100,9100,9100,9100,2
1515060660,9100,9100,9100,9100,2
1515060720,9150,9150,9150,9150,2
1515484980,9150,9150,9150,9150,1
1515510180,9000,9000,9000,9000,1
1515510300,9000,9000,9000,9000,1
1515510840,8950,8950,8950,8950,1
1515584400,9050,9050,9050,9050,1
1515749940,9150,8900,9150,8900,18
1516195140,9100,9100,9100,9100,3
1516195560,9100,9100,9100,9100,2
1516202280,9050,9050,9050,9050,1
1516274220,9000,9000,9000,9000,1
1516283700,9000,9000,9000,9000,1
1516288560,9000,9000,9000,9000,1
1516289220,9000,9000,9000,9000,2
1516605660,8950,8950,8950,8950,1
1516612920,9100,9100,9100,9100,11
1516620360,9150,9150,9150,9150,7
1516627860,9100,9100,9100,9100,1
1516628040,9100,9100,9100,9100,4
1516632660,9150,9150,9150,9150,4
1516633020,9150,9150,9150,9150,9
1516633080,9150,9150,9150,9150,5
1516633140,9150,9150,9150,9150,6
1516711380,9100,9100,9100,9100,1
1516717560,9050,9050,9050,9050,1
1516717620,9000,9000,9000,9000,2
1516785780,9150,9150,9150,9150,1
1516798860,9150,9150,9150,9150,4
1516800900,9050,9050,9050,9050,1
1516804440,9150,9150,9150,9150,6
1516805520,9050,9050,9050,9050,1
1516870140,9150,9150,9150,9150,3
1516889640,9150,9150,9150,9150,2
1516890720,9100,9100,9100,9100,2
1516894200,9050,9050,9050,9050,10
1516894740,9050,9050,9050,9050,1
1516954140,9000,9000,9000,9000,1
1516959300,9000,9000,9000,9000,2
1516961100,9050,9050,9050,9050,2
1516962060,9050,9050,9050,9050,3
1516962180,9050,9050,9050,9050,1
1516966260,9050,9050,9050,9050,4
1516980780,9000,9000,9000,9000,7
1517218140,9000,9000,9000,9000,1
1517299140,9150,9100,9150,9100,3
1517308620,9150,9150,9150,9150,1
1517401200,9100,9100,9100,9100,1
1517559480,9150,9150,9150,9150,1
1517559900,9150,9150,9150,9150,1
1517835780,9150,9150,9150,9150,1
1517843460,9000,9000,9000,9000,2
1517843940,9000,9000,9000,9000,1
1517845500,9000,9000,9000,9000,3
1517845560,9000,9000,9000,9000,14
1517904240,8850,8850,8850,8850,1
1517907480,8950,8950,8950,8950,1
1517907660,9050,9050,9050,9050,1
1518000480,9100,9100,9100,9100,1
1518090960,9000,9000,9000,9000,1
1518101340,9050,9050,9050,9050,1
1518593760,9000,9000,9000,9000,1
1518594240,8950,8950,8950,8950,2
1518595860,8950,8950,8950,8950,2
1518603240,8900,8950,8950,8900,14
1518612840,9000,9000,9000,9000,2
1518690960,9100,9100,9100,9100,2
1518791220,8950,9000,9000,8950,2
1518793440,8900,8900,8900,8900,3
1519037880,8900,8900,8900,8900,1
1519038000,8800,8800,8800,8800,1
1519046280,8900,8900,8900,8900,1
1519199160,8800,8800,8800,8800,5
1519220340,8800,8800,8800,8800,4
1519628400,8950,8900,8950,8900,2
1519635300,8750,8750,8750,8750,1
1519717500,8700,8700,8700,8700,2
1519723260,8650,8700,8700,8650,2
1519731120,8800,8800,8800,8800,2
1519917540,8750,8750,8750,8750,1
1520001180,8800,8800,8800,8800,1
1520841600,9000,8900,9000,8900,4
1520852340,8900,8900,8900,8900,1
1520943660,9000,9000,9000,9000,1
1521040800,8800,8800,8800,8800,1
1521185880,8700,8700,8700,8700,1
1521202080,8850,8850,8850,8850,1
1521620040,8950,8950,8950,8950,1
1521626340,8950,8950,8950,8950,1
1521629280,8900,8900,8900,8900,1
1521629820,8900,8900,8900,8900,1
1521640680,8900,8900,8900,8900,1
1522416000,8900,8850,8900,8850,2
1522681740,8800,8700,8800,8700,2
1522746480,8550,8550,8550,8550,1
1522748520,8650,8600,8650,8600,9
1522749840,8500,8550,8550,8500,5
1522749960,8500,8500,8500,8500,11
1522758300,8500,8500,8500,8500,1
1522763040,8600,8600,8600,8600,1
1522836120,8550,8550,8550,8550,1
1522852140,8550,8550,8550,8550,1
1522913460,8450,8500,8500,8450,2
1522926840,8450,8450,8450,8450,1
1522935780,9000,8400,9000,8300,20
1522943100,8900,8900,8900,8900,3
1523024400,8500,8550,8600,8500,3
1523024460,8500,8500,8500,8500,1
1523258400,8500,8500,8500,8500,1
1523259840,8400,8450,8450,8400,4
1523259960,8350,8350,8350,8350,1
1523260020,8250,8300,8300,8250,4
1523265780,8350,8350,8350,8350,1
1523266620,8250,8250,8250,8250,13
1523266740,8200,8200,8200,8200,4
1523266920,8100,8150,8150,8100,4
1523268420,8250,8100,8250,8100,2
1523366940,8450,8450,8450,8450,1
1523369280,8400,8400,8400,8400,1
1523370900,9000,8500,9000,8500,10
1523526780,8900,8300,8900,8000,29
1523526840,8400,8400,8400,8400,1
1523528160,8400,8400,8400,8400,1
1523528220,8600,8600,8600,8600,1
1523528340,8750,8750,8750,8750,1
1523536020,8750,8750,8750,8750,2
1523536980,8800,8800,8800,8800,2
1523537520,8800,8800,8800,8800,7
1523543160,8850,8850,8850,8850,1
1523631780,8600,8600,8600,8600,2
