time,close,open,high,low,volume
1514987820,4.63,4.63,4.63,4.63,1
1515483600,4.73,4.74,4.74,4.73,2
1515491460,4.74,4.74,4.74,4.74,1
1515496500,4.74,4.74,4.74,4.74,1
1515501480,4.74,4.74,4.74,4.74,1
1515503280,4.73,4.73,4.73,4.73,1
1515569940,4.7,4.74,4.74,4.7,5
1515587280,4.68,4.72,4.72,4.68,5
1515591240,4.68,4.68,4.68,4.68,1
1515592860,4.68,4.68,4.68,4.68,1
1515598140,4.64,4.68,4.68,4.64,5
1515599100,4.62,4.62,4.62,4.62,3
1515666540,4.59,4.63,4.63,4.59,5
1515685020,4.63,4.63,4.63,4.63,5
1515745080,4.61,4.62,4.62,4.61,2
1515746400,4.61,4.61,4.61,4.61,1
1515748920,4.61,4.61,4.61,4.61,1
1515751500,4.6,4.61,4.61,4.6,3
1515756480,4.6,4.6,4.6,4.6,2
1515759960,4.58,4.59,4.59,4.58,2
1516021260,4.63,4.64,4.64,4.63,2
1516022640,4.61,4.62,4.62,4.61,2
1516183080,4.65,4.69,4.69,4.65,5
1516199880,4.73,4.73,4.73,4.73,1
1516203480,4.65,4.69,4.69,4.65,5
1516203540,4.61,4.64,4.64,4.61,4
1516270800,4.69,4.68,4.69,4.68,2
1516271100,4.7,4.7,4.77,4.7,9
1516282860,4.69,4.7,4.7,4.69,2
1516284660,4.67,4.68,4.68,4.67,2
1516696500,4.53,4.56,4.56,4.53,4
1516711560,4.75,4.75,4.75,4.75,2
1516870620,4.84,4.84,4.84,4.8,4
1516870740,4.78,4.84,4.84,4.78,7
1516870800,4.77,4.77,4.77,4.77,1
1516871040,4.6,4.76,4.76,4.6,6
1516951680,4.69,4.71,4.71,4.69,3
1516958520,4.68,4.7,4.7,4.68,2
1516962840,4.68,4.68,4.68,4.68,2
1516963260,4.65,4.67,4.67,4.65,3
1516966920,4.62,4.64,4.64,4.62,3
1517222100,4.62,4.62,4.62,4.62,2
1517229840,4.6,4.61,4.61,4.6,2
1517239980,4.58,4.6,4.6,4.58,3
1517304780,4.57,4.57,4.57,4.57,1
1517312880,4.69,4.62,4.69,4.62,10
1517315820,4.7,4.7,4.7,4.7,10
1517326440,4.61,4.65,4.65,4.5,16
1517326500,4.59,4.6,4.6,4.59,2
1517326740,4.57,4.58,4.58,4.57,2
1517405700,4.55,4.56,4.56,4.55,2
1517412840,4.53,4.54,4.54,4.53,2
1517413020,4.51,4.52,4.52,4.51,2
1517468580,4.72,4.72,4.72,4.72,10
