time,close,open,high,low,volume
1514966460,351.0,351.0,351.0,351.0,1
1514966880,359.0,357.0,359.0,357.0,2
1514966940,355.0,355.0,355.0,355.0,1
1514973840,365.0,365.0,365.0,365.0,1
1514975520,359.0,359.0,359.0,359.0,1
1514978340,359.0,359.0,359.0,359.0,1
1515054000,369.0,369.0,369.0,369.0,1
1515057960,360.0,360.0,360.0,360.0,1
1515063840,367.0,367.0,367.0,367.0,1
1515067560,370.0,368.0,370.0,368.0,3
1515068280,378.0,378.0,378.0,378.0,1
1515069900,384.0,377.0,384.0,377.0,4
1515135600,393.0,393.0,393.0,393.0,1
1515136440,370.0,370.0,370.0,370.0,1
1515136620,370.0,370.0,370.0,370.0,1
1515136860,370.0,369.0,370.0,369.0,10
1515144240,370.0,370.0,370.0,370.0,5
1515147780,361.0,361.0,361.0,361.0,2
1515148860,370.0,370.0,370.0,370.0,12
1515149760,379.0,379.0,379.0,379.0,1
1515150780,379.0,377.0,379.0,377.0,2
1515151440,370.0,370.0,370.0,370.0,5
1515151500,375.0,375.0,375.0,375.0,1
1515151620,375.0,375.0,375.0,375.0,18
1515151680,375.0,375.0,375.0,375.0,1
1515153960,379.0,379.0,379.0,379.0,2
1515154560,379.0,379.0,379.0,379.0,13
1515155160,378.0,378.0,378.0,378.0,2
1515166740,377.0,377.0,377.0,377.0,1
1515482040,380.0,380.0,380.0,380.0,1
1515485040,370.0,370.0,370.0,370.0,1
1515491100,368.0,368.0,368.0,368.0,1
1515491160,367.0,367.0,367.0,367.0,1
1515492660,366.0,366.0,366.0,366.0,1
1515492780,365.0,365.0,365.0,365.0,1
1515493020,364.0,364.0,364.0,364.0,3
1515499560,372.0,372.0,372.0,372.0,1
1515507120,372.0,372.0,372.0,372.0,37
1515510360,377.0,377.0,377.0,377.0,3
1515512340,360.0,365.0,365.0,360.0,6
1515512880,362.0,362.0,362.0,362.0,1
1515568080,370.0,370.0,370.0,370.0,1
1515573600,368.0,368.0,368.0,368.0,2
1515573780,366.0,366.0,366.0,366.0,1
1515574020,365.0,365.0,365.0,365.0,1
1515574080,362.0,362.0,362.0,362.0,2
