time,close,open,high,low,volume
1514970360,3.44,3.44,3.44,3.44,1
1514992500,3.4,3.4,3.4,3.4,1
1514994300,3.43,3.43,3.43,3.43,1
1515140940,3.44,3.44,3.44,3.44,3
1515149520,3.44,3.44,3.44,3.44,10
1515149640,3.45,3.45,3.45,3.45,10
1515150060,3.44,3.44,3.44,3.44,1
1515163920,3.47,3.46,3.47,3.46,4
1515167100,3.43,3.43,3.43,3.43,1
1515167340,3.43,3.43,3.43,3.43,2
1515486960,3.49,3.48,3.49,3.48,5
1515487800,3.49,3.49,3.49,3.49,1
1515487980,3.5,3.5,3.5,3.5,1
1515489060,3.49,3.49,3.49,3.49,1
1515489180,3.49,3.49,3.49,3.49,1
1515497340,3.5,3.5,3.5,3.5,1
1515503340,3.44,3.44,3.44,3.44,2
1515578460,3.44,3.44,3.44,3.44,4
1515665880,3.52,3.52,3.52,3.52,1
1515670320,3.53,3.52,3.53,3.52,5
1515674100,3.53,3.53,3.53,3.53,5
1515680040,3.5,3.5,3.5,3.5,6
1515685740,3.5,3.5,3.5,3.5,1
1515742620,3.5,3.5,3.5,3.5,1
1515772080,3.5,3.5,3.5,3.5,2
1516010520,3.58,3.56,3.58,3.56,2
1516028880,3.58,3.57,3.58,3.57,4
1516031100,3.57,3.57,3.57,3.57,1
1516089780,3.59,3.59,3.59,3.59,1
1516103280,3.58,3.58,3.58,3.58,15
1516116540,3.59,3.58,3.59,3.58,15
1516180620,3.59,3.59,3.59,3.59,3
1516200180,3.58,3.58,3.58,3.58,1
1516275180,3.5,3.5,3.5,3.5,1
1516286040,3.58,3.58,3.58,3.58,1
1516346760,3.58,3.58,3.58,3.58,3
1516347120,3.58,3.58,3.58,3.58,3
1516347660,3.58,3.58,3.58,3.58,4
1516351140,3.59,3.59,3.59,3.59,8
1516360440,3.58,3.58,3.58,3.58,2
1516607220,3.6,3.6,3.6,3.6,1
1516612320,3.6,3.6,3.6,3.6,10
1516617060,3.6,3.6,3.6,3.6,1
1516630380,3.69,3.67,3.69,3.67,13
1516635420,3.69,3.68,3.69,3.68,12
1516696140,3.78,3.7,3.78,3.7,23
1516696740,3.7,3.7,3.7,3.7,3
1516696800,3.8,3.7,3.8,3.7,48
1516698120,3.79,3.79,3.79,3.79,1
1516705980,3.7,3.68,3.7,3.65,31
1516706040,3.65,3.65,3.65,3.65,2
1516706580,3.65,3.65,3.65,3.65,8
1516707000,3.6,3.62,3.62,3.6,23
1516709580,3.58,3.61,3.61,3.58,13
1516711320,3.58,3.57,3.58,3.57,38
1517326740,3.65,3.65,3.65,3.65,5
1517394720,3.53,3.53,3.53,3.53,2
1517413680,3.56,3.56,3.56,3.56,1
1517559660,3.69,3.65,3.69,3.65,5
1517912400,3.52,3.55,3.55,3.52,14
1517913240,3.52,3.52,3.52,3.52,25
1518076140,3.6,3.59,3.6,3.59,8
1518088140,3.6,3.6,3.6,3.6,5
1518089040,3.52,3.53,3.53,3.52,7
1518101340,3.53,3.53,3.53,3.53,2
1518159720,3.5,3.5,3.5,3.5,1
1518161580,3.6,3.6,3.6,3.6,2
1518426060,3.59,3.59,3.59,3.59,3
1518430380,3.59,3.59,3.59,3.59,10
1518433140,3.6,3.6,3.6,3.6,1
1518445380,3.59,3.59,3.59,3.59,5
1518506760,3.51,3.54,3.54,3.51,14
1518516060,3.58,3.58,3.58,3.58,2
1518526920,3.59,3.59,3.59,3.59,3
1518536880,3.56,3.56,3.56,3.56,1
1518599700,3.6,3.6,3.6,3.6,12
1518607800,3.58,3.58,3.58,3.58,1
1518683280,3.66,3.66,3.66,3.66,1
1518708900,3.57,3.57,3.57,3.57,2
1518775860,3.65,3.65,3.65,3.65,1
1518784800,3.58,3.58,3.58,3.58,1
1518785280,3.58,3.58,3.58,3.58,1
1518791520,3.58,3.58,3.58,3.58,1
1519053420,3.55,3.55,3.55,3.55,2
1519053660,3.55,3.55,3.55,3.55,8
1519111620,3.6,3.6,3.6,3.6,1
1519119780,3.61,3.6,3.61,3.6,5
1519127520,3.6,3.6,3.6,3.6,4
1519136040,3.51,3.55,3.55,3.51,30
