time,close,open,high,low,volume
1514970360,3.54,3.54,3.54,3.54,1
1515050160,3.5,3.51,3.51,3.5,2
1515052560,3.5,3.5,3.5,3.5,1
1515052860,3.5,3.5,3.5,3.5,12
1515053640,3.5,3.5,3.5,3.5,1
1515055620,3.5,3.5,3.5,3.5,3
1515055920,3.5,3.5,3.5,3.5,5
1515056040,3.5,3.5,3.5,3.5,1
1515056160,3.5,3.5,3.5,3.5,1
1515057000,3.49,3.49,3.49,3.49,3
1515059940,3.54,3.54,3.54,3.54,2
1515062760,3.53,3.49,3.53,3.49,3
1515066420,3.53,3.5,3.53,3.5,8
1515066480,3.53,3.51,3.53,3.51,2
1515078060,3.5,3.53,3.53,3.5,21
1515078180,3.53,3.53,3.53,3.53,2
1515078240,3.53,3.53,3.53,3.53,1
1515078540,3.54,3.54,3.54,3.54,2
1515483960,3.53,3.54,3.54,3.53,11
1515487800,3.53,3.53,3.53,3.53,1
1515498360,3.51,3.52,3.52,3.51,10
1515498600,3.5,3.51,3.51,3.5,10
1515512700,3.56,3.56,3.56,3.56,8
1515512880,3.56,3.56,3.56,3.56,1
1515567840,3.6,3.6,3.6,3.6,5
1515570360,3.6,3.6,3.6,3.6,1
1515574620,3.59,3.59,3.59,3.59,1
1515577020,3.6,3.6,3.6,3.6,5
1515589260,3.56,3.56,3.56,3.56,1
1515589320,3.56,3.56,3.56,3.56,1
1515591360,3.55,3.56,3.56,3.55,3
1515669300,3.6,3.6,3.6,3.6,2
1515674220,3.6,3.59,3.6,3.59,5
1515685680,3.6,3.6,3.6,3.6,3
1515745200,3.65,3.65,3.65,3.65,1
1515765060,3.67,3.67,3.67,3.67,2
1516016280,3.66,3.66,3.66,3.66,1
1516025700,3.62,3.63,3.63,3.62,2
1516029780,3.64,3.64,3.64,3.64,1
1516030260,3.64,3.64,3.64,3.64,1
1516097400,3.67,3.67,3.67,3.67,1
1516097460,3.69,3.68,3.69,3.68,7
1516111680,3.65,3.65,3.65,3.65,1
1516117140,3.67,3.67,3.67,3.67,1
1516117500,3.68,3.68,3.68,3.68,1
1516175220,3.7,3.69,3.7,3.69,11
1516275180,3.59,3.61,3.61,3.59,7
1516286040,3.68,3.68,3.68,3.68,1
1516614360,3.62,3.65,3.65,3.61,7
1516619940,3.67,3.65,3.67,3.65,2
1516635420,3.7,3.66,3.7,3.66,10
1516694100,3.77,3.69,3.77,3.69,7
1516697160,3.7,3.7,3.7,3.7,1
1516700460,3.76,3.76,3.76,3.76,1
1516704000,3.75,3.75,3.75,3.75,3
1516705020,3.76,3.76,3.76,3.76,5
1516705140,3.77,3.77,3.77,3.77,4
1516705200,3.77,3.77,3.77,3.77,3
1516705320,3.79,3.78,3.79,3.78,2
1516706520,3.65,3.69,3.69,3.65,12
1516713420,3.74,3.74,3.74,3.74,1
1516715640,3.68,3.68,3.68,3.68,4
1516715940,3.67,3.67,3.67,3.67,2
1516719900,3.65,3.65,3.65,3.65,1
1516720680,3.74,3.74,3.74,3.74,1
1516789920,3.72,3.71,3.72,3.71,2
1516790100,3.72,3.72,3.72,3.72,1
