time,close,open,high,low,volume
1514963460,0.324,0.324,0.324,0.324,1
1514971080,0.324,0.323,0.324,0.323,2
1515072120,0.326,0.325,0.326,0.325,2
1515075420,0.328,0.328,0.328,0.328,1
1515147720,0.33,0.329,0.332,0.329,5
1515148620,0.328,0.328,0.328,0.328,1
1515148680,0.326,0.327,0.327,0.326,2
1515149580,0.325,0.325,0.325,0.325,1
1515150060,0.324,0.324,0.324,0.324,1
1515153840,0.328,0.328,0.328,0.328,1
1515166440,0.331,0.33,0.331,0.33,2
1515482040,0.332,0.332,0.332,0.332,2
1515482340,0.333,0.333,0.333,0.333,1
1515484620,0.349,0.349,0.349,0.349,1
1515491880,0.331,0.331,0.331,0.331,1
1515491940,0.328,0.329,0.329,0.328,2
1515497640,0.327,0.327,0.327,0.327,1
1515511920,0.33,0.33,0.33,0.33,1
1515681720,0.334,0.334,0.334,0.334,1
1515752160,0.396,0.335,0.396,0.335,13
1515752220,0.338,0.34,0.34,0.338,3
1515752580,0.338,0.338,0.338,0.338,1
1515754560,0.34,0.338,0.34,0.338,51
1516013520,0.37,0.37,0.37,0.37,1
1516013700,0.35,0.35,0.35,0.35,1
1516091400,0.37,0.37,0.37,0.37,1
1516376220,0.355,0.355,0.355,0.355,2
1516794120,0.331,0.331,0.331,0.331,1
1516794180,0.34,0.34,0.34,0.34,1
1516794300,0.331,0.33,0.331,0.33,2
1516794360,0.33,0.33,0.33,0.33,1
1516795560,0.327,0.327,0.327,0.327,1
1516801140,0.34,0.35,0.35,0.34,2
1516806480,0.34,0.34,0.34,0.34,2
1516808040,0.328,0.328,0.328,0.328,1
1516808160,0.33,0.33,0.33,0.33,1
1516808220,0.327,0.327,0.327,0.327,1
1516869780,0.359,0.359,0.359,0.359,1
1516869840,0.34,0.34,0.34,0.34,1
1516869960,0.363,0.35,0.363,0.328,3
1516874640,0.34,0.338,0.34,0.338,2
1516874700,0.337,0.337,0.337,0.337,1
1516874820,0.336,0.336,0.336,0.336,1
1516876800,0.335,0.335,0.335,0.335,1
1516892280,0.334,0.334,0.334,0.334,1
1516892460,0.333,0.333,0.333,0.333,1
1517307300,0.333,0.333,0.333,0.333,20
1517382480,0.325,0.332,0.332,0.325,3
1517401860,0.336,0.335,0.336,0.335,2
1517497680,0.338,0.337,0.338,0.337,2
1517499300,0.339,0.339,0.339,0.339,2
1517499420,0.34,0.34,0.34,0.34,1
1517555520,0.341,0.341,0.341,0.341,1
1517555580,0.342,0.342,0.342,0.342,1
