time,close,open,high,low,volume
1514967300,0.196,0.196,0.196,0.196,1
1514968800,0.197,0.197,0.197,0.197,1
1515064800,0.198,0.198,0.198,0.198,1
1515144960,0.2,0.2,0.2,0.2,9
1515145380,0.201,0.201,0.201,0.201,1
1515146400,0.202,0.202,0.202,0.202,1
1515146460,0.203,0.203,0.203,0.203,1
1515146520,0.204,0.204,0.204,0.204,2
1515147480,0.205,0.205,0.205,0.205,2
1515147540,0.207,0.205,0.207,0.205,3
1515147600,0.21,0.208,0.21,0.208,4
1515147720,0.21,0.21,0.21,0.21,1
1515147900,0.211,0.211,0.211,0.211,1
1515147960,0.216,0.212,0.216,0.212,24
1515148080,0.217,0.217,0.217,0.217,2
1515148200,0.212,0.214,0.214,0.212,4
1515148560,0.211,0.211,0.211,0.211,2
1515148620,0.207,0.21,0.21,0.207,4
1515148740,0.201,0.206,0.206,0.201,18
1515148920,0.21,0.204,0.21,0.204,7
1515148980,0.21,0.21,0.21,0.21,1
1515149340,0.21,0.21,0.21,0.21,2
1515149400,0.211,0.211,0.211,0.211,1
1515149460,0.213,0.212,0.213,0.212,2
1515149520,0.216,0.214,0.216,0.214,17
1515149700,0.212,0.213,0.213,0.212,2
1515149760,0.21,0.211,0.211,0.21,3
1515149820,0.212,0.212,0.212,0.212,1
1515149940,0.209,0.209,0.209,0.209,1
1515150000,0.208,0.208,0.208,0.208,1
1515150060,0.206,0.207,0.207,0.206,4
1515151440,0.205,0.205,0.205,0.205,3
1515151860,0.201,0.204,0.204,0.201,15
1515153480,0.205,0.205,0.205,0.205,1
1515153540,0.207,0.206,0.207,0.206,3
1515153600,0.209,0.208,0.209,0.208,3
1515153660,0.21,0.21,0.21,0.21,1
1515153720,0.21,0.21,0.21,0.21,1
1515153780,0.211,0.211,0.211,0.211,1
1515153840,0.21,0.21,0.21,0.21,2
1515153900,0.212,0.212,0.212,0.212,1
1515153960,0.213,0.213,0.213,0.213,1
1515154200,0.213,0.213,0.213,0.213,1
1515154260,0.213,0.213,0.213,0.213,7
1515154320,0.213,0.213,0.213,0.213,1
1515155880,0.213,0.213,0.213,0.213,1
1515155940,0.215,0.214,0.215,0.214,4
1515156000,0.217,0.216,0.217,0.216,2
1515156180,0.218,0.218,0.218,0.218,2
1515157800,0.218,0.218,0.218,0.218,1
1515157980,0.217,0.217,0.217,0.217,1
1515159720,0.219,0.218,0.219,0.218,19
1515159780,0.22,0.22,0.22,0.22,2
1515162180,0.216,0.217,0.217,0.216,4
1515162300,0.213,0.215,0.215,0.213,3
1515162360,0.212,0.212,0.212,0.212,1
1515163020,0.215,0.215,0.215,0.215,1
1515163080,0.218,0.216,0.218,0.216,10
1515163140,0.216,0.216,0.216,0.216,16
1515163380,0.219,0.219,0.219,0.219,1
1515163500,0.222,0.219,0.222,0.219,34
1515164100,0.218,0.218,0.218,0.218,1
1515165420,0.218,0.218,0.218,0.218,1
1515165840,0.217,0.217,0.217,0.217,1
1515166260,0.219,0.219,0.227,0.219,26
1515166320,0.217,0.218,0.218,0.217,2
1515166380,0.215,0.216,0.216,0.208,21
1515166440,0.217,0.216,0.217,0.216,2
1515166620,0.218,0.218,0.218,0.218,1
1515481800,0.215,0.215,0.215,0.215,1
1515481860,0.214,0.214,0.214,0.214,1
1515481920,0.213,0.213,0.213,0.213,1
1515483840,0.214,0.214,0.214,0.214,3
1515484260,0.214,0.214,0.214,0.214,1
1515484560,0.216,0.216,0.216,0.216,18
1515484620,0.218,0.217,0.218,0.217,2
1515484680,0.216,0.219,0.219,0.216,27
1515484740,0.215,0.215,0.215,0.215,1
1515485100,0.215,0.215,0.215,0.215,10
1515485880,0.218,0.218,0.218,0.218,1
1515488340,0.212,0.215,0.215,0.212,14
1515489900,0.215,0.215,0.215,0.215,1
1515490200,0.216,0.216,0.216,0.216,1
1515490380,0.213,0.213,0.213,0.213,2
1515494460,0.217,0.217,0.217,0.217,1
1515494580,0.215,0.215,0.215,0.215,30
1515494640,0.215,0.215,0.215,0.215,15
1515496380,0.215,0.215,0.215,0.215,1
1515497040,0.212,0.214,0.214,0.212,4
1515497100,0.212,0.212,0.212,0.212,1
1515497280,0.21,0.211,0.211,0.21,3
1515497880,0.209,0.209,0.209,0.209,4
1515497940,0.206,0.208,0.208,0.206,9
1515498060,0.204,0.205,0.205,0.204,8
1515498120,0.204,0.204,0.204,0.204,1
1515498360,0.205,0.205,0.205,0.205,1
1515500220,0.206,0.206,0.206,0.206,1
1515500520,0.206,0.206,0.206,0.206,10
1515500580,0.205,0.205,0.205,0.205,1
1515500700,0.202,0.204,0.204,0.202,24
1515501000,0.204,0.204,0.204,0.204,1
1515501240,0.203,0.203,0.203,0.203,4
1515501420,0.203,0.203,0.203,0.203,1
1515501600,0.202,0.202,0.202,0.202,17
1515502740,0.203,0.203,0.203,0.203,1
1515503040,0.203,0.203,0.203,0.203,1
1515503340,0.203,0.203,0.203,0.203,1
1515504420,0.201,0.201,0.201,0.201,1
1515506100,0.204,0.204,0.204,0.204,1
1515506160,0.205,0.205,0.205,0.205,5
1515511560,0.206,0.206,0.206,0.206,1
1515568560,0.207,0.207,0.207,0.207,1
1515568860,0.207,0.207,0.207,0.207,4
1515578880,0.205,0.205,0.205,0.205,1
1515598680,0.204,0.205,0.205,0.204,3
1515655380,0.204,0.204,0.204,0.204,1
1515668280,0.207,0.207,0.207,0.207,1
1515670200,0.207,0.207,0.207,0.207,1
1515671220,0.207,0.207,0.207,0.207,1
1515672360,0.207,0.207,0.207,0.207,1
1515672420,0.207,0.207,0.207,0.207,1
1515673560,0.207,0.207,0.207,0.207,1
1515677400,0.204,0.204,0.204,0.204,2
1515677460,0.203,0.203,0.203,0.203,1
1515747300,0.203,0.203,0.203,0.203,1
1516004340,0.205,0.205,0.205,0.205,5
1516005960,0.207,0.207,0.207,0.207,1
1516091340,0.209,0.209,0.209,0.209,1
1516102440,0.208,0.208,0.208,0.208,1
1516184040,0.209,0.209,0.209,0.209,1
1516192920,0.206,0.206,0.206,0.206,1
1516273800,0.204,0.204,0.204,0.204,4
1516282320,0.21,0.21,0.21,0.21,4
1516282680,0.211,0.211,0.211,0.211,6
1516286220,0.21,0.21,0.21,0.21,2
1516286640,0.21,0.21,0.21,0.21,8
1516286820,0.21,0.21,0.21,0.21,10
1516353300,0.212,0.211,0.212,0.211,23
1516361100,0.212,0.212,0.212,0.212,1
1516366980,0.215,0.213,0.215,0.213,5
1516370340,0.216,0.215,0.216,0.215,13
1516372320,0.214,0.214,0.214,0.214,1
1516372440,0.214,0.214,0.214,0.214,4
1516374120,0.218,0.218,0.218,0.218,1
1516375500,0.215,0.215,0.215,0.215,5
1516605660,0.215,0.215,0.215,0.215,4
1516614720,0.219,0.219,0.219,0.219,1
1516625100,0.22,0.22,0.22,0.22,1
1516711380,0.221,0.221,0.221,0.221,1
1516779060,0.211,0.211,0.211,0.211,10
