time,close,open,high,low,volume
1514982180,79.0,78.4,79.0,78.4,20
1514982240,79.0,79.0,79.0,79.0,80
1514992440,79.1,79.1,79.1,79.1,1
1515049320,79.0,79.0,79.0,79.0,1
1515069900,79.0,78.9,79.0,78.9,15
1515162780,78.8,78.8,78.8,78.8,1
1515164940,78.5,78.5,78.5,78.5,1
1515165240,78.2,78.2,78.2,78.2,1
1515165720,78.2,78.2,78.2,78.2,1
1515165840,78.2,78.2,78.2,78.2,4
1515165960,78.0,78.0,78.0,78.0,2
1515166440,77.9,77.9,77.9,77.9,1
1515484080,77.7,77.7,77.7,77.7,1
1515484860,73.5,77.7,77.7,73.5,8
1515485040,78.6,78.6,78.6,78.6,1
1515491940,78.6,78.6,78.6,78.6,1
1515502620,77.6,77.6,77.6,77.6,1
1515502920,77.6,77.6,77.6,77.6,14
1515507600,77.0,77.3,77.3,77.0,2
1515507660,76.6,77.0,77.0,76.6,5
1515509820,78.0,77.5,78.0,77.5,15
1515569520,77.7,77.7,77.7,77.7,15
1515570240,77.6,77.6,77.6,77.6,2
1515570300,77.7,77.7,77.7,77.7,5
1515570360,77.6,77.6,77.6,77.6,5
1515570420,77.6,77.6,77.6,77.6,4
1515570480,77.7,77.7,77.7,77.7,2
1515570540,77.7,77.7,77.7,77.7,4
1515571140,77.7,77.7,77.7,77.7,24
1515571560,78.3,78.3,78.3,78.3,1
1515581220,78.5,78.0,78.5,78.0,9
1515584220,79.0,78.6,79.0,78.6,4
1515592920,79.0,79.0,79.0,79.0,7
1515595920,79.0,79.0,79.0,79.0,10
1515655020,79.5,79.2,79.5,79.2,18
1515655140,79.5,79.5,79.5,79.5,2
1515661920,79.5,79.5,79.5,79.5,2
1515663000,80.4,79.5,80.5,79.5,66
1515663420,80.0,80.0,80.0,80.0,35
1515663900,80.0,80.0,80.0,80.0,3
1515672600,80.0,80.0,80.0,80.0,1
1515672900,79.4,79.4,79.4,79.4,1
1515674460,78.5,79.1,79.1,78.5,7
1515675540,77.9,78.9,78.9,77.9,33
1515675600,77.9,77.9,77.9,77.9,2
1515676140,75.6,77.6,77.6,75.5,137
1515682860,78.5,78.5,78.5,78.5,1
1515744780,76.9,77.3,77.3,76.9,2
1515745260,76.9,76.9,76.9,76.9,6
1515745320,76.9,76.9,76.9,76.9,4
1515746220,76.9,76.9,76.9,76.9,38
1515754380,77.8,77.8,77.8,77.8,1
1515755220,76.0,76.7,76.7,76.0,8
1515755280,77.7,76.0,77.7,76.0,16
1515755700,76.7,76.7,76.7,76.7,1
1515755760,77.4,77.4,77.4,77.4,1
1515763080,76.4,76.4,76.4,76.4,3
1515763740,76.4,76.4,76.4,76.4,1
1515763920,76.4,76.4,76.4,76.4,2
1515771420,76.4,76.4,76.4,76.4,27
1516000620,76.5,76.5,76.5,76.5,1
1516029300,75.5,75.5,75.5,75.5,3
1516086900,76.4,76.4,76.4,76.4,1
1516103640,75.2,75.2,75.2,75.2,4
1516110300,74.2,75.1,75.1,74.2,19
1516111620,75.4,75.4,75.4,75.4,2
1516172460,76.1,76.1,76.1,76.1,1
1516173000,75.4,75.4,75.4,75.4,1
1516173180,75.4,75.4,75.4,75.4,1
1516173780,75.5,75.5,75.5,75.5,1
1516174200,76.5,75.5,76.5,75.5,21
1516174260,78.0,76.8,78.0,76.8,12
1516174320,78.3,77.0,78.3,77.0,4
1516174380,77.5,77.5,77.5,77.5,10
1516174440,77.3,77.3,77.3,77.3,6
1516174500,77.0,77.3,77.3,77.0,11
1516175700,77.3,77.3,77.3,77.3,3
1516175760,77.4,77.4,77.4,77.4,27
1516176180,77.5,77.5,77.5,77.5,17
1516180080,78.0,78.0,78.0,78.0,1
1516181580,78.0,78.0,78.0,78.0,1
1516181880,78.0,78.0,78.0,78.0,1
1516192380,77.9,77.9,77.9,77.9,7
1516195200,77.9,77.9,77.9,77.9,1
1516196580,77.9,77.9,77.9,77.9,2
1516197960,78.3,78.3,78.3,78.3,2
1516261860,77.1,77.1,77.1,77.1,1
1516261920,76.6,77.1,77.1,76.6,7
1516261980,75.5,76.5,76.5,75.5,42
1516262040,75.7,75.7,75.7,75.7,2
