time,close,open,high,low,volume
1514967000,7.55,7.55,7.55,7.55,1
1515074460,7.55,7.55,7.55,7.55,1
1515489960,7.6,7.6,7.6,7.6,1
1515503280,7.6,7.6,7.6,7.6,1
1515508560,7.7,7.7,7.7,7.7,1
1515568860,7.6,7.6,7.6,7.6,1
1515569340,7.6,7.6,7.6,7.6,1
1515569580,7.6,7.6,7.6,7.6,1
1515588060,7.6,7.6,7.6,7.6,1
1515592800,7.6,7.6,7.6,7.6,1
1515654240,8.0,8.0,8.0,8.0,3
1515654480,7.8,7.6,7.8,7.6,11
1515654660,7.65,7.7,7.7,7.65,2
1515660840,7.75,7.75,7.75,7.75,2
1515661680,7.65,7.65,7.65,7.65,5
1515664260,7.65,7.65,7.65,7.65,56
1515664440,7.6,7.6,7.6,7.6,2
1515674520,7.6,7.6,7.6,7.6,1
1515747000,7.6,7.6,7.6,7.6,1
1515747480,7.7,7.7,7.7,7.7,2
1515747540,7.75,7.75,7.75,7.75,3
1516029660,7.75,7.75,7.75,7.75,1
1516099920,7.75,7.75,7.75,7.75,1
1516276200,8.0,7.9,8.0,7.8,5
1516276320,8.1,8.0,8.1,8.0,8
1516276500,8.0,8.05,8.05,8.0,3
1516277400,7.95,7.95,7.95,7.95,1
1516286700,7.6,7.9,7.9,7.5,8
1516289820,7.6,7.6,7.6,7.6,1
1516290300,7.65,7.65,7.65,7.65,1
1516362600,7.8,7.8,7.8,7.8,1
1516716780,7.65,7.65,7.65,7.65,1
1516722300,7.75,7.75,7.75,7.75,1
1516870380,7.8,7.85,7.85,7.8,2
1516883640,7.8,7.8,7.8,7.8,2
1516884540,7.7,7.75,7.75,7.7,4
1516884600,7.55,7.65,7.65,7.55,7
1516884720,7.5,7.5,7.5,7.5,2
1516888080,7.5,7.5,7.5,7.5,1
1516889340,7.45,7.45,7.45,7.45,1
1517212080,7.45,7.5,7.5,7.45,2
1517212260,7.45,7.45,7.45,7.45,1
1517474700,7.55,7.55,7.55,7.55,1
1517490960,7.45,7.45,7.45,7.45,1
1517902080,5.45,7.45,7.45,5.45,30
1517902140,7.15,7.2,7.2,7.15,2
1517902980,7.25,7.2,7.25,7.2,2
1517903040,7.3,7.3,7.3,7.3,1
1517905200,7.25,7.25,7.25,7.25,1
1517906160,7.15,7.2,7.2,7.15,4
1517906460,7.2,7.2,7.2,7.2,1
1517907540,7.2,7.2,7.2,7.2,1
1517921040,7.1,7.1,7.1,7.1,1
1517929800,7.2,7.2,7.2,7.2,2
1517930580,7.25,7.25,7.25,7.25,1
1517987160,7.25,7.25,7.25,7.25,1
1517987640,7.25,7.25,7.25,7.25,1
1518000720,7.15,7.2,7.2,7.15,3
1518086880,7.15,7.15,7.15,7.15,1
1518086940,7.1,7.1,7.1,7.1,3
1518090120,7.1,7.1,7.1,7.1,2
1518168540,7.0,7.05,7.05,7.0,5
1518168600,7.0,7.0,7.0,7.0,2
1518169200,7.0,7.0,7.0,7.0,3
1518173340,7.0,7.0,7.0,7.0,1
1518173940,7.0,7.0,7.0,7.0,4
1518180720,7.0,7.0,7.0,7.0,5
1518183360,6.95,6.95,6.95,6.95,2
1518429840,7.05,7.05,7.05,7.05,1
1518524340,6.95,6.95,6.95,6.95,1
1518524400,6.75,6.85,6.85,6.75,6
1518524460,6.65,6.7,6.7,6.65,2
1518525300,6.85,6.85,6.85,6.85,1
1518525840,6.95,6.95,6.95,6.95,1
1518535800,6.95,6.95,6.95,6.95,1
1519130340,6.85,6.85,6.85,6.85,1
1519133700,6.9,6.9,6.9,6.9,1
1519305240,6.9,6.9,6.9,6.9,1
1519636260,6.95,6.95,6.95,6.95,1
1519636440,7.0,7.0,7.0,7.0,6
1519636560,7.05,7.05,7.05,7.05,7
1519636620,7.05,7.05,7.05,7.05,3
1519636680,7.05,7.05,7.05,7.05,7
1519718100,6.95,6.95,6.95,6.95,4
1519718340,6.95,6.95,6.95,6.95,8
1519802400,6.85,6.85,6.85,6.85,1
1519802880,6.85,6.85,6.85,6.85,5
1519802940,6.85,6.85,6.85,6.85,5
1519909440,6.75,6.75,6.75,6.75,1
1519918380,6.85,6.85,6.85,6.85,1
1519974060,7.75,7.75,7.75,7.75,3
1519993380,6.95,6.95,6.95,6.95,1
1520319960,6.65,6.65,6.65,6.65,1
1520321340,6.8,6.8,6.8,6.8,1
1520421600,6.75,6.75,6.75,6.75,1
1520932920,6.85,6.85,6.85,6.85,1
1521038220,6.75,6.75,6.75,6.75,1
1521213660,6.75,6.75,6.75,6.75,1
1521618780,6.85,6.85,6.85,6.85,1
1521631860,6.75,6.75,6.75,6.75,2
1521631920,6.65,6.7,6.7,6.65,6
1521631980,6.75,6.75,6.75,6.75,1
1521638280,6.7,6.7,6.7,6.7,1
1521646500,6.65,6.65,6.65,6.65,2
1521703320,6.45,6.55,6.6,6.45,4
1521703560,6.55,6.55,6.65,6.55,4
1521703620,6.65,6.65,6.65,6.65,1
1521704700,6.55,6.55,6.55,6.55,3
1521706560,6.5,6.5,6.5,6.5,2
1521707100,6.45,6.45,6.45,6.45,5
1521707280,6.55,6.55,6.55,6.55,1
1521714660,6.55,6.55,6.55,6.55,33
1521716220,6.4,6.5,6.5,6.4,7
1521717120,6.55,6.55,6.55,6.55,1
1521717780,6.35,6.45,6.45,6.35,5
1521717840,6.45,6.45,6.45,6.45,1
1521718980,6.55,6.55,6.55,6.55,1
1521724920,6.45,6.55,6.55,6.45,2
1521725160,6.45,6.55,6.55,6.45,2
