time,close,open,high,low,volume
1514965980,2.48,2.5,2.5,2.48,3
1514976480,2.47,2.47,2.47,2.47,1
1515061980,2.55,2.5,2.55,2.5,8
1515062040,2.58,2.56,2.58,2.56,5
1515062100,2.53,2.55,2.55,2.53,3
1515140640,2.5,2.53,2.53,2.5,4
1515142320,2.53,2.53,2.53,2.53,1
1515143460,2.5,2.5,2.5,2.5,1
1515144240,2.53,2.53,2.53,2.53,1
1515144360,2.5,2.5,2.5,2.5,1
1515145080,2.53,2.53,2.53,2.53,1
1515145260,2.5,2.5,2.5,2.5,1
1515146280,2.5,2.5,2.5,2.5,1
1515146640,2.54,2.52,2.54,2.52,63
1515148320,2.5,2.51,2.51,2.5,2
1515162480,2.5,2.5,2.5,2.5,4
1515574020,2.54,2.54,2.54,2.54,1
1515592140,2.5,2.51,2.51,2.5,3
1515593400,2.53,2.53,2.53,2.53,10
1515654540,2.54,2.54,2.54,2.54,1
1515658620,2.5,2.52,2.52,2.5,3
1515659940,2.5,2.5,2.5,2.5,2
1515682020,2.5,2.5,2.5,2.5,1
1515744060,2.52,2.52,2.52,2.52,1
1515765480,2.5,2.5,2.5,2.5,1
1516020600,2.53,2.52,2.53,2.52,4
1516021140,2.53,2.53,2.53,2.53,1
1516026840,2.51,2.51,2.51,2.51,1
1516027500,2.5,2.5,2.5,2.5,1
1516086060,2.6,2.61,2.61,2.6,3
1516087320,2.49,2.49,2.49,2.49,1
1516087380,2.5,2.5,2.5,2.5,1
1516094520,2.52,2.52,2.52,2.52,1
1516274100,2.52,2.52,2.52,2.52,20
1516374120,2.48,2.48,2.48,2.48,1
1516374600,2.54,2.54,2.54,2.54,1
1516709460,2.39,2.5,2.5,2.39,53
1516709520,2.39,2.39,2.39,2.39,3
1516710060,2.51,2.51,2.51,2.51,1
1516715580,2.45,2.45,2.45,2.45,1
1516866960,2.48,2.42,2.48,2.41,5
1516868640,2.5,2.49,2.5,2.49,3
1516888860,2.5,2.5,2.5,2.5,1
1517225820,2.5,2.5,2.5,2.5,1
1517382060,2.54,2.54,2.54,2.54,2
1517384220,2.49,2.49,2.49,2.49,1
1517394120,2.48,2.48,2.48,2.48,1
1517412720,2.45,2.47,2.47,2.45,6
1517413140,2.48,2.48,2.48,2.48,1
1517924460,2.47,2.47,2.47,2.47,2
1517924640,2.51,2.51,2.51,2.51,1
1517989860,2.53,2.53,2.53,2.53,1
1517993640,2.4,2.48,2.48,2.4,26
1517993700,2.49,2.49,2.49,2.49,1
1517999040,2.45,2.44,2.45,2.44,3
1517999100,2.45,2.45,2.45,2.45,3
1518011640,2.44,2.44,2.44,2.44,2
1518017940,2.4,2.39,2.4,2.38,4
1518076740,2.52,2.52,2.52,2.52,1
1518080280,2.5,2.45,2.5,2.45,5
1518080400,2.37,2.39,2.39,2.37,5
1518080820,2.47,2.47,2.47,2.47,1
1518080940,2.48,2.48,2.48,2.48,1
1518441060,2.5,2.5,2.5,2.5,1
1518591600,2.53,2.53,2.53,2.53,1
1518591780,2.48,2.49,2.49,2.48,2
1518592080,2.51,2.51,2.51,2.51,1
1518784800,2.43,2.43,2.43,2.43,1
1519023600,2.39,2.4,2.4,2.39,2
1519023660,2.34,2.45,2.45,2.34,4
1519023720,2.34,2.35,2.35,2.34,2
1519023780,2.33,2.33,2.33,2.33,1
1519023840,2.3,2.3,2.3,2.3,3
