time,close,open,high,low,volume
1514979180,1.85,1.85,1.85,1.85,2
1514992860,1.85,1.85,1.85,1.85,1
1515052800,1.85,1.85,1.85,1.85,1
1515056340,1.84,1.84,1.84,1.84,1
1515062220,1.84,1.84,1.84,1.84,5
1515074340,1.84,1.84,1.84,1.84,1
1515142440,1.86,1.86,1.86,1.86,1
1515144300,1.87,1.87,1.87,1.87,1
1515146520,1.84,1.84,1.84,1.84,2
1515146700,1.84,1.84,1.84,1.84,10
1515146820,1.87,1.87,1.87,1.87,1
1515481380,1.85,1.85,1.85,1.85,1
1515482640,1.84,1.84,1.84,1.84,1
1515483060,1.88,1.87,1.88,1.87,2
1515483180,1.9,1.89,1.9,1.89,3
1515483900,1.87,1.87,1.87,1.87,1
1515491700,1.88,1.87,1.88,1.87,8
1515507660,1.87,1.87,1.87,1.87,1
1515574020,1.9,1.9,1.9,1.9,1
1515581160,1.89,1.89,1.89,1.89,1
1515765780,1.89,1.89,1.89,1.89,1
1515999600,1.94,1.94,1.94,1.94,1
1516088160,1.77,1.89,1.89,1.77,10
1516090620,1.86,1.86,1.86,1.86,1
1516093740,1.76,1.84,1.84,1.76,54
1516093800,1.88,1.88,1.88,1.88,1
1516094160,1.84,1.84,1.84,1.84,2
1516094460,1.77,1.83,1.83,1.77,12
1516094520,1.77,1.77,1.77,1.77,4
1516094580,1.77,1.77,1.77,1.77,4
1516104000,1.79,1.79,1.79,1.79,1
1516105800,1.79,1.79,1.79,1.79,1
1516105920,1.8,1.8,1.8,1.8,2
1516111560,1.8,1.8,1.8,1.8,1
1516116480,1.81,1.81,1.81,1.81,1
1516190280,1.78,1.78,1.78,1.78,1
1516203900,1.81,1.81,1.81,1.81,1
1516376220,1.8,1.8,1.8,1.8,1
1516700520,1.83,1.83,1.83,1.83,1
1516788960,1.83,1.81,1.83,1.81,18
1516866780,1.8,1.8,1.8,1.8,3
1516866960,1.87,1.84,1.87,1.84,3
1516869420,1.8,1.81,1.81,1.8,2
1516881900,1.79,1.79,1.79,1.79,1
1516888860,1.84,1.84,1.84,1.84,1
1516951320,1.8,1.81,1.81,1.8,4
1516951440,1.8,1.8,1.8,1.8,1
1516956660,1.8,1.8,1.8,1.8,1
1516970100,1.8,1.8,1.8,1.8,1
1517300580,1.8,1.8,1.8,1.8,4
1517302500,1.79,1.79,1.79,1.79,1
1517320440,1.78,1.78,1.78,1.78,1
1517410080,1.77,1.77,1.77,1.77,1
1517822280,1.76,1.76,1.76,1.76,1
1517837580,1.76,1.76,1.76,1.76,6
1517840640,1.76,1.76,1.76,1.76,1
1517916420,1.73,1.73,1.73,1.73,1
1517916540,1.75,1.75,1.75,1.75,1
1517989920,1.8,1.8,1.8,1.8,1
1517993700,1.75,1.75,1.75,1.75,1
1518006420,1.76,1.76,1.76,1.76,10
1518177300,1.68,1.68,1.68,1.68,1
1518188700,1.73,1.73,1.73,1.73,1
1518430800,1.74,1.74,1.74,1.74,1
1518510060,1.74,1.74,1.74,1.74,1
1518532560,1.74,1.74,1.74,1.74,1
1518615840,1.74,1.74,1.74,1.74,5
1518679800,1.73,1.73,1.73,1.73,1
1518690480,1.73,1.73,1.73,1.73,1
1518702840,1.71,1.71,1.71,1.71,4
1518766980,1.7,1.7,1.7,1.7,2
1519054140,1.69,1.69,1.69,1.69,1
1519132860,1.65,1.68,1.68,1.65,17
1519133460,1.66,1.66,1.66,1.66,1
1519137780,1.6,1.65,1.65,1.6,15
1519138020,1.6,1.6,1.6,1.6,1
1519138440,1.62,1.62,1.62,1.62,3
1519138500,1.62,1.62,1.62,1.62,10
1519225380,1.64,1.64,1.64,1.64,1
1519644600,1.66,1.66,1.66,1.66,2
1519644780,1.68,1.68,1.68,1.68,2
1519644900,1.68,1.68,1.68,1.68,1
1519652280,1.68,1.68,1.68,1.68,1
1519653300,1.66,1.67,1.67,1.66,8
1519658700,1.68,1.68,1.68,1.68,2
1519718220,1.66,1.66,1.66,1.66,2
1519718280,1.65,1.65,1.65,1.65,1
1519719000,1.65,1.65,1.65,1.65,2
1519728720,1.73,1.68,1.73,1.68,10
1519729380,1.73,1.7,1.73,1.7,10
1519732980,1.69,1.69,1.69,1.69,1
1519801740,1.81,1.72,1.81,1.72,3
1519802400,1.6,1.71,1.71,1.6,20
1519802460,1.72,1.72,1.72,1.72,1
1519802520,1.61,1.74,1.83,1.61,30
1519802580,1.69,1.69,1.69,1.69,1
1519802640,1.69,1.7,1.72,1.69,3
1519803060,1.7,1.7,1.7,1.7,1
1519803240,1.72,1.72,1.72,1.72,5
1519813920,1.69,1.69,1.69,1.69,1
1519831740,1.69,1.69,1.69,1.69,1
1519914660,1.67,1.67,1.67,1.67,1
1519973940,1.73,1.73,1.73,1.73,4
1519974000,2.08,2.08,2.08,2.08,1
1519974060,1.75,1.75,1.75,1.75,6
1519974240,1.77,1.7,1.77,1.7,3
1519974300,1.74,1.77,1.77,1.72,3
1519974360,1.78,1.76,1.79,1.76,7
1519974420,1.83,1.8,1.83,1.8,7
1519974480,1.8,1.8,1.8,1.8,7
1519974540,1.8,1.79,1.8,1.77,7
1519974600,1.8,1.8,1.8,1.8,20
1519974660,1.82,1.82,1.82,1.82,1
1519974900,1.82,1.82,1.82,1.82,1
1519974960,1.84,1.83,1.84,1.83,4
1519975680,1.84,1.83,1.84,1.83,6
1519975740,1.88,1.85,1.88,1.85,9
1519975800,1.9,1.89,1.9,1.89,10
1519975920,1.92,1.9,1.92,1.9,18
1519975980,1.93,1.91,1.93,1.91,11
1519976040,1.95,1.93,1.95,1.93,19
1519976160,1.96,1.96,1.96,1.95,8
1519976280,1.98,1.95,1.98,1.95,4
1519976340,1.96,1.97,1.97,1.96,2
1519977180,1.95,1.95,1.95,1.95,1
1519977240,1.94,1.94,1.94,1.94,2
1519977720,1.94,1.94,1.94,1.94,1
1519977960,1.91,1.93,1.93,1.91,6
1519978080,1.85,1.94,1.94,1.85,58
1519978140,1.85,1.9,1.9,1.85,7
1519978260,1.85,1.85,1.85,1.85,1
1519978500,1.9,1.88,1.91,1.88,12
1519978560,1.86,1.88,1.88,1.86,3
1519978620,1.87,1.89,1.9,1.87,4
1519978860,1.86,1.87,1.87,1.86,2
1519978920,1.81,1.86,1.86,1.81,37
1519978980,1.84,1.84,1.84,1.84,1
1519979220,1.85,1.85,1.85,1.85,2
1519979460,1.9,1.86,1.9,1.86,10
1519979520,1.89,1.9,1.92,1.89,17
1519979700,1.87,1.88,1.88,1.87,2
1519979760,1.87,1.87,1.87,1.87,1
1519981020,1.85,1.86,1.86,1.84,9
1519981200,1.85,1.85,1.85,1.85,5
1519981620,1.87,1.86,1.87,1.86,5
1519981860,1.87,1.87,1.87,1.87,17
1519981980,1.87,1.87,1.87,1.87,2
1519982100,1.87,1.87,1.87,1.87,24
1519982340,1.9,1.88,1.9,1.88,3
1519983720,1.99,1.9,1.99,1.9,46
1519983780,2.01,1.99,2.01,1.99,38
1519983840,2.05,2.01,2.05,2.01,30
1519983960,2.07,2.05,2.07,2.05,23
1519984020,2.13,2.07,2.13,2.07,47
1519984140,2.09,2.09,2.09,2.09,1
1519984200,2.12,2.11,2.12,2.11,2
1519984320,2.09,2.1,2.1,2.09,2
1519984440,2.07,2.08,2.08,2.07,2
1519984500,2.04,2.06,2.06,2.04,3
1519984560,2.0,2.03,2.03,2.0,7
1519984800,2.01,2.02,2.02,2.01,7
1519984920,2.02,2.02,2.02,2.02,1
1519984980,2.02,2.02,2.02,2.02,1
1519985340,2.01,2.01,2.01,2.01,6
1519985400,2.0,2.0,2.0,2.0,2
1519985460,2.0,2.0,2.0,2.0,2
1519985700,2.05,2.03,2.05,2.03,10
1519985880,2.05,2.05,2.05,2.05,1
1519986060,2.05,2.05,2.05,2.05,1
1519988040,2.05,2.05,2.05,2.05,2
1519988160,2.05,2.05,2.05,2.05,2
1519988640,2.01,2.02,2.02,2.01,2
1519988820,1.98,2.0,2.0,1.98,16
1519988880,2.0,2.0,2.0,2.0,1
1519989540,2.0,2.0,2.0,2.0,1
1519990620,1.99,1.99,1.99,1.99,4
1519990800,1.96,1.98,1.98,1.96,10
1519990860,1.92,1.95,1.95,1.92,20
1519991520,1.95,1.95,1.95,1.95,1
1519991640,1.96,1.96,1.96,1.96,1
1519991700,1.98,1.97,1.98,1.97,3
1519992000,2.0,1.99,2.0,1.99,3
1519992120,2.01,2.01,2.01,2.01,2
1519992180,2.02,2.01,2.02,2.01,10
1519992360,2.03,2.03,2.03,2.03,6
1519992900,1.95,1.97,1.97,1.95,6
1519993140,1.95,1.95,1.95,1.95,2
1519993500,2.05,2.0,2.05,2.0,33
1519993620,2.05,2.05,2.05,2.05,3
1519993680,2.05,2.05,2.05,2.05,4
1519993740,2.05,2.05,2.05,2.05,5
1519993800,2.05,2.05,2.05,2.05,3
1519993860,2.06,2.06,2.06,2.06,2
1519993980,2.07,2.06,2.07,2.06,3
1519994040,2.1,2.07,2.11,2.07,32
1519994100,2.05,2.09,2.1,2.05,3
1519994220,2.05,2.05,2.05,2.05,5
1519994280,2.05,2.05,2.05,2.05,1
1519994340,2.04,2.04,2.04,2.04,1
1519994460,2.02,2.04,2.04,2.02,3
1519994520,2.02,2.06,2.06,2.02,4
1519994640,2.09,2.02,2.09,2.02,28
1519994700,2.11,2.1,2.11,2.1,3
1519995180,2.07,2.06,2.07,2.06,2
1519995240,2.07,2.07,2.07,2.07,1
1519995360,2.07,2.07,2.07,2.07,1
1519995540,2.1,2.08,2.1,2.08,9
1519995600,2.12,2.1,2.12,2.1,6
1519995660,2.12,2.12,2.12,2.12,11
1519995720,2.12,2.13,2.13,2.12,2
1519995780,2.1,2.11,2.11,2.1,3
1519995840,2.1,2.1,2.1,2.1,5
1519995960,2.1,2.1,2.1,2.1,3
1519996140,2.09,2.09,2.09,2.09,1
1519996260,2.11,2.12,2.15,2.11,48
1519996320,2.11,2.11,2.11,2.11,1
1519996380,2.15,2.14,2.16,2.14,13
1519996800,2.12,2.12,2.12,2.12,1
1519997040,2.1,2.11,2.11,2.1,4
1519997220,2.13,2.13,2.13,2.13,1
1519997340,2.16,2.14,2.16,2.14,5
1519997400,2.16,2.16,2.16,2.16,2
1519997700,2.16,2.12,2.16,2.12,6
1519998240,2.12,2.12,2.12,2.12,1
1519998660,2.12,2.12,2.12,2.12,1
1519998780,2.11,2.11,2.11,2.11,1
1519998960,2.11,2.11,2.11,2.11,2
1519999140,2.11,2.11,2.11,2.11,12
1519999380,2.1,2.1,2.1,2.1,2
1519999680,2.03,2.09,2.09,2.03,14
1519999740,2.07,2.07,2.07,2.07,2
1519999800,2.06,2.05,2.06,2.03,11
1519999860,2.03,2.03,2.03,2.03,6
1519999920,2.03,2.03,2.03,2.03,9
1519999980,2.03,2.03,2.03,2.03,2
1520000040,2.05,2.05,2.05,2.05,2
1520000400,2.06,2.06,2.06,2.06,1
1520000760,2.07,2.07,2.07,2.07,1
1520000880,2.02,2.05,2.05,2.02,34
1520001000,1.97,2.02,2.02,1.97,22
1520001060,2.0,2.0,2.0,2.0,1
1520001600,1.98,1.98,1.98,1.98,1
1520002140,1.99,1.99,1.99,1.99,2
1520002260,1.99,1.99,1.99,1.99,1
1520002320,1.99,1.99,1.99,1.99,1
1520002440,1.99,1.99,1.99,1.99,1
1520002500,1.99,1.99,1.99,1.99,1
1520002620,1.99,1.99,1.99,1.99,1
1520003100,1.98,1.98,1.98,1.98,4
1520003760,2.02,2.01,2.02,2.01,6
1520003940,2.02,2.02,2.02,2.02,1
1520004000,2.02,2.02,2.02,2.02,1
1520004120,2.03,2.03,2.03,2.03,1
1520004180,2.03,2.03,2.03,2.03,3
1520004300,2.02,2.02,2.02,2.02,1
1520004360,2.03,2.03,2.03,2.03,1
1520004480,2.03,2.03,2.03,2.03,1
1520004780,1.98,2.01,2.01,1.98,11
1520004900,2.01,2.01,2.01,2.01,1
1520005500,1.97,1.97,1.97,1.97,10
1520233380,1.96,1.97,1.97,1.96,8
1520235240,2.0,2.0,2.0,2.0,1
1520238540,1.98,1.98,1.98,1.98,17
1520238780,1.97,1.98,1.98,1.97,7
1520241660,1.96,1.96,1.96,1.96,1
1520242440,2.01,2.0,2.01,2.0,2
1520248080,2.01,2.01,2.01,2.01,1
1520249340,2.01,2.01,2.01,2.01,1
1520249700,2.0,2.0,2.0,2.0,1
1520262480,1.98,1.98,1.98,1.98,1
1520262660,1.97,1.97,1.97,1.97,1
1520263740,1.96,1.96,1.96,1.96,2
1520264220,1.95,1.95,1.95,1.95,2
1520320860,1.93,1.93,1.93,1.91,7
1520322900,1.93,1.94,1.94,1.93,2
1520327940,2.0,1.98,2.0,1.98,5
1520328240,2.04,2.01,2.04,2.01,5
1520328300,2.05,2.05,2.05,2.05,5
1520328360,2.05,2.05,2.05,2.05,1
1520328540,2.1,2.06,2.1,2.06,86
1520328600,2.1,2.1,2.1,2.1,2
