time,close,open,high,low,volume
1514963820,448.0,443.0,448.0,443.0,31
1514964720,437.0,437.0,437.0,437.0,1
1514966040,435.0,435.0,435.0,435.0,27
1514967300,444.0,440.0,444.0,440.0,30
1514968920,444.0,440.0,444.0,440.0,50
1514969040,436.0,437.0,437.0,436.0,29
1514969340,436.0,437.0,437.0,436.0,3
1514969520,436.0,436.0,436.0,436.0,2
1514970540,431.0,432.0,432.0,431.0,12
1514970600,431.0,431.0,431.0,431.0,10
1514970660,431.0,432.0,432.0,431.0,16
1514970720,431.0,431.0,431.0,431.0,6
1514970780,431.0,431.0,431.0,431.0,1
1514977740,441.0,436.0,441.0,436.0,33
1514980020,435.0,435.0,435.0,435.0,1
1514980320,432.0,432.0,432.0,432.0,5
1514980380,431.0,431.0,431.0,431.0,7
1514980500,431.0,431.0,431.0,431.0,3
1514980560,429.0,430.0,430.0,429.0,37
1514981160,433.0,433.0,433.0,433.0,2
1514981460,430.0,430.0,430.0,430.0,1
1514986140,436.0,436.0,436.0,436.0,29
1514992380,432.0,432.0,432.0,432.0,29
1515049380,445.0,442.0,445.0,442.0,32
1515050640,431.0,437.0,437.0,431.0,30
1515053040,437.0,437.0,437.0,437.0,30
1515054180,432.0,432.0,432.0,432.0,32
1515056460,437.0,437.0,437.0,437.0,32
1515056940,433.0,433.0,433.0,433.0,32
1515059820,437.0,437.0,437.0,437.0,2
1515059940,437.0,437.0,437.0,437.0,30
1515065520,438.0,438.0,438.0,438.0,1
1515066660,434.0,434.0,434.0,434.0,30
1515068640,437.0,437.0,437.0,437.0,30
1515071100,434.0,434.0,434.0,434.0,30
1515073800,437.0,437.0,437.0,437.0,30
1515074760,431.0,434.0,434.0,431.0,30
1515076380,434.0,434.0,434.0,434.0,25
1515076860,432.0,432.0,432.0,432.0,25
1515077700,434.0,434.0,434.0,434.0,25
1515078000,432.0,432.0,432.0,432.0,25
1515136140,432.0,432.0,432.0,432.0,20
1515136560,434.0,433.0,434.0,433.0,22
1515136620,434.0,434.0,434.0,434.0,18
1515136680,435.0,435.0,435.0,435.0,20
1515140580,437.0,436.0,437.0,436.0,35
1515141780,437.0,437.0,437.0,437.0,30
1515144000,432.0,432.0,432.0,432.0,28
1515153720,433.0,433.0,433.0,433.0,2
1515154440,438.0,435.0,438.0,435.0,42
1515481740,432.0,433.0,433.0,432.0,24
1515481920,441.0,439.0,441.0,439.0,26
1515482220,433.0,434.0,434.0,433.0,29
1515482280,431.0,431.0,431.0,431.0,1
1515483900,432.0,432.0,432.0,432.0,5
1515484980,441.0,436.0,441.0,436.0,40
1515485760,434.0,436.0,436.0,434.0,40
1515487320,441.0,439.0,441.0,439.0,41
1515487380,441.0,441.0,441.0,441.0,1
1515487860,435.0,436.0,436.0,435.0,39
1515489780,439.0,439.0,439.0,439.0,37
1515490140,439.0,439.0,439.0,439.0,2
1515490200,439.0,439.0,439.0,439.0,2
1515493620,436.0,437.0,437.0,436.0,36
1515498360,437.0,437.0,437.0,437.0,2
1515498720,435.0,436.0,436.0,435.0,3
1515499140,435.0,435.0,435.0,435.0,1
1515499320,435.0,435.0,435.0,435.0,1
1515499860,434.0,434.0,434.0,434.0,3
1515503940,434.0,434.0,434.0,434.0,3
1515567720,458.0,444.0,458.0,444.0,44
1515567780,447.0,450.0,450.0,447.0,2
1515567840,443.0,443.0,443.0,443.0,3
1515567960,439.0,439.0,439.0,439.0,1
1515568380,440.0,440.0,440.0,440.0,1
1515568440,440.0,440.0,440.0,440.0,1
1515568560,437.0,437.0,437.0,437.0,37
1515571080,439.0,439.0,439.0,439.0,1
1515579240,438.0,438.0,438.0,438.0,3
1515589980,438.0,438.0,438.0,438.0,1
1515595500,438.0,438.0,438.0,438.0,1
1515595620,438.0,438.0,438.0,438.0,1
1515596100,438.0,438.0,438.0,438.0,1
1515596400,438.0,438.0,438.0,438.0,1
1515596520,438.0,438.0,438.0,438.0,1
1515596820,438.0,438.0,438.0,438.0,1
1515596940,438.0,438.0,438.0,438.0,1
1515654180,443.0,441.0,443.0,441.0,43
1515654480,444.0,444.0,444.0,444.0,10
1515655080,433.0,438.0,438.0,433.0,47
1515655140,436.0,436.0,436.0,436.0,1
1515659460,440.0,439.0,440.0,439.0,40
1515659520,440.0,440.0,440.0,440.0,1
1515659820,435.0,437.0,437.0,435.0,38
1515663420,436.0,437.0,437.0,436.0,2
1515663840,435.0,435.0,435.0,435.0,3
1515671460,439.0,438.0,439.0,438.0,41
1515673020,435.0,435.0,435.0,435.0,39
1515675900,435.0,435.0,435.0,435.0,2
1515678540,435.0,435.0,435.0,435.0,2
1515682680,435.0,435.0,435.0,435.0,1
1515683340,439.0,437.0,439.0,437.0,42
1515683460,436.0,436.0,436.0,436.0,37
1515740640,441.0,441.0,441.0,441.0,40
1515741360,435.0,437.0,437.0,435.0,43
1515745260,439.0,438.0,439.0,438.0,39
1515745500,436.0,437.0,437.0,436.0,41
1515751740,438.0,438.0,438.0,438.0,39
1515752100,435.0,436.0,436.0,435.0,39
1515757860,438.0,438.0,438.0,438.0,36
1515760860,436.0,436.0,436.0,436.0,22
1515761100,436.0,436.0,436.0,436.0,4
1515762720,437.0,437.0,437.0,437.0,8
1515763740,437.0,437.0,437.0,437.0,2
1515999780,441.0,440.0,441.0,440.0,35
1516000260,432.0,435.0,435.0,432.0,35
1516001100,438.0,437.0,438.0,437.0,30
1516001700,433.0,435.0,435.0,433.0,30
1516007700,434.0,434.0,434.0,434.0,6
1516011120,434.0,434.0,434.0,434.0,18
1516015140,440.0,436.0,440.0,436.0,35
1516019520,444.0,440.0,444.0,440.0,22
1516019760,444.0,444.0,444.0,444.0,128
1516020300,444.0,444.0,444.0,444.0,1
1516031280,439.0,439.0,439.0,439.0,1
1516088280,446.0,444.0,446.0,444.0,38
1516090020,439.0,441.0,441.0,439.0,34
1516090740,446.0,443.0,446.0,443.0,32
1516091040,439.0,439.0,439.0,439.0,28
1516092960,446.0,444.0,446.0,444.0,29
1516093740,439.0,440.0,440.0,439.0,30
1516094820,446.0,444.0,446.0,444.0,32
1516095600,440.0,441.0,441.0,440.0,30
1516097100,440.0,440.0,440.0,440.0,9
1516097880,444.0,442.0,444.0,442.0,25
1516097940,444.0,444.0,444.0,444.0,1
1516099140,439.0,439.0,439.0,439.0,1
1516103340,437.0,440.0,440.0,437.0,23
1516103400,439.0,439.0,439.0,439.0,2
1516104060,446.0,442.0,446.0,442.0,43
1516104900,447.0,446.0,447.0,446.0,15
1516105200,442.0,442.0,442.0,442.0,24
1516105560,441.0,442.0,442.0,441.0,10
1516105920,446.0,445.0,446.0,445.0,34
1516106520,442.0,442.0,442.0,442.0,37
1516106700,443.0,443.0,443.0,443.0,4
1516107960,446.0,446.0,446.0,446.0,40
1516108500,444.0,444.0,444.0,444.0,40
1516108860,446.0,446.0,446.0,446.0,40
1516109460,444.0,445.0,445.0,444.0,42
1516110540,443.0,443.0,443.0,443.0,3
1516173120,445.0,444.0,445.0,444.0,38
1516177620,440.0,442.0,442.0,440.0,38
1516177740,442.0,442.0,442.0,442.0,2
1516177800,443.0,443.0,443.0,443.0,3
1516180440,445.0,444.0,445.0,444.0,39
1516183920,443.0,443.0,443.0,443.0,4
1516184040,444.0,444.0,444.0,444.0,8
1516198500,447.0,446.0,447.0,446.0,29
1516198560,446.0,446.0,446.0,446.0,31
1516201320,445.0,446.0,446.0,445.0,37
1516201380,445.0,445.0,445.0,445.0,5
1516201740,445.0,445.0,445.0,445.0,185
1516201800,445.0,445.0,445.0,445.0,111
1516201980,445.0,445.0,445.0,445.0,29
1516259040,446.0,446.0,446.0,446.0,38
1516259400,442.0,442.0,442.0,442.0,38
1516259940,446.0,446.0,446.0,446.0,32
1516260840,445.0,445.0,445.0,445.0,32
1516277220,446.0,446.0,446.0,446.0,1
1516279560,447.0,447.0,447.0,447.0,6
1516289580,445.0,446.0,446.0,445.0,6
1516289940,446.0,446.0,446.0,446.0,2
1516350120,437.0,441.0,441.0,437.0,20
1516361640,442.0,442.0,442.0,442.0,1
1516362180,442.0,442.0,442.0,442.0,1
1516362240,443.0,443.0,443.0,443.0,4
1516605120,444.0,443.0,444.0,443.0,2
1516607280,444.0,444.0,444.0,444.0,2
1516609140,444.0,444.0,444.0,444.0,2
1516610580,444.0,444.0,444.0,444.0,1
1516614060,445.0,444.0,445.0,444.0,2
1516627800,445.0,445.0,445.0,445.0,33
1516627920,446.0,445.0,446.0,445.0,7
1516629360,440.0,441.0,441.0,440.0,29
1516631280,444.0,444.0,444.0,444.0,3
1516631340,446.0,445.0,446.0,445.0,3
1516631460,446.0,446.0,446.0,446.0,2
1516697700,440.0,442.0,442.0,440.0,5
1516700100,441.0,441.0,441.0,441.0,3
1516705680,441.0,441.0,441.0,441.0,1
1516705740,440.0,440.0,440.0,440.0,2
1516709340,432.0,440.0,440.0,432.0,30
1516787640,436.0,436.0,436.0,436.0,1
1516798920,444.0,438.0,444.0,438.0,39
1516799640,432.0,437.0,437.0,432.0,34
1516799760,440.0,440.0,440.0,440.0,2
1516799880,438.0,438.0,438.0,438.0,1
1516800120,442.0,439.0,442.0,439.0,39
1516800720,431.0,436.0,436.0,431.0,43
1516801260,434.0,434.0,434.0,434.0,2
1516801320,437.0,437.0,437.0,437.0,2
1516803360,436.0,436.0,436.0,436.0,1
1516805700,435.0,435.0,435.0,435.0,1
1516805940,433.0,433.0,433.0,433.0,2
1516864500,437.0,435.0,446.0,435.0,48
1516864620,439.0,439.0,439.0,439.0,1
1516864800,431.0,437.0,437.0,431.0,47
1516870980,434.0,434.0,434.0,434.0,1
1516881660,439.0,435.0,439.0,435.0,37
1516881900,439.0,439.0,439.0,439.0,5
1516882020,440.0,440.0,440.0,440.0,2
1516882140,434.0,434.0,434.0,434.0,37
1516882320,441.0,441.0,441.0,441.0,4
1516882620,435.0,435.0,435.0,435.0,3
1516882680,439.0,439.0,439.0,439.0,3
1516884300,441.0,441.0,441.0,441.0,1
1516889880,444.0,441.0,444.0,441.0,10
1516954380,439.0,439.0,439.0,439.0,3
1517211840,445.0,443.0,445.0,443.0,10
1517223660,440.0,440.0,440.0,440.0,1
1517236560,438.0,438.0,438.0,438.0,3
1517240700,439.0,439.0,439.0,439.0,5
1517297400,445.0,444.0,445.0,444.0,36
1517297640,437.0,438.0,438.0,437.0,36
1517298120,439.0,439.0,439.0,439.0,2
1517298180,441.0,440.0,441.0,440.0,2
1517298240,441.0,441.0,441.0,441.0,1
1517301000,444.0,443.0,444.0,443.0,33
1517301420,438.0,440.0,440.0,438.0,33
1517301780,440.0,440.0,440.0,440.0,2
1517301840,442.0,441.0,442.0,441.0,3
1517303160,445.0,440.0,445.0,440.0,40
1517303460,440.0,441.0,441.0,440.0,39
1517303700,440.0,440.0,440.0,440.0,2
1517303820,443.0,441.0,443.0,441.0,5
1517313660,442.0,442.0,442.0,442.0,1
1517313780,440.0,440.0,440.0,440.0,1
1517318100,445.0,445.0,445.0,445.0,41
1517318400,439.0,442.0,442.0,439.0,41
