time,close,open,high,low,volume
1514967720,354.0,354.0,354.0,354.0,1
1514972400,355.0,355.0,355.0,355.0,1
1514974080,355.0,355.0,355.0,355.0,2
1515060720,355.0,355.0,355.0,355.0,1
1515062280,355.0,355.0,355.0,355.0,2
1515062640,355.0,355.0,355.0,355.0,1
1515066480,355.0,355.0,355.0,355.0,6
1515071460,355.0,355.0,355.0,355.0,3
1515071520,355.0,355.0,355.0,355.0,1
1515071760,355.0,355.0,355.0,355.0,2
1515072180,355.0,355.0,355.0,355.0,4
1515079620,355.0,355.0,355.0,355.0,1
1515141660,355.0,355.0,355.0,355.0,1
1515151500,355.0,355.0,355.0,355.0,4
1515163740,355.0,355.0,355.0,355.0,1
1515493140,354.0,354.0,354.0,354.0,1
1515499860,360.0,360.0,360.0,360.0,1
1515502620,360.0,360.0,360.0,360.0,5
1515654900,360.0,359.0,360.0,359.0,5
1515654960,360.0,360.0,360.0,360.0,2
1515657540,356.0,356.0,356.0,356.0,1
1515658980,357.0,357.0,357.0,357.0,1
1515740340,353.0,353.0,353.0,353.0,1
1515745800,360.0,359.0,360.0,359.0,13
1515767640,357.0,357.0,357.0,357.0,2
1515771900,356.0,356.0,356.0,356.0,2
1515772140,356.0,356.0,356.0,356.0,1
1516009680,357.0,356.0,357.0,356.0,165
1516011360,356.0,356.0,356.0,356.0,1
1516011480,356.0,356.0,356.0,356.0,1
1516011600,356.0,356.0,356.0,356.0,1
1516013520,356.0,356.0,356.0,356.0,2
1516014900,363.0,356.0,363.0,356.0,110
1516015080,364.0,364.0,364.0,364.0,1
1516015140,363.0,363.0,363.0,363.0,1
1516015200,362.0,363.0,363.0,362.0,96
1516016460,363.0,363.0,363.0,363.0,11
1516018860,357.0,358.0,358.0,357.0,12
1516018920,357.0,357.0,357.0,357.0,3
1516020120,357.0,357.0,357.0,357.0,64
1516020180,363.0,363.0,363.0,363.0,1
1516020660,364.0,364.0,364.0,364.0,19
1516021500,364.0,364.0,364.0,364.0,1
1516091160,363.0,363.0,363.0,363.0,1
1516095120,361.0,361.0,361.0,361.0,1
1516201980,362.0,362.0,362.0,362.0,2
1516267980,355.0,359.0,359.0,355.0,31
1516271100,337.0,358.0,358.0,337.0,116
1516271220,357.0,357.0,357.0,357.0,2
1516271520,356.0,356.0,356.0,356.0,1
1516272480,359.0,358.0,359.0,358.0,4
