time,close,open,high,low,volume
1703768940,2.3995,2.3995,2.3995,2.3995,9596
1703769000,2.4825,2.36,2.6,2.3505,48489
1703769060,2.49,2.5,2.573,2.4575,9265
1703769120,2.4545,2.4885,2.49,2.41,10249
1703769180,2.4,2.45,2.4795,2.4,8338
1703769240,2.399,2.4,2.4095,2.3715,8739
1703769300,2.34,2.3975,2.3975,2.3305,11805
1703769360,2.375,2.351,2.39,2.345,8683
1703769420,2.3305,2.3725,2.3725,2.3305,4359
1703769480,2.374,2.3325,2.379,2.3305,6305
1703769540,2.3775,2.374,2.383,2.354,2305
1703769600,2.354,2.37,2.38,2.354,1409
1703769660,2.38,2.362,2.39,2.3555,2749
1703769720,2.38,2.38,2.389,2.361,1714
1703769780,2.3805,2.3725,2.4,2.3615,2623
1703769840,2.3795,2.388,2.388,2.362,2136
1703769900,2.3705,2.3795,2.3795,2.3615,278
1703769960,2.3875,2.3715,2.3875,2.3705,1087
1703770020,2.467,2.387,2.498,2.374,19319
1703770080,2.484,2.46,2.495,2.4405,4363
1703770140,2.43,2.4745,2.489,2.418,4028
1703770200,2.4075,2.434,2.4395,2.3555,12510
1703770260,2.385,2.3895,2.3945,2.369,2352
1703770320,2.39,2.385,2.4,2.381,2795
1703770380,2.3835,2.385,2.385,2.36,1585
1703770440,2.385,2.3835,2.385,2.3655,961
1703770500,2.3895,2.379,2.39,2.377,540
1703770560,2.3845,2.3895,2.3895,2.375,2744
1703770620,2.3855,2.3835,2.3855,2.37,1336
1703770680,2.38,2.3855,2.3855,2.38,80
1703770740,2.3755,2.3825,2.392,2.368,1519
1703770800,2.3475,2.375,2.3795,2.3405,5343
1703770860,2.3635,2.35,2.3695,2.35,1481
1703770920,2.3755,2.362,2.3755,2.3575,940
1703770980,2.367,2.376,2.378,2.367,345
1703771040,2.369,2.3695,2.375,2.3675,711
1703771100,2.3645,2.369,2.3735,2.3635,1153
1703771160,2.3605,2.364,2.37,2.36,699
1703771220,2.366,2.3605,2.367,2.352,766
1703771280,2.341,2.363,2.3645,2.341,1879
1703771340,2.34,2.355,2.3635,2.335,2633
1703771400,2.32,2.3385,2.3395,2.314,3898
1703771460,2.335,2.33,2.3395,2.325,1041
1703771520,2.335,2.332,2.337,2.33,192
1703771580,2.341,2.335,2.3455,2.332,459
1703771640,2.345,2.3455,2.3455,2.3375,154
1703771700,2.345,2.345,2.345,2.345,6
1703771760,2.3415,2.341,2.345,2.3405,94
1703771820,2.3375,2.341,2.3415,2.3375,213
1703771880,2.346,2.3435,2.346,2.3435,16
1703771940,2.346,2.346,2.346,2.342,142
1703772000,2.346,2.346,2.346,2.3375,131
1703772060,2.346,2.3455,2.346,2.337,1141
1703772120,2.3465,2.3435,2.348,2.3435,252
1703772180,2.34,2.348,2.3485,2.337,283
1703772240,2.3465,2.347,2.348,2.322,1250
1703772300,2.342,2.344,2.346,2.325,252
1703772360,2.33,2.333,2.3395,2.3265,192
1703772420,2.3425,2.33,2.344,2.327,426
1703772480,2.327,2.3355,2.336,2.32,955
1703772540,2.315,2.326,2.3285,2.315,1070
1703772600,2.3175,2.325,2.33,2.317,603
1703772660,2.326,2.318,2.328,2.314,561
1703772720,2.323,2.326,2.326,2.314,761
1703772780,2.328,2.323,2.328,2.322,1283
1703772840,2.3365,2.328,2.337,2.325,855
1703772900,2.346,2.335,2.346,2.335,1486
1703772960,2.337,2.346,2.346,2.337,262
1703773020,2.3445,2.337,2.3445,2.337,5
1703773080,2.354,2.3445,2.354,2.325,764
1703773140,2.3405,2.354,2.355,2.3405,2387
1703773200,2.323,2.335,2.343,2.323,333
1703773260,2.335,2.3325,2.3395,2.322,177
1703773320,2.321,2.3345,2.335,2.321,172
1703773380,2.32,2.332,2.3345,2.32,307
1703773440,2.334,2.3255,2.336,2.3235,261
1703773500,2.3235,2.3255,2.334,2.3235,321
1703773560,2.338,2.331,2.3395,2.3235,165
1703773620,2.34,2.338,2.34,2.328,32
1703773680,2.328,2.331,2.3375,2.328,592
1703773740,2.3335,2.328,2.3355,2.328,287
1703773800,2.3415,2.335,2.343,2.328,144
1703773860,2.3315,2.341,2.341,2.331,15
1703773920,2.328,2.3315,2.3315,2.328,212
1703773980,2.3315,2.328,2.3315,2.328,273
1703774040,2.3495,2.339,2.3495,2.339,871
1703774100,2.3345,2.3495,2.3495,2.329,134
1703774160,2.3475,2.347,2.3475,2.347,3
1703774220,2.3365,2.3475,2.3475,2.3365,84
1703774280,2.345,2.345,2.347,2.3315,70
1703774340,2.3435,2.333,2.3435,2.33,57
1703774400,2.3295,2.3385,2.3395,2.3295,74
1703774460,2.341,2.3295,2.341,2.3285,370
1703774520,2.3425,2.3395,2.3425,2.3395,210
1703774580,2.341,2.342,2.342,2.331,99
1703774640,2.342,2.341,2.342,2.341,23
1703774700,2.3335,2.342,2.342,2.3335,10
1703774760,2.342,2.3415,2.342,2.3415,31
1703774820,2.3485,2.342,2.3495,2.342,3358
1703774880,2.3575,2.3485,2.3575,2.3485,2999
1703774940,2.3675,2.3565,2.3695,2.3345,4232
1703775000,2.369,2.3675,2.3695,2.359,1021
1703775060,2.368,2.366,2.369,2.351,423
1703775120,2.3685,2.36,2.369,2.36,297
1703775180,2.3655,2.368,2.368,2.3515,604
1703775240,2.3685,2.365,2.369,2.365,1629
1703775300,2.3655,2.3685,2.369,2.3655,183
1703775360,2.3695,2.368,2.3695,2.3655,274
1703775420,2.37,2.369,2.37,2.358,2299
1703775480,2.3695,2.3695,2.3695,2.3695,4
1703775540,2.3515,2.3685,2.3685,2.3515,948
1703775600,2.362,2.3635,2.364,2.3615,37
1703775660,2.362,2.3605,2.3625,2.3605,782
1703775720,2.361,2.362,2.362,2.351,173
1703775780,2.365,2.3525,2.3675,2.351,671
1703775840,2.3565,2.3535,2.363,2.351,580
1703775900,2.351,2.357,2.363,2.351,181
1703775960,2.362,2.3575,2.362,2.3575,53
1703776020,2.3515,2.363,2.367,2.3515,248
1703776080,2.351,2.3615,2.3615,2.351,422
1703776140,2.3595,2.355,2.3595,2.355,88
1703776200,2.3585,2.359,2.3595,2.351,3804
1703776260,2.353,2.359,2.359,2.353,15
1703776380,2.3535,2.3575,2.369,2.3535,501
1703776440,2.365,2.364,2.3665,2.364,27
1703776500,2.355,2.3645,2.3645,2.355,16
1703776560,2.3635,2.3615,2.3635,2.3615,17
1703776620,2.369,2.3605,2.369,2.36,646
1703776680,2.3895,2.369,2.3895,2.369,1653
1703776740,2.43,2.389,2.43,2.389,3280
1703776800,2.4,2.4285,2.4295,2.36,3666
1703776860,2.393,2.4015,2.41,2.393,322
1703776920,2.402,2.3935,2.42,2.3925,1183
1703776980,2.411,2.402,2.413,2.392,435
1703777040,2.41,2.394,2.4115,2.3925,506
1703777100,2.405,2.41,2.45,2.393,3572
1703777160,2.4305,2.4265,2.4495,2.41,108
1703777220,2.461,2.43,2.4755,2.43,986
1703777280,2.4745,2.4615,2.4745,2.425,573
1703777340,2.4585,2.4745,2.4745,2.441,106
1703777400,2.4425,2.457,2.4585,2.4415,140
1703777460,2.4245,2.4545,2.455,2.4245,768
1703777520,2.4245,2.4395,2.442,2.415,383
1703777580,2.4245,2.424,2.4245,2.41,129
1703777640,2.393,2.4235,2.4235,2.3715,1208
1703777700,2.39,2.393,2.393,2.3875,772
1703777760,2.3895,2.3735,2.393,2.373,51
1703777820,2.376,2.388,2.3895,2.376,284
1703777880,2.38,2.38,2.38,2.37,580
1703777940,2.39,2.39,2.39,2.39,181
1703778300,2.37,2.37,2.37,2.37,350
1703778360,2.37,2.37,2.37,2.37,57
1703778420,2.37,2.37,2.37,2.37,65
1703778480,2.37,2.37,2.37,2.37,5
1703778540,2.37,2.37,2.37,2.37,26
1703833140,2.349,2.349,2.349,2.349,549
1703833200,2.3685,2.3495,2.37,2.3495,521
1703833260,2.3655,2.3685,2.369,2.3655,160
1703833320,2.3695,2.3675,2.3695,2.356,575
1703833380,2.369,2.3665,2.369,2.353,2125
1703833440,2.3575,2.355,2.3655,2.353,634
1703833500,2.3605,2.357,2.3775,2.353,421
1703833560,2.367,2.3605,2.3695,2.3605,65
