time,close,open,high,low,volume
1515584400,3680,3680,3680,3680,2
1515664260,3860,3860,3860,3860,1
1515666420,3700,3600,3700,3600,2
1515740520,3500,3690,3690,3500,55
1515741120,3600,3600,3600,3600,1
1515747900,3740,3740,3740,3740,1
1515767400,3700,3700,3700,3700,1
1515768240,3790,3750,3790,3750,6
1515768540,3810,3800,3810,3800,4
1515771120,3830,3830,3830,3830,1
1515771240,3790,3810,3810,3790,3
1516009800,3380,3500,3500,3380,5
1516011960,3700,3700,3700,3700,1
1516029360,3600,3600,3600,3600,1
1516109460,3600,3600,3600,3600,1
1516185300,3500,3500,3500,3500,1
1516195980,3680,3680,3680,3680,1
1516198980,3510,3510,3510,3510,1
1516285740,3500,3520,3520,3500,4
1516285800,3500,3500,3500,3500,1
1516351680,3440,3440,3440,3440,1
1516351740,3430,3430,3430,3430,9
1516358640,3450,3450,3450,3450,1
1516360740,3450,3450,3450,3450,1
1516361520,3460,3460,3460,3460,6
1516804440,3570,3570,3570,3570,3
1516872840,3590,3590,3590,3590,1
1516885380,3670,3670,3670,3670,1
1516889100,3670,3600,3670,3600,2
1516889760,3800,3660,3800,3660,20
1516979460,3730,3510,3730,3510,2
1517217480,3750,3750,3750,3750,1
1517227320,3500,3500,3500,3500,10
1517227380,3500,3500,3500,3500,1
1517308560,3410,3410,3410,3410,3
1517309100,3400,3410,3410,3400,2
1517311920,3400,3410,3410,3400,2
1517312160,3370,3400,3400,3370,2
1517312220,3330,3360,3360,3330,9
1517312460,3320,3350,3350,3320,6
1517313120,3350,3350,3350,3350,1
1517316480,3350,3350,3350,3350,1
1517325600,3430,3420,3430,3420,5
1517326020,3430,3430,3430,3430,2
1517326740,3360,3360,3360,3360,4
1517385720,3430,3410,3430,3410,2
1517387040,3430,3430,3430,3430,1
1517388960,3300,3320,3320,3300,3
1517412180,3390,3390,3390,3390,5
1517413500,3320,3320,3320,3320,1
1517469780,3400,3400,3400,3400,1
1517475180,3470,3440,3470,3440,2
1517483520,3350,3350,3350,3350,1
1517491800,3390,3390,3390,3390,1
1517912100,2980,3250,3250,2980,80
1517912160,2990,3030,3030,2990,20
1517912220,3070,3050,3070,3050,21
1517912280,3070,3080,3080,3060,35
1517912640,3080,3080,3080,3080,1
1517912940,3160,3160,3160,3160,1
1517913420,3140,3100,3140,3100,2
1517916240,3060,3060,3060,3060,1
1517916660,3100,3100,3100,3100,12
1517917020,3000,3050,3050,3000,6
1517921040,3060,3060,3060,3060,4
1517921100,3150,3060,3150,3060,29
