time,close,open,high,low,volume
1514975040,1390,1390,1390,1390,4
1514975820,1380,1380,1380,1380,1
1514992620,1400,1420,1420,1400,2
1514994480,1400,1400,1400,1400,1
1515049200,1450,1500,1500,1450,2
1515051180,1475,1475,1475,1475,1
1515051240,1475,1475,1475,1475,1
1515053460,1490,1490,1490,1490,2
1515059520,1480,1480,1480,1480,3
1515060240,1420,1420,1420,1420,1
1515061080,1480,1480,1480,1480,1
1515079560,1480,1480,1480,1480,1
1515138900,1550,1550,1550,1550,1
1515147780,1495,1495,1495,1495,1
1515162120,1495,1490,1495,1490,8
1515164040,1490,1490,1490,1490,1
1515164100,1490,1490,1490,1490,1
1515482100,1415,1415,1415,1415,1
1515482940,1515,1515,1515,1515,1
1515483300,1500,1500,1500,1500,1
1515489240,1480,1480,1480,1480,1
1515491940,1440,1440,1440,1440,1
1515496260,1500,1490,1500,1490,7
1515578940,1450,1450,1450,1450,8
1515587100,1485,1480,1485,1480,2
1515669360,1485,1485,1485,1485,1
1515669960,1485,1485,1485,1485,7
1515675960,1500,1500,1500,1500,1
1515679920,1485,1485,1485,1485,2
1515679980,1440,1440,1440,1440,2
1515680520,1430,1435,1435,1430,2
1515681060,1435,1435,1435,1435,2
1515681300,1425,1425,1425,1425,1
1515681360,1450,1440,1450,1440,2
1515681420,1435,1435,1435,1435,1
1515684840,1490,1485,1490,1485,2
1515768720,1450,1450,1450,1450,1
1516013880,1470,1470,1470,1470,1
1516016760,1470,1470,1470,1470,1
1516018620,1465,1465,1465,1465,1
1516021140,1450,1455,1455,1450,2
1516021920,1460,1460,1460,1460,1
1516022940,1460,1460,1460,1460,1
1516027500,1450,1455,1455,1450,2
1516028460,1460,1460,1460,1460,1
1516028820,1415,1445,1445,1415,17
1516028940,1465,1465,1465,1465,1
1516088460,1470,1460,1470,1460,4
1516089120,1500,1500,1500,1500,1
1516090860,1495,1470,1495,1470,2
1516094220,1460,1460,1460,1460,1
1516094640,1460,1460,1460,1460,1
1516105320,1500,1485,1500,1485,10
1516105380,1510,1510,1510,1510,1
1516117500,1500,1500,1500,1500,1
1516174140,1495,1495,1495,1495,1
1516175220,1495,1495,1495,1495,1
1516200720,1495,1495,1495,1495,4
1516259820,1490,1480,1490,1440,22
1516268700,1485,1485,1485,1485,1
1516269180,1490,1490,1490,1490,1
1516276680,1495,1495,1495,1495,3
1516278600,1500,1500,1500,1500,1
1516345740,1500,1500,1500,1500,1
1516346760,1500,1500,1500,1500,3
1516346820,1520,1520,1520,1520,3
1516349100,1475,1475,1475,1475,1
1516349160,1525,1525,1525,1525,1
1516354260,1510,1510,1510,1510,2
1516365960,1510,1510,1510,1510,10
1516366260,1510,1510,1510,1510,3
1516375380,1510,1510,1510,1510,1
1516376280,1510,1510,1510,1510,2
1516376700,1510,1510,1510,1510,1
1516604340,1535,1535,1535,1535,1
1516607940,1530,1530,1530,1530,1
1516611240,1530,1525,1530,1525,2
1516613580,1505,1505,1505,1505,1
1516613820,1525,1525,1525,1525,1
1516622340,1510,1510,1510,1510,1
1516622400,1505,1505,1505,1505,1
1516622520,1525,1525,1525,1525,1
1516622820,1470,1500,1500,1470,3
1516622880,1520,1520,1520,1520,1
1516623120,1525,1525,1525,1525,1
1516625160,1530,1530,1530,1530,1
1516626540,1485,1485,1485,1485,2
1516626720,1510,1510,1510,1510,1
1516632540,1510,1500,1510,1500,3
1516632660,1530,1530,1530,1530,1
1516635420,1530,1530,1530,1530,1
1516693980,1535,1535,1535,1535,1
1516698720,1530,1530,1530,1530,1
1516701720,1530,1530,1530,1530,1
1516714080,1515,1515,1515,1515,1
1516718760,1515,1515,1515,1515,14
1516718820,1525,1515,1525,1515,2
1516778940,1540,1540,1540,1540,1
1516785720,1525,1525,1525,1525,1
1516785960,1540,1540,1540,1540,1
1516795080,1525,1530,1530,1525,4
1516803480,1535,1535,1535,1535,1
1516867740,1535,1535,1535,1535,1
1516868100,1540,1540,1540,1540,1
1516874280,1525,1525,1525,1525,1
1516888920,1515,1515,1515,1515,1
1516890660,1520,1520,1520,1520,1
1516891980,1520,1520,1520,1520,1
1516893420,1525,1525,1525,1525,1
1516963080,1500,1505,1505,1500,2
1516965780,1475,1480,1480,1475,5
1516965900,1480,1480,1480,1480,1
1516980780,1495,1490,1495,1490,2
1516980840,1490,1490,1490,1490,2
1517216520,1510,1505,1510,1505,5
1517230680,1480,1485,1485,1480,2
1517239860,1475,1475,1475,1475,13
1517240100,1480,1480,1480,1480,1
1517312640,1430,1470,1470,1430,9
1517312700,1480,1480,1480,1480,1
1517324220,1475,1475,1475,1475,1
1517384160,1475,1475,1475,1475,1
1517405100,1480,1480,1480,1480,2
1517471820,1485,1485,1485,1485,1
1517472960,1485,1485,1485,1485,1
1517477820,1485,1485,1485,1485,1
1517479080,1490,1490,1490,1490,1
1517485680,1490,1490,1490,1490,1
1517489640,1505,1505,1505,1505,1
1517489700,1510,1510,1510,1510,1
1517494440,1510,1510,1510,1510,1
1517555040,1550,1550,1550,1550,1
1517555640,1555,1550,1555,1550,2
1517560020,1520,1520,1520,1520,2
