time,close,open,high,low,volume
1515147900,8.01,8.01,8.01,8.01,2
1515163560,8.04,8.04,8.04,8.04,1
1515166740,8.04,8.04,8.04,8.04,1
1515491760,8.1,8.1,8.1,8.1,1
1515742440,8.0,8.0,8.0,8.0,1
1516001820,7.91,7.91,7.91,7.91,1
1516008900,7.8,7.9,7.9,7.8,3
1516179840,7.71,7.71,7.71,7.71,1
1516282860,7.7,7.7,7.7,7.7,3
1516613940,8.69,8.69,8.69,8.69,1
1516614000,8.69,8.69,8.69,8.69,1
1516614060,7.77,7.77,7.77,7.77,1
1516614300,7.75,7.75,7.75,7.75,1
1516865640,7.72,7.72,7.72,7.72,1
1516866660,7.71,7.71,7.71,7.71,1
1517405640,9.07,9.08,9.08,9.07,2
1517405760,7.62,7.65,7.65,7.62,2
1517487480,8.24,8.24,8.24,8.24,1
1517908680,7.59,7.59,7.59,7.59,1
1519634520,8.8,8.5,8.8,8.5,3
1519634580,9.11,9.06,9.11,9.06,4
1519638300,9.1,9.1,9.1,9.1,1
1519640220,8.5,8.5,8.5,8.5,1
1519646220,8.5,8.5,8.5,8.5,1
1519658880,7.71,7.71,7.71,7.71,1
1519659480,8.48,8.47,8.48,8.47,2
1519717020,10.0,10.0,10.0,10.0,1
1519726440,10.0,10.0,10.0,10.0,4
1519737420,9.2,9.2,9.2,9.2,1
1519739100,8.9,8.9,8.9,8.9,1
1519905420,7.51,7.91,7.91,7.51,5
1519917240,8.49,8.49,8.49,8.49,1
1520254620,8.59,8.59,8.59,8.59,1
1521011520,10.1,9.11,10.1,9.11,2
1521033360,8.5,8.5,8.5,8.5,1
1521040980,8.25,8.25,8.25,8.25,1
1521042300,8.25,8.25,8.25,8.25,1
1521186720,7.59,7.59,7.59,7.59,1
1521214500,8.99,8.99,8.99,8.99,2
1521535560,7.03,7.03,7.03,7.03,1
1521559320,8.0,8.0,8.0,8.0,1
1521646680,8.4,8.4,8.4,8.4,1
1523287740,6.7,6.7,6.7,6.7,1
1524825660,9.11,9.08,9.11,9.08,3
1524828840,9.11,9.11,9.11,9.11,1
1524918240,8.23,8.23,8.23,8.23,2
1524928080,7.22,7.22,7.22,7.22,2
1525420620,9.26,9.26,9.26,9.26,1
1525420680,9.26,9.26,9.26,9.26,1
1525420800,9.26,9.26,9.26,9.26,1
1525420860,9.27,9.27,9.27,9.27,1
1525425900,9.88,9.88,9.88,9.88,1
1525692660,9.09,9.09,9.09,9.09,2
1525694400,9.1,9.09,9.1,9.09,3
1525707360,9.35,9.3,9.35,9.3,3
1525707540,9.35,9.35,9.35,9.35,1
1525773180,9.36,9.4,9.4,9.36,2
1525778400,9.5,9.48,9.5,9.48,5
1525947000,9.5,9.5,9.5,9.5,1
1526036100,9.5,9.5,9.5,9.5,1
1526049480,9.5,9.5,9.5,9.5,1
1526284140,9.5,9.5,9.5,9.5,1
1526456760,9.5,9.5,9.5,9.5,1
1526459280,9.5,9.5,9.5,9.5,1
1526478480,9.5,9.5,9.5,9.5,1
1526915520,9.25,9.25,9.25,9.25,1
1527174420,9.47,9.47,9.47,9.47,1
1528112700,9.7,9.7,9.7,9.7,1
1528119840,9.65,9.65,9.65,9.65,1
1528874400,9.5,9.5,9.5,9.5,1
1528877280,9.48,9.48,9.48,9.48,1
1528878060,9.21,9.21,9.21,9.21,1
1528883640,9.48,9.48,9.48,9.48,1
1528897800,9.5,9.49,9.5,9.49,10
1528903260,8.35,8.35,8.35,8.35,1
1528973280,8.67,8.67,8.67,8.67,1
1528973640,8.66,8.66,8.66,8.66,1
1528978200,8.83,8.83,8.83,8.83,1
1528979280,9.49,9.49,9.49,9.49,1
1528979580,9.5,9.5,9.5,9.5,1
1529047020,8.7,8.71,8.71,8.7,2
1529047380,9.01,9.01,9.01,9.01,1
1529047860,9.5,9.5,9.5,9.5,1
1529061540,9.31,9.31,9.31,9.31,1
1529305140,8.8,8.8,8.8,8.8,1
1529305860,8.99,8.99,8.99,8.99,1
