time,close,open,high,low,volume
1514963280,19.3,19.2,19.3,19.2,3
1514963700,18.9,19.0,19.0,18.9,7
1514964240,18.55,18.85,18.85,18.55,100
1514970180,18.85,18.8,18.85,18.8,3
1514973180,19.0,18.85,19.0,18.85,48
1514973840,19.25,19.0,19.25,19.0,47
1514974380,19.05,19.05,19.05,19.05,2
1514975100,19.0,19.0,19.0,19.0,1
1514979180,19.0,19.0,19.0,19.0,1
1514980080,18.8,18.95,18.95,18.8,15
1514980320,18.8,18.8,18.8,18.8,1
1514981820,18.8,18.8,18.8,18.8,4
1514983860,18.9,18.9,18.9,18.9,1
1514986380,18.8,18.8,18.8,18.8,4
1514988360,18.75,18.75,18.75,18.75,3
1514989140,18.45,18.75,18.75,18.45,30
1514990280,18.5,18.5,18.5,18.5,1
1514991780,18.6,18.6,18.6,18.6,7
1514992080,18.6,18.6,18.6,18.6,11
1514993040,18.45,18.5,18.5,18.45,11
1514993400,18.65,18.65,18.65,18.65,1
1514993820,18.65,18.65,18.65,18.65,1
1515051960,18.65,18.65,18.65,18.65,1
1515053460,18.55,18.55,18.55,18.55,2
1515053940,18.55,18.55,18.55,18.55,2
1515059820,18.6,18.55,18.6,18.55,2
1515062640,18.45,18.5,18.5,18.1,156
1515062700,18.1,18.25,18.25,18.1,25
1515062760,18.1,18.1,18.1,18.1,22
1515062820,18.3,18.05,18.35,18.0,127
1515062880,18.35,18.35,18.35,18.35,3
1515063000,18.4,18.4,18.4,18.4,12
1515063180,18.2,18.2,18.2,18.2,10
1515063240,18.4,18.4,18.4,18.4,2
1515067500,18.4,18.4,18.4,18.4,2
1515073920,18.4,18.4,18.4,18.4,6
1515074040,18.6,18.45,18.6,18.45,31
1515074100,18.6,18.6,18.6,18.6,10
1515076380,18.7,18.65,18.7,18.65,63
1515076440,18.8,18.75,18.8,18.75,135
1515076860,18.85,18.85,18.85,18.85,1
1515078840,19.0,18.8,19.0,18.8,204
1515079260,18.75,18.8,18.8,18.75,3
1515079380,18.95,18.95,18.95,18.95,10
1515137040,19.05,18.9,19.05,18.9,500
1515137700,18.85,18.85,18.85,18.85,1
1515137820,18.8,18.8,18.8,18.8,2
1515138360,18.65,18.8,18.8,18.65,7
1515138600,18.95,18.85,18.95,18.85,6
1515142560,19.0,19.0,19.0,19.0,1
1515143400,19.05,19.0,19.05,19.0,43
1515145380,19.0,19.0,19.0,19.0,3
1515148980,19.0,19.0,19.0,19.0,3
1515149520,18.8,18.85,18.85,18.8,3
1515149760,18.7,18.75,18.75,18.7,3
1515158340,18.7,18.7,18.7,18.7,1
1515161280,19.0,18.95,19.0,18.95,10
1515162180,19.05,19.0,19.05,19.0,15
1515163740,18.8,18.85,18.85,18.8,2
1515166560,18.9,18.9,18.9,18.9,1
1515167100,18.95,18.95,18.95,18.95,2
1515481200,18.7,18.7,18.7,18.7,2
1515481260,19.05,19.0,19.05,19.0,32
1515481680,19.05,19.05,19.05,19.05,1
1515495900,19.0,19.0,19.0,19.0,1
1515502080,18.9,18.9,18.9,18.9,3
1515507540,19.05,19.0,19.05,19.0,5
1515507600,19.1,19.1,19.1,19.1,1
1515507780,19.1,19.1,19.1,19.1,1
1515508440,19.1,19.1,19.1,19.1,2
1515508500,19.1,19.1,19.1,19.1,3
1515508560,19.05,19.1,19.1,19.05,2
1515510900,18.9,18.9,18.9,18.9,3
1515510960,19.1,19.1,19.1,19.1,2
1515511860,19.1,19.1,19.1,19.1,3
1515512040,18.9,18.9,18.9,18.9,1
1515512100,19.0,19.0,19.0,19.0,4
1515512880,19.15,19.15,19.15,19.15,2
1515569160,19.5,19.15,19.5,19.15,25
1515569400,19.45,19.45,19.45,19.45,1
1515569700,19.4,19.4,19.4,19.4,2
1515569940,19.9,19.5,19.9,19.45,180
1515570000,19.65,19.65,19.65,19.65,11
1515570060,19.7,19.55,19.7,19.55,51
1515570120,19.7,19.7,19.7,19.7,1
1515570600,19.75,19.7,19.75,19.7,18
1515570660,19.85,19.8,19.85,19.8,6
1515571080,19.8,19.8,19.8,19.8,1
1515572100,19.6,19.65,19.65,19.6,2
1515573840,19.55,19.6,19.6,19.55,3
1515574140,19.45,19.5,19.5,19.45,19
1515574200,19.5,19.5,19.5,19.5,5
1515574500,19.7,19.65,19.7,19.65,13
1515574740,19.7,19.7,19.7,19.7,2
1515575460,19.5,19.5,19.5,19.5,1
1515575700,19.5,19.5,19.5,19.5,5
1515575820,19.7,19.5,19.7,19.5,7
1515576180,19.5,19.5,19.5,19.5,5
1515577200,19.5,19.5,19.5,19.5,5
1515581460,19.7,19.7,19.7,19.7,10
1515581700,19.7,19.65,19.7,19.65,10
1515582240,19.65,19.65,19.65,19.65,3
1515583320,19.5,19.5,19.5,19.5,80
1515583500,19.5,19.5,19.5,19.5,26
1515588780,19.5,19.5,19.5,19.5,1
1515592740,19.5,19.5,19.5,19.5,10
1515594300,19.5,19.5,19.5,19.5,4
1515595320,19.7,19.65,19.7,19.65,116
1515595380,19.7,19.7,19.7,19.7,5
