time,close,open,high,low,volume
1514963880,0.517,0.517,0.517,0.517,1
1514963940,0.51,0.51,0.51,0.51,1
1514983260,0.502,0.502,0.502,0.502,1
1514985060,0.503,0.505,0.505,0.503,2
1514985360,0.499,0.499,0.499,0.499,1
1514990700,0.502,0.502,0.502,0.502,1
1514993940,0.505,0.501,0.505,0.501,2
1515068760,0.503,0.502,0.503,0.502,2
1515068880,0.505,0.505,0.505,0.505,1
1515069300,0.505,0.505,0.505,0.505,1
1515069360,0.505,0.505,0.505,0.505,1
1515069480,0.505,0.505,0.505,0.505,1
1515069600,0.505,0.505,0.505,0.505,1
1515070020,0.505,0.505,0.505,0.505,10
1515070080,0.505,0.505,0.505,0.505,1
1515135900,0.491,0.491,0.491,0.491,1
1515135960,0.491,0.491,0.491,0.491,1
1515136080,0.491,0.491,0.491,0.491,2
1515136260,0.49,0.49,0.49,0.49,2
1515139200,0.5,0.499,0.5,0.499,3
1515141240,0.503,0.503,0.503,0.503,1
1515146820,0.505,0.505,0.505,0.505,1
1515147240,0.506,0.506,0.506,0.506,3
1515147300,0.506,0.506,0.506,0.506,3
1515481260,0.505,0.505,0.505,0.505,1
1515481740,0.505,0.505,0.505,0.505,1
1515484680,0.507,0.504,0.507,0.504,5
1515488400,0.505,0.505,0.505,0.505,1
1515488940,0.499,0.5,0.5,0.499,2
1515489000,0.494,0.497,0.497,0.494,10
1515489960,0.502,0.502,0.502,0.502,1
1515490020,0.503,0.503,0.503,0.503,1
1515498180,0.5,0.5,0.5,0.5,1
1515498240,0.5,0.5,0.5,0.5,8
1515498360,0.503,0.503,0.503,0.503,1
1515500100,0.5,0.501,0.501,0.5,10
1515501360,0.503,0.503,0.503,0.503,1
1515503400,0.503,0.503,0.503,0.503,4
1515507840,0.504,0.503,0.504,0.503,6
1515510240,0.507,0.505,0.507,0.505,4
1515510660,0.506,0.506,0.506,0.506,1
1515510720,0.507,0.507,0.507,0.507,1
1515567720,0.508,0.507,0.508,0.507,2
1515567780,0.509,0.508,0.509,0.508,2
1515568800,0.509,0.509,0.509,0.509,1
1515579240,0.508,0.508,0.508,0.508,1
1515583320,0.503,0.503,0.503,0.503,3
1515588780,0.502,0.502,0.502,0.502,1
1515589500,0.502,0.502,0.502,0.502,2
1515590040,0.502,0.502,0.502,0.502,5
1515593460,0.505,0.505,0.505,0.505,2
1515595380,0.505,0.505,0.505,0.505,1
1515597060,0.505,0.505,0.505,0.505,1
1515597240,0.504,0.505,0.505,0.504,2
1515597900,0.507,0.507,0.507,0.507,1
1515654240,0.505,0.505,0.505,0.505,1
1515655920,0.502,0.502,0.502,0.502,7
1515658260,0.507,0.507,0.507,0.507,1
1515661740,0.507,0.507,0.507,0.507,1
1515662100,0.505,0.505,0.505,0.505,1
1515662940,0.503,0.503,0.503,0.503,1
1515664860,0.503,0.503,0.503,0.503,1
1515670740,0.506,0.506,0.506,0.506,1
1515673560,0.506,0.506,0.506,0.506,1
1515674460,0.504,0.504,0.504,0.504,2
1515678660,0.504,0.504,0.504,0.504,1
1515741720,0.491,0.492,0.492,0.491,6
1515743460,0.507,0.507,0.507,0.507,1
1515745320,0.508,0.507,0.508,0.507,3
1515747720,0.508,0.508,0.508,0.508,1
1515767760,0.501,0.501,0.501,0.501,1
1515769860,0.507,0.507,0.507,0.507,1
1516002300,0.5,0.5,0.5,0.5,1
1516004580,0.505,0.505,0.505,0.505,1
1516004700,0.506,0.506,0.506,0.506,1
1516005480,0.506,0.506,0.506,0.506,1
1516006200,0.506,0.506,0.506,0.506,1
1516006260,0.506,0.506,0.506,0.506,2
1516011420,0.501,0.501,0.501,0.501,1
1516023660,0.505,0.505,0.505,0.505,1
1516024560,0.506,0.506,0.506,0.506,1
1516025040,0.503,0.503,0.503,0.503,2
1516025520,0.503,0.503,0.503,0.503,1
1516027080,0.503,0.503,0.503,0.503,2
1516028460,0.503,0.503,0.503,0.503,2
1516028820,0.503,0.503,0.503,0.503,1
1516087740,0.507,0.507,0.507,0.507,1
1516088280,0.501,0.502,0.502,0.501,3
