time,close,open,high,low,volume
1514989080,449.0,449.0,449.0,449.0,1
1514989320,448.0,448.0,448.0,448.0,1
1514990160,448.0,448.0,448.0,448.0,6
1514990760,448.0,448.0,448.0,448.0,1
1515049980,468.0,468.0,468.0,468.0,1
1515050100,430.0,418.0,440.0,418.0,3
1515052080,435.0,435.0,435.0,435.0,2
1515052200,434.0,434.0,434.0,434.0,1
1515052380,429.0,429.0,429.0,429.0,33
1515052440,429.0,429.0,429.0,429.0,25
1515163980,435.0,435.0,435.0,435.0,1
1515165540,435.0,435.0,435.0,435.0,1
1515166740,456.0,456.0,456.0,456.0,1
1515483360,411.0,411.0,411.0,411.0,1
1515483840,432.0,432.0,432.0,432.0,3
1515486960,433.0,433.0,433.0,433.0,1
1515487320,433.0,433.0,433.0,433.0,1
1515498780,455.0,455.0,455.0,455.0,1
1515503820,438.0,439.0,439.0,438.0,2
1515504000,439.0,439.0,439.0,439.0,1
1515504180,440.0,440.0,440.0,440.0,1
1515571980,440.0,440.0,440.0,440.0,10
1515585480,456.0,456.0,456.0,456.0,1
1515598200,438.0,438.0,438.0,438.0,2
1515598380,438.0,438.0,438.0,438.0,2
1515678180,438.0,438.0,438.0,438.0,5
1515678780,438.0,438.0,438.0,438.0,3
1515680100,438.0,438.0,438.0,438.0,1
1515753180,435.0,435.0,435.0,435.0,1
1516086000,459.0,457.0,459.0,457.0,2
1516093860,468.0,467.0,468.0,467.0,5
1516094220,446.0,446.0,446.0,446.0,2
1516095180,455.0,455.0,455.0,455.0,1
1516097640,460.0,460.0,460.0,460.0,1
1516100100,460.0,460.0,460.0,460.0,1
1516102260,460.0,460.0,460.0,460.0,1
1516102320,465.0,465.0,465.0,465.0,5
1516102440,465.0,465.0,465.0,465.0,1
1516104360,469.0,469.0,469.0,469.0,6
1516108980,462.0,462.0,462.0,462.0,1
1516113600,460.0,462.0,462.0,460.0,3
1516113660,460.0,461.0,461.0,460.0,2
1516117500,467.0,467.0,467.0,467.0,2
1516204080,467.0,467.0,467.0,467.0,1
1516260060,480.0,480.0,480.0,480.0,1
1516260180,469.0,469.0,469.0,469.0,1
1516286940,477.0,469.0,477.0,469.0,3
1516288980,495.0,479.0,495.0,479.0,5
1516289340,444.0,444.0,444.0,444.0,1
1516289940,470.0,470.0,470.0,470.0,1
1516365240,473.0,473.0,473.0,473.0,5
1516376340,489.0,489.0,489.0,489.0,1
1516805400,471.0,471.0,471.0,471.0,1
1516893120,469.0,469.0,469.0,469.0,1
1516895100,473.0,473.0,473.0,473.0,1
1516956540,488.0,488.0,488.0,488.0,2
1516963440,455.0,458.0,458.0,455.0,5
1516963620,470.0,470.0,470.0,470.0,1
1516966620,460.0,460.0,460.0,460.0,1
1516975860,469.0,469.0,469.0,469.0,1
1516975920,469.0,469.0,469.0,469.0,3
1517219100,469.0,469.0,469.0,469.0,1
1517219400,469.0,469.0,469.0,469.0,3
1517304660,438.0,438.0,438.0,438.0,2
1517304720,440.0,450.0,450.0,440.0,2
1517304780,437.0,437.0,437.0,437.0,22
1517314080,454.0,454.0,454.0,454.0,1
1517316060,450.0,450.0,450.0,450.0,1
1517327100,463.0,463.0,463.0,463.0,1
1517388180,470.0,470.0,470.0,470.0,10
1517388300,470.0,470.0,470.0,470.0,9
1517391120,470.0,470.0,470.0,470.0,21
1517410680,475.0,475.0,475.0,475.0,2
1517411340,475.0,475.0,475.0,475.0,3
1517476440,454.0,454.0,454.0,454.0,1
1517491440,484.0,484.0,484.0,484.0,1
1517559900,459.0,459.0,459.0,459.0,4
1517566080,469.0,469.0,469.0,469.0,1
1517571180,469.0,469.0,469.0,469.0,1
1517585940,484.0,484.0,484.0,484.0,1
1517825340,480.0,480.0,480.0,480.0,3
1517829180,480.0,480.0,480.0,480.0,4
1517837340,480.0,480.0,480.0,480.0,2
1517837760,480.0,480.0,480.0,480.0,1
1517908920,465.0,465.0,465.0,465.0,2
1517908980,465.0,465.0,465.0,465.0,5
1517909040,491.0,465.0,491.0,465.0,4
1517916060,480.0,480.0,480.0,480.0,1
1518016380,473.0,472.0,473.0,472.0,7
1518092100,472.0,472.0,472.0,472.0,2
1518102180,472.0,472.0,472.0,472.0,2
1518165900,470.0,458.0,470.0,457.0,4
1518182760,461.0,461.0,461.0,461.0,2
1518421500,479.0,479.0,479.0,479.0,1
1518421620,480.0,480.0,480.0,480.0,2
1518423780,479.0,479.0,479.0,479.0,11
1518424440,456.0,456.0,456.0,456.0,3
1518424560,456.0,456.0,456.0,456.0,8
1518448980,458.0,458.0,458.0,458.0,2
1518449040,457.0,457.0,457.0,457.0,1
1518449760,477.0,477.0,477.0,477.0,2
1518607320,470.0,470.0,470.0,470.0,1
1518610500,460.0,460.0,460.0,460.0,1
1518617460,460.0,460.0,460.0,460.0,3
1518679380,465.0,465.0,465.0,465.0,1
1518683700,459.0,459.0,459.0,459.0,1
1518684300,458.0,459.0,459.0,458.0,3
1518684480,457.0,457.0,457.0,457.0,1
1518685020,457.0,457.0,457.0,457.0,1
1518685560,450.0,450.0,450.0,450.0,5
1518685920,446.0,446.0,446.0,446.0,1
1518691500,452.0,452.0,452.0,452.0,1
1518691620,452.0,452.0,452.0,452.0,1
1518693600,448.0,448.0,448.0,448.0,2
1518693660,447.0,447.0,447.0,447.0,1
1518703260,452.0,452.0,452.0,452.0,1
1518782160,455.0,455.0,455.0,455.0,1
1518786720,455.0,455.0,455.0,455.0,4
1519029180,449.0,449.0,449.0,449.0,1
1519029480,448.0,448.0,448.0,448.0,2
1519032480,450.0,450.0,450.0,450.0,1
1519034160,452.0,452.0,452.0,452.0,3
1519034580,455.0,455.0,455.0,455.0,1
1519052280,437.0,445.0,445.0,437.0,5
1519052460,440.0,440.0,440.0,440.0,1
1519052580,435.0,435.0,435.0,435.0,33
1519054740,451.0,451.0,451.0,451.0,1
1519112220,449.0,449.0,449.0,449.0,3
1519112280,452.0,452.0,452.0,452.0,3
1519122660,440.0,440.0,440.0,440.0,1
1519124160,450.0,450.0,450.0,450.0,1
1519294920,447.0,443.0,447.0,443.0,9
1519308660,450.0,450.0,450.0,450.0,1
1519633140,440.0,440.0,440.0,440.0,4
1519641120,441.0,441.0,441.0,441.0,10
1519641240,440.0,440.0,440.0,440.0,1
1519643700,438.0,438.0,438.0,438.0,4
1519646520,431.0,434.0,434.0,431.0,4
1519651200,439.0,439.0,439.0,439.0,1
1519652280,439.0,439.0,439.0,439.0,1
1519659240,442.0,439.0,442.0,439.0,3
1519719600,442.0,441.0,442.0,441.0,6
1519719660,444.0,444.0,444.0,444.0,2
1519719720,444.0,444.0,444.0,444.0,10
1519731180,444.0,444.0,444.0,444.0,1
1519896120,444.0,444.0,444.0,444.0,9
1519976280,435.0,435.0,435.0,435.0,2
1519976400,440.0,440.0,440.0,440.0,2
1519976820,435.0,435.0,435.0,435.0,2
1519977120,440.0,440.0,440.0,440.0,1
1519994160,430.0,431.0,431.0,430.0,2
1519995180,430.0,430.0,430.0,430.0,1
1520234640,430.0,430.0,430.0,430.0,2
