time,close,open,high,low,volume
1514973060,14.9,14.9,14.9,14.9,3
1515149460,15.0,15.0,15.15,15.0,16
1515149940,15.2,15.2,15.3,15.2,15
1515150300,15.45,15.35,15.45,15.35,20
1515151560,15.45,15.45,15.45,15.45,10
1515152400,15.45,15.45,15.45,15.45,10
1515153180,15.7,15.5,15.7,15.5,27
1515153540,15.55,15.55,15.55,15.55,1
1515166620,15.7,15.7,15.7,15.7,1
1515503040,15.55,15.55,15.55,15.55,2
1515508020,15.6,15.6,15.6,15.6,32
1515592800,15.9,15.8,15.9,15.8,5
1515595620,15.9,15.9,15.9,15.9,20
1515597720,15.55,15.75,15.75,15.55,6
1515597840,15.55,15.55,15.55,15.55,3
1515598620,15.55,15.55,15.55,15.55,2
1515749340,15.6,15.6,15.6,15.6,1
1515766380,15.6,15.6,15.6,15.6,1
1516004340,15.55,15.55,15.55,15.55,1
1516004400,15.5,15.5,15.5,15.5,1
1516006680,15.55,15.55,15.55,15.55,1
1516007760,15.4,15.45,15.45,15.4,2
1516007880,15.35,15.35,15.35,15.35,1
1516025340,15.3,15.3,15.3,15.3,1
1516029720,15.2,15.2,15.2,15.2,1
1516029840,15.0,15.05,15.05,15.0,8
1516030140,14.9,14.9,14.9,14.9,2
1516090380,14.8,14.8,14.8,14.8,1
1516094280,15.0,15.0,15.0,15.0,5
1516094340,15.0,15.0,15.0,15.0,5
1516094460,15.0,15.0,15.0,15.0,3
1516099020,14.95,14.95,14.95,14.95,1
1516116300,14.9,14.9,14.9,14.9,1
1516116360,14.8,14.85,14.85,14.8,3
1516180440,15.0,15.0,15.0,15.0,1
1516187520,15.0,15.0,15.0,15.0,1
1516196100,15.0,15.0,15.0,15.0,5
1516283520,15.1,15.1,15.1,15.1,1
1516353120,14.8,14.65,14.8,14.65,2
1516357800,14.7,14.7,14.7,14.7,5
1516610340,15.0,14.95,15.25,14.95,3
1516698360,14.95,14.95,14.95,14.95,1
1516712040,14.85,14.85,14.85,14.85,1
1516722300,15.0,15.0,15.0,15.0,2
1516872780,15.0,15.0,15.0,15.0,2
1516892580,14.9,14.95,14.95,14.9,2
1516892640,14.8,14.85,14.85,14.8,2
1516892700,14.65,14.8,14.8,14.65,4
1516965660,14.55,14.7,14.7,14.55,5
1516965720,13.95,14.6,14.6,13.95,5
1516969080,14.55,14.55,14.55,14.55,1
1516970100,14.0,14.5,14.5,14.0,20
1516970220,14.0,14.0,14.0,14.0,1
1516970340,14.4,14.4,14.4,14.4,1
1516976760,14.0,14.05,14.05,14.0,20
1516980360,14.25,14.25,14.25,14.25,1
1516980960,14.0,14.0,14.0,14.0,1
1517228580,14.35,14.65,14.65,14.35,5
1517228820,13.6,13.9,13.9,13.6,3
1517228940,14.1,14.1,14.1,14.1,1
1517229780,13.8,13.8,13.8,13.8,1
1517235660,14.2,14.35,14.35,14.0,5
1517235720,14.0,14.15,14.15,14.0,4
1517237700,13.95,13.95,13.95,13.95,1
1517298480,13.4,13.95,14.15,13.4,21
1517298540,13.15,13.75,13.75,13.15,10
1517298600,13.1,13.65,13.65,13.1,5
1517298660,13.6,13.55,13.6,13.05,8
1517298720,13.25,13.4,13.4,12.5,32
1517298780,13.15,13.2,13.2,13.15,5
1517299080,13.2,13.2,13.2,13.2,5
1517299980,13.4,13.3,13.4,13.3,4
1517300280,13.4,13.4,13.4,13.4,4
1517301060,13.55,13.45,13.55,13.45,5
1517301300,13.4,13.4,13.4,13.4,22
1517301360,13.55,13.5,13.55,13.5,21
1517302260,13.4,13.4,13.4,13.4,6
1517302560,13.4,13.4,13.4,13.4,94
1517303760,13.3,13.35,13.35,13.3,2
1517305320,13.4,13.4,13.4,13.4,5
1517314260,13.5,13.5,13.5,13.5,1
1517326260,13.3,13.3,13.3,13.3,2
1517388000,13.5,13.5,13.5,13.5,5
1517555700,13.7,13.55,13.7,13.55,100
1517556000,13.7,13.7,13.7,13.7,100
1517556660,13.75,13.75,13.75,13.75,1
1517557500,13.8,13.8,13.8,13.8,1
1517566680,13.75,13.75,13.75,13.75,1
1517569800,13.6,13.6,13.6,13.6,1
1517583240,13.6,13.6,13.6,13.6,1
1517584740,13.6,13.6,13.6,13.6,5
1517830080,13.5,13.55,13.55,13.5,3
1517830260,13.4,13.45,13.45,13.4,3
1517830440,12.65,13.3,13.3,12.65,94
1517830500,12.85,13.2,13.2,12.85,6
1517831700,13.0,13.0,13.0,13.0,5
1517832240,13.05,13.05,13.05,13.05,1
1517833140,13.05,13.05,13.05,13.05,9
1517842080,13.0,13.0,13.0,13.0,2
1517844420,12.55,13.0,13.0,12.55,100
1517900340,12.75,12.75,12.75,12.75,1
1517900700,13.0,12.95,13.0,12.95,2
1517900940,13.1,13.05,13.1,13.05,2
1517901060,13.15,13.15,13.15,13.15,1
1517901480,13.15,13.15,13.15,13.15,1
1517905440,12.95,13.2,13.2,12.95,4
1517905860,13.0,13.0,13.0,13.0,2
1517907720,13.0,13.0,13.0,13.0,4
1517917140,12.1,12.75,12.75,12.1,40
1517919780,12.4,12.4,12.4,12.4,1
1517992200,12.55,12.55,12.55,12.55,2
1517992800,12.55,12.55,12.55,12.55,1
1517997600,12.65,12.65,12.65,12.65,4
1518003780,12.6,12.6,12.6,12.6,7
1518003840,12.75,12.7,12.75,12.7,9
1518006360,13.0,12.8,13.0,12.8,54
1518423540,13.0,13.0,13.0,13.0,1
1518423600,13.0,13.0,13.0,13.0,5
1518423660,13.0,13.0,13.0,13.0,5
1518423720,13.0,13.0,13.0,13.0,3
1518423780,13.0,13.0,13.0,13.0,1
1518424320,12.9,12.9,12.9,12.9,1
1518688140,13.0,13.0,13.0,13.0,1
1519112160,13.0,13.05,13.05,13.0,2
1519129260,12.8,12.8,12.8,12.7,3
1519222560,13.0,12.9,13.0,12.9,2
1519723020,13.1,13.1,13.1,13.1,1
1520321100,12.65,12.65,12.65,12.65,1
1520435580,12.8,12.8,12.8,12.8,1
1520928120,12.5,12.8,12.8,12.5,5
1520935620,12.5,12.5,12.5,12.5,1
1520941740,12.7,12.7,12.7,12.7,1
1520942280,13.0,12.95,13.0,12.95,3
1520945580,13.0,13.0,13.0,13.0,1
1520954040,13.1,13.1,13.1,13.1,1
1521109020,12.8,12.9,12.9,12.8,3
1521444060,13.0,13.0,13.0,13.0,2
1521444300,13.3,13.1,13.3,13.1,4
1521444360,13.4,13.35,13.45,13.35,8
1521444480,13.5,13.5,13.5,13.5,5
1521444540,14.1,13.6,14.1,13.6,37
1521444600,14.1,14.1,14.1,14.1,7
1521444720,14.0,14.1,14.2,14.0,168
1521444840,14.25,14.2,14.25,14.2,4
1521444900,14.25,14.0,14.25,14.0,4
1521444960,14.45,14.25,14.45,14.25,16
1521445020,14.3,14.45,14.45,14.3,92
1521445200,14.1,14.2,14.2,14.1,2
1521446340,14.0,14.0,14.0,14.0,16
1521446520,13.95,13.95,13.95,13.95,5
1521446580,14.3,14.2,14.3,14.2,2
1521446640,14.4,14.4,14.4,14.4,1
1521446880,14.4,14.4,14.4,14.4,10
1521446940,15.1,14.5,15.1,14.5,111
1521447420,15.3,15.2,15.3,15.2,4
1521447480,15.2,15.2,15.2,15.2,1
1521447540,15.3,15.3,15.3,15.3,1
1521447600,15.3,15.3,15.3,15.3,4
1521447900,15.0,15.1,15.1,15.0,2
1521448080,14.7,14.9,14.9,14.7,53
1521448920,14.6,14.6,14.6,14.6,1
1521449040,14.6,14.6,14.6,14.6,4
1521449160,15.4,14.6,15.4,14.6,8
1521449760,14.7,15.0,15.0,14.7,2
1521451260,14.15,15.0,15.9,14.15,104
1521451320,15.0,14.7,15.0,14.7,3
1521451380,15.5,15.1,15.5,15.1,13
1521451560,15.5,15.25,15.5,15.25,4
1521451620,15.5,15.5,15.5,15.5,1
1521451680,15.5,15.5,15.5,15.5,6
1521451740,15.3,15.3,15.3,15.3,19
1521451980,15.5,15.5,15.5,15.5,1
1521452100,15.5,15.5,15.5,15.5,19
1521452160,16.2,15.5,16.2,15.5,11
1521452220,16.0,16.0,16.0,16.0,2
1521452280,16.8,16.1,16.9,15.8,129
1521452340,16.2,16.7,16.85,16.2,10
1521452400,16.6,16.4,16.6,16.4,38
1521452460,16.6,16.6,16.9,16.6,7
1521452520,16.5,16.5,16.5,16.5,1
1521452580,16.5,16.7,16.95,16.5,8
1521452640,16.8,16.5,16.9,16.5,24
1521452700,16.9,16.9,16.9,16.9,7
1521452760,16.5,16.7,16.7,16.5,10
1521452820,16.4,16.6,16.6,16.4,2
1521452940,16.85,16.6,16.85,16.6,6
1521453000,16.4,16.5,16.5,16.4,2
1521453120,16.3,16.3,16.3,16.3,1
1521453180,16.2,16.2,16.2,16.2,1
1521453240,16.5,16.4,16.8,16.4,14
1521453900,16.85,16.6,16.85,16.6,15
1521453960,16.95,16.85,16.95,16.85,46
1521454020,16.9,16.95,17.75,16.8,17
1521454080,17.75,17.0,17.75,17.0,10
1521454380,17.3,17.2,17.3,17.2,2
1521454440,17.35,17.35,17.35,17.35,1
1521454500,17.35,17.35,17.35,17.35,2
1521454680,17.3,17.1,17.3,17.1,2
1521454740,17.1,17.1,17.1,17.1,1
1521454800,17.75,17.3,17.75,17.3,6
1521454920,17.0,17.3,17.3,17.0,5
1521454980,16.8,17.0,17.0,16.8,33
1521455040,17.1,16.7,17.5,16.7,5
1521455100,16.95,17.2,17.2,16.95,2
1521455160,17.0,17.0,17.0,17.0,1
1521455280,17.1,16.9,17.1,16.9,2
1521455340,17.5,17.2,17.5,17.2,16
1521455640,17.1,17.1,17.1,17.1,1
1521455940,17.45,17.25,17.45,17.25,4
1521456180,17.1,17.2,17.2,17.1,2
1521456240,17.3,17.3,17.3,17.3,1
1521456420,17.1,17.1,17.1,17.1,1
1521456600,17.2,17.0,17.2,17.0,2
1521456660,17.0,17.0,17.0,17.0,1
1521456720,16.8,16.9,16.9,16.8,2
1521456780,16.15,16.7,16.7,16.15,20
1521456840,16.5,16.5,16.5,16.5,2
1521456900,16.1,16.4,16.4,16.1,10
1521457320,16.4,16.2,16.4,16.2,2
1521457380,16.4,16.4,16.4,16.4,1
1521457440,16.5,16.5,16.5,16.5,1
1521457500,16.6,16.6,16.6,16.6,1
1521457740,16.5,16.5,16.5,16.5,4
1521458280,16.4,16.4,16.4,16.4,1
1521458340,16.6,16.6,16.6,16.6,1
1521458400,16.3,16.6,16.6,16.3,2
1521458460,16.9,16.3,16.9,16.3,6
1521458640,16.95,16.7,17.0,16.7,16
1521458820,16.95,16.95,16.95,16.95,8
1521458880,17.0,16.95,17.0,16.95,3
1521458940,16.85,16.85,16.85,16.85,3
1521459000,17.0,16.8,17.3,16.75,26
1521459060,16.95,17.0,17.0,16.75,35
1521459120,16.7,16.75,16.75,16.7,20
1521459180,16.7,16.6,16.95,16.6,6
1521459300,16.3,16.65,16.65,16.3,58
1521459420,16.15,16.45,16.45,16.15,5
1521459480,16.1,16.15,16.15,16.1,2
1521459540,16.4,16.3,16.4,16.3,3
1521459600,16.2,16.2,16.2,16.2,1
1521459900,16.1,16.1,16.1,16.1,5
1521460140,16.0,16.0,16.0,16.0,5
1521460200,16.0,16.0,16.0,16.0,3
1521460320,16.0,15.95,16.2,15.95,7
1521460680,16.0,16.0,16.0,16.0,55
1521460740,15.9,15.9,15.9,15.9,1
1521460800,15.75,15.8,15.8,15.75,7
1521460980,15.6,15.75,15.75,15.6,29
