time,close,open,high,low,volume
1515669120,1190,1195,1195,1190,5
1515669360,1190,1190,1190,1190,4
1515669840,1190,1190,1190,1190,1
1515673020,1190,1190,1190,1190,1
1515678660,1190,1190,1190,1190,4
1515682560,1190,1190,1190,1190,5
1515740340,1155,1155,1155,1155,1
1515747900,1155,1155,1155,1155,2
1515748200,1150,1150,1150,1150,1
1516001040,1085,1085,1085,1085,5
1516002660,1080,1080,1080,1080,4
1516002720,1085,1085,1085,1085,5
1516002900,1085,1085,1085,1085,1
1516006200,1085,1085,1085,1085,4
1516006440,1155,1150,1155,1150,2
1516026180,1095,1095,1095,1095,1
1516026540,1095,1095,1095,1095,1
1516026600,1095,1095,1095,1095,2
1516106940,1090,1090,1090,1090,2
1516181640,1060,1060,1060,1060,5
1516181700,1060,1060,1060,1060,6
1516202820,1060,1060,1060,1060,3
1516203000,1105,1060,1105,1060,3
1516263600,1030,1030,1030,1030,2
1516263660,1030,1030,1030,1030,3
1516263780,1030,1030,1030,1030,5
1516263840,1030,1030,1030,1030,7
1516264140,1030,1030,1030,1030,4
1516264560,1025,1025,1025,1025,1
1516264980,1020,1020,1020,1020,9
1516265520,1070,1070,1070,1070,1
1516373700,1000,1010,1010,1000,6
1516375500,1020,1020,1020,1020,1
1516375680,1060,1060,1060,1060,1
1516375860,1060,1060,1060,1060,1
1516375920,1065,1065,1065,1065,2
1516631400,1065,1065,1065,1065,1
1516717620,1065,1065,1065,1065,1
1517999820,1025,1025,1025,1025,1
1517999880,1000,1005,1005,1000,8
1517999940,1000,1000,1000,1000,2
1518003780,980,995,995,980,13
1518013440,995,995,995,995,1
1518016140,985,985,985,985,1
1518017820,985,985,985,985,1
1518017940,955,975,975,955,5
1518505800,985,985,985,985,1
1518506100,995,995,995,995,1
1518793140,985,985,985,985,1
1519312500,1000,995,1005,995,3
1519312560,1050,1015,1050,1015,3
1519312620,1015,1015,1015,1015,1
1519312740,1035,1025,1035,1025,2
1519313100,1095,1050,1095,1050,6
1519313340,1100,1095,1100,1095,7
1519313400,1100,1100,1100,1100,1
1519313460,1070,1070,1070,1070,1
1519723920,1145,1140,1145,1140,5
1520247540,1145,1145,1145,1145,3
1520344980,1000,1000,1000,1000,1
1520346540,1140,1140,1140,1140,1
1521207420,1035,1025,1035,1025,2
1521212160,1040,1040,1040,1040,1
1521442740,1140,1140,1140,1140,1
1521442800,1140,1140,1140,1140,9
1521445680,1070,1070,1070,1070,1
1521460980,1065,1065,1065,1065,2
1521461100,1000,1040,1040,1000,19
1521461160,1000,1000,1000,1000,3
1521461280,1000,1000,1000,1000,2
1521464280,1015,1015,1015,1015,1
1521471000,1270,1025,1270,1025,45
1521471060,1300,1050,1300,1045,172
1521471120,1400,1375,1400,1375,77
1521529620,1420,1395,1420,1395,124
1521530160,1450,1450,1450,1450,1
1521530760,1450,1450,1450,1450,5
1521532560,1495,1495,1495,1495,1
1521532740,1500,1500,1500,1500,2
1521541080,1240,1240,1240,1240,2
1521541140,1495,1480,1495,1480,4
1521643320,1200,1220,1220,1200,4
1521708960,1200,1200,1200,1200,3
1521714120,1250,1250,1250,1250,1
1521726900,1275,1275,1275,1275,1
1521802080,1150,1105,1150,1000,41
1521804120,1125,1125,1125,1125,1
1521804960,1490,1290,1490,1290,22
1521807960,1250,1250,1250,1250,1
1522067700,1500,1405,1500,1405,27
1522144020,1260,1260,1260,1260,1
1522239000,1495,1490,1495,1490,61
1522248060,1500,1500,1500,1500,1
1522248240,1350,1350,1350,1350,1
1522672020,1500,1500,1500,1500,1
1522769580,1505,1505,1505,1505,1
1524553560,1400,1010,1400,1010,4
1525677840,1555,1550,1555,1550,5
1527082740,1520,1520,1520,1520,1
1527496320,1200,1200,1200,1200,10
1527497100,1225,1225,1225,1225,1
1527498000,1225,1225,1225,1225,1
1527498600,1225,1225,1225,1225,1
1527502560,1200,1200,1200,1200,10
1527502620,1200,1200,1200,1200,6
1527503400,1200,1200,1200,1200,4
1527505020,1200,1200,1200,1200,1
1527506340,1205,1200,1205,1200,10
1527506400,1205,1205,1205,1205,1
1527514200,1200,1200,1200,1200,1
1527516000,1200,1200,1200,1200,8
1527516300,1200,1200,1200,1200,10
1527780120,1200,1200,1200,1200,1
1527780180,1135,1135,1135,1135,1
1528101780,1150,1130,1150,1130,2
1528101900,1125,1125,1125,1125,8
1528101960,1115,1115,1115,1115,4
1528102080,1110,1110,1110,1110,3
1528470900,1110,1115,1115,1110,5
1528884960,1105,1105,1105,1105,1
1529305740,1100,1100,1100,1100,1
1529398320,1350,1240,1350,1240,32
1529400600,1200,1200,1200,1200,1
1529400960,1300,1300,1300,1300,1
1529402580,1375,1355,1375,1355,5
1529413800,1165,1165,1165,1165,1
1529414580,1250,1250,1250,1250,1
1529501460,1400,1390,1400,1390,18
1529567160,1450,1450,1450,1450,11
1529655540,1600,1400,1600,1400,27
1529674500,1550,1550,1550,1550,65
1530012780,1295,1295,1295,1295,24
1530013680,1295,1295,1295,1295,2
1530014580,1295,1295,1295,1295,5
1530016920,1295,1295,1295,1295,58
1530778260,1420,1415,1420,1415,3
1530781020,1420,1420,1420,1420,5
1530794400,1420,1425,1425,1420,8
1530867180,1295,1295,1295,1295,2
1530867540,1295,1295,1295,1295,2
1530892140,1295,1295,1295,1295,2
1531218000,1140,1145,1145,1140,8
1531236720,1195,1195,1195,1195,1
1531237080,1200,1200,1200,1200,1
1531403220,1125,1125,1125,1125,5
1531403280,1110,1120,1120,1110,8
1531408200,1125,1125,1125,1125,1
1531465200,1235,1235,1235,1235,1
1531466280,1125,1125,1125,1125,1
1532678160,1195,1195,1195,1195,6
1532678220,1195,1195,1195,1195,2
1532678520,1195,1195,1195,1195,1
1532678640,1195,1195,1195,1195,1
1532693220,1190,1190,1190,1190,1
1533122280,1080,1080,1080,1080,2
1533907380,1000,920,1000,840,12
1533907680,1100,1100,1100,1100,1
1537876740,1320,1320,1320,1320,3
1537885200,1380,1200,1380,1200,14
1537888500,1200,1200,1200,1200,1
1540984860,1220,1220,1220,1220,1
1541170920,1300,1300,1300,1300,1
1542026940,1040,1040,1040,1040,1
1542030120,1300,1300,1300,1300,1
1542202260,1200,1200,1200,1200,1
1542205500,1200,1200,1200,1200,1
1542207240,1200,1200,1200,1200,10
1542812760,1280,1280,1280,1280,1
1542899700,940,940,940,940,6
1542956400,1400,1400,1400,1400,7
1542956700,1360,1300,1360,1300,3
1542985140,1360,1360,1360,1360,2
1543216080,1100,960,1100,960,13
1543217580,1200,1200,1200,1200,2
1543303800,1300,1400,1400,1300,13
1543305180,1280,1280,1280,1280,1
1543305360,1320,1320,1320,1320,1
1543305480,1400,1400,1400,1400,1
1543306500,1340,1340,1340,1340,1
1543309260,1320,1320,1320,1320,1
1543310640,1400,1400,1400,1400,1
1543314960,1280,1280,1280,1280,1
1543414980,1280,1280,1280,1280,1
1543834440,1280,1280,1280,1280,3
1543913760,1300,1300,1300,1300,1
1544094720,1300,1300,1300,1300,1
