time,close,open,high,low,volume
1514971080,630,630,630,630,1
1514979600,635,635,635,635,1
1515067380,625,625,625,625,1
1515146580,625,625,625,625,1
1515164400,615,625,625,615,5
1515486720,635,625,645,625,51
1515487980,640,640,640,640,1
1515576240,635,635,635,635,1
1515597840,635,635,635,635,1
1515663960,620,630,630,620,3
1515671100,615,615,615,615,4
1515679320,615,615,615,615,1
1515680760,615,615,615,615,5
1515681660,615,615,615,615,5
1515681720,620,620,620,620,2
1515683160,620,620,620,620,5
1515683280,625,625,625,625,1
1515684600,625,625,625,625,5
1515685140,640,630,640,630,10
1515745200,640,640,640,640,3
1515751020,640,635,640,635,19
1516000380,645,645,645,645,1
1516025160,640,640,640,640,1
1516029840,640,640,640,640,4
1516091100,650,650,650,650,1
1516099200,645,645,645,645,1
1516114860,640,640,640,640,1
1516116360,640,640,640,640,4
1516181640,635,635,635,635,1
1516189140,620,630,630,620,4
1516189200,600,615,615,600,72
1516189980,605,605,605,605,5
1516190460,605,605,605,605,2
1516190820,605,605,605,605,3
1516192500,605,605,605,605,1
1516193340,605,605,605,605,2
1516193460,605,605,605,605,2
1516194540,605,605,605,605,1
1516195440,605,605,605,605,4
1516195560,610,610,610,610,3
1516202880,610,610,610,610,5
1516203180,605,605,605,605,3
1516203540,600,600,600,600,28
1516258800,635,635,635,635,2
1516263840,615,615,615,615,1
1516283340,610,610,610,610,1
1516284120,610,610,610,610,1
1516285200,610,610,610,610,3
1516287960,610,610,610,610,4
1516359600,615,615,615,615,1
1516366560,615,615,615,615,1
1516366740,615,615,615,615,4
1516373940,615,615,615,615,2
1516609440,605,605,605,605,5
1516616760,605,605,605,605,5
1516621380,605,605,605,605,5
1516622940,605,605,605,605,6
1516632900,615,615,615,615,1
1516633080,615,615,615,615,1
1516695660,620,620,620,620,1
1516707240,620,620,620,620,2
1516717320,620,620,620,620,1
1516779660,625,625,625,625,1
1516792260,625,625,625,625,1
1516792740,625,625,625,625,5
1516872720,620,620,620,620,1
1516880760,610,615,615,610,2
1516881180,605,605,605,605,3
1516882020,605,605,605,605,1
1516962180,610,610,610,610,1
1516979940,635,620,635,620,10
1516980900,625,625,625,625,1
1516981080,630,630,630,630,2
1516981140,630,630,630,630,2
1517310720,620,620,620,620,1
1517318100,630,630,630,630,4
1517325180,630,630,630,630,1
1517406720,630,630,630,630,3
1517496660,630,630,630,630,2
1517568660,605,620,620,605,7
1517843400,625,625,625,625,2
1518084660,630,630,630,630,1
1518084720,635,635,635,635,6
1518085680,635,635,635,635,2
1518091320,635,635,635,635,3
1518102840,635,635,635,635,2
1518419520,635,635,635,635,1
1518439140,630,630,630,630,1
1518444720,640,635,640,635,19
1518449340,640,640,640,640,15
1518518400,640,640,640,640,7
1518522120,645,645,645,645,2
1518522300,645,645,645,645,2
1518523080,645,645,645,645,1
1518794760,645,645,645,645,5
1519043340,630,630,630,630,1
1519121100,630,630,630,630,15
1519645740,620,625,625,620,10
1519658520,630,625,630,625,2
1519659240,620,620,620,620,2
1519974300,615,620,620,615,2
1520320920,630,630,630,630,1
1520344320,620,620,620,620,1
1521013500,635,635,635,635,3
1521013560,635,635,635,635,2
1521029160,635,635,635,635,2
1521101760,635,635,635,635,3
1521103020,620,620,620,620,1
1521128700,630,630,630,630,1
1521445140,620,620,620,620,2
1521449580,635,630,635,630,5
1521452340,635,635,635,635,1
1521461220,620,625,625,620,16
1521461460,610,615,615,610,8
1521468960,620,620,620,620,1
1521472020,635,630,635,630,3
1521473220,640,635,640,635,4
1521473460,650,640,650,640,22
1521529380,660,660,660,660,1
1521529620,660,660,660,660,1
1521529800,665,665,665,665,4
1521532260,665,665,665,665,3
1521533520,650,650,650,650,1
1521534720,645,645,645,645,1
1521534960,645,645,645,645,2
1521559980,660,660,660,660,3
1521616260,640,650,650,640,3
1521616860,630,630,630,630,1
1521637140,630,630,630,630,11
1521637200,625,625,625,625,4
