time,close,open,high,low,volume
1514987340,1700,1700,1700,1700,1
1514987520,1720,1720,1720,1720,2
1514987580,1740,1730,1740,1730,3
1514989440,1710,1710,1710,1710,1
1515074340,1710,1710,1710,1710,1
1515506520,1720,1720,1720,1720,1
1515572460,1700,1710,1710,1700,10
1515771540,1720,1720,1720,1720,1
1516024920,1720,1720,1720,1720,1
1516028940,1700,1630,1700,1630,2
1516029780,1740,1730,1740,1730,6
1516030320,1750,1750,1750,1750,2
1516030560,1760,1760,1760,1760,1
1516030680,1770,1770,1770,1770,1
1516087260,1750,1750,1750,1750,1
1516089060,1740,1740,1740,1740,1
1516090860,1760,1760,1760,1760,1
1516091280,1700,1740,1740,1700,5
1516091460,1700,1700,1700,1700,1
1516092960,1690,1690,1690,1690,1
1516093320,1620,1620,1620,1620,3
1516110240,1700,1710,1710,1700,2
1516111860,1720,1720,1720,1720,1
1516111920,1730,1730,1730,1730,1
1516176300,1730,1730,1730,1730,2
1516194540,1710,1710,1710,1710,2
1516201860,1710,1710,1710,1710,1
1516261560,1700,1700,1700,1700,1
1516277640,1680,1680,1680,1680,1
1516279740,1720,1710,1720,1710,2
1516286040,1770,1750,1770,1750,6
1516287900,1680,1670,1680,1670,2
1516288200,1700,1690,1700,1690,2
1516289160,1710,1710,1710,1710,1
1516289340,1720,1720,1720,1720,2
1516611240,1740,1740,1740,1740,1
1516633980,1750,1750,1750,1750,1
1516634280,1750,1750,1750,1750,1
1516635180,1750,1750,1750,1750,1
1516709880,1720,1720,1720,1720,1
1516869060,1750,1750,1750,1750,1
1516869180,1770,1770,1770,1770,2
1516869780,1750,1750,1750,1750,1
1516870620,1740,1740,1740,1740,1
1516889400,1740,1740,1740,1740,1
1516958640,1760,1760,1760,1760,1
1516966500,1760,1760,1760,1760,2
1516972380,1760,1760,1760,1760,1
1516979400,1810,1770,1810,1770,5
1516979700,1790,1790,1790,1790,1
1517209920,1770,1780,1780,1770,2
1517211060,1780,1780,1780,1780,1
1517217060,1780,1780,1780,1780,1
1517303520,1790,1790,1790,1790,1
1517304360,1790,1790,1790,1790,1
1517323980,1790,1790,1790,1790,1
1517325060,1800,1800,1800,1800,3
1517326320,1800,1800,1800,1800,4
1517411580,1800,1800,1800,1800,2
1517412780,1810,1810,1810,1810,1
1517412960,1810,1810,1810,1810,3
1517469660,1830,1820,1830,1820,2
1517495100,1810,1810,1810,1810,1
1517495220,1800,1800,1800,1800,1
1517555220,1820,1820,1820,1820,1
1517555460,1800,1800,1800,1800,1
1517563500,1820,1820,1820,1820,1
1517563560,1820,1820,1820,1820,1
1517574180,1810,1810,1810,1810,1
1517574960,1830,1830,1830,1830,2
1517575620,1830,1830,1830,1830,19
1517576220,1830,1830,1830,1830,15
1517576280,1840,1840,1840,1840,3
1517576700,1840,1840,1840,1840,1
1517585940,1850,1840,1850,1840,2
1517815140,1810,1820,1820,1810,2
1517815740,1810,1810,1810,1810,4
1517817780,1810,1810,1810,1810,2
1517845500,1810,1810,1810,1810,4
1517900520,1800,1800,1800,1800,1
1517900700,1790,1790,1790,1790,1
1517900820,1700,1700,1700,1700,1
1517900940,1780,1780,1780,1780,1
1517911560,1750,1780,1780,1750,2
1517912160,1640,1730,1730,1640,20
1517912700,1670,1670,1670,1670,1
1517913600,1670,1670,1670,1670,2
1517918460,1660,1660,1660,1660,1
1517918520,1660,1660,1660,1660,1
1517918820,1670,1670,1670,1670,1
1517922180,1670,1670,1670,1670,3
1517925420,1670,1670,1670,1670,7
1517925720,1660,1660,1660,1660,1
1517925780,1730,1730,1730,1730,1
1517926020,1770,1700,1770,1700,2
1517928660,1680,1680,1680,1680,1
1517930760,1660,1660,1660,1660,1
1517987340,1640,1640,1640,1640,1
1517988060,1650,1650,1650,1650,6
1517991720,1650,1650,1650,1650,4
1517991960,1630,1630,1630,1630,1
1517995260,1680,1680,1680,1680,1
1517995800,1630,1630,1630,1630,2
1518001380,1630,1630,1630,1630,2
1518002280,1620,1620,1620,1620,2
1518016920,1670,1670,1670,1670,1
1518017100,1680,1680,1680,1680,1
1518176940,1610,1610,1610,1610,2
1518177000,1600,1600,1600,1600,5
1518177120,1600,1600,1600,1600,3
1518179460,1600,1600,1600,1600,3
1518179700,1600,1600,1600,1600,1
1518180540,1600,1600,1600,1600,1
1518181200,1600,1600,1600,1600,1
1518181800,1600,1600,1600,1600,2
1518182640,1570,1570,1570,1570,1
1518188040,1580,1580,1580,1580,2
1518424980,1650,1640,1650,1640,2
1518425160,1650,1650,1650,1650,1
1518433260,1640,1640,1640,1640,1
1518436740,1620,1620,1620,1620,1
1518513180,1650,1650,1650,1650,1
1518521700,1620,1630,1630,1620,2
1518536340,1610,1610,1610,1610,1
1518686280,1680,1650,1680,1650,2
1518687900,1650,1650,1650,1650,1
1518784620,1620,1620,1620,1620,1
1518795900,1650,1650,1650,1650,1
1519139100,1650,1650,1650,1650,1
1519139340,1660,1660,1660,1660,1
1519204320,1670,1670,1670,1670,1
1519289580,1620,1620,1620,1620,1
1519290360,1650,1650,1650,1650,1
1519654680,1680,1680,1680,1680,3
1519659120,1680,1680,1680,1680,3
1519722540,1710,1710,1710,1710,1
1519722600,1700,1700,1700,1700,1
1519743180,1700,1700,1700,1700,1
1519830480,1560,1680,1680,1560,7
1519830840,1670,1670,1670,1670,1
1519830960,1670,1670,1670,1670,2
1519832220,1670,1670,1670,1670,1
1519895520,1680,1680,1680,1680,1
1519982400,1700,1700,1700,1700,1
1520233620,1730,1730,1730,1730,1
1520257260,1710,1710,1710,1710,1
1520328060,1710,1710,1710,1710,2
1520343300,1610,1620,1620,1610,2
1520345520,1650,1650,1650,1650,1
1520417160,1610,1610,1610,1610,1
1520421420,1670,1650,1670,1650,3
1520599500,1690,1690,1690,1690,1
1521011580,1670,1670,1670,1670,1
1521011940,1660,1660,1660,1660,1
1521013500,1650,1650,1650,1650,1
1521015360,1610,1640,1640,1610,7
1521015420,1610,1610,1610,1610,3
1521015780,1630,1630,1630,1630,1
1521015900,1640,1640,1640,1640,1
1521022080,1640,1640,1640,1640,2
1521099180,1620,1620,1620,1620,1
1521102120,1610,1610,1610,1610,2
1521106680,1600,1600,1600,1600,1
1521107760,1600,1600,1600,1600,1
1521111960,1620,1620,1620,1620,1
1521118560,1630,1630,1630,1630,1
1521118740,1640,1640,1640,1640,1
1521118920,1650,1650,1650,1650,1
1521122580,1650,1650,1650,1650,1
1521123480,1660,1660,1660,1660,1
1521126840,1630,1640,1640,1630,2
1521126900,1600,1620,1620,1600,6
1521126960,1620,1620,1620,1620,1
1521127020,1630,1630,1630,1630,1
1521127440,1640,1640,1640,1640,1
1521206640,1650,1650,1650,1650,1
1521213360,1630,1630,1630,1630,1
1521214260,1650,1650,1650,1650,1
1521469500,1650,1650,1650,1650,1
1521472920,1670,1660,1670,1660,2
1521732840,1640,1650,1650,1640,2
1522074300,1590,1620,1620,1590,8
1522146300,1600,1600,1600,1600,3
1522656180,1680,1650,1680,1650,4
1522667760,1680,1680,1680,1680,2
1522682520,1600,1600,1600,1600,1
1522746240,1690,1680,1690,1680,2
1522748760,1700,1690,1700,1690,2
1522848360,1610,1610,1610,1610,1
1522998060,1590,1590,1590,1590,3
1522998180,1530,1530,1530,1530,1
1522999260,1650,1630,1650,1630,3
1523265360,1620,1620,1620,1620,1
1523266080,1610,1610,1610,1610,1
1523266860,1600,1600,1600,1600,1
1523267100,1590,1590,1590,1590,1
1523267400,1580,1580,1580,1580,1
1523267880,1580,1580,1580,1580,1
1523267940,1580,1580,1580,1580,1
1523268000,1580,1580,1580,1580,1
1523279640,1580,1580,1580,1580,5
1523359740,1640,1600,1640,1600,5
1523368320,1620,1620,1620,1620,1
1523430000,1610,1610,1610,1610,1
1523440980,1630,1630,1660,1630,7
1523450220,1610,1620,1620,1610,3
1524034740,1690,1690,1690,1690,1
1524045480,1550,1560,1560,1550,18
1524059520,1580,1580,1580,1580,1
1524061680,1580,1580,1580,1580,2
1524064260,1560,1560,1560,1560,5
1524064320,1550,1550,1550,1550,4
1524064500,1550,1550,1550,1550,1
1524064920,1550,1550,1550,1550,1
1524570420,1590,1590,1590,1590,1
1524814980,1520,1530,1530,1520,2
1524920880,1610,1610,1610,1610,2
1524921540,1610,1610,1610,1610,1
1524921600,1610,1610,1610,1610,1
1524922620,1610,1610,1610,1610,1
1524925740,1610,1610,1610,1610,1
1525446300,1640,1630,1640,1630,2
1525447200,1630,1630,1630,1630,1
1525685040,1650,1650,1650,1650,1
1525685100,1650,1650,1650,1650,4
1525703880,1680,1680,1680,1680,1
1525705260,1680,1680,1680,1680,1
1525778820,1680,1680,1680,1680,1
1526047140,1690,1690,1690,1690,2
1526547660,1600,1560,1600,1520,11
1526556240,1630,1620,1630,1620,3
1526890380,1530,1560,1560,1530,5
1528965120,1620,1620,1620,1620,1
1528968480,1590,1590,1590,1590,1
1529487240,1470,1470,1470,1470,6
1529487720,1550,1550,1550,1550,1
1529672760,1570,1540,1570,1540,6
1529673060,1570,1570,1570,1570,4
1529681880,1630,1590,1630,1590,2
1530023400,1690,1670,1690,1670,5
1530112980,1590,1590,1590,1590,1
1530185760,1580,1580,1580,1580,2
1530188700,1580,1580,1580,1580,1
1530283860,1630,1630,1630,1630,1
1530694560,1630,1630,1630,1630,1
1530889200,1630,1630,1630,1630,1
1531740480,1590,1590,1590,1590,1
1531813380,1530,1530,1530,1530,1
1532440320,1560,1560,1560,1560,1
1533122280,1470,1470,1470,1470,3
1533125100,1570,1570,1570,1570,1
1533138300,1550,1550,1550,1550,1
1533222540,1550,1550,1550,1550,1
1533720780,1620,1620,1620,1620,1
1535465580,1500,1500,1500,1500,2
1535469660,1600,1590,1600,1590,2
1535981940,1320,1320,1320,1320,1
1535983980,1450,1450,1450,1450,1
1536060420,1500,1570,1570,1500,2
1536244500,1500,1500,1500,1500,1
1536586140,1500,1500,1500,1500,1
1536825780,1160,1160,1160,1160,1
1536825900,1590,1590,1590,1590,1
1536827400,1550,1550,1550,1550,1
1536828540,1550,1550,1550,1550,1
1537357920,1490,1490,1490,1490,1
1537962300,1320,1330,1330,1320,3
1537962660,1500,1500,1500,1500,1
1538047560,1540,1540,1540,1540,1
1538060700,1390,1390,1390,1390,1
1538060760,1450,1450,1450,1450,1
1538126280,1360,1450,1450,1360,3
1538492340,1540,1530,1540,1530,4
1538492400,1500,1500,1500,1500,1
1538492460,1580,1580,1580,1580,1
1538493060,1550,1550,1550,1550,1
1538493120,1560,1560,1560,1560,1
1538493360,1590,1590,1590,1590,1
1538493480,1590,1590,1590,1590,1
1538495280,1590,1590,1590,1590,3
1538562180,1500,1500,1500,1500,1
1538574900,1500,1500,1500,1500,1
1538581080,1440,1450,1450,1440,3
1538643660,1450,1450,1450,1450,1
1539932820,1420,1420,1420,1420,1
1539940920,1450,1450,1450,1450,2
1540396080,1490,1490,1490,1490,1
1540566240,1390,1390,1390,1390,1
1541156220,1400,1450,1450,1400,2
1541519280,1410,1410,1410,1410,1
1542013140,1500,1500,1500,1500,1
1542266640,1530,1530,1530,1530,1
1542273240,1500,1500,1500,1500,1
1542378960,1500,1500,1500,1500,1
1542379200,1380,1390,1390,1380,6
1542379260,1450,1450,1450,1450,1
1542380100,1520,1520,1520,1520,1
1542800940,1410,1410,1410,1410,1
1542806820,1400,1400,1400,1400,3
