time,close,open,high,low,volume
1515588840,9490,9490,9490,9490,1
1516024200,9000,9000,9000,9000,1
1516027560,9490,9490,9490,9490,1
1517382360,11860,11860,11860,11860,2
1517814600,12790,12790,12790,12790,1
1527154680,12800,11000,12800,11000,8
1527157980,12800,12800,12800,12800,1
1528190760,11000,11000,11000,11000,5
1545637440,6500,6500,6500,6500,2
1545647280,7500,7500,7500,7500,1
1546076700,8000,8000,8000,8000,1
1550475300,10000,10000,10000,10000,1
1550476560,6000,6000,6000,6000,1
1550481960,9500,9500,9500,9500,1
1550482020,10000,10000,10000,10000,1
1550482260,10000,10000,10000,10000,1
1550483040,10000,10000,10000,10000,1
1550485500,10000,10000,10000,10000,7
1550486280,10000,10000,10000,10000,7
1550488680,9500,9500,9500,9500,1
1550491500,10000,10000,10000,10000,1
1550491740,10000,10000,10000,10000,1
1550494380,10000,10000,10000,10000,1
1550496480,10000,10000,10000,10000,2
1550561460,8500,8500,8500,8500,1
1550561520,8000,8000,8000,8000,1
1550737500,8000,8500,8500,8000,5
1550737680,7000,7500,7500,7000,2
1550740860,8500,8500,8500,8500,1
1550742420,8500,8500,8500,8500,3
1550743140,9000,9000,9000,9000,1
1550744940,9000,9000,9000,9000,1
1550750580,9000,9000,9000,9000,2
1550753220,8000,8000,8000,8000,1
1550753880,8000,8000,8000,8000,1
1550761380,8000,8000,8000,8000,1
1550820780,8000,8000,8000,8000,1
1550823960,7000,7000,7000,7000,1
1550824320,8000,8000,8000,8000,1
1550830080,8000,8000,8000,8000,1
1551081060,8000,8000,8000,8000,1
1551099900,8500,8500,8500,8500,1
1551099960,8500,8500,8500,8500,1
1551253140,11000,10000,11000,10000,3
1551253380,11500,11500,11500,11500,1
1551253500,11500,11500,11500,11500,2
1551254460,11500,11500,11500,11500,2
1551258360,11500,11500,11500,11500,1
1551261180,11500,11500,11500,11500,1
1551261360,11500,11500,11500,11500,1
1551264180,11500,11500,11500,11500,1
1551265440,11500,11500,11500,11500,2
1551265560,11500,11500,11500,11500,1
1551267960,11500,11500,11500,11500,1
1551268620,11500,11500,11500,11500,1
1551268740,11500,11500,11500,11500,2
1551270000,11500,11500,11500,11500,1
1551274020,11500,11500,11500,11500,6
1551337200,14000,14000,14000,14000,1
1551337560,16000,16000,16000,16000,1
1551337620,16000,16000,16000,16000,1
1551337740,16000,16000,16000,16000,1
1551337800,16000,16000,16000,16000,1
1551338100,16000,16000,16000,16000,1
1551338640,13000,13000,13000,13000,2
1551338820,13500,13500,13500,13500,1
1551338880,15500,15500,15500,15500,2
1551340020,15500,15500,15500,15500,1
1551340260,15500,15500,15500,15500,1
1551340320,15000,15000,15000,15000,1
1551340500,15000,15000,15000,15000,1
1551341160,13500,13500,13500,13500,1
1551341340,13500,13500,13500,13500,1
1551342780,13000,13000,13000,13000,1
1551343860,13000,13000,13000,13000,2
1551346140,12000,12000,12000,12000,1
1551348180,12000,12000,12000,12000,1
1551348360,11000,12000,12000,11000,2
1551348840,11000,11000,11000,11000,1
