time,close,open,high,low,volume
1576159680,250.0,250.0,250.0,250.0,1
1576160160,250.0,250.0,250.0,250.0,9
1576160340,250.0,250.0,250.0,250.0,2
1576160400,255.0,250.0,255.0,250.0,11
1576160460,255.0,255.0,255.0,255.0,12
1576160520,260.0,260.0,260.0,260.0,20
1576160580,270.0,265.0,270.0,265.0,30
1576160640,265.0,270.0,270.0,265.0,37
1576160700,270.0,270.0,270.0,250.0,15
1576160760,270.0,260.0,270.0,260.0,21
1576160940,255.0,250.0,255.0,250.0,20
1576161000,265.0,260.0,265.0,260.0,15
1576161060,270.0,265.0,270.0,265.0,9
1576161120,270.0,270.0,270.0,270.0,2
1576161180,255.0,255.0,255.0,255.0,2
1576161240,260.0,255.0,260.0,255.0,18
1576161300,260.0,255.0,270.0,250.0,69
1576161420,265.0,260.0,265.0,250.0,41
1576161480,260.0,265.0,270.0,260.0,44
1576161540,265.0,260.0,270.0,260.0,21
1576161600,250.0,255.0,255.0,250.0,108
1576161660,250.0,250.0,255.0,250.0,8
1576161780,255.0,255.0,255.0,255.0,1
1576161840,250.0,250.0,250.0,250.0,5
1576161900,255.0,255.0,255.0,255.0,1
1576162020,255.0,255.0,255.0,255.0,16
1576162080,260.0,260.0,260.0,260.0,10
1576162140,260.0,260.0,260.0,260.0,15
1576162200,260.0,260.0,260.0,260.0,29
1576162320,260.0,260.0,260.0,260.0,21
1576162380,260.0,265.0,265.0,260.0,49
1576162440,260.0,260.0,260.0,260.0,38
1576162500,260.0,260.0,260.0,260.0,1
1576162560,260.0,260.0,260.0,260.0,6
1576162620,260.0,260.0,260.0,260.0,31
1576162680,265.0,255.0,265.0,255.0,7
1576162740,260.0,260.0,260.0,260.0,2
1576162920,260.0,255.0,260.0,250.0,88
1576163040,265.0,260.0,270.0,260.0,29
1576163100,255.0,255.0,255.0,255.0,20
1576163280,260.0,260.0,260.0,260.0,1
1576163760,260.0,260.0,260.0,260.0,5
1576163820,260.0,260.0,260.0,260.0,1
1576164000,260.0,260.0,260.0,260.0,8
1576164180,260.0,260.0,260.0,260.0,4
1576164240,265.0,265.0,265.0,265.0,8
1576164420,255.0,255.0,255.0,255.0,1
1576164540,260.0,260.0,260.0,260.0,1
1576164660,260.0,260.0,260.0,260.0,1
1576164720,260.0,255.0,260.0,255.0,2
1576164840,260.0,260.0,260.0,260.0,12
1576164900,260.0,260.0,260.0,260.0,2
1576164960,260.0,260.0,260.0,260.0,5
1576165020,270.0,265.0,270.0,265.0,7
1576165080,270.0,270.0,270.0,270.0,30
1576165140,270.0,265.0,270.0,265.0,28
1576165680,270.0,270.0,270.0,270.0,4
1576220340,275.0,275.0,275.0,275.0,3
1576220400,295.0,275.0,295.0,275.0,5
1576220460,340.0,280.0,340.0,280.0,26
1576220520,340.0,325.0,345.0,310.0,23
1576220580,305.0,320.0,330.0,305.0,12
1576220640,315.0,300.0,315.0,300.0,3
1576220700,320.0,300.0,325.0,300.0,9
1576220760,300.0,320.0,330.0,300.0,56
1576220820,330.0,320.0,330.0,305.0,25
1576220880,315.0,325.0,330.0,315.0,5
1576220940,325.0,315.0,325.0,315.0,12
1576221000,330.0,315.0,330.0,315.0,17
1576221060,365.0,330.0,370.0,330.0,78
1576221120,370.0,360.0,375.0,355.0,160
1576221180,375.0,370.0,375.0,365.0,35
1576221240,365.0,375.0,375.0,360.0,24
1576221300,370.0,370.0,375.0,360.0,43
1576221360,375.0,370.0,375.0,370.0,24
1576221420,375.0,375.0,375.0,375.0,1
1576221600,375.0,375.0,375.0,375.0,41
1576221720,375.0,375.0,375.0,375.0,59
1576221780,360.0,375.0,375.0,360.0,3
1576221840,375.0,375.0,375.0,375.0,4
1576221900,375.0,375.0,375.0,375.0,5
1576222020,375.0,375.0,375.0,375.0,2
1576222080,375.0,375.0,375.0,375.0,1
1576222140,375.0,375.0,375.0,375.0,3
1576222980,365.0,375.0,375.0,365.0,122
1576223040,365.0,360.0,365.0,355.0,33
1576223100,365.0,365.0,365.0,365.0,1
1576223280,365.0,360.0,365.0,360.0,2
1576223340,365.0,360.0,365.0,360.0,4
1576223400,375.0,365.0,375.0,365.0,92
1576223520,375.0,375.0,375.0,375.0,20
1576223760,375.0,375.0,375.0,375.0,6
1576223820,355.0,375.0,375.0,355.0,214
1576223880,370.0,370.0,375.0,370.0,6
1576223940,370.0,370.0,370.0,370.0,1
1576224180,370.0,365.0,370.0,365.0,5
1576224360,370.0,370.0,370.0,370.0,1
1576224480,370.0,370.0,370.0,370.0,9
1576224600,375.0,375.0,375.0,375.0,1
1576224720,370.0,370.0,370.0,370.0,1
1576224840,370.0,370.0,370.0,370.0,5
1576224900,375.0,375.0,375.0,375.0,5
1576225200,370.0,370.0,370.0,370.0,2
1576225560,375.0,360.0,375.0,360.0,43
1576225620,375.0,370.0,375.0,370.0,3
1576225680,375.0,370.0,375.0,370.0,10
1576225740,375.0,375.0,375.0,375.0,1
1576225800,375.0,375.0,375.0,375.0,54
1576225860,355.0,365.0,365.0,355.0,21
1576225920,350.0,355.0,355.0,350.0,15
1576226040,350.0,350.0,350.0,335.0,15
1576226160,360.0,360.0,360.0,360.0,5
1576226340,360.0,360.0,360.0,360.0,1
1576226460,355.0,355.0,355.0,355.0,1
1576226580,360.0,360.0,360.0,360.0,1
1576226640,360.0,360.0,360.0,360.0,1
1576226700,360.0,360.0,360.0,360.0,1
1576227120,350.0,350.0,350.0,350.0,1
1576227180,340.0,350.0,350.0,340.0,4
1576227660,360.0,355.0,360.0,355.0,4
1576227780,375.0,365.0,375.0,365.0,61
1576227900,375.0,375.0,375.0,375.0,1
1576227960,375.0,375.0,375.0,375.0,1
