time,close,open,high,low,volume
1514965320,68.2,74.1,74.1,68.2,81
1514965440,73.5,73.5,73.5,73.5,1
1514965500,73.4,73.4,73.4,73.4,1
1514966160,73.3,73.3,73.3,73.3,1
1514966220,73.1,73.2,73.2,73.1,2
1514966640,73.7,73.6,73.7,73.6,3
1514966820,73.0,73.4,73.4,73.0,16
1514966940,74.2,73.8,74.2,73.8,15
1514967780,73.4,73.4,73.4,73.4,4
1514967840,73.3,73.3,73.3,73.3,1
1514979960,73.1,73.3,73.3,73.1,20
1514982360,73.8,73.8,73.8,73.8,1
1514982660,73.1,73.1,73.1,73.1,1
1514986440,73.1,73.1,73.1,73.1,8
1514986740,73.0,73.0,73.0,73.0,1
1515069360,73.9,73.7,73.9,73.7,11
1515069480,74.1,74.0,74.1,74.0,4
1515069540,74.5,74.2,74.5,74.2,26
1515069600,74.7,74.6,74.7,74.6,6
1515157680,74.9,74.9,74.9,74.9,1
1515166560,73.0,74.2,74.2,73.0,7
1515166620,73.5,73.7,73.7,73.5,3
1515167280,74.4,74.4,74.4,74.4,2
1515489420,74.4,74.4,74.4,74.4,8
1515492660,73.6,73.7,73.7,73.6,5
1515494340,73.5,73.5,73.5,73.5,51
1515494460,73.5,73.5,73.5,73.5,4
1515576240,74.3,74.2,74.3,74.2,78
1515577380,74.3,74.3,74.3,74.3,6
1515581400,74.4,74.4,74.4,74.4,1
1515595260,73.8,73.8,73.8,73.8,2
1515599340,73.8,73.8,73.8,73.8,5
1515656280,73.8,73.8,73.8,73.8,1
1515660240,73.7,73.7,73.7,73.7,1
1515671400,73.7,73.7,73.7,73.7,1
1515671520,73.8,73.8,73.8,73.8,2
1515750060,73.7,73.7,73.7,73.7,1
1515762900,74.5,74.4,74.5,74.4,3
1515768480,74.5,74.5,74.5,74.5,1
1515999780,76.7,74.7,76.7,74.7,2
1516000320,74.7,74.6,74.7,74.6,2
1516001220,74.8,74.8,74.8,74.8,1
1516001760,74.4,74.7,74.7,74.4,20
1516005420,74.4,74.2,74.4,74.2,20
1516011780,73.5,73.9,73.9,73.5,3
1516011960,73.5,73.5,73.5,73.5,4
1516012200,73.5,73.5,73.5,73.5,5
1516015380,73.0,73.4,73.4,73.0,18
1516015440,73.0,73.0,73.0,73.0,4
1516015560,72.5,73.0,73.0,72.5,6
1516015620,73.3,73.3,73.3,73.3,1
1516016520,73.0,73.0,73.0,73.0,2
1516020240,72.5,72.7,72.7,72.5,9
1516020300,72.0,72.5,72.5,72.0,14
1516021380,72.5,72.5,72.5,72.5,1
1516023960,72.5,72.5,72.5,72.5,1
1516115160,73.0,72.8,73.0,72.8,172
1516115280,72.4,72.4,72.4,72.4,5
1516115940,73.1,73.1,73.1,73.1,143
1516184940,71.8,72.3,72.3,70.5,28
1516185000,70.3,71.7,71.7,70.3,27
1516186140,71.8,71.8,71.8,71.8,1
1516186200,72.0,71.8,72.0,71.8,6
1516199220,71.9,71.9,71.9,71.9,3
1516259280,70.2,70.5,70.5,70.2,5
1516259340,69.9,69.9,69.9,69.9,8
1516261560,70.9,70.0,70.9,68.2,157
1516261620,71.0,71.0,71.0,71.0,5
1516261740,71.0,71.0,71.0,71.0,9
1516261800,71.0,71.0,71.0,71.0,1
1516263360,71.0,71.0,71.0,71.0,1
1516266660,68.5,69.9,69.9,68.5,10
1516270560,69.7,69.7,69.7,69.7,1
1516270860,69.7,69.7,69.7,69.7,1
1516270980,68.9,68.9,68.9,68.9,1
1516272060,70.0,70.0,70.0,70.0,1
1516273920,70.1,70.1,70.1,70.1,1
1516274220,70.0,70.0,70.0,70.0,30
1516276980,69.0,69.0,69.0,69.0,1
1516277100,68.2,69.0,69.0,68.2,145
1516277520,69.7,69.3,69.7,69.3,4
1516277640,70.0,70.0,70.0,70.0,1
1516277700,70.0,70.0,70.0,70.0,1
1516277760,70.0,70.0,70.0,70.0,1
1516279020,70.0,70.0,70.0,70.0,30
1516279680,70.0,70.0,70.0,70.0,1
1516280040,70.0,70.0,70.0,70.0,4
1516280160,70.0,70.0,70.0,70.0,1
1516282740,70.0,70.0,70.0,70.0,1
1516285560,70.4,70.1,70.4,70.1,10
1516286640,70.0,70.1,70.1,70.0,20
1516290300,70.0,70.0,70.0,70.0,2
1516353360,68.0,68.8,69.2,68.0,60
1516353600,67.0,68.0,68.0,67.0,79
1516353660,67.2,67.2,67.2,67.2,2
1516354500,67.9,67.9,67.9,67.9,2
1516354680,68.0,68.0,68.0,68.0,1
1516357020,68.0,68.0,68.0,68.0,7
1516360920,68.2,68.2,68.2,68.2,2
1516361220,68.6,68.6,68.6,68.6,1
1516371000,68.8,68.6,68.8,68.6,11
1516371300,69.0,69.0,69.0,69.0,2
1516376700,69.1,69.1,69.1,69.1,1
1516609080,69.7,69.3,69.7,69.3,30
1516611840,69.7,69.5,69.7,69.5,20
