time,close,open,high,low,volume
1514963040,18000,18000,18000,18000,10
1515049740,18000,18000,18000,18000,2
1515060060,17600,17600,17600,17600,1
1515065340,17800,17700,17800,17700,2
1515071760,17850,17850,17850,17850,1
1515485520,18000,18000,18000,18000,1
1515489960,18250,18250,18250,18250,1
1515508320,17800,17800,17800,17800,1
1515580020,18100,18100,18100,18100,11
1515580080,18100,18100,18100,18100,45
1515586680,17800,17800,17800,17800,1
1515586800,17700,17800,17800,17700,2
1515592620,17550,17600,17600,17500,5
1515592680,17250,17450,17450,17250,3
1515592740,17150,17150,17150,17150,2
1515592800,17000,17050,17050,17000,2
1515593040,16700,16800,16800,16600,5
1515593220,16700,16700,16700,16700,1
1515593340,16500,16650,16650,16500,2
1515593400,16550,16550,16550,16550,1
1515593460,16650,16500,16850,16500,4
1515593520,16550,16550,16550,16550,1
1515593580,16700,16700,16700,16700,2
1515593700,16500,16500,16500,16500,1
1515594300,16400,16400,16400,16400,2
1515595260,16600,16600,16600,16600,2
1515597480,16350,16350,16350,16350,1
1515657720,17000,16600,17000,16600,20
1515658080,16950,16700,16950,16700,2
1515658140,17000,17000,17000,17000,10
1515658200,17000,17000,17000,17000,10
1515658440,17000,17000,17000,17000,12
1515659160,17000,17000,17000,17000,15
1515659220,17100,17100,17100,17100,1
1515659340,17000,17000,17000,17000,7
1515662460,17000,17000,17000,17000,23
1515662520,17000,17000,17000,17000,20
1515665220,17000,17000,17000,17000,1
1515678000,16800,16800,16800,16800,1
1515678120,16800,16800,16800,16800,1
1515678420,16700,16700,16700,16700,1
1515749640,17000,16950,17000,16950,18
1515752280,17000,17000,17000,17000,10
1515752400,17000,17000,17000,17000,8
1515761340,16900,16900,16900,16900,1
1515768240,16950,16950,16950,16950,1
1515769680,16950,16950,16950,16950,7
1515771240,17000,17000,17000,17000,4
1515999960,17000,17000,17000,17000,1
1516029540,17000,17000,17000,17000,1
1516101000,16700,16700,16700,16700,1
1516110180,16950,16950,16950,16950,1
1516202040,17000,16950,17000,16950,12
1516371480,17000,17000,17000,17000,10
1516605240,17000,17000,17000,17000,10
1516605300,17000,17000,17000,17000,15
1516611960,17000,17000,17000,17000,24
1516619280,17000,17000,17000,17000,2
1516627860,16700,16700,16700,16700,1
1516634520,16950,16650,16950,16650,2
1516711020,17000,17000,17000,17000,1
1516718940,17000,17000,17000,17000,11
1516719360,17000,17000,17000,17000,1
1516720680,16700,16700,16700,16700,1
1516786200,17000,16950,17000,16950,23
1516800900,16700,16700,16700,16700,1
1516804440,17000,16950,17000,16950,3
1516805520,16700,16700,16700,16700,1
1516887600,17000,17000,17000,17000,2
1516889760,17000,17000,17000,17000,2
1516893060,17000,17000,17000,17000,1
1516951200,16650,16650,16650,16650,1
1516954140,16550,16550,16550,16550,1
1517225760,16950,16800,16950,16800,3
1517237880,17000,16900,17000,16900,12
1517297040,17000,17000,17000,17000,1
1517299140,17000,17000,17000,17000,1
1517299920,17000,17000,17000,17000,2
1517307840,17000,17000,17000,17000,4
1517409840,16950,16950,16950,16950,3
1517480340,17000,17000,17000,17000,6
1517484900,16850,16850,16850,16850,1
1517557740,17000,16850,17000,16850,3
1517823000,16850,16850,16850,16850,2
1517823660,16800,16800,16800,16800,2
1517900400,16800,16850,16850,16800,2
1517901840,16800,16800,16800,16800,4
1517907660,17000,17000,17000,17000,1
1517916780,16800,16800,16800,16800,1
1517918460,16600,16600,16600,16600,2
1517927520,16700,16700,16700,16700,1
1518003660,17000,16850,17000,16850,10
1518084240,16650,16650,16650,16650,1
1518102600,16850,16850,16850,16850,1
1518159900,16000,16650,16650,16000,2
1518184980,16300,16300,16300,16300,1
1518535080,16450,16450,16450,16450,2
1518536340,16450,16450,16450,16450,1
1519034640,16350,16950,16950,16350,3
1519036140,16700,16700,16700,16700,1
1519037940,16150,16200,16200,16150,2
1519038000,16150,16150,16150,16150,1
1519038360,16000,16000,16000,16000,1
1519047120,16350,16350,16350,16350,1
1519133340,16200,16200,16200,16200,1
1519284360,14350,14350,14350,14350,1
1519286460,15900,15900,15900,15900,1
1519296540,16150,16150,16150,16150,1
1519636020,17000,16350,17000,16350,15
1519636260,17000,17000,17000,17000,9
1519636500,16700,16700,16700,16700,1
1519639440,16500,16500,16500,16500,1
