time,close,open,high,low,volume
1515150660,0.325,0.325,0.325,0.325,1
1515573240,0.353,0.353,0.353,0.353,3
1515573300,0.353,0.353,0.353,0.353,7
1515575580,0.358,0.358,0.358,0.358,1
1515576900,0.355,0.355,0.355,0.355,2
1516012140,0.34,0.34,0.34,0.34,2
1516012740,0.349,0.349,0.349,0.349,2
1516020780,0.333,0.334,0.334,0.333,5
1516025880,0.344,0.344,0.344,0.344,1
1516091580,0.34,0.34,0.34,0.34,1
1516098240,0.314,0.314,0.314,0.314,1
1516098780,0.32,0.32,0.32,0.32,1
1516103160,0.32,0.32,0.32,0.32,1
1516708740,0.325,0.325,0.325,0.325,1
1516798800,0.33,0.33,0.33,0.33,1
1516801080,0.33,0.33,0.33,0.33,1
1516807860,0.33,0.33,0.33,0.33,1
1518073200,0.343,0.343,0.343,0.343,5
1518073260,0.349,0.349,0.349,0.349,5
1518073560,0.349,0.349,0.349,0.349,5
1518430740,0.329,0.329,0.329,0.329,1
1518435060,0.335,0.335,0.335,0.335,3
1518435840,0.346,0.346,0.346,0.346,1
1518436260,0.348,0.347,0.348,0.347,2
1518436320,0.349,0.349,0.349,0.349,2
1518436620,0.349,0.349,0.349,0.349,2
1518437040,0.35,0.35,0.35,0.35,1
1518437220,0.353,0.353,0.353,0.353,1
1518437280,0.354,0.354,0.354,0.354,1
1518437400,0.356,0.355,0.356,0.355,3
1518439140,0.364,0.363,0.364,0.363,6
1518439500,0.368,0.366,0.368,0.366,4
1518440160,0.359,0.359,0.359,0.359,1
1518440220,0.355,0.355,0.355,0.355,1
1518440340,0.368,0.368,0.368,0.368,1
1518440400,0.368,0.369,0.369,0.368,4
1518442380,0.359,0.359,0.359,0.359,1
1518444660,0.367,0.367,0.367,0.367,1
1518444720,0.366,0.366,0.366,0.366,1
1518444840,0.367,0.366,0.367,0.366,6
1518444960,0.369,0.367,0.369,0.367,3
1518445020,0.373,0.373,0.373,0.373,2
1518445080,0.378,0.377,0.378,0.377,2
1518445260,0.406,0.382,0.406,0.382,19
1518445440,0.386,0.386,0.386,0.386,3
1518445500,0.408,0.404,0.408,0.404,23
1518445620,0.408,0.408,0.408,0.408,1
1518447300,0.405,0.405,0.405,0.405,3
1518447720,0.409,0.404,0.409,0.404,10
1518448500,0.404,0.387,0.404,0.385,3
1518448860,0.405,0.405,0.405,0.405,1
1518505200,0.408,0.408,0.408,0.408,1
1518505320,0.422,0.409,0.422,0.409,2
1518505380,0.424,0.424,0.424,0.424,5
1518505680,0.415,0.415,0.415,0.415,2
1518506040,0.422,0.422,0.422,0.422,1
1518506640,0.423,0.422,0.423,0.422,10
1518507720,0.393,0.393,0.393,0.393,3
1518507780,0.393,0.393,0.393,0.393,2
1518508140,0.381,0.381,0.381,0.381,3
1518508620,0.394,0.394,0.394,0.394,1
1518508800,0.395,0.394,0.395,0.394,5
1518508920,0.42,0.396,0.42,0.396,2
1518509280,0.395,0.395,0.395,0.395,2
1518512160,0.387,0.387,0.387,0.387,1
1518512820,0.397,0.397,0.397,0.397,1
1518515460,0.386,0.386,0.386,0.386,4
1518515580,0.382,0.383,0.383,0.382,6
1518518340,0.382,0.384,0.384,0.382,8
1518519180,0.382,0.382,0.382,0.382,6
1518521760,0.356,0.376,0.376,0.356,3
1518521820,0.36,0.36,0.36,0.36,1
1518532800,0.365,0.365,0.365,0.365,1
1518535260,0.35,0.36,0.36,0.35,7
1518535320,0.34,0.341,0.341,0.34,3
1518535800,0.349,0.346,0.349,0.346,3
1518536700,0.359,0.359,0.359,0.359,1
1518593160,0.366,0.366,0.366,0.366,1
1518599220,0.363,0.363,0.363,0.363,1
1518603000,0.366,0.366,0.366,0.366,1
1518680520,0.366,0.366,0.366,0.366,1
1518680640,0.366,0.366,0.366,0.366,1
1518691680,0.33,0.349,0.349,0.33,5
1518779760,0.338,0.342,0.342,0.338,5
1518784860,0.364,0.364,0.364,0.364,1
1518785400,0.373,0.373,0.373,0.373,1
1518785460,0.373,0.373,0.373,0.373,1
1518795180,0.331,0.343,0.343,0.331,29
1518795900,0.343,0.343,0.343,0.343,1
1519027140,0.366,0.366,0.366,0.366,1
1519029540,0.365,0.365,0.365,0.365,3
1519034400,0.355,0.355,0.355,0.355,1
1519038300,0.36,0.36,0.36,0.36,1
1519042620,0.355,0.355,0.355,0.355,5
1519121040,0.361,0.361,0.361,0.361,4
1519124700,0.354,0.355,0.355,0.354,2
1519199820,0.361,0.36,0.361,0.36,3
1519219860,0.353,0.354,0.354,0.353,5
1519227000,0.363,0.363,0.363,0.363,1
1519311720,0.342,0.356,0.356,0.342,27
1519311900,0.342,0.342,0.342,0.342,2
1519312140,0.342,0.342,0.342,0.342,1
1519312920,0.342,0.342,0.342,0.342,6
1519313580,0.345,0.345,0.345,0.345,1
1519314300,0.347,0.347,0.347,0.347,1
1519632840,0.36,0.36,0.36,0.36,5
1519643280,0.359,0.359,0.359,0.359,9
1519646160,0.36,0.36,0.36,0.36,16
1519651320,0.36,0.36,0.36,0.36,2
1519651680,0.36,0.36,0.36,0.36,6
1519651980,0.369,0.368,0.369,0.368,2
1519652160,0.379,0.378,0.379,0.378,8
1519655700,0.368,0.368,0.368,0.368,1
1519656660,0.368,0.368,0.368,0.368,1
1519658340,0.378,0.368,0.378,0.368,3
1519718100,0.368,0.368,0.368,0.368,3
1519730820,0.367,0.367,0.367,0.367,1
1519744680,0.367,0.367,0.367,0.367,2
1519745580,0.367,0.367,0.367,0.367,8
1519745760,0.367,0.367,0.367,0.367,13
1519814160,0.398,0.398,0.398,0.398,4
1519815900,0.398,0.398,0.398,0.398,1
1519831920,0.334,0.36,0.36,0.334,16
1519831980,0.377,0.334,0.377,0.334,4
1519887720,0.377,0.377,0.377,0.377,1
1519888080,0.37,0.37,0.37,0.37,2
1519889040,0.399,0.399,0.399,0.399,1
1519896420,0.385,0.385,0.385,0.385,1
1519918140,0.384,0.384,0.384,0.384,1
1519980120,0.355,0.355,0.355,0.355,1
1519987140,0.5,0.374,0.5,0.374,97
1519987500,0.43,0.43,0.43,0.43,1
1519987620,0.4,0.4,0.4,0.4,1
1519987680,0.4,0.4,0.4,0.4,1
1519987920,0.385,0.385,0.385,0.385,2
1519988400,0.418,0.418,0.418,0.418,1
1519993080,0.391,0.391,0.391,0.391,1
1519994280,0.418,0.409,0.418,0.409,3
1519995420,0.365,0.397,0.397,0.365,16
1519998000,0.397,0.397,0.397,0.397,1
1519998120,0.382,0.398,0.399,0.382,6
1519998420,0.399,0.399,0.399,0.399,1
1519998540,0.382,0.382,0.382,0.382,1
1520005140,0.384,0.384,0.384,0.384,2
1520005680,0.385,0.385,0.385,0.385,1
1520233440,0.397,0.397,0.397,0.397,1
1520235120,0.399,0.399,0.399,0.399,4
1520241300,0.39,0.39,0.39,0.39,1
1520246820,0.402,0.399,0.402,0.399,5
1520247180,0.403,0.403,0.403,0.403,1
1520247600,0.415,0.415,0.415,0.415,1
1520250540,0.407,0.409,0.409,0.407,4
1520256720,0.401,0.401,0.401,0.401,1
1520259420,0.4,0.4,0.4,0.4,1
1520263920,0.4,0.4,0.4,0.4,1
1520340180,0.389,0.389,0.389,0.389,1
1520347200,0.409,0.409,0.409,0.409,1
1520406780,0.412,0.412,0.412,0.412,1
1520406840,0.412,0.412,0.412,0.412,1
1520408580,0.413,0.413,0.413,0.413,2
1520416320,0.411,0.411,0.411,0.411,1
1520420580,0.409,0.409,0.409,0.409,7
1520432640,0.409,0.409,0.409,0.409,1
1520433420,0.41,0.41,0.41,0.41,3
1520437080,0.401,0.401,0.401,0.401,1
1520437140,0.401,0.401,0.401,0.401,1
1520854260,0.407,0.408,0.408,0.407,6
1520867340,0.41,0.407,0.41,0.407,5
1520948400,0.401,0.401,0.401,0.401,2
1520948580,0.401,0.401,0.401,0.401,2
1521016980,0.401,0.401,0.401,0.401,1
1521037860,0.405,0.406,0.406,0.405,3
1521038520,0.407,0.407,0.407,0.407,2
1521040560,0.406,0.406,0.406,0.406,1
1521040620,0.405,0.405,0.405,0.405,2
1521099120,0.411,0.411,0.411,0.411,2
1521099480,0.412,0.412,0.412,0.412,3
1521102660,0.401,0.418,0.42,0.401,6
1521102720,0.4,0.4,0.4,0.4,2
1521103200,0.391,0.391,0.391,0.391,1
1521117180,0.395,0.395,0.395,0.395,1
1521456060,0.399,0.405,0.405,0.399,6
1521465600,0.4,0.4,0.4,0.4,3
1521532560,0.4,0.401,0.401,0.4,3
1521533880,0.4,0.4,0.4,0.4,1
1521551280,0.399,0.4,0.4,0.399,3
1521559500,0.399,0.399,0.399,0.399,3
1521559560,0.399,0.399,0.399,0.399,2
1521559860,0.394,0.394,0.394,0.394,2
1521615960,0.381,0.381,0.381,0.381,5
1521616440,0.379,0.379,0.379,0.379,8
1521622680,0.385,0.387,0.387,0.385,5
1521622860,0.386,0.386,0.386,0.386,3
1521641640,0.384,0.386,0.386,0.384,7
1521641820,0.384,0.384,0.384,0.384,1
1521645960,0.38,0.38,0.38,0.38,1
