time,close,open,high,low,volume
1515164820,0.215,0.215,0.215,0.215,2
1515492360,0.22,0.22,0.22,0.22,2
1515492480,0.22,0.22,0.22,0.22,1
1515497160,0.22,0.22,0.22,0.22,2
1515577920,0.219,0.219,0.219,0.219,1
1515681720,0.215,0.209,0.215,0.209,2
1515681780,0.21,0.21,0.21,0.21,1
1515682560,0.217,0.217,0.217,0.217,1
1515762900,0.212,0.212,0.212,0.212,10
1516026000,0.208,0.208,0.208,0.208,3
1516026180,0.206,0.208,0.208,0.206,5
1516026300,0.202,0.204,0.205,0.202,20
1516026540,0.215,0.215,0.215,0.215,1
1516028460,0.21,0.21,0.21,0.21,1
1516091640,0.216,0.216,0.216,0.216,1
1516091760,0.215,0.215,0.215,0.215,1
1516261440,0.218,0.218,0.218,0.218,1
1516273980,0.218,0.218,0.218,0.218,1
1516699980,0.216,0.216,0.216,0.216,1
1516713660,0.214,0.214,0.214,0.214,4
1516803480,0.213,0.213,0.213,0.213,1
1516864800,0.215,0.215,0.215,0.215,1
1516865340,0.215,0.215,0.215,0.215,4
1516869300,0.215,0.215,0.215,0.215,7
1516877160,0.215,0.215,0.215,0.215,1
1516976520,0.217,0.216,0.217,0.216,2
1516976580,0.217,0.217,0.217,0.217,3
1516979280,0.217,0.217,0.217,0.217,1
1517319720,0.216,0.216,0.216,0.216,1
1517827500,0.216,0.216,0.216,0.216,7
1517827560,0.218,0.217,0.218,0.217,25
1517827620,0.219,0.219,0.219,0.219,7
1517827680,0.219,0.219,0.219,0.219,2
1517829180,0.22,0.22,0.22,0.22,27
1517829480,0.223,0.221,0.223,0.221,6
1517843100,0.225,0.224,0.225,0.224,2
1517843160,0.225,0.225,0.225,0.225,1
1517844360,0.228,0.228,0.228,0.228,5
1517845080,0.229,0.229,0.229,0.229,6
1517845140,0.229,0.23,0.23,0.229,13
1517909520,0.234,0.233,0.234,0.233,8
1517913180,0.219,0.219,0.219,0.219,1
1517921400,0.22,0.22,0.22,0.22,1
1517995320,0.22,0.22,0.22,0.22,2
1518078600,0.225,0.232,0.234,0.225,16
1518097140,0.218,0.219,0.219,0.218,20
1518097200,0.22,0.22,0.22,0.22,1
1518100560,0.22,0.22,0.22,0.22,2
1518100620,0.22,0.22,0.22,0.22,7
1518164280,0.217,0.217,0.217,0.217,1
1518171120,0.213,0.213,0.213,0.213,2
1518176700,0.215,0.215,0.215,0.215,1
1518182280,0.215,0.215,0.215,0.215,1
1518182460,0.214,0.214,0.214,0.214,2
1518186720,0.216,0.216,0.216,0.216,1
1518188820,0.216,0.216,0.216,0.216,13
1518418740,0.235,0.235,0.235,0.235,24
1518418800,0.233,0.238,0.238,0.232,22
1518418860,0.232,0.232,0.232,0.232,1
1518418920,0.234,0.234,0.234,0.234,10
1518419040,0.236,0.233,0.236,0.233,9
1518419220,0.235,0.235,0.235,0.235,2
1518419760,0.231,0.231,0.231,0.231,1
1518419820,0.236,0.236,0.236,0.236,8
1518419880,0.238,0.236,0.238,0.236,22
1518419940,0.238,0.238,0.238,0.238,2
1518420060,0.238,0.238,0.238,0.238,6
1518420240,0.238,0.238,0.238,0.238,2
1518420300,0.238,0.238,0.238,0.238,1
1518420780,0.242,0.238,0.242,0.238,84
1518420840,0.24,0.24,0.24,0.24,20
1518422040,0.24,0.24,0.24,0.24,1
1518423240,0.239,0.239,0.239,0.239,1
1518423600,0.239,0.239,0.239,0.239,1
1518423840,0.233,0.233,0.233,0.233,1
1518424080,0.229,0.234,0.234,0.229,20
1518424140,0.235,0.235,0.235,0.235,2
1518425280,0.235,0.235,0.235,0.235,2
1518425340,0.236,0.236,0.236,0.236,1
1518425400,0.24,0.237,0.24,0.237,8
1518425460,0.241,0.241,0.241,0.241,1
1518426000,0.235,0.235,0.235,0.235,2
1518426540,0.242,0.241,0.242,0.241,25
1518426660,0.245,0.243,0.245,0.243,59
1518426720,0.247,0.247,0.247,0.247,1
1518426780,0.251,0.251,0.251,0.251,1
1518426900,0.236,0.237,0.237,0.236,2
1518427200,0.25,0.25,0.25,0.25,1
1518427320,0.25,0.25,0.25,0.25,1
1518427440,0.25,0.25,0.25,0.25,3
1518427560,0.25,0.252,0.252,0.25,4
1518427680,0.258,0.258,0.258,0.258,2
1518428100,0.25,0.25,0.25,0.25,2
1518429240,0.28,0.258,0.28,0.258,140
1518430140,0.26,0.26,0.26,0.26,1
1518430380,0.26,0.26,0.26,0.26,1
1518430440,0.275,0.274,0.275,0.274,2
1518432720,0.275,0.275,0.275,0.275,3
1518435480,0.28,0.275,0.28,0.275,11
1518435780,0.27,0.27,0.27,0.27,7
1518437160,0.279,0.279,0.279,0.279,4
1518437520,0.272,0.273,0.273,0.272,2
1518438480,0.28,0.279,0.28,0.279,11
1518438960,0.28,0.28,0.28,0.28,72
1518439020,0.28,0.28,0.28,0.28,30
1518439080,0.28,0.28,0.28,0.28,2
1518439140,0.28,0.28,0.28,0.28,19
1518439200,0.28,0.28,0.28,0.28,1
1518439260,0.28,0.28,0.28,0.28,5
1518439380,0.28,0.273,0.28,0.273,3
1518440580,0.28,0.28,0.28,0.28,5
1518441000,0.28,0.28,0.28,0.28,1
1518441900,0.28,0.28,0.28,0.28,3
1518442260,0.28,0.28,0.28,0.28,5
1518442320,0.28,0.28,0.28,0.28,3
1518442380,0.28,0.28,0.28,0.28,1
1518442440,0.28,0.28,0.28,0.28,4
1518442860,0.28,0.28,0.28,0.28,1
1518444180,0.28,0.279,0.28,0.279,4
1518444540,0.292,0.28,0.292,0.28,78
1518444600,0.295,0.292,0.296,0.292,32
1518444660,0.295,0.295,0.295,0.295,1
1518444780,0.297,0.295,0.297,0.295,6
1518444840,0.3,0.298,0.3,0.298,3
1518444900,0.302,0.3,0.302,0.3,8
1518444960,0.3,0.281,0.3,0.28,7
1518445140,0.301,0.287,0.301,0.28,13
1518445200,0.301,0.294,0.301,0.294,9
1518445260,0.301,0.295,0.301,0.295,28
1518445320,0.301,0.301,0.301,0.301,4
1518445440,0.302,0.302,0.302,0.302,17
1518445500,0.291,0.302,0.303,0.291,11
1518445560,0.303,0.291,0.303,0.291,2
1518445800,0.292,0.293,0.293,0.292,3
1518445860,0.29,0.29,0.29,0.29,1
1518445920,0.295,0.295,0.295,0.295,1
1518445980,0.303,0.302,0.303,0.302,7
1518447540,0.287,0.287,0.287,0.287,1
1518447600,0.299,0.299,0.299,0.299,1
1518447720,0.3,0.3,0.3,0.3,1
1518447900,0.28,0.287,0.287,0.28,13
1518447960,0.28,0.28,0.28,0.28,1
1518448020,0.28,0.28,0.28,0.28,3
1518448260,0.293,0.281,0.293,0.281,2
1518448500,0.28,0.28,0.28,0.28,1
1518448620,0.292,0.28,0.292,0.28,4
1518449340,0.293,0.293,0.293,0.293,1
1518449400,0.296,0.296,0.296,0.296,1
1518449460,0.297,0.297,0.297,0.297,1
1518449880,0.296,0.296,0.296,0.296,1
1518450480,0.296,0.296,0.296,0.296,1
1518505260,0.304,0.303,0.304,0.303,2
1518505320,0.291,0.292,0.292,0.291,12
1518505560,0.3,0.298,0.3,0.298,7
1518505920,0.299,0.299,0.299,0.299,2
1518506040,0.3,0.3,0.3,0.3,1
1518506160,0.301,0.3,0.301,0.3,10
1518506220,0.302,0.301,0.302,0.301,7
1518506280,0.306,0.303,0.312,0.303,108
1518506340,0.306,0.312,0.312,0.306,7
1518506460,0.312,0.312,0.313,0.312,9
1518506520,0.313,0.312,0.313,0.312,2
1518506580,0.312,0.308,0.312,0.285,49
1518506700,0.313,0.31,0.313,0.31,6
1518506880,0.314,0.312,0.314,0.312,53
1518506940,0.313,0.314,0.314,0.313,21
1518507060,0.314,0.314,0.314,0.312,34
1518507120,0.316,0.314,0.316,0.314,6
1518507300,0.317,0.317,0.317,0.317,1
1518507480,0.318,0.317,0.318,0.317,4
1518507660,0.301,0.302,0.302,0.301,15
1518507720,0.297,0.297,0.297,0.297,2
1518507780,0.294,0.294,0.294,0.294,1
1518507900,0.304,0.294,0.304,0.294,13
1518507960,0.311,0.303,0.311,0.303,4
1518508320,0.309,0.308,0.309,0.308,5
1518508560,0.31,0.305,0.31,0.305,24
1518509280,0.3,0.3,0.3,0.3,3
1518509340,0.296,0.297,0.297,0.296,6
1518509400,0.295,0.295,0.295,0.295,3
1518510180,0.291,0.294,0.294,0.291,8
1518510240,0.291,0.291,0.291,0.291,10
1518510360,0.278,0.282,0.282,0.278,11
1518510420,0.277,0.277,0.277,0.277,20
1518510660,0.295,0.295,0.295,0.295,8
1518512100,0.28,0.281,0.281,0.28,4
1518512220,0.28,0.28,0.28,0.28,5
1518512760,0.285,0.285,0.285,0.285,1
1518512820,0.285,0.285,0.285,0.285,1
1518514920,0.277,0.283,0.283,0.277,44
1518514980,0.277,0.277,0.277,0.277,14
1518515340,0.285,0.284,0.285,0.284,4
1518515460,0.287,0.289,0.292,0.287,7
1518516120,0.281,0.281,0.281,0.281,1
1518517320,0.286,0.286,0.286,0.286,1
1518517500,0.303,0.287,0.303,0.287,7
1518518880,0.301,0.301,0.301,0.301,1
1518519060,0.298,0.3,0.3,0.298,3
1518519540,0.296,0.296,0.296,0.296,1
1518519600,0.303,0.303,0.303,0.303,1
1518521040,0.301,0.3,0.301,0.3,3
1518521760,0.29,0.29,0.29,0.29,1
1518523740,0.284,0.284,0.284,0.284,1
1518523800,0.295,0.295,0.295,0.295,1
1518531240,0.283,0.283,0.283,0.283,1
1518534540,0.295,0.285,0.295,0.285,2
1518591900,0.311,0.3,0.311,0.3,35
1518592440,0.31,0.31,0.31,0.31,1
1518592560,0.31,0.31,0.31,0.31,1
1518593760,0.282,0.288,0.288,0.282,12
1518594000,0.281,0.281,0.281,0.281,1
1518594060,0.295,0.293,0.295,0.293,7
1518594120,0.295,0.292,0.295,0.292,3
1518594300,0.303,0.295,0.303,0.295,2
1518598980,0.298,0.298,0.298,0.298,1
1518605100,0.292,0.292,0.292,0.292,10
1518605520,0.292,0.292,0.292,0.292,1
1518606600,0.292,0.292,0.292,0.292,1
1518607500,0.292,0.292,0.292,0.292,12
1518610020,0.291,0.291,0.291,0.291,1
1518610680,0.292,0.292,0.292,0.292,4
1518612180,0.289,0.291,0.291,0.289,16
1518613560,0.289,0.289,0.289,0.289,1
1518613740,0.29,0.29,0.29,0.29,5
1518616140,0.284,0.287,0.287,0.284,10
1518616200,0.28,0.283,0.283,0.28,10
1518616260,0.28,0.281,0.281,0.28,11
1518616380,0.28,0.28,0.28,0.28,10
1518617280,0.28,0.28,0.28,0.28,1
1518618900,0.276,0.28,0.28,0.276,10
1518618960,0.275,0.277,0.277,0.275,42
1518619020,0.289,0.275,0.289,0.275,23
1518619080,0.289,0.289,0.289,0.289,17
1518619980,0.29,0.29,0.29,0.29,1
1518679140,0.29,0.291,0.291,0.29,3
1518679380,0.289,0.289,0.289,0.289,1
1518679560,0.289,0.289,0.289,0.289,1
1518680100,0.286,0.286,0.286,0.286,1
1518680820,0.285,0.285,0.285,0.285,25
1518681300,0.28,0.282,0.282,0.28,5
1518686640,0.281,0.282,0.282,0.281,5
1518687540,0.287,0.287,0.287,0.287,1
1518691680,0.281,0.282,0.282,0.281,3
1518693300,0.285,0.283,0.285,0.283,11
1518694020,0.281,0.282,0.282,0.281,2
1518696060,0.281,0.282,0.282,0.281,9
1518699360,0.285,0.285,0.285,0.285,1
1518702240,0.286,0.286,0.286,0.286,1
1518703320,0.286,0.286,0.286,0.286,1
1518705060,0.285,0.285,0.285,0.285,1
1518707460,0.286,0.286,0.286,0.286,1
1518708660,0.285,0.285,0.285,0.285,4
1518708780,0.284,0.284,0.284,0.284,3
1518709740,0.285,0.285,0.285,0.285,1
1518766920,0.285,0.286,0.286,0.285,4
1518768540,0.285,0.285,0.285,0.285,2
1518772980,0.29,0.29,0.29,0.29,1
1518775200,0.291,0.29,0.291,0.29,10
1518778320,0.296,0.295,0.296,0.295,4
1518778380,0.298,0.297,0.298,0.297,5
1518782280,0.298,0.297,0.298,0.297,2
1518782400,0.298,0.298,0.298,0.298,1
1518782520,0.298,0.298,0.298,0.298,1
1518783660,0.298,0.298,0.298,0.298,4
1518784800,0.298,0.298,0.298,0.298,1
1518785340,0.297,0.297,0.297,0.297,1
1518790740,0.29,0.29,0.29,0.29,20
1518790920,0.281,0.288,0.288,0.281,23
1519027020,0.291,0.291,0.291,0.291,1
1519027800,0.292,0.292,0.292,0.292,1
1519028340,0.29,0.29,0.29,0.29,2
1519029900,0.292,0.291,0.292,0.291,2
1519032180,0.292,0.292,0.292,0.292,2
1519033440,0.292,0.292,0.292,0.292,3
1519039500,0.291,0.291,0.291,0.291,1
1519039560,0.289,0.29,0.29,0.289,9
1519043700,0.292,0.291,0.292,0.291,20
1519049640,0.291,0.291,0.291,0.291,1
1519052460,0.291,0.291,0.291,0.291,1
1519052820,0.291,0.291,0.291,0.291,2
1519054320,0.29,0.29,0.29,0.29,1
1519054500,0.291,0.29,0.291,0.29,40
1519054560,0.295,0.293,0.295,0.293,27
1519114500,0.29,0.29,0.29,0.29,10
1519114560,0.29,0.29,0.29,0.29,10
1519114680,0.296,0.294,0.296,0.294,15
1519115040,0.3,0.297,0.3,0.297,50
1519116840,0.304,0.3,0.304,0.3,10
1519118940,0.3,0.3,0.3,0.3,1
1519120320,0.302,0.299,0.302,0.299,18
1519120440,0.311,0.303,0.311,0.302,19
1519121640,0.298,0.299,0.299,0.298,17
1519122300,0.3,0.299,0.308,0.299,3
1519122420,0.308,0.308,0.308,0.308,5
1519122480,0.302,0.302,0.302,0.302,1
1519122540,0.303,0.303,0.303,0.303,4
1519122660,0.3,0.3,0.3,0.3,5
1519122780,0.305,0.305,0.305,0.305,3
1519122840,0.304,0.305,0.305,0.304,3
1519123020,0.309,0.309,0.309,0.309,1
