time,close,open,high,low,volume
1514965140,3.29,3.28,3.29,3.28,2
1514965200,3.3,3.3,3.3,3.3,1
1514976300,3.3,3.3,3.3,3.3,1
1515055740,3.3,3.3,3.3,3.3,1
1515057480,3.24,3.25,3.25,3.24,10
1515059640,3.29,3.28,3.29,3.28,2
1515071160,3.34,3.3,3.34,3.3,20
1515136560,3.26,3.31,3.31,3.26,6
1515139140,3.23,3.25,3.25,3.23,3
1515144540,3.27,3.27,3.27,3.27,1
1515144780,3.28,3.28,3.28,3.28,1
1515144840,3.29,3.29,3.29,3.29,1
1515145140,3.22,3.25,3.25,3.22,10
1515145500,3.26,3.26,3.26,3.26,1
1515145680,3.27,3.27,3.27,3.27,1
1515145920,3.28,3.28,3.28,3.28,1
1515146640,3.29,3.29,3.29,3.29,1
1515146760,3.3,3.3,3.3,3.3,1
1515147480,3.31,3.31,3.31,3.31,1
1515148020,3.34,3.32,3.34,3.32,24
1515149400,3.35,3.35,3.35,3.35,1
1515149880,3.36,3.36,3.36,3.36,1
1515150780,3.37,3.37,3.37,3.37,1
1515152940,3.38,3.38,3.38,3.38,1
1515153000,3.4,3.39,3.4,3.39,16
1515153960,3.4,3.4,3.4,3.4,1
1515154980,3.41,3.41,3.41,3.41,1
1515155700,3.42,3.42,3.42,3.42,1
1515157080,3.43,3.43,3.43,3.43,1
1515157200,3.44,3.44,3.44,3.44,1
1515157260,3.44,3.44,3.44,3.44,1
1515157380,3.44,3.44,3.44,3.44,1
1515158100,3.44,3.44,3.44,3.44,26
1515158340,3.45,3.45,3.45,3.45,1
1515158400,3.47,3.46,3.47,3.46,2
1515158520,3.48,3.48,3.48,3.48,1
1515158580,3.48,3.48,3.48,3.48,1
1515158700,3.58,3.49,3.58,3.49,128
1515159120,3.52,3.54,3.54,3.52,5
1515159720,3.59,3.56,3.59,3.56,10
1515160200,3.59,3.59,3.59,3.59,1
1515160320,3.51,3.55,3.55,3.51,6
1515160440,3.51,3.51,3.51,3.51,4
1515160980,3.55,3.55,3.55,3.55,1
1515161580,3.55,3.55,3.55,3.55,1
1515161640,3.5,3.54,3.54,3.5,4
1515162180,3.48,3.49,3.49,3.48,2
1515162240,3.47,3.47,3.47,3.47,4
1515164640,3.51,3.51,3.51,3.51,1
1515166740,3.85,3.52,3.85,3.52,126
1515481140,3.7,3.7,3.7,3.7,10
1515481200,3.7,3.87,3.87,3.7,7
1515481440,3.7,3.7,3.7,3.7,5
1515482100,3.6,3.6,3.6,3.6,1
1515486360,3.65,3.67,3.67,3.65,20
1515489120,3.63,3.65,3.65,3.63,3
1515490500,3.63,3.63,3.63,3.63,7
1515494580,3.7,3.7,3.7,3.7,1
1515496320,3.64,3.64,3.64,3.64,3
1515498480,3.6,3.64,3.64,3.6,39
1515498540,3.6,3.6,3.6,3.6,5
1515501300,3.51,3.53,3.53,3.51,10
1515505920,3.6,3.6,3.6,3.6,1
1515508560,3.51,3.51,3.51,3.51,1
1515509280,3.52,3.52,3.52,3.52,3
1515509400,3.52,3.52,3.52,3.52,2
1515512280,3.6,3.6,3.6,3.6,1
1515571200,3.6,3.55,3.6,3.55,3
1515571980,3.6,3.6,3.6,3.6,1
1515573180,3.6,3.6,3.6,3.6,1
1515576120,3.7,3.7,3.7,3.7,5
1515576300,3.7,3.7,3.7,3.7,5
1515576960,3.7,3.7,3.7,3.7,5
1515580620,3.6,3.61,3.61,3.6,12
1515585360,3.68,3.65,3.68,3.65,15
1515588600,3.6,3.6,3.6,3.6,10
1515596520,3.57,3.58,3.58,3.57,2
1515598680,3.67,3.67,3.67,3.67,1
1515670800,3.61,3.61,3.61,3.61,2
1515760020,3.67,3.67,3.67,3.67,10
1515767040,3.56,3.58,3.58,3.56,5
1516013220,3.68,3.62,3.68,3.62,4
1516013460,3.67,3.67,3.67,3.67,2
1516014420,3.57,3.57,3.57,3.57,1
1516027320,3.57,3.57,3.57,3.57,1
1516030620,3.62,3.62,3.62,3.62,1
1516099980,3.61,3.61,3.61,3.61,2
1516114860,3.53,3.53,3.53,3.53,1
1516172460,3.65,3.65,3.65,3.65,3
1516172880,3.58,3.58,3.58,3.58,1
1516174980,3.58,3.58,3.58,3.58,4
1516182720,3.56,3.56,3.56,3.56,1
1516192140,3.55,3.55,3.55,3.55,1
1516198260,3.54,3.54,3.54,3.54,1
1516202100,3.59,3.59,3.59,3.59,1
1516202760,3.56,3.56,3.56,3.56,1
1516258920,3.68,3.68,3.68,3.68,1
1516265880,3.57,3.57,3.57,3.57,4
1516275480,3.58,3.58,3.58,3.58,1
1516608540,3.5,3.53,3.53,3.5,6
1516635900,3.51,3.51,3.51,3.51,3
1516690920,3.56,3.56,3.56,3.56,2
1516710720,3.6,3.6,3.6,3.6,1
1516719540,3.5,3.52,3.52,3.5,35
1516719600,3.41,3.41,3.41,3.41,7
1516721940,3.41,3.41,3.41,3.41,1
1516794240,3.45,3.45,3.45,3.45,1
1516807740,3.58,3.57,3.58,3.57,29
1516864740,3.6,3.6,3.6,3.6,1
1516867620,3.42,3.5,3.5,3.42,10
1516873080,3.54,3.54,3.54,3.54,1
1516873200,3.59,3.58,3.6,3.58,6
1516881060,3.56,3.58,3.58,3.56,3
1516973040,3.55,3.57,3.57,3.55,9
1516981680,3.53,3.53,3.53,3.53,3
1517210160,3.5,3.5,3.5,3.5,4
1517212140,3.4,3.42,3.42,3.4,12
1517214180,3.5,3.52,3.52,3.5,3
1517216580,3.48,3.49,3.49,3.48,2
1517223540,3.37,3.42,3.42,3.37,10
1517240880,3.43,3.43,3.43,3.43,1
1517312820,3.38,3.38,3.38,3.38,1
1517312880,3.38,3.38,3.38,3.38,1
1517313000,3.37,3.37,3.37,3.37,4
1517327280,3.45,3.45,3.45,3.45,2
1517382060,3.5,3.5,3.5,3.5,3
1517409120,3.47,3.46,3.47,3.46,4
1517410080,3.47,3.47,3.47,3.47,4
1517471040,3.48,3.48,3.48,3.48,1
1517498940,3.5,3.5,3.5,3.5,3
1517500140,3.5,3.5,3.5,3.5,1
1517564520,3.5,3.5,3.5,3.5,8
1517825580,3.43,3.43,3.43,3.43,1
1517825940,3.43,3.43,3.43,3.43,3
1517844900,3.48,3.46,3.48,3.46,10
1517901660,3.44,3.44,3.44,3.44,1
1518013260,3.54,3.54,3.54,3.54,1
1518181200,3.42,3.42,3.42,3.42,10
1518186660,3.45,3.45,3.45,3.45,1
1518425640,3.45,3.45,3.45,3.45,19
1518436440,3.46,3.46,3.46,3.46,1
1518443580,3.55,3.55,3.55,3.55,3
1518443700,3.5,3.5,3.5,3.5,1
1518506700,3.45,3.55,3.99,3.45,22
1518506760,3.53,3.5,3.53,3.5,13
1518506820,3.65,3.55,3.65,3.55,3
1518535860,3.55,3.55,3.55,3.55,2
1518609900,3.5,3.52,3.52,3.5,18
1518613020,3.53,3.53,3.53,3.53,6
1518702300,3.55,3.53,3.55,3.53,18
1518708180,3.51,3.51,3.51,3.51,5
1518791640,3.48,3.48,3.48,3.48,1
1518791700,3.4,3.45,3.45,3.4,21
1518791760,3.4,3.4,3.4,3.4,1
1518792420,3.35,3.35,3.35,3.35,1
1518792480,3.31,3.33,3.33,3.31,26
1518795480,3.42,3.42,3.42,3.42,1
1519033500,3.43,3.43,3.43,3.43,10
1519044000,3.49,3.44,3.49,3.44,10
1519289820,3.49,3.49,3.49,3.49,10
1519301700,3.36,3.36,3.36,3.36,2
1519657440,3.35,3.35,3.35,3.35,2
1519731360,3.4,3.4,3.4,3.4,15
1519732920,3.44,3.44,3.44,3.44,2
1519889640,3.45,3.45,3.45,3.45,1
1519910520,3.45,3.45,3.45,3.45,9
1519974360,3.48,3.48,3.48,3.48,26
1520320620,3.37,3.37,3.37,3.37,3
1520320680,3.33,3.36,3.36,3.33,2
1520321400,3.33,3.33,3.33,3.33,2
1520334900,3.43,3.43,3.43,3.43,1
1520334960,3.43,3.43,3.43,3.43,1
1520335860,3.45,3.45,3.45,3.45,2
1520342400,3.34,3.35,3.35,3.34,9
1520342460,3.33,3.33,3.33,3.33,3
1520343360,3.34,3.34,3.34,3.34,1
1520344380,3.45,3.42,3.45,3.42,18
1520344500,3.48,3.47,3.48,3.47,4
1520346720,3.45,3.45,3.45,3.45,2
1520405940,3.5,3.5,3.5,3.5,4
1520408700,3.49,3.49,3.49,3.49,1
1520437500,3.37,3.37,3.37,3.37,9
1520587260,3.33,3.36,3.36,3.33,4
1520843220,3.42,3.42,3.42,3.42,1
1520853600,3.34,3.34,3.34,3.34,16
1520853660,3.3,3.33,3.33,3.3,13
1520858460,3.31,3.31,3.31,3.31,3
1520926980,3.39,3.39,3.39,3.39,3
1520930820,3.4,3.4,3.4,3.4,1
1520936400,3.35,3.35,3.35,3.35,5
1520955360,3.37,3.37,3.37,3.37,1
1521102660,3.4,3.4,3.4,3.4,1
1521102840,3.4,3.4,3.4,3.4,1
1521123180,3.4,3.4,3.4,3.4,4
1521208740,3.45,3.45,3.45,3.45,1
1521722940,3.35,3.35,3.35,3.35,1
1521726300,3.33,3.33,3.33,3.33,3
1521726480,3.31,3.32,3.32,3.31,7
1521798780,3.4,3.4,3.4,3.4,1
1522232580,3.45,3.45,3.45,3.45,1
1522247520,3.31,3.31,3.31,3.31,4
1522247880,3.3,3.3,3.3,3.3,6
1522308960,3.3,3.3,3.3,3.3,1
1522395720,3.3,3.3,3.3,3.3,5
1522403940,3.35,3.35,3.35,3.35,1
1522404000,3.38,3.38,3.38,3.38,9
1522404540,3.39,3.38,3.39,3.38,10
1522422300,3.24,3.24,3.24,3.24,6
1522424220,3.37,3.37,3.37,3.37,1
1522424280,3.24,3.24,3.24,3.24,1
1522424340,3.24,3.24,3.24,3.24,1
1522424700,3.35,3.35,3.35,3.35,1
1522757700,3.4,3.26,3.4,3.2,40
1522763700,3.33,3.33,3.33,3.33,1
1522847520,3.33,3.33,3.33,3.33,1
1522920960,3.35,3.35,3.35,3.35,1
1523260260,3.2,3.2,3.2,3.2,3
1523268600,3.2,3.2,3.2,3.2,4
1523268840,3.11,3.11,3.11,3.11,1
1523268900,3.1,3.1,3.1,3.1,10
1523269260,3.0,3.1,3.1,3.0,2
1523271060,3.0,3.0,3.0,3.0,21
1523271120,2.9,2.93,2.93,2.9,11
1523276460,2.92,2.92,2.92,2.92,2
1523276880,2.93,2.93,2.93,2.93,7
1523346180,2.99,2.99,2.99,2.99,1
1523347380,3.1,3.0,3.1,3.0,53
1523347500,3.19,3.19,3.19,3.19,1
1523352360,3.18,3.17,3.18,3.17,5
1523357460,3.02,3.02,3.02,3.02,21
1523431080,3.01,3.01,3.01,3.01,3
1523433180,3.03,3.03,3.03,3.03,1
1523443320,3.2,3.2,3.2,3.2,2
1523447400,3.2,3.2,3.2,3.2,9
1523517660,3.0,3.0,3.0,3.0,4
1523535240,3.2,3.2,3.2,3.2,1
1523542860,3.2,3.2,3.2,3.2,4
1523543220,3.2,3.2,3.2,3.2,1
1523546640,3.2,3.2,3.2,3.2,1
1523604180,3.2,3.2,3.2,3.2,3
1523604240,3.2,3.2,3.2,3.2,1
1523605320,3.1,3.1,3.1,3.1,10
1523614740,3.1,3.1,3.1,3.1,1
1523624460,2.8,3.02,3.02,2.8,30
1523625180,3.0,3.0,3.0,3.0,1
1523883900,3.0,3.0,3.0,3.0,1
1523885760,3.0,3.0,3.0,3.0,1
1523886960,3.0,3.0,3.0,3.0,1
1523888400,3.0,3.0,3.0,3.0,2
1523890800,2.86,2.86,2.86,2.86,1
1523893020,3.0,3.0,3.0,3.0,1
1523948640,2.8,2.73,2.9,2.73,3
1523948820,2.85,2.85,2.85,2.85,1
1523950260,3.0,2.92,3.0,2.9,7
1523954820,2.99,2.99,2.99,2.99,1
1523954880,3.0,3.0,3.0,3.0,15
1523959980,2.99,2.99,2.99,2.99,1
1523963280,3.0,3.0,3.0,3.0,1
1523968620,2.95,2.95,2.95,2.95,1
1523976000,3.0,2.98,3.0,2.98,5
1524035340,2.97,2.97,2.97,2.97,1
1524036180,3.06,3.06,3.06,3.06,1
1524038940,3.0,3.0,3.0,3.0,2
1524039180,3.0,3.0,3.0,3.0,2
1524041220,3.0,3.0,3.0,3.0,2
1524043860,3.1,3.1,3.1,3.1,10
1524043920,3.1,3.1,3.1,3.1,1
1524044700,3.17,3.17,3.17,3.17,1
1524046920,3.05,3.05,3.05,3.05,8
1524053460,3.19,3.19,3.19,3.19,1
1524055620,3.19,3.19,3.19,3.19,1
1524122160,3.18,3.18,3.18,3.18,3
1524122640,3.18,3.18,3.18,3.18,2
1524123360,3.19,3.19,3.19,3.19,1
1524124620,3.2,3.2,3.2,3.2,12
1524140940,3.2,3.2,3.2,3.2,1
1524472140,3.28,3.28,3.28,3.28,2
1524573600,3.04,3.06,3.06,3.04,10
1524576780,3.1,3.1,3.1,3.1,1
1524577200,3.07,3.07,3.07,3.07,10
1524580440,3.16,3.16,3.16,3.16,1
1524580920,3.19,3.19,3.19,3.19,1
1524666180,3.16,3.16,3.16,3.16,4
1524667140,3.15,3.15,3.15,3.15,5
1524667440,3.2,3.22,3.22,3.2,2
1524667500,3.22,3.22,3.22,3.22,1
1524667920,3.25,3.25,3.25,3.25,1
1524726540,3.28,3.28,3.28,3.28,2
1524736200,3.1,3.05,3.1,3.05,5
1524754500,3.11,3.11,3.11,3.11,1
1524755400,3.12,3.12,3.12,3.12,1
1524755700,3.1,3.1,3.1,3.1,2
1524838260,3.07,3.07,3.07,3.07,1
1524838440,3.07,3.07,3.07,3.07,25
1524910860,3.21,3.21,3.21,3.21,1
1525089540,3.21,3.21,3.21,3.21,1
1525091400,3.2,3.2,3.2,3.2,1
1525091460,3.21,3.21,3.21,3.21,1
1525093380,3.28,3.21,3.28,3.21,21
1525266300,3.29,3.29,3.29,3.29,1
1525266360,3.32,3.32,3.32,3.3,4
1525356420,3.29,3.29,3.29,3.29,1
1525438080,3.29,3.29,3.29,3.29,1
1525685340,3.3,3.28,3.3,3.28,23
1525685460,3.3,3.3,3.3,3.3,7
1525685820,3.37,3.37,3.37,3.37,23
1525690320,3.37,3.37,3.37,3.37,7
1525690380,3.5,3.38,3.5,3.38,37
1525690440,3.5,3.5,3.5,3.5,1
1525690800,3.53,3.53,3.53,3.53,1
1525691040,3.55,3.55,3.55,3.55,7
1525691100,3.54,3.54,3.54,3.54,1
1525694040,3.47,3.47,3.47,3.47,7
1525694340,3.51,3.51,3.51,3.51,20
1525694400,3.57,3.53,3.57,3.53,30
1525694580,3.58,3.58,3.58,3.58,1
1525695720,3.44,3.46,3.46,3.44,11
1525695900,3.48,3.48,3.48,3.48,3
1525696620,3.44,3.48,3.48,3.44,47
1525697040,3.43,3.43,3.43,3.43,1
1525697940,3.52,3.52,3.52,3.52,8
1525698060,3.51,3.51,3.51,3.51,1
1525698960,3.44,3.44,3.44,3.44,1
1525700640,3.5,3.5,3.5,3.5,1
1525701000,3.73,3.5,3.73,3.5,200
1525701060,3.6,3.6,3.6,3.6,1
1525701900,3.48,3.48,3.48,3.48,4
1525702140,3.6,3.6,3.6,3.6,1
1525702200,3.6,3.6,3.6,3.6,5
