time,close,open,high,low,volume
1515152100,0.275,0.275,0.275,0.275,1
1515488400,0.272,0.275,0.275,0.272,16
1515499500,0.275,0.275,0.275,0.275,1
1515507600,0.275,0.275,0.275,0.275,2
1515657060,0.275,0.275,0.275,0.275,1
1515685740,0.275,0.275,0.275,0.275,3
1515751860,0.279,0.279,0.279,0.279,1
1516086000,0.279,0.279,0.279,0.279,1
1516086360,0.284,0.284,0.284,0.284,2
1516086600,0.28,0.28,0.28,0.28,1
1516090740,0.284,0.284,0.284,0.284,1
1516097040,0.28,0.281,0.281,0.28,24
1516097280,0.28,0.28,0.28,0.28,26
1516104060,0.283,0.283,0.283,0.283,1
1516104300,0.284,0.284,0.284,0.284,2
1516116300,0.281,0.281,0.281,0.281,15
1516179180,0.285,0.285,0.285,0.285,1
1516263900,0.28,0.28,0.28,0.28,26
1516606380,0.285,0.285,0.285,0.285,2
1516610760,0.287,0.287,0.287,0.287,3
1516624800,0.288,0.288,0.288,0.288,1
1516626600,0.289,0.289,0.289,0.289,1
1516626840,0.289,0.289,0.289,0.289,1
1516690800,0.294,0.294,0.294,0.294,3
1516691160,0.295,0.29,0.295,0.29,3
1516691340,0.291,0.291,0.291,0.291,1
1516720680,0.292,0.292,0.292,0.292,1
1516778880,0.281,0.281,0.281,0.281,1
1516786500,0.289,0.289,0.289,0.289,9
1516789260,0.29,0.29,0.29,0.29,3
1516791900,0.291,0.291,0.291,0.291,3
1516792860,0.295,0.293,0.295,0.293,5
1516871520,0.294,0.294,0.294,0.294,1
1516871640,0.295,0.295,0.295,0.295,1
1516872780,0.293,0.293,0.293,0.293,1
1516872840,0.291,0.292,0.292,0.291,2
1516877580,0.294,0.294,0.294,0.294,2
1516881720,0.295,0.295,0.295,0.295,2
1516889640,0.302,0.296,0.302,0.296,10
1516892640,0.3,0.3,0.3,0.3,1
1516976100,0.299,0.299,0.299,0.299,1
1517312400,0.304,0.303,0.304,0.303,2
1517312460,0.307,0.305,0.307,0.305,3
1517312520,0.303,0.304,0.304,0.303,2
1517315880,0.302,0.302,0.302,0.302,1
1517317740,0.305,0.305,0.305,0.305,1
1517320920,0.302,0.302,0.302,0.302,1
1517389920,0.301,0.301,0.301,0.301,1
1517391420,0.299,0.3,0.3,0.299,2
1517394480,0.298,0.298,0.298,0.298,1
1517395440,0.296,0.297,0.297,0.296,2
1517395500,0.295,0.295,0.295,0.295,1
1517395620,0.294,0.294,0.294,0.294,1
1517481840,0.293,0.293,0.293,0.293,1
1517485980,0.292,0.292,0.292,0.292,1
1517489220,0.291,0.291,0.291,0.291,1
1517490600,0.29,0.29,0.29,0.29,15
1517495220,0.29,0.29,0.29,0.29,6
1517578500,0.289,0.289,0.289,0.289,1
1517823480,0.288,0.288,0.288,0.288,1
1517902620,0.287,0.287,0.287,0.287,1
1517911800,0.28,0.278,0.28,0.278,2
1517931300,0.279,0.279,0.279,0.279,1
1518185100,0.273,0.273,0.273,0.273,2
1518185220,0.272,0.272,0.272,0.272,2
1518679380,0.287,0.286,0.287,0.286,3
1519034700,0.282,0.282,0.282,0.282,1
1519119240,0.277,0.277,0.277,0.277,1
1519137540,0.272,0.273,0.273,0.272,6
1519138320,0.27,0.27,0.27,0.27,2
1519138860,0.27,0.27,0.27,0.27,2
1519211700,0.277,0.277,0.277,0.277,1
1519290660,0.277,0.277,0.277,0.277,19
1519309200,0.29,0.279,0.29,0.279,10
1519310820,0.29,0.29,0.29,0.29,1
1519311960,0.29,0.29,0.29,0.29,1
1519313700,0.29,0.29,0.29,0.29,1
1519313760,0.29,0.29,0.29,0.29,1
1519716000,0.292,0.292,0.292,0.292,1
1519720560,0.29,0.29,0.29,0.29,1
1519825980,0.297,0.297,0.297,0.297,1
1519827060,0.292,0.292,0.292,0.292,1
1519909500,0.292,0.292,0.292,0.292,10
1519909680,0.295,0.295,0.295,0.295,1
1519911720,0.29,0.293,0.293,0.29,8
1520345100,0.278,0.278,0.278,0.278,1
1520437500,0.287,0.287,0.287,0.287,1
1520929320,0.287,0.287,0.287,0.287,19
1520949840,0.281,0.282,0.282,0.281,3
1520949900,0.28,0.28,0.28,0.28,4
1521102480,0.28,0.282,0.282,0.277,3
1521214620,0.282,0.282,0.282,0.282,1
1521620820,0.278,0.278,0.278,0.278,1
1521724380,0.287,0.287,0.287,0.287,1
1522050480,0.289,0.289,0.289,0.289,1
1522050840,0.292,0.29,0.292,0.29,2
1522052580,0.29,0.29,0.29,0.29,1
1522072440,0.277,0.277,0.277,0.277,1
1522145520,0.285,0.285,0.285,0.285,1
1522147140,0.285,0.285,0.285,0.285,1
1522148820,0.29,0.29,0.29,0.29,20
1522162320,0.29,0.289,0.29,0.289,2
1522221240,0.293,0.292,0.293,0.292,2
1522221900,0.297,0.297,0.297,0.297,1
1522223160,0.295,0.295,0.295,0.295,1
1522230240,0.287,0.287,0.287,0.287,25
1522241940,0.295,0.295,0.295,0.295,1
1522245420,0.285,0.288,0.288,0.285,3
1522249560,0.301,0.301,0.301,0.301,40
1522249620,0.3,0.3,0.3,0.3,1
1522249740,0.303,0.303,0.303,0.303,1
1522306920,0.301,0.301,0.301,0.301,1
1522309860,0.301,0.301,0.301,0.301,1
1522309920,0.302,0.302,0.302,0.302,2
1522310220,0.301,0.301,0.301,0.301,2
1522310340,0.302,0.302,0.302,0.302,1
1522310640,0.305,0.303,0.305,0.303,4
1522310760,0.309,0.309,0.309,0.309,1
1522311300,0.308,0.308,0.308,0.308,1
1522311480,0.318,0.309,0.318,0.309,5
1522311540,0.307,0.309,0.31,0.307,4
1522312200,0.32,0.32,0.32,0.32,2
1522312560,0.327,0.32,0.327,0.32,2
