time,close,open,high,low,volume
1515499560,0.273,0.273,0.273,0.273,2
1515507540,0.275,0.275,0.275,0.275,1
1515507720,0.274,0.274,0.274,0.274,2
1515574500,0.276,0.276,0.276,0.276,6
1515574620,0.278,0.277,0.278,0.277,2
1515586680,0.273,0.275,0.275,0.273,3
1516005900,0.279,0.279,0.279,0.279,1
1516086000,0.279,0.279,0.279,0.279,1
1516086360,0.28,0.28,0.28,0.28,1
1516626540,0.28,0.28,0.28,0.28,1
1516626960,0.28,0.28,0.28,0.28,1
1516628760,0.281,0.281,0.281,0.281,5
1516691040,0.314,0.314,0.314,0.314,3
1516691520,0.287,0.283,0.287,0.283,7
1516699680,0.288,0.288,0.288,0.288,1
1516786740,0.265,0.268,0.268,0.265,4
1516786800,0.265,0.265,0.265,0.265,3
1516792860,0.29,0.29,0.29,0.29,2
1516795140,0.27,0.27,0.27,0.27,1
1516808700,0.271,0.271,0.271,0.271,5
1516872720,0.287,0.287,0.287,0.287,1
1516872780,0.287,0.287,0.287,0.287,1
1516880460,0.286,0.286,0.286,0.286,1
1516880520,0.285,0.285,0.285,0.285,1
1516889640,0.299,0.288,0.299,0.288,14
1516889700,0.308,0.308,0.308,0.308,1
1516889760,0.298,0.298,0.298,0.298,1
1516894560,0.298,0.298,0.298,0.298,1
1516950360,0.301,0.311,0.311,0.301,3
1516974600,0.295,0.299,0.299,0.295,5
1517234700,0.294,0.294,0.294,0.294,1
1517306160,0.297,0.297,0.297,0.297,1
1517315820,0.293,0.294,0.294,0.293,2
1517385120,0.292,0.292,0.292,0.292,1
1517395500,0.29,0.291,0.291,0.29,3
1517583840,0.289,0.289,0.289,0.289,1
1517823180,0.288,0.288,0.288,0.288,1
1517829300,0.288,0.288,0.288,0.288,3
1517902680,0.287,0.287,0.287,0.287,1
1517903880,0.287,0.287,0.287,0.287,15
1517914200,0.28,0.281,0.281,0.28,54
1517917260,0.277,0.28,0.28,0.277,3
1517931240,0.277,0.277,0.277,0.277,7
1518186060,0.271,0.271,0.271,0.271,4
1518599460,0.272,0.272,0.272,0.272,1
1519024320,0.277,0.277,0.277,0.277,1
1519029720,0.282,0.281,0.282,0.281,2
1519054320,0.277,0.277,0.277,0.277,1
1519118280,0.282,0.282,0.282,0.282,1
1519137120,0.29,0.287,0.292,0.287,3
1519138980,0.282,0.287,0.287,0.282,2
1519206900,0.287,0.287,0.287,0.287,1
1519211760,0.282,0.282,0.282,0.282,1
1519305480,0.278,0.278,0.278,0.278,17
1519306080,0.287,0.287,0.287,0.287,12
1519918080,0.292,0.292,0.292,0.292,1
1519981800,0.287,0.287,0.287,0.287,1
1520322000,0.292,0.292,0.292,0.292,1
1520322120,0.297,0.295,0.297,0.295,2
1520345100,0.264,0.264,0.264,0.264,1
1520349360,0.28,0.28,0.28,0.28,1
1520351340,0.28,0.28,0.28,0.28,1
1520436240,0.292,0.292,0.292,0.292,1
1520437500,0.287,0.287,0.287,0.287,1
1520866440,0.28,0.28,0.28,0.28,1
1520927640,0.283,0.283,0.283,0.283,1
1520934780,0.289,0.289,0.289,0.289,1
1521117420,0.282,0.282,0.282,0.282,1
1521117480,0.277,0.278,0.278,0.277,4
1521468180,0.28,0.28,0.28,0.28,19
1521620820,0.272,0.272,0.272,0.272,1
1521724440,0.277,0.277,0.277,0.277,1
1521724500,0.282,0.282,0.282,0.282,1
1522066860,0.29,0.287,0.29,0.287,2
1522136700,0.29,0.292,0.292,0.29,3
1522145640,0.29,0.29,0.29,0.29,1
1522147560,0.29,0.29,0.29,0.29,1
1522229760,0.298,0.297,0.298,0.297,3
1522241820,0.3,0.3,0.3,0.3,39
1522244580,0.31,0.31,0.31,0.31,2
