time,close,open,high,low,volume
1514964060,0.115,0.115,0.115,0.115,1
1514968140,0.115,0.115,0.115,0.115,7
1514968320,0.115,0.115,0.115,0.115,1
1514968800,0.118,0.116,0.118,0.116,5
1514969040,0.1155,0.1165,0.1165,0.1155,7
1514969160,0.115,0.115,0.115,0.115,2
1514969880,0.115,0.115,0.115,0.115,5
1514987460,0.115,0.115,0.115,0.115,1
1514988000,0.1145,0.1145,0.1145,0.1145,1
1515052800,0.1145,0.1145,0.1145,0.1145,1
1515054660,0.1155,0.1155,0.1155,0.1155,1
1515057600,0.1155,0.1155,0.1155,0.1155,2
1515158160,0.116,0.116,0.116,0.116,1
1515483780,0.1145,0.115,0.115,0.1145,2
1515484680,0.116,0.116,0.116,0.116,1
1515487680,0.115,0.115,0.115,0.115,1
1515496200,0.116,0.116,0.116,0.116,1
1515499560,0.1145,0.1145,0.1145,0.1145,1
1515509940,0.116,0.116,0.116,0.116,3
1515512220,0.1135,0.115,0.115,0.1135,55
1515512340,0.116,0.115,0.116,0.115,4
1515572700,0.1165,0.1165,0.1165,0.1165,1
1515584100,0.115,0.1155,0.1155,0.115,5
1515593940,0.1155,0.1155,0.1155,0.1155,1
1515654900,0.115,0.115,0.115,0.115,1
1515683880,0.116,0.116,0.116,0.116,1
1515683940,0.116,0.116,0.116,0.116,1
1515684420,0.1165,0.116,0.1165,0.116,4
1515685140,0.116,0.116,0.116,0.116,1
1515685500,0.1155,0.1155,0.1155,0.1155,3
1515750720,0.117,0.117,0.117,0.117,5
1515761040,0.1165,0.1165,0.1165,0.1165,17
1515768480,0.116,0.116,0.116,0.116,5
1515769140,0.1155,0.1155,0.1155,0.1155,1
1515771540,0.117,0.1165,0.117,0.1165,2
1515771900,0.117,0.117,0.117,0.117,1
1516022400,0.1175,0.1175,0.1175,0.1175,3
1516022700,0.12,0.118,0.12,0.118,7
1516023360,0.1205,0.1205,0.1205,0.1205,1
1516023960,0.122,0.121,0.122,0.121,20
1516024080,0.12,0.12,0.12,0.12,2
1516024140,0.123,0.1215,0.123,0.1215,8
1516024320,0.1235,0.1235,0.1235,0.1235,2
1516024500,0.124,0.124,0.124,0.124,2
1516027320,0.1235,0.1235,0.1235,0.1235,1
1516029720,0.1215,0.123,0.123,0.1215,4
1516031100,0.1225,0.1225,0.1225,0.1225,1
1516087560,0.1205,0.121,0.121,0.1205,2
1516087620,0.1225,0.122,0.1225,0.122,2
1516090140,0.1225,0.122,0.1225,0.122,3
1516091280,0.1225,0.1225,0.1225,0.1225,7
1516092480,0.123,0.1215,0.123,0.1215,3
1516093200,0.1215,0.1215,0.1215,0.1215,1
1516093260,0.1235,0.123,0.1235,0.123,2
1516094700,0.122,0.122,0.122,0.122,1
1516096140,0.1215,0.1215,0.1215,0.1215,1
1516096560,0.121,0.121,0.121,0.121,2
1516099980,0.121,0.121,0.121,0.121,1
1516102380,0.1205,0.1205,0.1205,0.1205,1
1516102680,0.1205,0.1205,0.1205,0.1205,14
1516103520,0.1205,0.1205,0.1205,0.1205,10
1516113420,0.12,0.12,0.12,0.12,1
1516117140,0.1215,0.12,0.1215,0.12,3
1516283940,0.122,0.122,0.122,0.122,1
1516284540,0.1215,0.1215,0.1215,0.1215,3
1516288380,0.121,0.121,0.121,0.121,1
1516289640,0.12,0.1205,0.1205,0.12,2
1516289820,0.1195,0.1195,0.1195,0.1195,1
1516345260,0.112,0.119,0.119,0.112,232
1516345320,0.118,0.118,0.118,0.118,1
1516345380,0.122,0.122,0.122,0.122,1
1516355520,0.12,0.12,0.12,0.12,2
1516620120,0.118,0.118,0.118,0.118,1
1516621920,0.1205,0.1205,0.1205,0.1205,1
1516625580,0.1205,0.1205,0.1205,0.1205,1
1516629180,0.118,0.118,0.118,0.118,1
1516635540,0.12,0.12,0.12,0.12,1
1516698180,0.1205,0.1205,0.1205,0.1205,1
1516706520,0.12,0.1185,0.12,0.1145,31
1516710000,0.12,0.1165,0.12,0.116,9
1516710120,0.115,0.1175,0.1175,0.115,30
1516710180,0.119,0.119,0.119,0.119,1
1516786860,0.118,0.1175,0.118,0.1175,10
1516863540,0.108,0.108,0.108,0.108,50
1516863780,0.1165,0.1165,0.1165,0.1165,1
1516863900,0.111,0.114,0.114,0.111,30
1516867200,0.1155,0.1155,0.1155,0.1155,2
1516870380,0.1165,0.1155,0.1165,0.1155,12
1516870440,0.116,0.116,0.116,0.116,1
1516871100,0.115,0.1155,0.1155,0.115,2
1516874100,0.1145,0.115,0.115,0.1145,8
1516892580,0.1155,0.1155,0.1155,0.1155,5
1516895100,0.116,0.116,0.116,0.116,1
1516970220,0.115,0.115,0.115,0.115,1
1516971960,0.113,0.1145,0.1145,0.113,7
1516972020,0.1145,0.1145,0.1145,0.1145,1
1516980900,0.115,0.115,0.115,0.115,1
1516980960,0.1155,0.1155,0.1155,0.1155,1
1516981500,0.116,0.116,0.116,0.116,1
1517220900,0.1155,0.1155,0.1155,0.1155,1
1517221380,0.115,0.115,0.115,0.115,1
