time,close,open,high,low,volume
1514963400,0.084,0.084,0.084,0.084,26
1514963460,0.084,0.084,0.084,0.084,6
1514963640,0.0845,0.0845,0.0845,0.0845,13
1514966880,0.085,0.0845,0.085,0.0845,15
1514968980,0.084,0.084,0.084,0.084,1
1514970360,0.0835,0.0835,0.0835,0.0835,1
1514970480,0.0835,0.0835,0.0835,0.0835,4
1514974740,0.0825,0.083,0.083,0.0825,10
1514977320,0.081,0.082,0.082,0.081,4
1514977380,0.08,0.0805,0.0805,0.08,3
1514977800,0.0785,0.0795,0.0795,0.075,65
1514978220,0.078,0.078,0.078,0.078,1
1514981040,0.079,0.079,0.079,0.079,1
1514981760,0.079,0.079,0.079,0.079,3
1514985120,0.0795,0.0795,0.0795,0.0795,1
1514985480,0.0795,0.0795,0.0795,0.0795,1
1514991720,0.08,0.08,0.08,0.08,2
1514992440,0.08,0.08,0.08,0.08,11
1514992680,0.08,0.08,0.08,0.08,45
1515051600,0.08,0.08,0.08,0.08,1
1515052440,0.078,0.0795,0.0795,0.078,6
1515052980,0.079,0.079,0.079,0.079,1
1515059700,0.0795,0.0795,0.0795,0.0795,1
1515146160,0.081,0.08,0.081,0.08,6
1515152760,0.0795,0.0805,0.0805,0.0795,4
1515166740,0.08,0.08,0.08,0.08,1
1515485700,0.08,0.08,0.08,0.08,1
1515487260,0.0785,0.0795,0.0795,0.07,500
1515487320,0.074,0.076,0.076,0.074,23
1515487380,0.075,0.0755,0.0755,0.074,29
1515487440,0.075,0.075,0.075,0.0745,128
1515487800,0.0755,0.0755,0.0755,0.0755,1
1515487860,0.076,0.076,0.076,0.076,2
1515487980,0.076,0.076,0.076,0.076,1
1515488820,0.0755,0.0755,0.0755,0.0755,5
1515489000,0.076,0.076,0.076,0.076,7
1515489060,0.076,0.076,0.076,0.076,3
1515489360,0.076,0.076,0.076,0.076,1
1515492420,0.0755,0.0755,0.0755,0.0755,1
1515492480,0.0755,0.0755,0.0755,0.0755,8
1515493380,0.076,0.076,0.076,0.076,1
1515494340,0.076,0.076,0.076,0.076,4
1515496020,0.076,0.076,0.076,0.076,1
1515497700,0.0765,0.0765,0.0765,0.0765,1
1515499320,0.0755,0.0755,0.0755,0.0755,1
1515499740,0.0765,0.0765,0.0765,0.0765,20
1515499860,0.0765,0.0765,0.0765,0.0765,1
1515501840,0.076,0.076,0.076,0.076,1
1515507480,0.0755,0.076,0.076,0.0755,2
1515507540,0.0755,0.0755,0.0755,0.0755,4
1515507900,0.076,0.076,0.076,0.076,20
1515507960,0.077,0.0765,0.077,0.0765,72
1515508260,0.076,0.076,0.076,0.076,4
1515509340,0.076,0.076,0.076,0.076,1
1515510240,0.076,0.076,0.076,0.076,1
1515511500,0.0765,0.0765,0.0765,0.0765,1
1515512280,0.077,0.077,0.077,0.077,1
1515512700,0.0765,0.0765,0.0765,0.0765,9
1515568440,0.077,0.077,0.077,0.077,1
1515575760,0.0765,0.0765,0.0765,0.0765,1
1515576900,0.077,0.077,0.077,0.077,2
1515591240,0.0785,0.077,0.0785,0.077,15
1515592680,0.078,0.078,0.078,0.078,1
1515593400,0.0785,0.0785,0.0785,0.0785,5
1515593940,0.0785,0.0785,0.0785,0.0785,5
1515594000,0.0775,0.078,0.078,0.0775,4
1515594180,0.077,0.077,0.077,0.077,1
1515596520,0.0775,0.0775,0.0775,0.0775,1
1515654240,0.0775,0.0775,0.0775,0.0775,1
1515655620,0.078,0.078,0.078,0.078,1
1515657060,0.079,0.0785,0.079,0.0785,3
1515661620,0.0795,0.0795,0.0795,0.0795,1
1515661740,0.0775,0.078,0.078,0.0775,3
1515663360,0.0775,0.0775,0.0775,0.0775,1
1515663540,0.077,0.077,0.077,0.077,2
1515668040,0.077,0.077,0.077,0.077,1
1515670320,0.077,0.077,0.077,0.077,1
1515673560,0.077,0.077,0.077,0.077,1
1515673740,0.0765,0.0765,0.0765,0.0765,2
1515683880,0.0775,0.0775,0.0775,0.0775,1
1515752280,0.0775,0.0775,0.0775,0.0775,1
1515760260,0.08,0.078,0.0825,0.078,449
1515760860,0.081,0.081,0.081,0.081,1
1515760980,0.0805,0.0805,0.0805,0.0805,1
1515761040,0.08,0.0805,0.0805,0.08,2
1515761220,0.08,0.08,0.08,0.08,1
1515761340,0.08,0.08,0.08,0.08,195
1515765480,0.08,0.08,0.08,0.08,1
1515766560,0.0795,0.0795,0.0795,0.0795,2
1515767340,0.08,0.08,0.08,0.08,10
1515769860,0.0795,0.0795,0.0795,0.0795,1
1516005720,0.08,0.08,0.08,0.08,1
1516005780,0.0805,0.0805,0.0805,0.0805,1
1516005900,0.081,0.081,0.081,0.081,8
1516005960,0.081,0.081,0.081,0.081,10
1516009860,0.08,0.08,0.08,0.08,1
1516010100,0.08,0.08,0.08,0.08,1
1516012980,0.0795,0.0795,0.0795,0.0795,1
1516022880,0.08,0.0795,0.08,0.0795,5
1516023900,0.08,0.08,0.08,0.08,1
1516024320,0.08,0.08,0.08,0.08,1
1516024380,0.0795,0.0795,0.0795,0.0795,3
1516025220,0.08,0.08,0.08,0.08,1
1516025640,0.08,0.08,0.08,0.08,1
