,tp,sl,rate,profit
0,0.2,0.2,1,175977.6
1,0.5,0.2,2,176074.0
2,0.7,0.2,3,162470.0
3,1.0,0.2,5,156482.0
4,1.5,0.2,8,171603.0
5,0.2,0.4,0,176716.2
6,0.5,0.4,1,210588.0
7,0.7,0.4,2,192234.0
8,1.0,0.4,2,179189.0
9,1.5,0.4,4,186633.0
10,0.2,0.6,0,176803.0
11,0.5,0.6,1,217559.0
12,0.7,0.6,1,202867.69999999998
13,1.0,0.6,2,188258.0
14,1.5,0.6,2,193509.0
15,0.2,0.8,0,176834.2
16,0.5,0.8,1,217657.5
17,0.7,0.8,1,205559.9
18,1.0,0.8,1,192677.0
19,1.5,0.8,2,197245.5
20,0.2,1.0,0,176845.6
21,0.5,1.0,0,217687.0
22,0.7,1.0,1,205606.09999999998
23,1.0,1.0,1,195262.0
24,1.5,1.0,2,199567.5
