time,close,open,high,low,volume
1514964720,5.0,5.0,5.0,5.0,1
1514964900,5.0,5.0,5.0,5.0,3
1514966640,4.96,4.96,4.96,4.96,2
1514967840,5.0,5.0,5.0,5.0,14
1514968140,5.01,5.01,5.01,5.01,1
1514984100,5.01,5.01,5.01,5.01,1
1514991060,5.01,5.01,5.01,5.01,1
1514991120,5.01,5.01,5.01,5.01,1
1515050940,5.1,5.0,5.1,5.0,53
1515051000,5.1,5.04,5.1,5.04,4
1515051300,5.1,5.1,5.1,5.1,22
1515052140,5.1,5.1,5.1,5.1,10
1515052740,5.09,5.09,5.09,5.09,1
1515053460,5.1,5.1,5.1,5.1,4
1515053520,5.15,5.1,5.15,5.1,31
1515053580,5.13,5.14,5.14,5.13,2
1515053880,5.14,5.14,5.14,5.14,4
1515060720,5.14,5.14,5.14,5.14,1
1515067260,5.14,5.14,5.14,5.14,3
1515069900,5.14,5.14,5.14,5.14,1
1515072780,5.14,5.14,5.14,5.14,3
1515072840,5.15,5.15,5.15,5.15,1
1515074220,5.14,5.14,5.14,5.14,2
1515074280,5.14,5.14,5.14,5.14,60
1515077520,5.14,5.14,5.14,5.14,2
1515077640,5.14,5.14,5.14,5.14,5
1515079080,4.89,5.12,5.12,4.88,42
1515079620,5.05,5.05,5.05,5.05,2
1515080880,5.04,5.04,5.04,5.04,1
1515137640,5.03,5.03,5.03,5.03,1
1515139500,5.04,5.04,5.04,5.04,1
1515150780,5.04,5.04,5.04,5.04,3
1515154500,5.03,5.03,5.03,5.03,1
1515155340,5.08,5.08,5.08,5.08,2
1515159240,5.02,5.02,5.02,5.02,4
1515159900,5.02,5.02,5.02,5.02,1
1515161040,5.02,5.02,5.02,5.02,1
1515481800,5.01,5.01,5.01,5.01,1
1515482340,5.01,5.01,5.01,5.01,2
1515482400,5.01,5.01,5.01,5.01,2
1515482940,5.0,5.0,5.0,5.0,7
1515483000,5.02,5.02,5.02,5.02,20
1515484440,5.01,5.01,5.01,5.01,1
1515486960,5.01,5.01,5.01,5.01,7
1515487440,5.0,5.0,5.0,5.0,1
1515487620,5.0,5.01,5.01,5.0,100
1515488100,5.0,5.0,5.0,5.0,23
1515493020,5.05,5.05,5.05,5.05,4
1515493080,5.05,5.05,5.05,5.05,6
1515499440,5.05,5.05,5.05,5.05,3
1515503820,5.05,5.05,5.05,5.05,1
1515506580,5.05,5.05,5.05,5.05,5
1515507180,5.05,5.05,5.05,5.05,2
1515510120,5.0,5.0,5.0,5.0,31
1515568020,5.07,5.06,5.07,5.06,2
1515578820,5.1,5.08,5.1,5.08,6
1515580620,5.1,5.1,5.1,5.1,1
1515581160,5.1,5.1,5.1,5.1,22
1515581220,5.1,5.1,5.1,5.1,2
1515593700,5.06,5.09,5.09,5.06,3
1515599100,5.07,5.07,5.07,5.07,16
1515654060,4.89,5.01,5.01,3.5,146
1515654120,3.7,4.9,4.9,3.7,465
1515654180,3.8,3.81,3.81,3.8,31
1515654240,4.88,4.87,4.9,4.87,11
1515654300,4.3,4.3,4.3,4.3,1
1515654360,4.33,4.4,4.4,4.3,7
1515654420,4.6,4.5,4.6,4.5,2
1515654480,4.7,4.7,4.79,4.7,8
1515654540,4.76,4.76,4.76,4.76,1
1515654600,4.71,4.71,4.71,4.71,1
1515654660,4.75,4.75,4.75,4.74,8
1515654720,4.79,4.76,4.79,4.76,47
1515654780,4.81,4.81,4.81,4.81,3
1515654840,4.84,4.81,4.84,4.81,10
1515654900,4.82,4.82,4.82,4.82,1
1515654960,4.83,4.83,4.83,4.83,27
1515655020,4.83,4.83,4.84,4.83,42
1515655920,4.84,4.84,4.84,4.84,6
1515656520,4.75,4.82,4.82,4.75,51
