time,close,open,high,low,volume
1514967360,0.326,0.326,0.326,0.326,1
1514970300,0.326,0.326,0.326,0.326,1
1514972160,0.3255,0.3255,0.3255,0.3255,1
1514973840,0.329,0.329,0.329,0.329,2
1514973960,0.329,0.329,0.329,0.329,1
1514974140,0.326,0.326,0.326,0.326,2
1514975040,0.326,0.326,0.326,0.326,1
1514975820,0.329,0.329,0.329,0.329,1
1514976360,0.326,0.326,0.326,0.326,1
1514978400,0.3255,0.3255,0.3255,0.3255,1
1514978880,0.325,0.325,0.325,0.325,1
1514979720,0.3245,0.3245,0.3245,0.3245,1
1514979900,0.325,0.325,0.325,0.325,4
1514980020,0.324,0.324,0.324,0.324,1
1514982420,0.325,0.325,0.325,0.325,1
1514982660,0.3235,0.3235,0.3235,0.3235,1
1514984580,0.323,0.323,0.323,0.323,1
1514985180,0.3225,0.3225,0.3225,0.3225,1
1514985780,0.322,0.322,0.322,0.322,1
1514986140,0.3215,0.3215,0.3215,0.3215,1
1514986260,0.325,0.3245,0.325,0.3245,13
1514988060,0.322,0.322,0.322,0.322,1
1514988180,0.322,0.322,0.322,0.322,3
1514988900,0.322,0.322,0.322,0.322,1
1514989440,0.322,0.322,0.322,0.322,3
1514989500,0.322,0.322,0.322,0.322,1
1514990520,0.3215,0.3215,0.3215,0.3215,1
1514990940,0.3215,0.3215,0.3215,0.3215,4
1514992320,0.3215,0.3215,0.3215,0.3215,4
1514992620,0.319,0.321,0.321,0.319,5
1514992740,0.3185,0.3185,0.3185,0.3105,48
1514992800,0.319,0.319,0.319,0.319,5
1514992860,0.319,0.319,0.319,0.319,1
1514993460,0.318,0.318,0.318,0.318,1
1514993520,0.319,0.319,0.319,0.319,100
1514993640,0.319,0.319,0.319,0.319,2
1514993760,0.3175,0.3175,0.3175,0.3175,1
1514993880,0.319,0.319,0.319,0.319,15
1514993940,0.3165,0.317,0.317,0.3165,2
1514994480,0.32,0.32,0.32,0.32,1
1515051060,0.317,0.317,0.317,0.317,2
1515051600,0.3165,0.3165,0.3165,0.3165,1
1515052020,0.316,0.316,0.316,0.316,1
1515052380,0.3155,0.3155,0.3155,0.3155,1
1515053580,0.315,0.315,0.315,0.315,1
1515056760,0.3145,0.3145,0.3145,0.3145,1
1515057960,0.314,0.314,0.314,0.314,1
1515058320,0.3135,0.3135,0.3135,0.3135,1
1515059220,0.314,0.314,0.314,0.314,2
1515059880,0.317,0.317,0.317,0.317,2
1515062400,0.314,0.314,0.314,0.314,2
1515062520,0.3135,0.3135,0.3135,0.3135,6
1515063660,0.313,0.313,0.313,0.313,1
1515063720,0.3125,0.3125,0.3125,0.3125,6
1515064260,0.3125,0.3125,0.3125,0.3125,5
1515064800,0.312,0.312,0.312,0.312,1
1515065520,0.3115,0.3115,0.3115,0.3115,1
1515066060,0.311,0.311,0.311,0.311,6
1515066300,0.3185,0.314,0.3185,0.314,20
1515066720,0.315,0.315,0.315,0.315,1
1515067020,0.315,0.315,0.315,0.315,2
1515067920,0.3145,0.3145,0.3145,0.3145,1
1515069840,0.3145,0.3145,0.3145,0.3145,3
1515070260,0.314,0.314,0.314,0.314,1
1515071160,0.3135,0.3135,0.3135,0.3135,1
1515071280,0.313,0.313,0.313,0.313,1
1515071700,0.3095,0.3125,0.3125,0.3095,140
1515071760,0.31,0.31,0.31,0.31,4
1515072240,0.3095,0.3095,0.3095,0.3095,11
1515072540,0.313,0.3125,0.313,0.3125,2
1515074880,0.31,0.31,0.31,0.31,1
1515075960,0.31,0.31,0.31,0.31,9
