time,close,open,high,low,volume
1702649340,14.6,14.6,14.6,14.6,86923
1702649400,12.84,14.605,14.9,12.8,223816
1702649460,13.21,12.84,13.405,12.825,114453
1702649520,13.57,13.22,13.785,13.205,100820
1702649580,13.305,13.59,13.59,13.265,64259
1702649640,13.11,13.305,13.385,13.0,103181
1702649700,13.2,13.11,13.235,13.0,53504
1702649760,13.12,13.2,13.3,13.08,41070
1702649820,12.965,13.12,13.12,12.93,75819
1702649880,13.105,12.965,13.12,12.92,44690
1702649940,13.225,13.105,13.27,13.1,51102
1702650000,13.205,13.215,13.265,13.17,25886
1702650060,13.19,13.215,13.3,13.19,80254
1702650120,13.225,13.19,13.28,13.19,16129
1702650180,13.125,13.215,13.225,13.1,38057
1702650240,13.1,13.115,13.125,13.05,15666
1702650300,13.11,13.1,13.145,13.1,24254
1702650360,13.025,13.105,13.115,13.0,36951
1702650420,13.105,13.03,13.125,13.02,26760
1702650480,13.1,13.105,13.105,13.06,13900
1702650540,13.075,13.095,13.1,13.075,11511
1702650600,12.98,13.075,13.09,12.98,62362
1702650660,12.96,12.98,12.995,12.95,35936
1702650720,12.9,12.95,12.97,12.9,29560
1702650780,13.175,12.9,13.2,12.9,50044
1702650840,13.2,13.175,13.2,13.15,29848
1702650900,13.15,13.2,13.2,13.135,12724
1702650960,13.13,13.15,13.18,13.13,7527
1702651020,13.17,13.13,13.17,13.12,19524
1702651080,13.12,13.165,13.17,13.12,22252
1702651140,13.0,13.12,13.13,12.975,68379
1702651200,13.03,13.0,13.08,12.985,18935
1702651260,13.025,13.035,13.065,13.01,9805
1702651320,13.02,13.025,13.05,13.015,10701
1702651380,13.035,13.025,13.05,13.005,10549
1702651440,13.035,13.04,13.06,13.03,12189
1702651500,13.0,13.04,13.045,12.99,54637
1702651560,12.995,13.0,13.015,12.97,11640
1702651620,12.975,12.985,13.0,12.97,3643
1702651680,12.975,12.97,12.995,12.97,6937
1702651740,12.95,12.97,13.0,12.95,20444
1702651800,12.96,12.95,13.0,12.95,31384
1702651860,12.86,12.955,12.96,12.85,40889
1702651920,12.86,12.86,12.9,12.85,10643
1702651980,12.9,12.86,12.915,12.855,19254
1702652040,12.92,12.9,12.92,12.9,9236
1702652100,12.915,12.915,12.94,12.905,11047
1702652160,12.885,12.91,12.93,12.88,10967
1702652220,12.88,12.89,12.91,12.86,8566
1702652280,12.85,12.88,12.885,12.85,8875
1702652340,12.86,12.85,12.865,12.85,6524
1702652400,12.815,12.86,12.865,12.805,5226
1702652460,12.745,12.81,12.815,12.725,16168
1702652520,12.73,12.74,12.755,12.7,15301
1702652580,12.705,12.735,12.755,12.705,17781
1702652640,12.72,12.71,12.74,12.705,8945
1702652700,12.76,12.72,12.775,12.715,15042
1702652760,12.77,12.76,12.78,12.75,7346
1702652820,12.765,12.765,12.785,12.765,7206
1702652880,12.815,12.765,12.815,12.765,14327
1702652940,12.785,12.815,12.815,12.775,8021
1702653000,12.72,12.785,12.795,12.72,9499
1702653060,12.725,12.72,12.735,12.715,4344
1702653120,12.76,12.72,12.76,12.715,6165
1702653180,12.775,12.75,12.79,12.75,3158
1702653240,12.77,12.775,12.785,12.765,2827
1702653300,12.76,12.765,12.775,12.76,3907
1702653360,12.78,12.765,12.785,12.76,5256
1702653420,12.81,12.78,12.815,12.77,6154
1702653480,12.795,12.81,12.81,12.785,3591
1702653540,12.805,12.795,12.82,12.785,3623
1702653600,12.735,12.805,12.81,12.73,22654
1702653660,12.725,12.74,12.75,12.72,5776
1702653720,12.58,12.725,12.73,12.58,95659
